none
none
none
none
none
none
none
none
none
"b" "z" 1;
"b" "z" 1;
"b" "z" 1;
"b" "z" 1;
"b" "z" 1;
"b" "z" 1;
"b" "z" 1;
"a" "i" 1; "b" "z" 1; "d" "h" 1;
"a" "i" 1; "b" "z" 1; "d" "h" 1;
"a" "i" 1; "b" "z" 1; "d" "h" 1;
"a" "i" 1; "b" "v" "z" 1; "d" "h" 1; "e" "x" 1;
"a" "i" 1; "b" "v" "z" 1; "d" "h" 1; "e" "x" 1;
"a" "i" 1; "b" "v" "z" 1; "d" "h" 1; "e" "x" 1;
"a" "i" 1; "b" "v" "z" 1; "d" "h" 1; "e" "x" 1;
"a" "i" 1; "b" "v" "z" 1; "d" "h" 1; "e" "x" 1;
"a" "i" 1; "b" "v" "z" 1; "d" "h" 1; "e" "x" 1;
"a" "i" 1; "b" "v" "z" 1; "d" "h" 1; "e" "x" 1;
"a" "i" 1; "b" "v" 2; "d" "h" 2; "e" "s" "x" 1;
"a" "i" 1; "b" "v" 2; "d" "h" 2; "e" "j" "s" "x" 1;
"a" "i" 1; "b" "v" 2; "c" "u" 1; "d" "h" 2; "e" "j" "s" "x" 1;
"a" "i" 1; "b" "v" 2; "c" "u" 1; "d" "h" 2; "e" "j" "s" "x" 1;
"a" "i" 1; "b" "v" 2; "c" "u" 1; "d" "h" 2; "e" "t" 2;
"a" "i" 1; "b" "v" 2; "c" "u" 1; "d" "h" 2; "e" "t" 2;
"a" "i" 1; "b" "v" 2; "c" "u" 1; "d" "h" 2; "e" "t" 2;
"a" "i" 1; "b" "v" 2; "c" "u" 1; "d" "h" 2; "e" "t" 2;
"a" "i" 1; "b" "v" 2; "c" "u" 1; "d" "h" 2; "e" "t" 2;
"a" "a" "i" 1; "b" "v" 2; "c" "u" 1; "d" "h" 2; "e" "t" 2;
"a" "a" "i" 1; "b" "v" 2; "c" "u" 1; "d" "h" 2; "e" "t" 2;
"a" "a" "i" 1; "b" "v" 2; "c" "u" 1; "d" "h" 2; "e" "t" 2;
"a" "a" "i" 1; "b" "v" 2; "c" "u" 1; "d" "h" 2; "e" "t" 2;
"a" "a" "i" 1; "b" "v" 2; "c" "b" "j" "u" 1; "d" "h" 2; "e" "t" 2;
"a" "a" "i" 1; "b" "v" 2; "c" "b" "j" "u" 1; "d" "h" 2; "e" "t" 2;
"a" "a" "i" 1; "b" "v" 2; "c" "b" "j" "u" 1; "d" "h" 2; "e" "t" 2;
"a" "a" "i" 1; "b" "v" 2; "c" "b" "j" "u" 1; "d" "h" 2; "e" "t" 2;
"a" "i" 2; "b" "v" 2; "c" "b" "j" "r" "u" 1; "d" "h" 2; "e" "t" 2;
"a" "i" 2; "b" "v" 2; "c" "j" 2; "d" "h" 2; "e" "t" 2;
"a" "i" "q" 2; "b" "v" 2; "c" "j" 2; "d" "h" 2; "e" "t" 2;
"a" "i" "q" 2; "b" "v" 2; "c" "j" 2; "d" "h" 2; "e" "t" 2;
"a" "i" "q" 2; "b" "v" 2; "c" "j" 2; "d" "h" 2; "e" "t" 2;
