none
none
none
none
none
none
none
none
none
none
"b" "c" 1;
"b" "c" 1; "e" "f" 1;
"b" "c" 1; "e" "f" 1;
"b" "c" 1; "e" "f" 1;
"b" "c" 1; "d" "i" 1; "e" "f" 1;
"b" "c" 1; "d" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 1; "d" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 1; "d" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 1; "d" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 1; "d" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 1; "d" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 1; "d" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 1; "d" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "d" "i" 1; "e" "f" "g" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "d" "i" 1; "e" "f" "g" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "d" "i" 1; "e" "f" "g" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "d" "i" 1; "e" "f" "g" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "d" "i" 1; "e" "f" "g" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "d" "i" 1; "e" "f" "g" 1;
"a" "f" "i" 1; "b" "c" 2; "d" "c" "d" "i" 1; "e" "f" "g" 1;
"a" "f" "i" 1; "b" "c" "o" 2; "d" "c" "d" "i" 1; "e" "f" "g" "q" 1;
"a" "e" "f" "i" 1; "b" "c" "o" 2; "d" "c" "d" "i" 1; "e" "f" "g" "q" 1;
"a" "e" "f" "i" 1; "b" "c" "o" 2; "d" "b" "c" "d" "i" 1; "e" "a" "f" "g" "q" 1;
"a" "e" "f" "i" 1; "b" "c" "o" 2; "d" "b" "c" "d" "i" 1; "e" "a" "f" "g" "n" "q" 1;
"a" "e" "f" "i" 1; "b" "c" "o" 2; "d" "b" "c" "d" "i" 1; "e" "a" "f" "g" "n" "q" 1;
"a" "e" "f" "i" 1; "b" "c" "o" 2; "d" "b" "c" "d" "i" 1; "e" "a" "f" "g" "n" "q" 1;
"a" "e" "f" "i" "s" 1; "b" "c" "o" 2; "d" "b" "c" "d" "i" 1; "e" "a" "f" "g" "n" "q" 1;
"a" "e" "f" "g" "i" "s" 1; "b" "c" "o" 2; "d" "a" "b" "c" "d" "i" 1; "e" "a" "b" "f" "g" "n" "q" 1;
"a" "s" 2; "b" "c" "o" 2; "d" "a" "b" "c" "d" "i" 1; "e" "a" "b" "f" "g" "n" "q" 1;
"a" "e" "s" 2; "b" "c" "o" 2; "d" "a" "b" "c" "d" "i" 1; "e" "a" "b" "f" "g" "n" "q" 1;
"a" "e" "s" 2; "b" "c" "o" 2; "d" "a" "b" "c" "d" "i" 1; "e" "a" "b" "f" "g" "n" "q" 1;
"a" "e" "s" 2; "b" "c" "o" 2; "d" "a" "b" "c" "d" "i" 1; "e" "a" "b" "f" "g" "n" "q" 1;
"a" "e" "s" 2; "b" "c" "o" 2; "c" "n" 1; "d" "a" "b" "c" "d" "i" 1; "e" "a" "b" "f" "g" "n" "q" 1;
"a" "e" "s" 2; "b" "c" "o" 2; "c" "n" 1; "d" "a" "b" "c" "d" "i" "n" 1; "e" "a" "b" "f" "g" "n" "q" 1;
"a" "e" "s" 2; "b" "c" "o" 2; "c" "h" "n" 1; "d" "a" "b" "c" "d" "i" "n" 1; "e" "a" "b" "f" "g" "n" "q" 1;
"a" "s" 3; "b" "c" "o" 2; "c" "h" "n" 1; "d" "n" 2; "e" "a" "b" "f" "g" "n" "q" 1;
"a" "s" 3; "b" "c" "o" 2; "c" "h" "n" 1; "d" "n" 2; "e" "b" 2;
"a" "s" 3; "b" "c" "o" 2; "c" "h" "n" 1; "d" "n" 2; "e" "b" 2;
"a" "s" 3; "b" "c" "o" 2; "c" "h" "n" 1; "d" "n" 2; "e" "b" 2;
"a" "s" 3; "b" "c" "o" 2; "c" "h" "n" 1; "d" "n" 2; "e" "b" 2;
"a" "s" 3; "b" "c" "o" 2; "c" "h" "n" 1; "d" "n" 2; "e" "b" 2;
"a" "s" 3; "b" "c" "o" 2; "c" "h" "n" 1; "d" "n" 2; "e" "b" 2;
"a" "s" 3; "b" "c" "o" 2; "c" "h" "n" 1; "d" "n" 2; "e" "b" 2;
"a" "s" 3; "b" "c" "o" 2; "c" "h" "n" 1; "d" "n" 2; "e" "b" 2;
"a" "s" 3; "b" "c" "o" 2; "c" "h" "n" 1; "d" "n" 2; "e" "b" 2;
"a" "s" 3; "b" "c" "o" 2; "c" "h" "n" 1; "d" "n" 2; "e" "b" 2;
"a" "s" 3; "b" "c" "o" 2; "c" "h" "n" 1; "d" "n" 2; "e" "b" 2;
"a" "s" 3; "b" "c" "o" 2; "c" "h" "n" 1; "d" "n" 2; "e" "b" 2;
"a" "s" 3; "b" "c" "o" 2; "c" "h" "n" 1; "d" "n" 2; "e" "b" 2;
"a" "s" 3; "b" "c" "o" "u" 2; "c" "h" "n" 1; "d" "b" "n" 2; "e" "b" "n" 2;
"a" "s" 3; "b" "c" "o" "u" 2; "c" "h" "n" 1; "d" "b" "n" 2; "e" "b" "n" 2;
"a" "s" 3; "b" "u" 3; "c" "h" "n" 1; "d" "b" "n" 2; "e" "b" "n" 2;
"a" "s" 3; "b" "u" 3; "c" "h" "n" 1; "d" "b" "n" 2; "e" "b" "n" 2;
"a" "s" 3; "b" "u" 3; "c" "h" "n" 1; "d" "b" "n" 2; "e" "b" "n" 2;
"a" "s" 3; "b" "u" 3; "c" "h" "n" 1; "d" "b" "n" 2; "e" "b" "n" 2;
"a" "s" 3; "b" "u" 3; "c" "h" "n" 1; "d" "b" "n" 2; "e" "b" "n" 2;
"a" "s" 3; "b" "u" 3; "c" "h" "n" 1; "d" "b" "n" 2; "e" "b" "n" 2;
"a" "s" 3; "b" "u" 3; "c" "h" "n" 1; "d" "b" "n" 2; "e" "b" "n" 2;
"a" "s" 3; "b" "u" 3; "c" "h" "n" 1; "d" "b" "n" 2; "e" "b" "n" 2;
"a" "s" 3; "b" "u" 3; "c" "e" "h" "n" 1; "d" "b" "n" 2; "e" "b" "n" 2;
"a" "s" 3; "b" "u" 3; "c" "e" "h" "n" 1; "d" "b" "n" 2; "e" "b" "n" 2;
"a" "s" 3; "b" "u" 3; "c" "e" "h" "n" "s" 1; "d" "b" "n" 2; "e" "a" "b" "n" 2;
"a" "s" 3; "b" "u" 3; "c" "e" "h" "n" "s" 1; "d" "b" "n" 2; "e" "a" "b" "n" 2;
"a" "s" 3; "b" "u" 3; "c" "e" "h" "n" "s" 1; "d" "b" "n" 2; "e" "a" "b" "n" 2;
"a" "s" 3; "b" "u" 3; "c" "e" "h" "n" "s" 1; "d" "b" "n" 2; "e" "a" "b" "n" 2;
"a" "s" 3; "b" "u" 3; "c" "e" "h" "n" "s" 1; "d" "b" "n" 2; "e" "a" "b" "n" 2;
