none
none
none
none
none
none
none
none
"e" "r" 1;
"e" "p" "r" 1;
"e" "p" "r" 1;
"e" "p" "r" 1;
"e" "p" "r" 1;
"e" "p" "r" 1;
"e" "p" "r" 1;
"b" "r" 1; "e" "p" "r" 1;
"b" "r" 1; "e" "p" "r" 1;
"b" "r" 1; "e" "p" "r" 1;
"b" "r" 1; "e" "p" "r" 1;
"b" "r" 1; "e" "p" "r" 1;
"b" "r" 1; "e" "p" "r" 1;
"a" "d" 1; "b" "r" 1; "e" "p" "r" 1;
"a" "d" 1; "b" "r" 1; "e" "p" "r" 1;
"a" "d" 1; "b" "r" 1; "e" "p" "r" 1;
"a" "d" 1; "b" "r" 1; "c" "i" 1; "e" "e" "p" "r" 1;
"a" "d" 1; "b" "r" 1; "c" "i" "j" 1; "e" "e" 2;
"a" "d" 1; "b" "r" 1; "c" "i" "j" 1; "e" "e" 2;
"a" "d" 1; "b" "r" 1; "c" "i" "j" 1; "e" "e" 2;
"a" "d" 1; "b" "g" "q" "r" 1; "c" "i" "j" 1; "e" "e" 2;
"a" "d" 1; "b" "g" "q" "r" 1; "c" "i" "j" 1; "e" "e" 2;
"a" "d" 1; "b" "g" "q" "r" 1; "c" "i" "j" 1; "e" "e" 2;
"a" "d" 1; "b" "g" "q" "r" 1; "c" "i" "j" 1; "e" "e" 2;
"a" "d" 1; "b" "g" "q" "r" 1; "c" "i" "j" 1; "e" "e" 2;
"a" "d" 1; "b" "q" 2; "c" "i" "j" 1; "d" "g" 1; "e" "e" 2;
"a" "d" 1; "b" "q" 2; "c" "a" "i" "j" 1; "d" "g" 1; "e" "e" 2;
"a" "d" 1; "b" "q" 2; "c" "a" "i" "j" 1; "d" "g" "r" 1; "e" "e" 2;
"a" "d" "o" 1; "b" "q" 2; "c" "a" "i" "j" 1; "d" "g" "r" 1; "e" "e" 2;
"a" "d" "h" "o" 1; "b" "q" 2; "c" "a" "i" "j" 1; "d" "g" "r" 1; "e" "e" 2;
"a" "d" "h" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" 1; "d" "g" "r" 1; "e" "e" 2;
"a" "d" "h" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" 1; "d" "g" "r" 1; "e" "e" 2;
"a" "d" "h" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" 1; "d" "g" "r" 1; "e" "e" 2;
"a" "d" "h" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" 1; "d" "g" "q" "r" 1; "e" "e" 2;
"a" "d" "h" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" 1; "d" "g" "q" "r" 1; "e" "e" 2;
"a" "d" "h" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" 1; "d" "g" "q" "r" 1; "e" "e" 2;
"a" "d" "h" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" 1; "d" "g" "q" "r" 1; "e" "e" 2;
"a" "d" "h" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" 1; "d" "g" "q" "r" 1; "e" "e" 2;
"a" "d" "h" "i" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" 1; "d" "g" "q" "r" 1; "e" "e" 2;
"a" "d" "h" "i" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "r" 1; "d" "g" "q" "r" 1; "e" "e" 2;
"a" "d" "h" "i" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "r" 1; "d" "g" "q" "r" 1; "e" "e" 2;
"a" "d" "h" "i" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "r" 1; "d" "g" "q" "r" 1; "e" "e" 2;
"a" "d" "h" "i" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "r" 1; "d" "g" "i" "q" "r" 1; "e" "e" 2;
"a" "d" "g" "h" "i" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "r" 1; "d" "g" "i" "q" "r" 1; "e" "e" 2;
"a" "d" "g" "h" "i" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "r" 1; "d" "g" "i" "q" "r" 1; "e" "e" 2;
"a" "d" "g" "h" "i" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "r" 1; "d" "g" "i" "q" "r" 1; "e" "e" 2;
"a" "d" "g" "h" "i" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "r" 1; "d" "g" "i" "q" "r" 1; "e" "e" 2;
"a" "d" "g" "h" "i" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "r" 1; "d" "g" "i" "q" "r" 1; "e" "e" 2;
"a" "d" "g" "h" "i" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "r" 1; "d" "g" "i" "q" "r" 1; "e" "e" 2;
"a" "d" "g" "h" "i" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "r" 1; "d" "g" "i" "q" "r" 1; "e" "e" 2;
"a" "d" "g" "h" "i" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "r" 1; "d" "g" "i" "q" "r" 1; "e" "e" 2;
"a" "d" "g" "h" "i" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "r" 1; "d" "g" "i" "q" "r" 1; "e" "e" 2;
"a" "d" "g" "h" "i" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "r" 1; "d" "g" "i" "q" "r" 1; "e" "e" 2;
"a" "d" "g" "h" "i" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "r" 1; "d" "g" "i" "q" "r" 1; "e" "e" 2;
"a" "d" "g" "h" "i" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "r" 1; "d" "g" "i" "q" "r" 1; "e" "e" 2;
"a" "d" "g" "h" "i" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "r" 1; "d" "g" "i" "q" "r" 1; "e" "e" 2;
"a" "d" "g" "h" "i" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "r" 1; "d" "g" "i" "q" "r" 1; "e" "e" 2;
"a" "d" "g" "h" "i" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "r" 1; "d" "g" "i" "q" "r" 1; "e" "e" 2;
"a" "d" "g" "h" "i" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "r" 1; "d" "g" "i" "q" "r" 1; "e" "e" 2;
"a" "d" "g" "h" "i" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "r" 1; "d" "g" "i" "q" "r" 1; "e" "e" 2;
"a" "d" "g" "h" "i" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "r" 1; "d" "g" "i" "q" "r" 1; "e" "e" 2;
"a" "d" "g" "h" "i" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "r" 1; "d" "g" "i" "q" "r" 1; "e" "e" 2;
"a" "d" "g" "h" "i" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "r" 1; "d" "g" "i" "q" "r" 1; "e" "e" 2;
"a" "d" "g" "h" "i" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "r" 1; "d" "g" "i" "q" "r" 1; "e" "e" 2;
"a" "d" "g" "h" "i" "m" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "r" 1; "d" "b" "g" "i" "q" "r" 1; "e" "e" 2;
"a" "d" "g" "h" "i" "m" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "r" 1; "d" "b" "g" "i" "q" "r" 1; "e" "e" 2;
"a" "d" "g" "h" "i" "m" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "r" 1; "d" "b" "g" "i" "q" "r" 1; "e" "e" 2;
"a" "d" "g" "h" "i" "m" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "r" 1; "d" "b" 2; "e" "e" 2;
"a" "d" "g" "h" "i" "m" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "r" 1; "d" "b" 2; "e" "e" 2;
"a" "d" "g" "h" "i" "m" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "r" 1; "d" "b" 2; "e" "e" 2;
"a" "d" "g" "h" "i" "m" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "r" 1; "d" "b" 2; "e" "e" 2;
"a" "d" "g" "h" "i" "m" "o" 1; "b" "q" 2; "c" "a" "f" "i" "j" "m" "r" 1; "d" "b" 2; "e" "e" 2;
"a" "g" 2; "b" "q" 2; "c" "i" 2; "d" "b" 2; "e" "e" 2;
"a" "g" 2; "b" "q" 2; "c" "i" 2; "d" "b" 2; "e" "e" 2;
"a" "g" 2; "b" "q" 2; "c" "i" 2; "d" "b" 2; "e" "e" 2;
"a" "g" 2; "b" "q" 2; "c" "i" 2; "d" "b" 2; "e" "e" 2;
"a" "g" 2; "b" "q" 2; "c" "i" 2; "d" "b" 2; "e" "e" 2;
"a" "g" 2; "b" "q" 2; "c" "i" 2; "d" "b" 2; "e" "e" 2;
"a" "g" 2; "b" "q" 2; "c" "i" 2; "d" "b" 2; "e" "e" 2;
"a" "g" "h" 2; "b" "q" 2; "c" "i" 2; "d" "b" 2; "e" "e" 2;
"a" "g" "h" 2; "b" "q" 2; "c" "i" 2; "d" "b" 2; "e" "e" 2;
"a" "g" "h" 2; "b" "q" 2; "c" "i" 2; "d" "b" 2; "e" "e" 2;
"a" "g" "h" 2; "b" "q" 2; "c" "i" 2; "d" "b" 2; "e" "e" 2;
