none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" 2; "d" "b" 1;
"a" "b" 2; "d" "b" 1;
"a" "b" 2; "c" "i" 1; "d" "b" 1;
"a" "b" 2; "b" "r" 1; "c" "i" 1; "d" "b" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" "x" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "e" "r" 1; "c" "i" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "e" "r" 1; "c" "i" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "e" "r" 1; "c" "i" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "e" "r" 1; "c" "i" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "e" "r" 1; "c" "i" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "e" "r" 1; "c" "i" "n" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "e" "r" 1; "c" "i" "n" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "e" "r" 1; "c" "h" "i" "n" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "e" "r" 1; "c" "h" "i" "n" "x" 1; "d" "b" "c" "h" "x" 1; "e" "m" 1;
"a" "b" 2; "b" "d" "e" "r" 1; "c" "h" "i" "n" "x" 1; "d" "b" "c" "h" "x" 1; "e" "m" 1;
"a" "b" 2; "b" "d" "e" "r" 1; "c" "h" "i" "n" "x" 1; "d" "b" "c" "h" "x" 1; "e" "m" 1;
"a" "b" 2; "b" "d" "e" "r" 1; "c" "h" "i" "n" "x" 1; "d" "b" "c" "h" "x" 1; "e" "m" 1;
"a" "b" 2; "b" "d" "e" "r" 1; "c" "h" "i" "n" "x" 1; "d" "b" "c" "h" "x" 1; "e" "m" 1;
"a" "b" 2; "b" "d" "e" "g" "r" 1; "c" "h" "i" "n" "x" 1; "d" "b" "c" "h" "x" 1; "e" "m" 1;
"a" "b" 2; "b" "d" "e" "g" "j" "r" 1; "c" "f" "h" "i" "n" "x" 1; "d" "b" "c" "h" "x" 1; "e" "m" 1;
"a" "b" 2; "b" "d" "e" "g" "j" "r" 1; "c" "f" "h" "i" "n" "x" 1; "d" "b" "c" "h" "x" 1; "e" "m" 1;
"a" "b" 2; "b" "d" "e" "g" "j" "r" 1; "c" "f" "h" "i" "n" "x" 1; "d" "b" "c" "h" "x" 1; "e" "m" 1;
"a" "b" 2; "b" "d" "e" "g" "j" "r" 1; "c" "f" "h" "i" "n" "x" 1; "d" "b" "c" "h" "x" 1; "e" "m" 1;
"a" "b" 2; "b" "d" "e" "g" "j" "r" 1; "c" "f" "h" "i" "n" "x" 1; "d" "b" "c" "h" "x" 1; "e" "m" 1;
"a" "b" 2; "b" "d" "e" "g" "j" "r" 1; "c" "f" "h" "i" "n" "x" 1; "d" "b" "c" "h" "x" 1; "e" "m" 1;
"a" "b" 2; "b" "e" "h" 2; "c" "a" "f" "h" "i" "n" "x" 1; "d" "b" "c" "h" "x" 1; "e" "m" 1;
"a" "b" 2; "b" "e" "h" 2; "c" "a" "f" "h" "i" "n" "x" 1; "d" "b" "c" "h" "x" 1; "e" "m" 1;
"a" "b" 2; "b" "e" "h" 2; "c" "a" "f" "h" "i" "n" "x" 1; "d" "b" "c" "h" "x" 1; "e" "m" 1;
"a" "b" 2; "b" "e" "h" 2; "c" "a" "f" "h" "i" "n" "x" 1; "d" "b" "c" "h" "x" 1; "e" "m" 1;
"a" "b" 2; "b" "e" "h" 2; "c" "a" "f" "h" "i" "n" "x" 1; "d" "b" "c" "h" "x" 1; "e" "m" 1;
"a" "b" 2; "b" "e" "h" 2; "c" "a" "f" "h" "i" "n" "x" 1; "d" "b" "c" "h" "x" 1; "e" "m" 1;
"a" "b" 2; "b" "e" "h" 2; "c" "a" "f" "h" "i" "n" "x" 1; "d" "b" "c" "h" "x" "y" 1; "e" "m" 1;
"a" "b" 2; "b" "e" "h" 2; "c" "a" "f" "h" "i" "n" "x" 1; "d" "b" "c" "h" "x" "y" 1; "e" "m" 1;
"a" "b" 2; "b" "e" "h" 2; "c" "a" "f" "h" "i" "n" "x" 1; "d" "b" "c" "h" "x" "y" 1; "e" "m" 1;
"a" "b" 2; "b" "e" "h" 2; "c" "a" "f" "h" "i" "n" "p" "x" 1; "d" "b" "c" "h" "x" "y" 1; "e" "m" 1;
"a" "b" 2; "b" "e" "h" 2; "c" "a" "f" "h" "i" "n" "p" "x" 1; "d" "b" "c" "h" "x" "y" 1; "e" "m" 1;
"a" "b" 2; "b" "e" "h" 2; "c" "a" "f" "h" "i" "n" "p" "x" 1; "d" "b" "c" "h" "x" "y" 1; "e" "m" 1;
"a" "b" 2; "b" "e" "h" 2; "c" "a" "f" "h" "i" "n" "p" "x" 1; "d" "b" "c" "h" "x" "y" 1; "e" "m" 1;
"a" "b" 2; "b" "e" "h" 2; "c" "a" "f" "h" "i" "n" "p" "x" 1; "d" "b" "c" "d" "h" "x" "y" 1; "e" "m" "y" 1;
"a" "b" 2; "b" "e" "h" 2; "c" "a" "f" "h" "i" "n" "p" "x" 1; "d" "b" "c" "d" "h" "x" "y" 1; "e" "m" "y" 1;
"a" "b" "k" 2; "b" "e" "h" "r" 2; "c" "a" "f" "h" "i" "n" "p" "x" 1; "d" "b" "c" "d" "h" "x" "y" 1; "e" "m" "y" 1;
"a" "b" "k" 2; "b" "e" "g" "h" "r" 2; "c" "a" "f" "h" "i" "n" "p" "x" 1; "d" "b" "c" "d" "h" "x" "y" 1; "e" "m" "y" 1;
"a" "k" 3; "b" "e" "g" "h" "r" 2; "c" "p" 2; "d" "b" "c" "d" "h" "t" "u" "x" "y" 1; "e" "m" "y" 1;
"a" "k" 3; "b" "e" "g" "h" "r" 2; "c" "p" 2; "d" "b" "c" "d" "h" "t" "u" "x" "y" 1; "e" "m" "y" 1;
"a" "k" 3; "b" "e" "g" "h" "r" 2; "c" "p" 2; "d" "b" "c" "d" "h" "t" "u" "x" "y" 1; "e" "m" "y" 1;
"a" "k" 3; "b" "e" "g" "h" "r" 2; "c" "p" 2; "d" "b" "c" "d" "h" "t" "u" "x" "y" 1; "e" "m" "y" 1;
"a" "k" 3; "b" "e" "g" "h" "r" 2; "c" "p" 2; "d" "b" "c" "d" "h" "t" "u" "x" "y" 1; "e" "m" "y" 1;
