none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"a" "b" 1; "b" "m" 1;
"a" "b" 1; "b" "m" 1;
"a" "b" 1; "b" "m" 1; "d" "s" 1;
"a" "b" 1; "b" "m" 1; "d" "s" 1;
"a" "b" 1; "b" "m" 1; "d" "s" 1;
"a" "b" 1; "b" "c" "m" 1; "c" "h" 1; "d" "s" 1;
"a" "b" 1; "b" "c" "m" 1; "c" "h" 1; "d" "s" 1;
"a" "b" 1; "b" "c" "m" 1; "c" "h" 1; "d" "s" 1;
"a" "b" 1; "b" "c" "m" 1; "c" "h" "w" 1; "d" "s" 1;
"a" "b" 1; "b" "c" "m" 1; "c" "h" "w" 1; "d" "s" 1;
"a" "b" 1; "b" "c" "m" 1; "c" "h" "w" 1; "d" "s" 1;
"a" "b" "m" 1; "b" "c" "m" 1; "c" "h" "w" 1; "d" "s" 1;
"a" "b" "m" 1; "b" "c" "m" 1; "c" "h" "w" 1; "d" "s" 1;
"a" "b" "m" 1; "b" "c" "m" 1; "c" "h" "w" 1; "d" "s" 1;
"a" "b" "m" 1; "b" "c" "m" 1; "c" "h" "s" "w" 1; "d" "s" 1; "e" "j" 1;
"a" "b" "m" 1; "b" "c" 2; "c" "h" "s" "w" 1; "d" "s" 1; "e" "j" 1;
"a" "b" "m" "s" 1; "b" "c" 2; "c" "h" "s" "w" 1; "d" "s" 1; "e" "j" 1;
"a" "b" "m" "s" 1; "b" "c" 2; "c" "h" "s" "w" 1; "d" "s" 1; "e" "j" 1;
"a" "b" "m" "s" 1; "b" "c" 2; "c" "h" "s" "w" 1; "d" "s" "z" 1; "e" "j" 1;
"a" "b" "m" "s" 1; "b" "c" 2; "c" "h" "s" "w" 1; "d" "s" "z" 1; "e" "j" 1;
"a" "b" "m" "s" 1; "b" "c" 2; "c" "h" "s" "w" 1; "d" "s" "z" 1; "e" "j" 1;
"a" "b" "m" "s" 1; "b" "c" 2; "c" "h" "s" "w" 1; "d" "e" "s" "z" 1; "e" "h" "j" 1;
"a" "b" "m" "s" 1; "b" "c" 2; "c" "h" "s" "w" 1; "d" "e" "s" "z" 1; "e" "h" "j" 1;
"a" "b" "m" "s" 1; "b" "c" 2; "c" "h" "s" "w" 1; "d" "e" "s" "z" 1; "e" "h" "j" 1;
"a" "b" "m" "s" 1; "b" "c" 2; "c" "h" "s" "w" 1; "d" "e" "s" "z" 1; "e" "h" "j" 1;
"a" "b" "m" "s" 1; "b" "c" 2; "c" "h" "k" "s" "w" 1; "d" "e" "s" "z" 1; "e" "h" "j" 1;
"a" "b" "m" "s" 1; "b" "c" 2; "c" "h" "k" "s" "w" 1; "d" "e" "p" "s" "z" 1; "e" "h" "j" 1;
"a" "b" "m" "s" 1; "b" "c" 2; "c" "h" "k" "s" "w" 1; "d" "e" "p" "s" "z" 1; "e" "h" 2;
"a" "b" "m" "s" 1; "b" "c" 2; "c" "h" "k" "s" "w" 1; "d" "e" "p" "s" "z" 1; "e" "h" 2;
"a" "b" "h" "m" "s" 1; "b" "c" 2; "c" "h" "k" "s" "w" 1; "d" "e" "p" "s" "z" 1; "e" "h" 2;
"a" "b" "h" "m" "s" 1; "b" "c" 2; "c" "h" "k" "s" "w" 1; "d" "e" "p" "s" "z" 1; "e" "h" 2;
"a" "b" "h" "m" "s" 1; "b" "c" 2; "c" "h" "k" "s" "w" 1; "d" "e" "p" "s" "z" 1; "e" "h" 2;
"a" "b" "h" "m" "s" 1; "b" "c" 2; "c" "h" "k" "s" "w" 1; "d" "e" "p" "s" "z" 1; "e" "h" 3;
"a" "b" "h" "m" "s" 1; "b" "c" 2; "c" "h" "k" "q" "s" "w" 1; "d" "e" "p" "s" "z" 1; "e" "h" 3;
"a" "b" "h" "m" "s" 1; "b" "c" 2; "c" "h" "k" "q" "s" "w" 1; "d" "e" "p" "s" "z" 1; "e" "h" 3;
"a" "b" "h" "m" "s" 1; "b" "c" 2; "c" "h" "k" "q" "s" "w" 1; "d" "e" "p" "s" "z" 1; "e" "h" 3;
"a" "b" "h" "m" "s" 1; "b" "c" 2; "c" "h" "k" "q" "s" "w" 1; "d" "e" "p" "s" "z" 1; "e" "h" 3;
"a" "b" "h" "m" "s" 1; "b" "c" 2; "c" "h" "k" "q" "s" "w" 1; "d" "e" "p" "s" "z" 1; "e" "h" 3;
"a" "b" "h" "m" "s" 1; "b" "c" 2; "c" "h" "k" "q" "s" "w" 1; "d" "e" "p" "s" "z" 1; "e" "h" 3;
"a" "b" "h" "m" "s" 1; "b" "c" 2; "c" "h" "k" "q" "s" "w" 1; "d" "p" 2; "e" "h" 3;
"a" "b" "h" "m" "s" 1; "b" "c" 2; "c" "h" "k" "q" "s" "w" 1; "d" "p" 2; "e" "h" 3;
"a" "b" "h" "m" "s" 1; "b" "c" 2; "c" "h" "k" "q" "s" "w" 1; "d" "p" 2; "e" "h" 3;
"a" "b" "h" "m" "s" 1; "b" "c" 2; "c" "h" "k" "q" "s" "w" 1; "d" "p" 2; "e" "h" 3;
"a" "b" "h" "m" "s" 1; "b" "c" 2; "c" "h" "k" "q" "s" "w" 1; "d" "p" 2; "e" "h" 3;
"a" "b" "h" "m" "s" 1; "b" "c" 2; "c" "h" "k" "q" "s" "w" 1; "d" "p" 2; "e" "h" 3;
"a" "b" "h" "m" "s" 1; "b" "c" 2; "c" "h" "k" "q" "s" "w" 1; "d" "p" 2; "e" "h" 3;
"a" "b" "h" "m" "p" "s" 1; "b" "c" 2; "c" "h" "k" "q" "s" "w" 1; "d" "p" 2; "e" "h" 3;
"a" "b" "h" "m" "p" "s" 1; "b" "c" 2; "c" "h" "i" "k" "q" "s" "w" 1; "d" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "c" 2; "c" "h" "i" "k" "q" "s" "w" 1; "d" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "c" 2; "c" "h" "i" "k" "q" "s" "w" 1; "d" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "c" 2; "c" "h" "i" "k" "q" "s" "w" 1; "d" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "c" 2; "c" "h" 2; "d" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "c" 2; "c" "h" 2; "d" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "c" 2; "c" "h" 2; "d" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "c" 2; "c" "h" 2; "d" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "c" 2; "c" "h" 2; "d" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "c" 2; "c" "h" 2; "d" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "c" 2; "c" "h" 3; "d" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "c" 2; "c" "h" 3; "d" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "b" "c" 2; "c" "h" 3; "d" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "b" "c" 2; "c" "h" 3; "d" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "j" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "j" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "j" "p" 2; "e" "h" 3;
