"e" "k" 1;
"e" "k" 1;
"e" "k" 1;
"e" "k" 1;
"e" "k" 1;
"e" "k" 1;
"b" "p" 1; "c" "a" 1; "e" "k" 1;
"b" "p" 1; "c" "a" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "u" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "u" 1; "d" "s" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "u" 1; "d" "s" "t" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "u" 1; "d" "s" "t" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "u" 1; "d" "s" "t" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "u" 1; "d" "s" "t" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "u" 1; "d" "s" "t" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "u" "y" 1; "d" "s" "t" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "u" "y" 1; "d" "s" "t" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "f" "u" "y" 1; "d" "s" "t" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "f" "u" "y" 1; "d" "s" "t" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "f" "u" "y" 1; "d" "s" "t" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "f" "u" "y" 1; "d" "t" 2; "e" "k" 1;
"b" "p" 1; "c" "a" "f" "u" "y" 1; "d" "t" 2; "e" "k" 1;
"b" "p" 1; "c" "a" "f" "s" "u" "y" 1; "d" "s" "t" 2; "e" "k" 1;
"a" "m" 1; "b" "p" 1; "c" "a" "f" "s" "u" "y" 1; "d" "s" "t" 2; "e" "k" 1;
"a" "m" 1; "b" "n" "p" 1; "c" "a" "f" "s" "u" "y" 1; "d" "s" "t" 2; "e" "k" 1;
"a" "m" 1; "b" "n" "p" 1; "c" "a" "f" "s" "u" "y" 1; "d" "s" "t" 2; "e" "k" 1;
"a" "m" 1; "b" "n" "p" 1; "c" "a" "f" "s" "u" "y" 1; "d" "s" "t" 2; "e" "k" 1;
"a" "m" 1; "b" "n" "p" 1; "c" "a" "f" "s" "u" "y" 1; "d" "s" "t" 2; "e" "k" 1;
"a" "m" 1; "b" "n" "p" 1; "c" "a" "f" "s" "u" "y" 1; "d" "s" "t" 2; "e" "k" 1;
"a" "m" 1; "b" "n" "p" 1; "c" "a" "f" "s" "u" "y" 1; "d" "s" "t" 2; "e" "k" 1;
"a" "m" 1; "b" "n" "p" "u" 1; "c" "a" "f" "s" "u" "y" 1; "d" "s" "t" 2; "e" "k" 1;
"a" "m" 1; "b" "n" "p" "u" 1; "c" "a" "f" "s" "u" "y" 1; "d" "s" "t" 2; "e" "k" 1;
"a" "m" 1; "b" "n" "p" "u" 1; "c" "a" "f" "s" "u" "y" 1; "d" "s" "t" 2; "e" "k" 1;
"a" "m" 1; "b" "n" "p" "u" 1; "c" "a" "f" "s" "u" "y" 1; "d" "s" "t" 2; "e" "k" 1;
"a" "m" 1; "b" "n" "p" "u" 1; "c" "a" "f" "s" "u" "y" 1; "d" "s" "t" 2; "e" "k" "t" 1;
"a" "m" 1; "b" "n" "p" "u" 1; "c" "a" "f" "s" "u" "y" 1; "d" "s" "t" 2; "e" "k" "t" 1;
"a" "m" 1; "b" "n" "p" "u" 1; "c" "a" "f" "s" "u" "y" 1; "d" "s" "t" 2; "e" "k" "t" 1;
"a" "m" 1; "b" "n" "p" "u" 1; "c" "a" "f" "s" "u" "y" 1; "d" "s" "t" 2; "e" "k" "t" 1;
"a" "m" 1; "b" "i" "n" "p" "t" "u" "v" 1; "c" "a" "f" "s" "u" "y" 1; "d" "s" "t" 2; "e" "k" "t" 1;
"a" "m" 1; "b" "i" "p" 2; "c" "a" "f" "s" "u" "y" 1; "d" "t" 3; "e" "k" "t" 1;
"a" "m" 1; "b" "i" "p" 2; "c" "a" "f" "s" "u" "y" 1; "d" "t" 3; "e" "k" "t" 1;
"a" "m" 1; "b" "i" "p" 2; "c" "a" "f" "s" "u" "y" 1; "d" "t" 3; "e" "k" "t" 1;
"a" "m" 1; "b" "i" "p" 2; "c" "a" "f" "s" "u" "y" 1; "d" "t" 3; "e" "k" "t" 1;
"a" "m" 1; "b" "i" "p" 2; "c" "a" "f" "s" "u" "y" 1; "d" "t" 3; "e" "k" "t" 1;
"a" "m" 1; "b" "i" "p" 2; "c" "a" "f" "s" "u" "y" 1; "d" "t" 3; "e" "k" "t" 1;
"a" "m" 1; "b" "i" "p" 2; "c" "a" "f" "s" "u" "y" 1; "d" "t" 3; "e" "g" "k" "t" 1;
"a" "m" 1; "b" "i" "p" 2; "c" "a" "f" "s" "u" "y" 1; "d" "t" 3; "e" "g" "k" "t" 1;
"a" "m" 1; "b" "i" "p" 2; "c" "a" "f" "s" "u" "y" 1; "d" "t" 3; "e" "g" "k" "t" 1;
"a" "m" 1; "b" "i" "p" 2; "c" "a" "f" "s" "u" "y" 1; "d" "t" 3; "e" "g" "k" "t" 1;
"a" "m" 1; "b" "i" "p" 2; "c" "a" "f" "s" "u" "y" 1; "d" "t" 3; "e" "g" "k" "t" 1;
"a" "m" 1; "b" "i" "p" 2; "c" "a" "e" "f" "s" "u" "y" 1; "d" "t" 3; "e" "g" "k" "t" 1;
"a" "m" 1; "b" "i" "p" 2; "c" "a" "e" "f" "s" "u" "y" 1; "d" "t" 3; "e" "g" "k" "t" 1;
"a" "m" 1; "b" "i" "p" 2; "c" "a" "e" "f" "s" "u" "y" 1; "d" "t" 3; "e" "g" "k" "t" 1;
"a" "m" 1; "b" "i" "p" 2; "c" "a" "e" "f" "s" "u" "y" 1; "d" "t" 3; "e" "g" "k" "t" 1;
"a" "m" 1; "b" "i" "p" 2; "c" "a" "e" "f" "p" "s" "u" "y" 1; "d" "t" 4; "e" "g" "k" "t" 1;
"a" "m" "r" 1; "b" "i" "p" 2; "c" "a" "e" "f" "p" "s" "u" "y" 1; "d" "t" 4; "e" "g" "k" "t" 1;
