none
none
none
none
none
none
none
none
none
none
none
none
"a" "p" 1;
"a" "p" 1;
"a" "p" 1;
"a" "p" 1;
"a" "p" 1;
"a" "p" 1; "c" "b" 1;
"a" "p" 1; "c" "b" 1;
"a" "p" 1; "c" "b" 1;
"a" "p" 1; "c" "b" 1;
"a" "p" 1; "c" "b" 1;
"a" "p" 1; "c" "b" 1;
"a" "p" 1; "c" "b" 1;
"a" "p" 1; "c" "b" 1;
"a" "p" 1; "c" "b" 1;
"a" "p" 1; "b" "j" 1; "c" "b" 1;
"a" "p" 1; "b" "j" 1; "c" "b" 1;
"a" "p" 1; "b" "j" 1; "c" "b" 1;
"a" "p" 1; "b" "j" 1; "c" "b" 1;
"a" "p" 1; "b" "j" 1; "c" "b" 1;
"a" "p" 1; "b" "j" 1; "c" "b" 1;
"a" "p" 1; "b" "j" 1; "c" "b" 1;
"a" "p" 1; "b" "c" "j" 1; "c" "b" 1;
"a" "p" 1; "b" "c" "j" 1; "c" "b" 1;
"a" "p" 1; "b" "c" "j" 1; "c" "b" 1; "d" "l" 1;
"a" "p" 1; "b" "c" "j" 1; "c" "b" 1; "d" "l" 1;
"a" "p" 1; "b" "c" "j" "l" 1; "c" "b" 1; "d" "l" 1;
"a" "p" 1; "b" "c" "j" "l" 1; "c" "b" 1; "d" "l" 1;
"a" "p" 1; "b" "c" "j" "l" 1; "c" "b" 1; "d" "l" 1;
"a" "p" 1; "b" "c" "j" "k" "l" 1; "c" "b" "i" "z" 1; "d" "e" "l" 1; "e" "p" 1;
"a" "p" 1; "b" "c" "j" "k" "l" 1; "c" "b" "i" "z" 1; "d" "e" "l" 1; "e" "p" 1;
"a" "p" 1; "b" "c" "j" "k" "l" 1; "c" "b" "i" "z" 1; "d" "e" "l" 1; "e" "p" 1;
"a" "p" 1; "b" "c" "j" "k" "l" 1; "c" "b" "i" "z" 1; "d" "e" "l" 1; "e" "p" 1;
"a" "p" "q" 1; "b" "c" "j" "k" "l" 1; "c" "b" "i" "z" 1; "d" "e" "l" 1; "e" "i" "p" "z" 1;
"a" "p" "q" 1; "b" "c" "j" "k" "l" 1; "c" "b" "i" "z" 1; "d" "e" "l" 1; "e" "i" "p" "z" 1;
"a" "p" "q" 1; "b" "c" "j" "k" "l" 1; "c" "b" "i" "z" 1; "d" "e" "l" 1; "e" "i" "p" "z" 1;
"a" "p" "q" 1; "b" "c" "j" "k" "l" 1; "c" "b" "i" "z" 1; "d" "e" "l" 1; "e" "i" "p" "z" 1;
"a" "p" "q" 1; "b" "c" "j" "k" "l" 1; "c" "b" "i" "z" 1; "d" "e" "l" 1; "e" "i" "p" "z" 1;
"a" "d" "p" "q" 1; "b" "c" "j" "k" "l" 1; "c" "b" "i" "z" 1; "d" "e" "l" 1; "e" "i" "p" "z" 1;
