none
none
none
none
none
none
"b" "h" 1;
"b" "h" 1; "d" "r" 1;
"b" "h" 1; "d" "r" 1;
"b" "h" 1; "d" "r" 1;
"b" "h" 1; "d" "r" 1;
"b" "h" 1; "d" "r" 1;
"b" "h" 1; "d" "r" 1;
"b" "h" 1; "d" "r" 1;
"b" "h" 1; "d" "r" 1;
"b" "h" 1; "d" "r" 1;
"b" "h" 1; "d" "r" 1;
"b" "h" 1; "d" "r" 1; "e" "d" 1;
"b" "h" 1; "d" "r" 1; "e" "d" 1;
"b" "h" 1; "d" "r" 1; "e" "d" 1;
"b" "h" 1; "d" "r" 1; "e" "d" 1;
"b" "h" 1; "d" "r" 1; "e" "d" 1;
"b" "h" 1; "d" "r" 1; "e" "d" 1;
"b" "h" 1; "d" "r" 1; "e" "d" 1;
"b" "h" 1; "d" "h" "r" 1; "e" "d" "t" 1;
"b" "h" 1; "d" "h" "r" 1; "e" "d" "t" 1;
"b" "h" 1; "d" "h" "r" 1; "e" "d" "t" 1;
"b" "h" 1; "d" "h" "r" 1; "e" "d" "k" "t" "x" 1;
"b" "h" 1; "d" "h" "r" 1; "e" "d" "k" "t" "x" 1;
"b" "h" "k" 1; "c" "h" 1; "d" "h" "r" 1; "e" "d" "k" "t" "x" 1;
"b" "f" "h" "k" 1; "c" "h" 1; "d" "h" "r" 1; "e" "d" "k" "m" "t" "x" 1;
"b" "f" "h" "k" 1; "c" "h" 1; "d" "h" "r" 1; "e" "d" "k" "m" "t" "x" 1;
"b" "f" "h" "k" 1; "c" "h" 1; "d" "h" "r" 1; "e" "d" "k" "m" "t" "x" 1;
"b" "f" "h" "k" 1; "c" "h" 1; "d" "h" "r" 1; "e" "d" "k" "m" "t" "x" 1;
"b" "f" "h" "k" 1; "c" "h" "y" 1; "d" "h" "r" 1; "e" "d" "k" "m" "t" "x" 1;
"b" "f" "h" "k" 1; "c" "h" "y" 1; "d" "r" 2; "e" "d" "k" "m" "t" "x" 1;
"b" "c" "f" "h" "k" 1; "c" "h" "y" 1; "d" "r" 2; "e" "d" "k" "m" "t" "x" 1;
"b" "h" 2; "c" "g" "h" "y" 1; "d" "r" 2; "e" "d" "k" "m" "t" "x" 1;
"b" "h" 2; "c" "g" "h" "y" 1; "d" "r" 2; "e" "m" 2;
"b" "h" 2; "c" "g" "h" "y" 1; "d" "r" 2; "e" "m" 2;
"b" "h" 2; "c" "g" "h" "y" 1; "d" "r" 2; "e" "m" 2;
"b" "h" 2; "c" "g" "h" "y" 1; "d" "r" 2; "e" "m" 2;
"b" "h" 2; "c" "g" "h" "y" 1; "d" "r" 2; "e" "m" 2;
"b" "h" 2; "c" "g" "h" "y" 1; "d" "r" 2; "e" "m" 2;
"b" "h" 2; "c" "g" "h" "s" "y" 1; "d" "r" 2; "e" "m" 2;
"b" "h" 2; "c" "g" "h" "s" "y" 1; "d" "r" 2; "e" "m" "t" 2;
"b" "h" 2; "c" "g" "h" "s" "y" 1; "d" "r" 2; "e" "m" "t" 2;
"b" "h" 2; "c" "g" "h" "s" "y" 1; "d" "r" 2; "e" "m" "t" 2;
"b" "h" 2; "c" "g" "h" "s" "y" 1; "d" "r" 2; "e" "m" "t" 2;
"b" "h" 2; "c" "g" "h" "l" "s" "y" 1; "d" "r" 2; "e" "m" "t" 2;
"b" "h" 2; "c" "g" "h" "l" "s" "y" 1; "d" "r" 2; "e" "m" "t" 2;
"b" "h" 2; "c" "g" "h" "l" "s" "y" 1; "d" "r" 2; "e" "m" "t" 2;
"b" "h" 2; "c" "g" "h" "l" "s" "y" 1; "d" "r" 2; "e" "m" "t" 2;
"b" "h" 2; "c" "s" 2; "d" "r" 2; "e" "m" "t" 2;
"a" "s" 1; "b" "h" 2; "c" "s" 2; "d" "r" 2; "e" "m" "t" 2;
"a" "q" "s" 1; "b" "h" 2; "c" "s" 2; "d" "r" 2; "e" "m" "t" 2;
"a" "q" "s" 1; "b" "h" 2; "c" "s" 2; "d" "r" 2; "e" "m" "t" 2;
"a" "q" "s" 1; "b" "h" 2; "c" "s" 2; "d" "r" 2; "e" "m" "t" 2;
"a" "q" "s" 1; "b" "h" 2; "c" "s" 2; "d" "r" 2; "e" "m" "t" 2;
"a" "q" "s" 1; "b" "h" 2; "c" "s" 2; "d" "r" 2; "e" "m" "t" 2;
"a" "q" "s" 1; "b" "h" 2; "c" "s" 2; "d" "r" 2; "e" "m" "t" 2;
"a" "q" "s" 1; "b" "h" 2; "c" "s" 2; "d" "r" 2; "e" "m" "p" "t" 2;
"a" "b" "j" "q" "s" 1; "b" "h" 2; "c" "s" 2; "d" "r" 2; "e" "m" "p" "t" 2;
"a" "b" "j" "q" "s" 1; "b" "h" 2; "c" "s" 2; "d" "r" 2; "e" "m" "p" "t" 2;
"a" "b" "j" "q" "s" 1; "b" "h" 2; "c" "s" 2; "d" "r" 2; "e" "m" "p" "t" 2;
"a" "b" "j" "q" "s" 1; "b" "h" 2; "c" "s" 2; "d" "r" 2; "e" "m" "p" "t" 2;
"a" "b" "j" "q" "s" "t" 1; "b" "f" "h" 2; "c" "s" 2; "d" "r" 2; "e" "m" "p" "t" 2;
"a" "b" "j" "q" "s" "t" 1; "b" "f" "h" 2; "c" "s" 2; "d" "r" 2; "e" "m" "p" "t" 2;
"a" "b" "j" "q" "s" "t" 1; "b" "f" "h" 2; "c" "s" 2; "d" "r" 2; "e" "m" "p" "t" 2;
"a" "b" "h" "j" "q" "s" "t" 1; "b" "f" "h" 2; "c" "l" "s" 2; "d" "r" 2; "e" "m" "p" "t" 2;
"a" "b" "h" "j" "q" "s" "t" 1; "b" "f" "h" 2; "c" "l" "s" 2; "d" "r" 2; "e" "m" "p" "t" 2;
"a" "b" "e" "h" "j" "q" "s" "t" 1; "b" "f" "h" 2; "c" "l" "s" 2; "d" "r" 2; "e" "m" "p" "t" 2;
"a" "b" "e" "h" "j" "q" "s" "t" 1; "b" "f" "h" 2; "c" "l" "s" 2; "d" "r" 2; "e" "m" "p" "t" 2;
"a" "b" "e" "h" "j" "q" "s" "t" 1; "b" "f" "h" 2; "c" "l" "s" 2; "d" "r" 2; "e" "m" "p" "t" 2;
"a" "b" "e" "h" "j" "q" "s" "t" "u" 1; "b" "f" "h" 2; "c" "l" "s" 2; "d" "r" 2; "e" "m" "p" "t" 2;
"a" "b" "e" "h" "j" "q" "s" "t" "u" 1; "b" "f" "h" 2; "c" "l" "s" 2; "d" "r" 2; "e" "m" "p" "t" 2;
"a" "b" "e" "h" "j" "q" "s" "t" "u" 1; "b" "f" "h" 2; "c" "l" "s" 2; "d" "r" 2; "e" "m" "p" "t" 2;
"a" "b" "e" "h" "j" "q" "s" "t" "u" 1; "b" "f" "h" 2; "c" "l" "s" 2; "d" "r" 2; "e" "m" "p" "t" 2;
"a" "b" "e" "h" "j" "q" "s" "t" "u" 1; "b" "f" "h" 2; "c" "l" "s" 2; "d" "r" 2; "e" "m" "p" "t" 2;
"a" "a" "b" "e" "h" "j" "q" "s" "t" "u" 1; "b" "f" "h" 2; "c" "l" "s" 2; "d" "r" 2; "e" "m" "p" "t" 2;
"a" "a" "b" "e" "h" "j" "q" "s" "t" "u" "y" 1; "b" "c" "f" "h" 2; "c" "l" "s" 2; "d" "r" 2; "e" "m" "p" "t" 2;
