none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"e" "w" 1;
"d" "j" 1; "e" "w" 1;
"b" "f" 1; "d" "j" 1; "e" "w" 1;
"b" "f" 1; "d" "j" 1; "e" "w" 1;
"b" "f" "v" 1; "d" "j" 1; "e" "w" 1;
"b" "f" "v" 1; "d" "j" 1; "e" "w" 1;
"b" "f" "v" 1; "d" "j" 1; "e" "w" 1;
"b" "f" "v" 1; "d" "j" 1; "e" "w" 1;
"b" "f" "v" 1; "d" "j" 1; "e" "w" 1;
"b" "f" "v" 1; "d" "j" 1; "e" "w" 1;
"b" "f" "v" 1; "d" "j" 1; "e" "w" 1;
"b" "f" "v" 1; "d" "j" 1; "e" "w" 1;
"b" "f" 2; "d" "j" 1; "e" "w" 1;
"a" "b" 1; "b" "f" 2; "d" "j" 1; "e" "w" 1;
"a" "b" 1; "b" "f" 2; "d" "j" 1; "e" "w" 1;
"a" "b" 1; "b" "f" 2; "d" "j" 1; "e" "w" 1;
"a" "b" 1; "b" "f" 2; "c" "b" 1; "d" "j" 1; "e" "w" 1;
"a" "b" 1; "b" "f" 2; "c" "b" 1; "d" "j" 1; "e" "w" 1;
"a" "b" 1; "b" "f" 2; "c" "b" "u" 1; "d" "j" 1; "e" "w" 1;
"a" "b" 1; "b" "f" 2; "c" "b" "u" 1; "d" "j" 1; "e" "w" 1;
"a" "b" 1; "b" "f" 2; "c" "b" "u" 1; "d" "g" "j" 1; "e" "w" 1;
"a" "b" 1; "b" "f" 2; "c" "b" "u" 1; "d" "g" "j" 1; "e" "w" 1;
"a" "b" 1; "b" "f" 2; "c" "b" "u" 1; "d" "g" "j" 1; "e" "w" 1;
"a" "b" "u" 1; "b" "f" 2; "c" "b" "u" 1; "d" "g" "j" 1; "e" "w" 1;
"a" "b" "u" 1; "b" "f" "v" 2; "c" "b" "u" 1; "d" "g" "j" 1; "e" "w" 1;
"a" "b" "u" 1; "b" "f" "v" 2; "c" "b" "u" 1; "d" "g" "j" 1; "e" "w" 1;
"a" "u" 2; "b" "f" "v" 2; "c" "b" "u" 1; "d" "g" "j" 1; "e" "w" 1;
"a" "u" 2; "b" "f" "v" 2; "c" "b" "u" 1; "d" "g" "j" 1; "e" "w" 1;
"a" "u" 2; "b" "f" "v" 2; "c" "b" "u" 1; "d" "g" "j" 1; "e" "g" "w" 1;
"a" "u" 2; "b" "f" "v" 2; "c" "b" "u" 1; "d" "g" "j" 1; "e" "g" "w" 1;
"a" "u" 2; "b" "f" "v" 2; "c" "b" "d" "u" 1; "d" "g" "j" 1; "e" "g" "w" 1;
"a" "u" 2; "b" "f" "v" 2; "c" "b" "d" "u" 1; "d" "g" "j" 1; "e" "g" "w" 1;
"a" "u" 2; "b" "f" "v" 2; "c" "b" "d" "u" 1; "d" "g" "j" 1; "e" "g" "w" 1;
"a" "u" 2; "b" "f" "v" 2; "c" "b" "d" "u" 1; "d" "g" "j" 1; "e" "g" "w" 1;
"a" "u" 2; "b" "f" "v" 2; "c" "b" "d" "u" 1; "d" "g" "j" 1; "e" "g" "w" 1;
"a" "u" 2; "b" "f" "v" 2; "c" "b" "d" "s" "u" 1; "d" "g" "j" "o" 1; "e" "g" "w" 1;
"a" "u" 2; "b" "f" "v" 2; "c" "b" "d" "s" "u" 1; "d" "g" "j" "o" 1; "e" "g" "w" 1;
"a" "u" 2; "b" "f" "v" 2; "c" "b" "d" "i" "s" "u" 1; "d" "c" "g" "j" "o" 1; "e" "g" "w" 1;
"a" "u" 2; "b" "f" "v" 2; "c" "b" "d" "i" "s" "u" 1; "d" "c" "g" "j" "o" 1; "e" "g" "w" 1;
"a" "u" 2; "b" "f" "v" 2; "c" "b" "d" "h" "i" "s" "u" 1; "d" "c" "g" "j" "o" 1; "e" "g" "w" 1;
"a" "u" 2; "b" "f" "v" 2; "c" "b" "d" "h" "i" "s" "u" 1; "d" "c" "g" "j" "o" 1; "e" "g" "w" 1;
"a" "u" 2; "b" "f" "v" 2; "c" "b" "d" "h" "i" "s" "u" 1; "d" "c" "g" "j" "o" 1; "e" "g" "w" 1;
"a" "u" 2; "b" "f" "v" 2; "c" "b" "d" "h" "i" "s" "u" 1; "d" "c" "g" "j" "o" 1; "e" "g" "w" 1;
"a" "u" 2; "b" "f" "v" 2; "c" "b" "d" "h" "i" "l" "s" "u" 1; "d" "c" "g" "j" "o" 1; "e" "g" "p" "w" 1;
"a" "u" 2; "b" "f" "v" 2; "c" "b" "d" "h" "i" "l" "s" "u" 1; "d" "c" "g" "j" "o" 1; "e" "g" "p" "w" 1;
"a" "u" 2; "b" "f" "v" 2; "c" "b" "d" "h" "i" "l" "s" "u" 1; "d" "c" "g" "j" "o" 1; "e" "g" "p" "w" 1;
"a" "u" 2; "b" "f" "v" 2; "c" "b" "d" "h" "i" "l" "s" "u" 1; "d" "c" "g" "j" "o" 1; "e" "g" "p" "w" 1;
"a" "u" 2; "b" "f" "v" 2; "c" "b" "d" "h" "i" "l" "s" "u" 1; "d" "c" "g" "j" "o" 1; "e" "g" "p" "v" "w" 1;
"a" "u" 2; "b" "f" "v" 2; "c" "b" "d" "h" "i" "l" "s" "u" 1; "d" "c" "g" "j" "o" 1; "e" "d" "g" "p" "v" "w" 1;
"a" "u" 2; "b" "f" "v" 2; "c" "u" 2; "d" "c" "g" "j" "o" 1; "e" "d" "g" "p" "v" "w" 1;
