none
none
none
none
none
none
none
"e" "u" 1;
"e" "u" 1;
"e" "u" 1;
"c" "u" 1; "e" "u" 1;
"c" "u" 1; "e" "u" 1;
"c" "u" 1; "e" "u" 1;
"c" "u" 1; "e" "u" 1;
"c" "u" 1; "e" "u" 1;
"c" "u" 1; "e" "u" 1;
"b" "r" 1; "c" "u" 1; "e" "u" 1;
"b" "r" 1; "c" "u" 1; "e" "u" 1;
"b" "r" 1; "c" "u" 1; "e" "u" 1;
"a" "k" 1; "b" "r" 1; "c" "u" 1; "e" "u" 1;
"a" "k" 1; "b" "r" 1; "c" "u" 1; "e" "u" 1;
"a" "k" "p" 1; "b" "r" 1; "c" "u" 1; "e" "u" "x" 1;
"a" "k" "p" 1; "b" "r" 1; "c" "u" 1; "e" "x" 2;
"a" "k" "p" 1; "b" "r" 1; "c" "u" 1; "e" "x" 2;
"a" "k" "p" 1; "b" "r" 1; "c" "u" 1; "e" "x" 2;
"a" "k" "p" 1; "b" "r" 1; "c" "u" 1; "e" "x" 2;
"a" "k" 2; "b" "r" 1; "c" "u" 1; "e" "x" 2;
"a" "k" 2; "b" "r" "y" 1; "c" "u" 1; "e" "x" 2;
"a" "k" 2; "b" "r" "y" 1; "c" "u" 1; "e" "x" 2;
"a" "k" 2; "b" "r" "y" 1; "c" "u" 1; "e" "x" 2;
"a" "k" 2; "b" "r" "y" 1; "c" "u" 1; "e" "x" 2;
"a" "k" 2; "b" "r" "y" 1; "c" "u" 1; "e" "x" 2;
"a" "k" 2; "b" "r" "y" 1; "c" "u" 1; "e" "x" 2;
"a" "k" 2; "b" "r" "y" 1; "c" "u" 1; "e" "x" 2;
"a" "k" 2; "b" "r" "y" 1; "c" "b" "u" 1; "e" "x" 2;
"a" "k" 2; "b" "r" "y" 1; "c" "b" "u" 1; "e" "x" 2;
"a" "f" "k" 2; "b" "r" "y" 1; "c" "u" 2; "e" "x" 2;
"a" "f" "k" 2; "b" "g" "r" "y" 1; "c" "u" 2; "d" "v" 1; "e" "x" 2;
"a" "f" "k" 2; "b" "g" "r" "y" 1; "c" "u" 2; "d" "v" 1; "e" "x" 2;
"a" "f" "k" 2; "b" "g" "r" "y" 1; "c" "u" 2; "d" "v" 1; "e" "x" 2;
"a" "f" "k" 2; "b" "g" "r" "y" 1; "c" "u" 2; "d" "v" 1; "e" "x" 2;
"a" "k" 3; "b" "g" "r" "y" 1; "c" "u" 2; "d" "r" "v" 1; "e" "x" 2;
"a" "k" 3; "b" "g" "i" "r" "y" 1; "c" "u" 2; "d" "r" "v" 1; "e" "x" 2;
"a" "k" 3; "b" "g" "i" "r" "y" 1; "c" "u" 2; "d" "r" "v" 1; "e" "x" 2;
"a" "k" 3; "b" "b" "g" "i" "r" "y" 1; "c" "u" 2; "d" "v" 2; "e" "x" 2;
"a" "k" 3; "b" "b" "g" "i" "r" "y" 1; "c" "u" 2; "d" "v" 2; "e" "x" 2;
"a" "k" 3; "b" "b" "g" "i" "r" "y" 1; "c" "u" 2; "d" "v" 2; "e" "x" 2;
"a" "k" 3; "b" "b" "g" "i" "r" "y" 1; "c" "u" 2; "d" "v" 2; "e" "x" 2;
"a" "k" 3; "b" "b" "g" "i" "r" "y" 1; "c" "u" 2; "d" "v" 2; "e" "x" 2;
"a" "k" 3; "b" "b" "g" "i" "r" "y" 1; "c" "u" 2; "d" "v" 2; "e" "x" 2;
"a" "k" 3; "b" "b" "g" "i" "r" "y" 1; "c" "u" 2; "d" "v" 2; "e" "x" 2;
"a" "k" 3; "b" "b" "g" "i" "r" "y" 1; "c" "u" 2; "d" "v" 2; "e" "x" 2;
"a" "k" 3; "b" "b" "g" "i" "r" "y" 1; "c" "u" 2; "d" "v" 2; "e" "x" 2;
"a" "k" 3; "b" "b" "g" "i" "r" "y" 1; "c" "u" 2; "d" "v" 2; "e" "x" 2;
"a" "k" 3; "b" "b" "g" "i" "r" "y" 1; "c" "u" 2; "d" "v" 2; "e" "x" 2;
"a" "k" 3; "b" "b" "g" "i" "r" "y" 1; "c" "u" 2; "d" "v" 2; "e" "x" 2;
"a" "k" 3; "b" "b" "g" "i" "n" "r" "y" 1; "c" "u" 2; "d" "v" 2; "e" "x" 2;
"a" "k" 3; "b" "b" "g" "i" "n" "r" "y" 1; "c" "u" 2; "d" "v" 2; "e" "x" 2;
"a" "k" 3; "b" "b" "g" "i" "n" "r" "y" 1; "c" "u" 2; "d" "v" 2; "e" "x" 2;
"a" "k" 3; "b" "b" "g" "i" "n" "r" "y" 1; "c" "u" 2; "d" "v" 2; "e" "u" "x" 2;
"a" "k" 3; "b" "b" "g" "i" "n" "r" "y" 1; "c" "u" 2; "d" "v" 2; "e" "u" "x" 2;
"a" "k" 3; "b" "b" "g" "i" "n" "r" "y" 1; "c" "u" 2; "d" "v" 2; "e" "u" "x" 2;
"a" "k" 3; "b" "b" "g" "i" "n" "r" "y" 1; "c" "u" 2; "d" "v" 2; "e" "u" "x" 2;
"a" "k" 3; "b" "b" "g" "i" "j" "n" "r" "s" "y" 1; "c" "u" 2; "d" "v" 2; "e" "u" "x" 2;
"a" "k" 3; "b" "b" "g" "i" "j" "l" "n" "r" "s" "y" 1; "c" "u" 2; "d" "v" 2; "e" "u" "x" 2;
"a" "k" 3; "b" "b" "g" "i" "j" "l" "n" "r" "s" "y" 1; "c" "u" 2; "d" "v" 2; "e" "u" "x" 2;
"a" "k" 3; "b" "b" "g" "i" "j" "l" "n" "r" "s" "y" 1; "c" "u" 2; "d" "v" 2; "e" "u" "x" 2;
"a" "k" 3; "b" "b" "g" "i" "j" "l" "n" "r" "s" "y" 1; "c" "u" 2; "d" "v" 2; "e" "u" "x" 2;
"a" "k" 3; "b" "b" "g" "i" "j" "l" "n" "r" "s" "y" 1; "c" "u" 2; "d" "v" 2; "e" "u" "x" 2;
"a" "k" 3; "b" "b" "g" "i" "j" "l" "n" "r" "s" "y" 1; "c" "u" 2; "d" "v" 2; "e" "u" "x" 2;
"a" "k" 3; "b" "b" "g" "i" "j" "l" "n" "r" "s" "y" 1; "c" "u" 2; "d" "v" 2; "e" "u" "x" 2;
"a" "k" 3; "b" "b" "g" "i" "j" "l" "n" "r" "s" "y" 1; "c" "u" 2; "d" "v" 2; "e" "u" 3;
"a" "k" 3; "b" "b" "g" "i" "j" "l" "n" "r" "s" "y" 1; "c" "u" 2; "d" "v" 2; "e" "u" 3;
"a" "k" 3; "b" "b" "g" "i" "j" "l" "n" "r" "s" "y" 1; "c" "u" 2; "d" "v" 2; "e" "u" 3;
"a" "k" 3; "b" "b" "g" "i" "j" "l" "n" "r" "s" "y" 1; "c" "u" 2; "d" "v" 2; "e" "u" 3;
"a" "k" 3; "b" "b" "g" "i" "j" "l" "n" "r" "s" "y" 1; "c" "u" 2; "d" "v" 2; "e" "u" 3;
"a" "k" 3; "b" "b" "g" "i" "j" "l" "n" "r" "s" "y" 1; "c" "u" 2; "d" "v" 2; "e" "u" 3;
"a" "k" 3; "b" "b" "g" "i" "j" "l" "n" "r" "s" "y" 1; "c" "u" 2; "d" "v" 2; "e" "u" 3;
"a" "k" 3; "b" "b" "g" "i" "j" "l" "n" "r" "s" "y" 1; "c" "u" 2; "d" "v" 2; "e" "u" 3;
"a" "k" 3; "b" "b" "g" "i" "j" "l" "n" "r" "s" "v" "y" 1; "c" "u" 2; "d" "v" 2; "e" "u" 3;
"a" "k" 3; "b" "b" "g" "h" "i" "j" "l" "n" "r" "s" "v" "y" 1; "c" "u" 2; "d" "v" 2; "e" "u" 3;
"a" "k" 3; "b" "b" "g" "h" "i" "j" "l" "n" "r" "s" "v" "y" 1; "c" "u" 2; "d" "v" 2; "e" "u" 3;
"a" "k" 3; "b" "r" 2; "c" "u" 2; "d" "v" 2; "e" "u" 3;
"a" "k" 3; "b" "r" 2; "c" "k" "u" 2; "d" "v" 2; "e" "u" 3;
"a" "k" 3; "b" "j" "r" 2; "c" "k" "u" 2; "d" "v" 2; "e" "u" 3;
"a" "k" 3; "b" "j" "r" 2; "c" "k" "u" 2; "d" "v" 2; "e" "u" 3;
"a" "k" 3; "b" "j" "r" 2; "c" "k" "u" 2; "d" "v" 2; "e" "u" 3;
"a" "k" 3; "b" "j" "r" 2; "c" "k" "u" 2; "d" "v" 2; "e" "u" 3;
"a" "k" 3; "b" "j" "r" 2; "c" "u" 3; "d" "v" 2; "e" "u" 3;
"a" "k" 3; "b" "j" "r" 2; "c" "u" 3; "d" "v" 2; "e" "u" 3;
"a" "k" 3; "b" "j" "r" 2; "c" "u" 3; "d" "v" 2; "e" "u" 3;
"a" "k" 3; "b" "j" "r" 2; "c" "u" 3; "d" "v" 2; "e" "u" 3;
"a" "k" 3; "b" "j" "r" 2; "c" "u" 3; "d" "v" 2; "e" "u" 3;
"a" "k" 3; "b" "j" "r" 2; "c" "u" 3; "d" "a" "v" 2; "e" "u" 3;
"a" "k" 3; "b" "j" "r" 2; "c" "u" 3; "d" "a" "v" 2; "e" "u" 3;
"a" "k" 3; "b" "j" "r" 2; "c" "u" 3; "d" "a" "v" 2; "e" "u" 3;
"a" "k" 3; "b" "j" "r" 2; "c" "u" 3; "d" "a" "v" 2; "e" "u" 3;
"a" "k" 3; "b" "j" "r" 2; "c" "u" 3; "d" "a" "v" 2; "e" "u" 3;
"a" "f" "i" "k" 3; "b" "a" 3; "c" "u" 3; "d" "u" 3; "e" "u" "x" 3;
"a" "f" "i" "k" 3; "b" "a" 3; "c" "u" 3; "d" "u" 3; "e" "u" "x" 3;
"a" "f" "i" "k" 3; "b" "a" 3; "c" "u" 3; "d" "u" 3; "e" "u" "x" 3;
"a" "f" "i" "k" 3; "b" "a" 3; "c" "u" 3; "d" "u" 3; "e" "u" "x" 3;
"a" "f" "i" "k" 3; "b" "a" 3; "c" "u" 3; "d" "u" 3; "e" "u" "x" 3;
