none
none
none
none
none
none
none
none
none
none
none
none
"b" "h" 1;
"b" "h" 1;
"b" "h" 1;
"b" "h" 1;
"b" "h" 1;
"b" "f" "h" 1;
"b" "f" "h" 1;
"b" "f" "h" 1;
"b" "f" "h" 1;
"b" "f" "h" 1;
"b" "f" "h" 1;
"b" "f" "h" 1;
"b" "f" "h" 1; "e" "y" 1;
"b" "f" "h" 1; "e" "y" 1;
"b" "f" "h" 1; "e" "y" 1;
"b" "f" "h" 1; "e" "y" 1;
"b" "f" "h" "k" 1; "e" "b" "y" 1;
"b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"a" "b" 1; "b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"a" "b" 1; "b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"a" "b" 1; "b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"a" "b" 1; "b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"a" "b" 1; "b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"a" "b" 1; "b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"a" "b" "z" 1; "b" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "y" 1;
"a" "b" "z" 1; "b" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "y" 1;
"a" "b" "z" 1; "b" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "y" 1;
"a" "b" "z" 1; "b" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "y" 1;
"a" "b" "z" 1; "b" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "y" 1;
"a" "b" "z" 1; "b" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "y" 1;
"a" "b" "z" 1; "b" "d" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "f" "y" 1;
"a" "b" "z" 1; "b" "d" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "f" "y" 1;
"a" "b" "f" "z" 1; "b" "d" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "f" "y" 1;
"a" "b" "f" "z" 1; "b" "d" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "f" "y" 1;
"a" "b" "f" "z" 1; "b" "d" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "f" "y" 1;
"a" "b" "f" "z" 1; "b" "d" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "f" "y" 1;
"a" "b" "f" "z" 1; "b" "d" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "f" "y" 1;
"a" "b" "f" "z" 1; "b" "d" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "f" "y" 1;
"a" "b" "f" "z" 1; "b" "d" "f" "h" "k" "l" 1; "d" "c" "x" 1; "e" "b" "f" "y" 1;
"a" "b" "f" "j" "z" 1; "b" "d" "f" "h" "k" "l" 1; "d" "c" "x" 1; "e" "b" "f" "y" 1;
"a" "b" 2; "b" "d" "f" "h" "k" "l" 1; "d" "c" "p" "x" 1; "e" "b" "f" "y" 1;
"a" "b" 2; "b" "d" "f" "h" "k" "l" 1; "d" "c" "p" "x" 1; "e" "b" "f" "y" 1;
"a" "b" 2; "b" "d" "f" "h" "k" "l" 1; "c" "w" 1; "d" "c" "p" "x" 1; "e" "b" "f" "j" "y" 1;
"a" "b" 2; "b" "d" "f" "h" "k" "l" 1; "c" "w" 1; "d" "c" "p" "x" 1; "e" "b" "f" "j" "y" 1;
"a" "b" 2; "b" "d" "f" "h" "k" "l" 1; "c" "w" 1; "d" "a" "c" "p" "x" 1; "e" "b" "f" "j" "y" 1;
"a" "b" 2; "b" "d" "f" "h" "k" "l" 1; "c" "w" 1; "d" "a" "c" "p" "x" 1; "e" "b" "f" "j" "y" 1;
"a" "b" 2; "b" "d" "f" "h" "k" "l" 1; "c" "w" 1; "d" "a" "c" "p" "x" 1; "e" "b" "f" "j" "y" 1;
"a" "b" 2; "b" "d" "f" "h" "k" "l" 1; "c" "w" 1; "d" "a" "c" "p" "x" 1; "e" "b" "f" "j" "y" 1;
"a" "b" 2; "b" "d" "f" "h" "k" "l" 1; "c" "g" "w" 1; "d" "a" "c" "p" "x" 1; "e" "b" "f" "j" "y" 1;
"a" "b" 2; "b" "l" 2; "c" "g" "w" 1; "d" "a" "c" "p" "x" 1; "e" "b" "f" "j" "y" 1;
"a" "b" 2; "b" "l" 2; "c" "g" "w" 1; "d" "a" "c" "p" "x" 1; "e" "b" "f" "j" "y" 1;
"a" "b" 2; "b" "l" 2; "c" "g" "w" 1; "d" "a" "c" "p" "x" 1; "e" "b" "f" "j" "y" 1;
"a" "b" 2; "b" "h" "l" 2; "c" "f" "g" "w" 1; "d" "a" "c" "p" "x" 1; "e" "f" 2;
"a" "b" 2; "b" "h" "l" 2; "c" "f" "g" "w" 1; "d" "a" "c" "p" "x" 1; "e" "f" 2;
"a" "b" 2; "b" "h" "l" 2; "c" "f" "g" "w" 1; "d" "a" "c" "p" "r" "x" 1; "e" "f" 2;
"a" "b" 2; "b" "h" "l" 2; "c" "f" "g" "w" 1; "d" "a" "c" "p" "r" "x" 1; "e" "f" 2;
"a" "b" 2; "b" "h" "l" 2; "c" "f" "g" "w" 1; "d" "a" "c" "p" "r" "x" 1; "e" "f" 2;
"a" "b" 2; "b" "h" "l" 2; "c" "f" "g" "w" 1; "d" "a" "c" "n" "p" "r" "x" 1; "e" "f" 2;
"a" "b" 2; "b" "h" "l" 2; "c" "f" "g" "w" 1; "d" "a" "c" "n" "p" "r" "x" 1; "e" "f" 2;
"a" "b" 2; "b" "h" "l" 2; "c" "f" "g" "w" 1; "d" "a" "c" "n" "p" "r" "x" 1; "e" "f" 2;
"a" "b" 2; "b" "h" "l" 2; "c" "f" "g" "w" 1; "d" "a" "c" "n" "p" "r" "x" 1; "e" "f" 2;
"a" "b" 2; "b" "h" "l" 2; "c" "f" "g" "w" 1; "d" "a" "c" "n" "p" "r" "x" 1; "e" "f" 2;
"a" "b" 2; "b" "h" "l" 2; "c" "f" "g" "w" 1; "d" "a" "c" "n" "p" "r" "x" 1; "e" "f" 2;
"a" "b" 2; "b" "h" "l" 2; "c" "f" "g" "w" 1; "d" "a" "c" "n" "p" "r" "x" 1; "e" "f" 2;
"a" "b" 2; "b" "h" "l" 2; "c" "f" "g" "w" 1; "d" "a" "c" "n" "p" "r" "x" 1; "e" "f" 2;
"a" "b" "m" 2; "b" "h" "l" 2; "c" "f" "g" "w" 1; "d" "a" "c" "n" "p" "r" "x" 1; "e" "f" 2;
"a" "b" "m" 2; "b" "h" "l" 2; "c" "f" "g" "w" 1; "d" "a" "c" "n" "p" "r" "x" 1; "e" "f" 2;
"a" "b" 2; "b" "h" "l" 2; "c" "f" "g" "w" 1; "d" "a" "c" "n" "p" "r" "x" 1; "e" "f" 2;
