none
none
none
none
none
none
none
none
"d" "a" 1;
"d" "a" 1;
"d" "a" 1;
"d" "a" 1;
"c" "w" 1; "d" "a" 1;
"c" "w" 1; "d" "a" 1;
"c" "w" 1; "d" "a" 1;
"b" "y" 1; "c" "w" 1; "d" "a" 1;
"b" "y" 1; "c" "w" 1; "d" "a" 1;
"b" "y" 1; "c" "w" 1; "d" "a" 1;
"b" "y" 1; "c" "w" 1; "d" "a" 1;
"b" "y" 1; "c" "w" 1; "d" "a" 1;
"a" "x" 1; "b" "y" 1; "c" "w" 1; "d" "a" 1;
"a" "x" 1; "b" "y" 1; "c" "w" 1; "d" "a" 1;
"a" "e" "x" 1; "b" "u" "y" 1; "c" "w" 1; "d" "a" 1; "e" "w" 1;
"a" "e" "x" 1; "b" "u" "y" 1; "c" "w" 1; "d" "a" 1; "e" "w" 1;
"a" "e" "x" 1; "b" "u" "y" 1; "c" "w" 1; "d" "a" 1; "e" "w" 1;
"a" "e" "x" 1; "b" "u" "y" 1; "c" "w" 1; "d" "a" 1; "e" "w" 1;
"a" "e" "t" "x" 1; "b" "u" "y" 1; "c" "w" 1; "d" "a" 1; "e" "w" 1;
"a" "e" "t" "x" 1; "b" "u" "y" 1; "c" "w" 1; "d" "a" 1; "e" "w" 1;
"a" "e" "t" "x" 1; "b" "u" "y" 1; "c" "w" 1; "d" "a" 1; "e" "w" 1;
"a" "e" "t" "x" 1; "b" "u" "y" 1; "c" "w" 1; "d" "a" 1; "e" "w" 1;
"a" "e" "t" "x" 1; "b" "u" "y" 1; "c" "w" 1; "d" "a" 1; "e" "w" 1;
"a" "e" "t" "x" 1; "b" "u" "y" 1; "c" "w" 1; "d" "a" 1; "e" "w" 1;
"a" "e" "t" "x" 1; "b" "u" "y" 1; "c" "w" 1; "d" "a" "z" 1; "e" "w" 1;
"a" "e" "t" "x" 1; "b" "u" "y" 1; "d" "z" 2; "e" "b" "w" 1;
"a" "e" "t" "x" 1; "b" "u" "y" 1; "c" "p" 1; "d" "z" 2; "e" "b" "w" 1;
"a" "e" "j" "t" "x" 1; "b" "i" "u" "y" 1; "c" "p" 1; "d" "z" 2; "e" "b" "o" "w" 1;
"a" "e" "j" "t" "x" 1; "b" "i" "u" "y" 1; "c" "p" 1; "d" "z" 2; "e" "b" "o" "w" 1;
"a" "e" "j" "t" "x" "z" 1; "b" "i" "u" "y" 1; "c" "p" 1; "d" "z" 2; "e" "b" "o" "w" 1;
"a" "e" "j" "t" "x" "z" 1; "b" "i" "u" "y" 1; "c" "p" 1; "d" "z" 2; "e" "b" "o" "w" 1;
"a" "e" "j" "o" "t" "x" "z" 1; "b" "i" "u" "y" 1; "c" "p" 1; "d" "z" 2; "e" "b" "e" "o" "w" 1;
"a" "e" "j" "o" "t" "x" "z" 1; "b" "i" "u" "y" 1; "c" "p" 1; "d" "z" 2; "e" "b" "e" "o" "w" 1;
"a" "e" "j" "o" "t" "x" "z" 1; "b" "i" "u" "y" 1; "c" "p" 1; "d" "z" 2; "e" "b" "e" "o" "w" 1;
"a" "z" 2; "b" "i" "u" "y" 1; "c" "p" 1; "d" "z" 2; "e" "b" "e" "o" "w" 1;
"a" "z" 2; "b" "i" "u" "y" 1; "c" "p" 1; "d" "z" 2; "e" "b" "e" "o" "w" 1;
"a" "z" 2; "b" "i" "u" "y" 1; "c" "p" 1; "d" "z" 2; "e" "b" "e" "o" "w" 1;
"a" "t" 3; "b" "i" "u" "y" 1; "c" "p" 1; "d" "z" 2; "e" "b" "e" "o" "w" 1;
"a" "t" 3; "b" "i" "u" "y" 1; "c" "p" 1; "d" "z" 2; "e" "b" "e" "o" "w" 1;
"a" "t" 3; "b" "i" "u" "y" 1; "c" "p" 1; "d" "z" 2; "e" "b" "e" "o" "w" 1;
"a" "t" 3; "b" "i" "u" "y" 1; "c" "p" 1; "d" "z" 2; "e" "w" 2;
"a" "t" 3; "b" "i" "u" "y" "z" 1; "c" "p" "y" 1; "d" "b" "z" 2; "e" "w" 2;
