none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "p" "y" 1;
"b" "p" "y" 1; "c" "p" 1;
"b" "p" "y" 1; "c" "p" 1;
"b" "p" "y" 1; "c" "p" 1;
"b" "p" "y" 1; "c" "p" 1;
"b" "p" "y" 1; "c" "p" 1;
"b" "p" "y" 1; "c" "p" 1; "d" "h" "r" 1; "e" "p" "z" 1;
"b" "p" "y" 1; "c" "p" 1; "d" "h" "r" 1; "e" "p" "z" 1;
"b" "p" "y" 1; "c" "p" 1; "d" "h" "r" 1; "e" "p" "z" 1;
"a" "r" 1; "b" "p" "y" 1; "c" "p" "r" 1; "d" "h" "r" 1; "e" "b" 2;
"a" "r" 1; "b" "p" "r" "x" "y" 1; "c" "p" "r" 1; "d" "h" "r" 1; "e" "b" 3;
"a" "r" 1; "b" "p" "r" "x" "y" 1; "c" "p" "r" 1; "d" "h" "r" 1; "e" "b" 3;
"a" "r" 1; "b" "p" "r" "x" "y" 1; "c" "p" "r" 1; "d" "h" "r" 1; "e" "b" 3;
"a" "r" 1; "b" "p" "r" "x" "y" 1; "c" "p" "r" 1; "d" "h" "r" 1; "e" "b" 3;
"a" "r" 1; "b" "p" "r" "x" "y" 1; "c" "p" "r" 1; "d" "h" "r" 1; "e" "b" 3;
"a" "r" 1; "b" "p" "r" "v" "x" "y" 1; "c" "p" "r" "z" 1; "d" "h" "k" "r" 1; "e" "b" 3;
"a" "r" 1; "b" "p" "r" "v" "x" "y" 1; "c" "p" "r" "z" 1; "d" "h" "k" "r" 1; "e" "b" 3;
"a" "r" 1; "b" "p" "r" "v" "x" "y" 1; "c" "p" "r" "z" 1; "d" "h" "k" "r" 1; "e" "b" 3;
"a" "r" 1; "b" "p" "r" "v" "x" "y" 1; "c" "p" "r" "z" 1; "d" "h" "k" "r" 1; "e" "b" 3;
"a" "r" 1; "b" "p" "r" "v" "x" "y" 1; "c" "c" "p" "r" "z" 1; "d" "h" "k" "r" 1; "e" "b" 3;
"a" "r" 1; "b" "p" "r" "v" "x" "y" 1; "c" "c" "p" "r" "z" 1; "d" "h" "k" "r" 1; "e" "b" 3;
"a" "r" 1; "b" "p" "r" "v" "x" "y" 1; "c" "c" "p" "r" "z" 1; "d" "h" "k" "r" 1; "e" "b" 3;
