none
none
none
none
none
none
none
none
none
"b" "k" 1; "d" "g" 1;
"b" "k" 1; "d" "g" 1;
"b" "k" 1; "d" "g" 1;
"a" "b" 1; "b" "k" 1; "d" "g" 1;
"a" "b" "d" "n" 1; "b" "b" "k" "x" 1; "d" "g" 1;
"a" "b" "d" "n" 1; "b" "b" "k" "x" 1; "d" "g" 1;
"a" "b" "d" "n" 1; "b" "b" "k" "x" 1; "d" "g" 1;
"a" "b" "d" "n" 1; "b" "b" "k" "x" 1; "d" "g" 1;
"a" "b" "d" "n" 1; "b" "b" "k" "x" 1; "d" "g" 1;
"a" "b" "d" "n" 1; "b" "b" "k" "x" 1; "d" "g" 1;
"a" "b" "d" "n" 1; "b" "b" "k" "x" 1; "d" "g" 1;
"a" "b" "d" "n" 1; "b" "k" 2; "d" "g" 1;
"a" "n" 2; "b" "k" 2; "d" "g" 1; "e" "x" 1;
"a" "n" 2; "b" "k" 2; "d" "g" 1; "e" "x" 1;
"a" "n" 3; "b" "k" 2; "d" "g" 1; "e" "x" 1;
"a" "n" 3; "b" "k" 2; "d" "g" 1; "e" "x" 1;
"a" "n" 3; "b" "k" 2; "d" "g" 1; "e" "x" 1;
"a" "n" 3; "b" "k" 2; "c" "q" 1; "d" "g" 1; "e" "x" 1;
"a" "n" 3; "b" "k" 2; "c" "q" 1; "d" "g" 1; "e" "x" 1;
"a" "n" 3; "b" "k" 2; "c" "q" 1; "d" "g" 1; "e" "x" 1;
"a" "n" 3; "b" "k" 2; "c" "q" 1; "d" "g" 1; "e" "x" 1;
"a" "n" 3; "b" "k" 2; "c" "q" 1; "d" "g" 1; "e" "g" "n" "x" 1;
"a" "n" 3; "b" "k" 2; "c" "q" 1; "d" "g" 1; "e" "g" "n" "x" 1;
"a" "n" 3; "b" "k" 2; "c" "q" 1; "d" "g" 1; "e" "d" "g" "n" "x" 1;
"a" "n" 3; "b" "k" 2; "c" "q" 1; "d" "g" 1; "e" "d" "g" "n" "x" 1;
"a" "n" 3; "b" "k" 2; "c" "q" 1; "d" "g" 1; "e" "d" "g" "n" "x" 1;
"a" "n" 3; "b" "k" 2; "c" "e" "q" 1; "d" "g" 1; "e" "d" "g" "n" "x" 1;
"a" "n" 3; "b" "k" 2; "c" "e" "q" 1; "d" "g" "t" 1; "e" "d" "g" "n" "x" 1;
"a" "n" 3; "b" "k" 2; "c" "e" 2; "d" "g" "t" 1; "e" "b" "d" "g" "n" "x" "z" 1;
"a" "n" 3; "b" "k" 2; "c" "e" 2; "d" "g" "t" 1; "e" "b" "d" "g" "n" "x" "z" 1;
