none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "b" 1;
"c" "b" 1; "d" "b" 1;
"c" "b" 1; "d" "b" 1;
"c" "b" "k" 1; "d" "b" 1;
"c" "b" "k" 1; "d" "b" 1;
"c" "b" "k" 1; "d" "b" 1;
"a" "q" 1; "c" "b" "k" 1; "d" "b" "e" 1;
"a" "q" 1; "c" "b" "k" 1; "d" "b" "e" 1;
"a" "q" 1; "b" "c" 1; "c" "b" "k" 1; "d" "b" "e" 1;
"a" "q" 1; "b" "c" 1; "c" "b" "k" 1; "d" "b" "e" 1;
"a" "q" 1; "b" "c" "k" 1; "c" "b" "k" 1; "d" "b" "e" 1;
"a" "q" 1; "b" "c" "k" 1; "c" "b" "k" 1; "d" "b" "e" 1;
"a" "q" 1; "b" "c" "k" 1; "c" "b" "k" 1; "d" "b" "e" 1;
"a" "q" 1; "b" "c" "k" 1; "c" "b" "k" 1; "d" "b" "e" 1; "e" "a" 1;
"a" "q" 1; "b" "c" "k" 1; "c" "b" "c" "k" 1; "d" "b" "e" 1; "e" "a" 1;
"a" "q" "v" "z" 1; "b" "c" "k" 1; "c" "b" "c" "k" 1; "d" "b" 2; "e" "a" 1;
"a" "q" "v" "z" 1; "b" "c" "k" 1; "c" "b" "c" "k" 1; "d" "b" 2; "e" "a" 1;
"a" "q" "v" "z" 1; "b" "c" "k" 1; "c" "b" "c" "k" 1; "d" "b" 2; "e" "a" 1;
"a" "q" "v" "z" 1; "b" "c" "k" 1; "c" "b" "c" "k" 1; "d" "b" 2; "e" "a" 1;
"a" "q" "v" "z" 1; "b" "c" "k" 1; "c" "b" "c" "k" 1; "d" "b" 2; "e" "a" 1;
"a" "q" "v" "z" 1; "b" "c" "k" 1; "c" "b" "c" "k" 1; "d" "b" 2; "e" "a" 1;
"a" "q" "v" "z" 1; "b" "c" "k" 1; "c" "b" "c" "k" 1; "d" "b" 2; "e" "a" 1;
"a" "q" "v" "z" 1; "b" "c" "k" 1; "c" "b" "c" "k" 1; "d" "b" 2; "e" "a" 1;
"a" "q" "v" "z" 1; "b" "c" "k" 1; "c" "b" "c" "k" 1; "d" "b" 2; "e" "a" 1;
"a" "q" "t" "v" "z" 1; "b" "c" "k" "x" 1; "c" "b" "c" "k" 1; "d" "b" 2; "e" "a" "d" 1;
"a" "q" "t" "v" "z" 1; "b" "c" "k" "x" 1; "c" "b" "c" "k" 1; "d" "b" 2; "e" "a" "d" 1;
"a" "q" "t" "v" "z" 1; "b" "c" "k" "q" "x" 1; "c" "k" 2; "d" "b" 2; "e" "a" "d" 1;
"a" "q" "t" "v" "z" 1; "b" "c" "k" "q" "x" 1; "c" "k" 2; "d" "b" 2; "e" "a" "d" 1;
"a" "q" "t" "u" "v" "z" 1; "b" "c" "k" "q" "x" 1; "c" "k" 2; "d" "b" 2; "e" "a" "d" "r" 1;
"a" "q" "t" "u" "v" "z" 1; "b" "c" "k" "q" "x" 1; "c" "k" 2; "d" "b" 2; "e" "a" "d" "f" "r" 1;
"a" "z" 2; "b" "c" "k" "q" "x" 1; "c" "k" 2; "d" "b" 2; "e" "a" "d" "f" "r" 1;
"a" "z" 2; "b" "c" "k" "q" "x" 1; "c" "k" 2; "d" "b" 2; "e" "a" "d" "f" "r" 1;
"a" "z" 2; "b" "c" "k" "q" "x" 1; "c" "k" 2; "d" "b" 2; "e" "a" "d" "f" "r" 1;
"a" "z" 2; "b" "c" "k" "q" "x" 1; "c" "k" 2; "d" "b" 2; "e" "a" "d" "f" "r" 1;
"a" "z" 2; "b" "c" "k" "q" "x" 1; "c" "k" 2; "d" "b" 2; "e" "a" "d" "f" "r" 1;
"a" "h" "z" 2; "b" "c" "k" "q" "x" 1; "c" "k" 2; "d" "b" 2; "e" "a" "d" "f" "r" 1;
"a" "h" "z" 2; "b" "c" "k" "q" "x" 1; "c" "k" 2; "d" "b" 2; "e" "a" 2;
"a" "h" "z" 2; "b" "c" "k" "q" "x" 1; "c" "k" 2; "d" "b" 2; "e" "a" 2;
"a" "h" "z" 2; "b" "c" "k" "q" "x" 1; "c" "k" 2; "d" "b" 2; "e" "a" 2;
"a" "h" "z" 2; "b" "c" "k" "q" "x" 1; "c" "k" 2; "d" "b" 2; "e" "a" 2;
"a" "h" "z" 2; "b" "c" "d" "k" "q" "x" 1; "c" "k" 2; "d" "b" 2; "e" "a" 2;
"a" "h" "z" 2; "b" "c" "d" "k" "q" "x" 1; "c" "k" 2; "d" "b" 3; "e" "a" 2;
"a" "h" "z" 2; "b" "c" "d" "k" "q" "x" 1; "c" "k" 2; "d" "b" 3; "e" "a" 2;
"a" "z" 3; "b" "c" "d" "k" "q" "u" "x" 1; "c" "k" 2; "d" "b" 3; "e" "a" 2;
"a" "z" 3; "b" "c" "d" "k" "q" "u" "x" 1; "c" "k" 2; "d" "b" 3; "e" "a" 2;
"a" "z" 3; "b" "c" "d" "k" "q" "u" "x" 1; "c" "k" 2; "d" "b" 3; "e" "a" 2;
