none
none
none
none
none
none
none
none
none
none
none
none
none
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"d" "b" 1; "e" "s" 2;
"b" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "j" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "j" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "j" "w" 1; "d" "b" 1; "e" "s" 2;
"a" "g" 1; "b" "j" "w" 1; "d" "b" 1; "e" "s" 2;
"a" "g" 1; "b" "j" "s" "w" 1; "d" "b" 1; "e" "s" 2;
"a" "g" "j" 1; "b" "j" "s" "w" 1; "d" "b" "y" 1; "e" "s" 2;
"a" "g" "j" 1; "b" "j" "s" "w" 1; "d" "b" "y" 1; "e" "s" 2;
"a" "g" "j" 1; "b" "j" "s" "w" 1; "d" "b" "y" 1; "e" "s" 2;
"a" "g" "j" 1; "b" "j" "s" "w" 1; "d" "b" "x" "y" 1; "e" "s" 2;
"a" "g" "j" 1; "b" "j" "s" "w" 1; "d" "b" "x" "y" 1; "e" "s" 2;
"a" "g" "j" 1; "b" "j" 2; "c" "j" 1; "d" "b" "u" "x" "y" 1; "e" "s" "t" 2;
"a" "g" "j" 1; "b" "j" 2; "c" "j" 1; "d" "b" "u" "x" "y" 1; "e" "s" "t" 2;
"a" "g" "j" 1; "b" "j" 2; "c" "j" 1; "d" "b" "u" "x" "y" 1; "e" "s" "t" 2;
"a" "g" "j" 1; "b" "j" 2; "c" "j" 1; "d" "b" "u" "x" "y" 1; "e" "s" "t" 2;
"a" "g" "j" 1; "b" "j" 2; "c" "j" 1; "d" "b" "u" "x" "y" 1; "e" "s" "t" 2;
"a" "g" "j" 1; "b" "j" 2; "c" "j" 1; "d" "b" "u" "x" "y" 1; "e" "s" "t" 2;
"a" "g" "j" 1; "b" "j" 2; "c" "j" 1; "d" "b" "e" "u" "x" "y" 1; "e" "s" "t" 2;
"a" "g" "j" 1; "b" "j" 2; "c" "j" 1; "d" "b" "e" "l" "u" "x" "y" 1; "e" "s" "t" 2;
"a" "g" "j" 1; "b" "j" 2; "c" "j" 1; "d" "b" "e" "l" "u" "x" "y" 1; "e" "s" "t" 2;
"a" "g" "j" 1; "b" "j" 2; "c" "j" 1; "d" "b" "e" "l" "u" "x" "y" 1; "e" "s" "t" 2;
"a" "g" "j" 1; "b" "j" "l" 2; "c" "j" 1; "d" "b" "e" "l" "u" "x" "y" 1; "e" "s" "t" 2;
"a" "f" "g" "j" 1; "b" "j" "l" 2; "c" "j" 1; "d" "b" "e" "l" "u" "x" "y" 1; "e" "s" "t" 2;
