none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "l" 1;
"d" "l" 1;
"d" "l" 1;
"d" "l" 1;
"d" "l" 1;
"c" "c" 1; "d" "l" 1;
"c" "c" 1; "d" "l" 1;
"c" "c" "u" 1; "d" "l" 1;
"a" "k" 1; "c" "c" "u" 1; "d" "l" 1;
"a" "k" 1; "c" "c" "u" 1; "d" "l" 1;
"a" "k" 1; "c" "c" "u" 1; "d" "l" "z" 1;
"a" "k" 1; "c" "c" "n" "u" 1; "d" "l" "z" 1;
"a" "k" 1; "c" "c" "n" "u" 1; "d" "l" "z" 1;
"a" "k" 1; "c" "c" "n" "u" 1; "d" "l" "z" 1;
"a" "k" 1; "c" "c" "n" "s" "u" 1; "d" "l" "z" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "l" "z" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "l" "z" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "l" "z" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "l" "z" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "l" "s" "z" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "l" "s" "z" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "l" "s" "z" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "j" "l" "s" "z" 1; "e" "x" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "j" "l" "s" "z" 1; "e" "x" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "j" "l" "s" "z" 1; "e" "x" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "j" "l" "s" "z" 1; "e" "x" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "j" "l" "s" "z" 1; "e" "x" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "j" "l" "s" "z" 1; "e" "x" 1;
"a" "k" "s" "y" 1; "b" "c" "t" 1; "c" "c" "l" "n" "s" "u" 1; "d" "c" "j" "l" "s" "z" 1; "e" "x" 1;
"a" "b" "k" "s" "y" 1; "b" "c" "t" 1; "c" "c" "l" "n" "s" "u" 1; "d" "c" "j" "l" "s" "z" 1; "e" "x" "z" 1;
"a" "a" "b" "k" "s" "y" 1; "b" "c" "t" 1; "c" "c" "l" "n" "s" "u" 1; "d" "c" "j" "l" "s" "z" 1; "e" "x" "z" 1;
"a" "a" "b" "k" "s" "y" 1; "b" "c" "t" 1; "c" "c" "l" "n" "s" "u" 1; "d" "c" "i" "j" "l" "s" "z" 1; "e" "x" "z" 1;
"a" "a" "b" "k" "s" "y" 1; "b" "c" "t" 1; "c" "c" "l" "n" "s" "u" 1; "d" "c" "i" "j" "l" "s" "z" 1; "e" "x" "z" 1;
"a" "a" "b" "k" "s" "y" 1; "b" "c" "t" 1; "c" "c" "l" "n" "s" "u" 1; "d" "b" "c" "i" "j" "l" "s" "z" 1; "e" "x" "z" 1;
"a" "a" "b" "k" "s" "y" 1; "b" "c" "t" 1; "c" "c" "l" "n" "s" "u" 1; "d" "b" "c" "j" "l" "s" "z" 1; "e" "x" "z" 1;
"a" "a" "b" "k" "s" "y" 1; "b" "c" "t" 1; "c" "c" "l" "n" "s" "u" 1; "d" "b" "c" "j" "l" "s" "z" 1; "e" "x" "z" 1;
"a" "a" "b" "k" "s" "y" 1; "b" "c" "t" 1; "c" "c" "l" "n" "s" "u" 1; "d" "b" "c" "j" "l" "s" "z" 1; "e" "i" "x" "z" 1;
"a" "a" "b" "k" "s" "y" 1; "b" "c" "t" 1; "c" "c" "l" "n" "s" "u" 1; "d" "b" "c" "j" "l" "s" "z" 1; "e" "i" "x" "z" 1;
"a" "a" "b" "k" "s" "y" 1; "b" "c" "t" 1; "c" "c" "l" "n" "s" "u" 1; "d" "b" "c" "j" "l" "s" "z" 1; "e" "i" "x" "z" 1;
"a" "a" 2; "b" "c" "t" 1; "c" "c" "l" "n" "s" "u" 1; "d" "b" "c" "j" "l" "s" "z" 1; "e" "i" "x" "z" 1;
"a" "a" 2; "b" "c" "t" 1; "c" "c" "l" "n" "s" "u" 1; "d" "b" "c" "j" "l" "s" "z" 1; "e" "i" "x" "z" 1;
"a" "a" 2; "b" "c" "t" 1; "c" "c" "l" "n" "s" "u" 1; "d" "b" "c" "j" "l" "s" "z" 1; "e" "i" "v" "x" "z" 1;
"a" "a" 2; "b" "c" "t" 1; "c" "c" "l" "n" "s" "u" 1; "d" "b" "c" "j" "l" "s" "z" 1; "e" "i" "v" "x" "z" 1;
"a" "a" 2; "b" "c" "t" 1; "c" "c" "l" "n" "s" "u" 1; "d" "b" "c" "j" "l" "s" "z" 1; "e" "i" "v" "x" "z" 1;
"a" "a" 2; "b" "c" "t" 1; "c" "c" "l" "n" "s" "u" 1; "d" "b" "c" "j" "l" "s" "z" 1; "e" "i" "v" "x" "z" 1;
"a" "a" 2; "b" "c" "t" 1; "c" "c" "l" "n" "s" "u" 1; "d" "b" "c" "j" "l" "s" "z" 1; "e" "i" "v" "x" "z" 1;
"a" "a" 2; "b" "c" "t" 1; "c" "c" "l" "n" "s" "u" 1; "d" "b" "c" "j" "l" "s" "z" 1; "e" "i" "v" "x" "z" 1;
"a" "a" 2; "b" "c" "t" 1; "c" "c" "d" "l" "n" "s" "u" 1; "d" "b" "c" "j" "l" "s" "z" 1; "e" "i" "v" "x" "z" 1;
"a" "a" 2; "b" "c" "t" 1; "c" "c" "d" "l" "n" "s" "u" 1; "d" "b" 3; "e" "i" "v" "x" "z" 1;
"a" "a" 2; "b" "c" "t" 1; "c" "c" "d" "l" "n" "s" "u" 1; "d" "b" 3; "e" "i" "v" "x" "z" 1;
"a" "a" 2; "b" "c" "t" 1; "c" "c" "d" "l" "n" "s" "u" 1; "d" "b" 3; "e" "i" "v" "x" "z" 1;
"a" "a" "b" "k" "s" "y" 1; "b" "c" "t" 1; "c" "c" "d" "l" "n" "s" "u" 1; "d" "b" 3; "e" "h" "i" "v" "x" "z" 1;
"a" "a" "b" "k" "s" "y" 1; "b" "c" "t" 1; "c" "c" "d" "l" "n" "s" "u" 1; "d" "b" 3; "e" "h" "i" "v" "x" "z" 1;
"a" "a" "b" "k" "s" "y" 1; "b" "c" "t" 1; "c" "c" "d" "l" "n" "s" "u" 1; "d" "b" 3; "e" "h" "i" "v" "x" "z" 1;
"a" "a" "b" "j" "k" "s" "y" 1; "b" "c" "t" "x" 1; "c" "c" "d" "l" "n" "s" "u" 1; "d" "b" 3; "e" "h" "i" "v" "x" "z" 1;
"a" "a" "b" "j" "k" "s" "y" 1; "b" "c" "t" "x" 1; "c" "c" "d" "l" "n" "s" "u" 1; "d" "b" 3; "e" "h" "i" "v" "x" "z" 1;
"a" "a" "b" "j" "k" "s" "y" 1; "b" "c" "t" "x" 1; "c" "c" "d" "l" "n" "s" "u" 1; "d" "b" 3; "e" "h" "i" "v" "x" "z" 1;
"a" "a" "b" "j" "k" "s" "y" 1; "b" "c" "t" "x" 1; "c" "c" "d" "l" "n" "s" "u" 1; "d" "b" 3; "e" "h" "i" "v" "x" "z" 1;
"a" "a" "b" "j" "k" "s" "y" 1; "b" "c" "t" "x" 1; "c" "c" "d" "l" "n" "s" "u" 1; "d" "b" 3; "e" "h" "i" "v" "x" "z" 1;
"a" "a" "b" "j" "k" "s" "y" 1; "b" "c" "t" "x" 1; "c" "c" "d" "l" "n" "s" "u" 1; "d" "b" 3; "e" "h" "i" "v" "x" "z" 1;
