none
"b" "i" 1;
"b" "i" 1;
"b" "i" 1;
"b" "i" 1;
"b" "i" 1; "d" "c" 1;
"b" "i" 1; "d" "c" 1;
"b" "i" 1; "d" "c" 1;
"b" "i" 1; "d" "c" 1;
"b" "i" 1; "d" "c" 1;
"b" "i" 1; "d" "c" 1;
"b" "i" 1; "d" "c" 1;
"b" "i" 1; "d" "c" 1;
"b" "i" 1; "d" "c" 1;
"b" "i" 1; "d" "c" 1;
"b" "i" 1; "d" "c" 1; "e" "c" 1;
"b" "i" 1; "d" "c" 1; "e" "c" 1;
"b" "i" 1; "d" "c" 1; "e" "c" 1;
"b" "i" 1; "d" "c" 1; "e" "c" 1;
"b" "i" 1; "d" "c" 1; "e" "c" 1;
"b" "i" 1; "d" "c" 1; "e" "c" 1;
"b" "i" 1; "d" "c" 1; "e" "c" 1;
"b" "i" 1; "d" "c" 1; "e" "c" 1;
"b" "i" 1; "d" "c" 1; "e" "c" 1;
"b" "i" 1; "d" "c" 1; "e" "c" 1;
"b" "i" 1; "d" "c" 1; "e" "c" 1;
"b" "i" 1; "d" "c" 1; "e" "c" 1;
"b" "i" 1; "d" "c" 1; "e" "c" 1;
"b" "i" 1; "d" "c" 1; "e" "c" 1;
"b" "i" 1; "d" "c" 1; "e" "c" 1;
"b" "i" 1; "d" "c" 1; "e" "c" "z" 1;
"b" "i" 1; "d" "c" 1; "e" "c" "z" 1;
"b" "i" 1; "d" "c" 1; "e" "c" "z" 1;
"b" "i" 1; "d" "c" 1; "e" "c" "z" 1;
"b" "i" 1; "d" "c" 1; "e" "c" "z" 1;
"b" "i" 1; "d" "c" 1; "e" "c" "z" 1;
"b" "i" 1; "d" "c" 1; "e" "c" "o" "z" 1;
"b" "i" 1; "d" "c" 1; "e" "c" "o" "z" 1;
"b" "i" 1; "d" "c" 1; "e" "c" "o" "z" 1;
"b" "i" 1; "d" "c" 1; "e" "c" "o" "z" 1;
"a" "c" 1; "b" "i" 1; "d" "c" 1; "e" "c" "o" "z" 1;
"a" "c" 1; "b" "i" 1; "d" "c" 1; "e" "c" "o" "z" 1;
"a" "c" "t" 1; "b" "i" 1; "d" "c" 1; "e" "c" "o" "z" 1;
"a" "c" "t" 1; "b" "i" 1; "d" "c" 1; "e" "c" "o" "z" 1;
"a" "c" "t" 1; "b" "i" 1; "d" "c" "y" 1; "e" "c" "o" "z" 1;
"a" "c" "t" 1; "b" "i" 1; "c" "y" 1; "d" "c" "h" "y" 1; "e" "c" "o" "z" 1;
"a" "c" "t" 1; "b" "i" 1; "c" "y" 1; "d" "c" "h" "y" 1; "e" "c" "o" "z" 1;
"a" "c" "t" 1; "b" "i" "l" 1; "c" "y" 1; "d" "c" "h" "y" 1; "e" "c" "o" "z" 1;
"a" "c" "t" 1; "b" "g" "i" "l" 1; "c" "y" 1; "d" "c" "h" "y" 1; "e" "c" "o" "z" 1;
"a" "c" "m" "t" 1; "b" "g" "i" "l" 1; "c" "y" 1; "d" "c" "h" "y" 1; "e" "c" "o" "z" 1;
"a" "c" "m" "t" 1; "b" "g" "i" "l" 1; "c" "y" 1; "d" "c" "h" "y" 1; "e" "c" "o" "z" 1;
"a" "c" "m" "t" 1; "b" "g" "i" "l" 1; "c" "y" 1; "d" "c" "h" "y" 1; "e" "c" "o" "z" 1;
"a" "c" "m" "t" "y" 1; "b" "g" "i" "l" 1; "c" "b" "y" 1; "d" "c" "h" "r" "y" 1; "e" "c" 2;
"a" "c" "i" "m" "t" "y" 1; "b" "g" "i" "l" 1; "c" "b" "y" 1; "d" "c" "h" "r" "y" 1; "e" "c" 2;
"a" "c" "i" "m" "t" "y" 1; "b" "g" "i" "l" 1; "c" "b" "y" 1; "d" "c" "h" "r" "y" 1; "e" "c" 2;
"a" "c" "i" "m" "t" "y" 1; "b" "g" "i" "l" 1; "c" "b" "y" 1; "d" "c" "h" "r" "y" 1; "e" "c" 2;
"a" "c" "i" "m" "t" "y" 1; "b" "g" "i" "l" 1; "c" "b" "y" 1; "d" "c" "h" "r" "y" 1; "e" "c" 2;
"a" "c" "i" "m" "t" "y" 1; "b" "g" "i" "l" 1; "c" "b" "y" 1; "d" "c" "h" "r" "y" 1; "e" "c" 2;
"a" "c" "i" "m" "t" "y" 1; "b" "g" "i" "l" 1; "c" "b" "y" 1; "d" "c" "h" "r" "y" 1; "e" "c" 2;
"a" "c" "i" "m" "t" "y" 1; "b" "g" "i" "l" 1; "c" "b" "y" 1; "d" "c" "h" "r" "y" 1; "e" "c" 2;
"a" "c" "i" "m" "t" "y" 1; "b" "g" "i" "l" 1; "c" "b" "y" 1; "d" "c" "h" "r" "y" 1; "e" "c" 2;
"a" "c" "i" "m" "t" "y" 1; "b" "g" "i" "l" 1; "c" "b" "y" 1; "d" "c" "h" "r" "y" 1; "e" "c" 2;
"a" "c" "i" "m" "t" "y" 1; "b" "g" "i" "l" 1; "c" "b" "y" 1; "d" "c" "h" "r" "y" 1; "e" "c" 2;
"a" "c" "i" "m" "t" "v" "w" "y" 1; "b" "l" 2; "c" "b" "y" 1; "d" "c" "h" "r" "y" 1; "e" "c" "z" 2;
"a" "c" "i" "m" "t" "v" "w" "y" 1; "b" "l" 2; "c" "b" "y" 1; "d" "c" "h" "r" "y" 1; "e" "c" "z" 2;
"a" "c" "i" "m" "t" "v" "w" "y" 1; "b" "l" 2; "c" "b" "y" 1; "d" "c" "h" "r" "y" 1; "e" "c" "z" 2;
"a" "c" "i" "m" "t" "v" "w" "y" 1; "b" "l" 2; "c" "b" "y" 1; "d" "c" "h" "r" "y" 1; "e" "c" "z" 2;
"a" "c" "i" "k" "m" "t" "v" "w" "y" 1; "b" "l" 2; "c" "b" "q" "y" 1; "d" "c" "h" "r" "y" 1; "e" "c" "z" 2;
"a" "c" "i" "k" "m" "t" "v" "w" "y" 1; "b" "l" 2; "c" "b" "q" "y" 1; "d" "c" "h" "r" "w" "y" 1; "e" "c" "z" 2;
"a" "c" "i" "k" "m" "t" "v" "w" "y" 1; "b" "l" 2; "c" "b" "q" "y" 1; "d" "c" "h" "r" "w" "y" 1; "e" "c" "z" 2;
"a" "c" "i" "k" "m" "t" "v" "w" "y" 1; "b" "l" 2; "c" "b" "q" "y" 1; "d" "c" "h" "r" "w" "y" 1; "e" "c" "z" 2;
"a" "c" "i" "j" "k" "m" "t" "v" "w" "y" 1; "b" "l" 2; "c" "b" "q" "y" 1; "d" "c" "h" "r" "w" "y" 1; "e" "c" "z" 2;
"a" "c" "i" "j" "k" "m" "t" "v" "w" "y" 1; "b" "l" 2; "c" "b" "q" "y" 1; "d" "c" "h" "r" "w" "y" 1; "e" "c" "z" 2;
"a" "c" "i" "j" "k" "m" "t" "v" "w" "y" 1; "b" "l" 2; "c" "b" "e" "q" "y" 1; "d" "c" "h" "r" "w" "y" 1; "e" "c" "z" 2;
"a" "c" "i" "j" "k" "m" "r" "t" "v" "w" "y" 1; "b" "l" 2; "c" "b" "e" "q" "y" 1; "d" "c" "h" "r" "w" "y" 1; "e" "c" "z" 2;
"a" "c" "i" "j" "k" "m" "r" "t" "v" "w" "y" 1; "b" "l" 2; "c" "b" "e" "q" "y" 1; "d" "c" "h" "r" "w" "y" 1; "e" "c" "z" 2;
"a" "c" "i" "j" "k" "m" "r" "t" "u" "v" "w" "y" 1; "b" "l" 2; "c" "b" "e" "q" "y" 1; "d" "c" "h" "r" "w" "y" 1; "e" "c" "z" 2;
"a" "c" "i" "j" "k" "m" "r" "t" "u" "v" "w" "y" 1; "b" "l" 2; "c" "b" "e" "q" "y" 1; "d" "c" "h" "r" "w" "y" 1; "e" "c" "z" 2;
"a" "c" "i" "j" "k" "m" "r" "t" "u" "v" "w" "y" 1; "b" "l" 2; "c" "b" "e" "q" "y" 1; "d" "c" "h" "r" "w" "y" 1; "e" "c" "z" 2;
