none
none
none
none
none
none
none
none
none
none
none
none
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1; "d" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "d" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "d" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "d" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" 1; "d" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" 1; "d" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" 1; "d" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" 1; "d" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" 1; "d" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" 1; "d" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" 1; "d" "g" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" "v" 1; "d" "g" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" "v" 1; "d" "g" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" "v" 1; "d" "g" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" "v" 1; "d" "g" "s" 1; "e" "h" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" "v" 1; "d" "g" "s" 1; "e" "h" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" "v" 1; "d" "g" "s" 1; "e" "h" 1;
"a" "g" "v" "x" 1; "b" "u" 2; "c" "h" "j" "v" 1; "d" "g" "s" 1; "e" "h" 1;
"a" "g" "v" "x" 1; "b" "u" 2; "c" "h" "j" "t" "v" "x" "y" 1; "d" "g" "s" 1; "e" "h" 1;
"a" "g" "v" "x" 1; "b" "u" 2; "c" "h" "j" "t" "v" "x" "y" 1; "d" "g" "s" 1; "e" "h" "j" 1;
"a" "g" "v" "x" 1; "b" "u" 2; "c" "h" "j" "t" "v" "x" "y" 1; "d" "g" "s" 1; "e" "h" "j" 1;
"a" "g" "v" "x" 1; "b" "u" 2; "c" "h" "j" "t" "v" "x" "y" 1; "d" "g" "s" 1; "e" "h" "j" 1;
"a" "g" "v" "x" 1; "b" "u" 2; "c" "h" "j" "t" "v" "x" "y" 1; "d" "g" "s" 1; "e" "h" "j" "y" 1;
"a" "g" "v" "x" 1; "b" "u" 2; "c" "h" "j" "t" "v" "x" "y" 1; "d" "g" "s" 1; "e" "h" "j" "y" 1;
"a" "g" "v" "x" 1; "b" "u" 2; "c" "c" "h" "j" "t" "v" "x" "y" 1; "d" "g" "s" 1; "e" "d" "h" "j" "y" 1;
"a" "e" "g" "v" "x" 1; "b" "u" 2; "c" "c" "h" "j" "t" "v" "x" "y" 1; "d" "g" "s" 1; "e" "d" "h" "j" "y" 1;
"a" "e" "g" "v" "x" 1; "b" "u" 2; "c" "c" "h" "j" "t" "v" "x" "y" 1; "d" "g" "q" "s" 1; "e" "d" "h" "j" "y" "z" 1;
