none
none
none
none
"d" "r" 1;
"d" "r" 1;
"d" "r" 1;
"d" "r" 1;
"d" "r" 1;
"d" "p" "r" 1;
"d" "p" "r" 1;
"d" "p" "r" 1;
"d" "p" "r" 1;
"d" "p" "r" 1;
"d" "p" "r" 1;
"d" "p" "r" 1;
"d" "p" "r" 1;
"d" "p" "r" 1;
"d" "p" "r" 1;
"c" "t" 1; "d" "p" "r" 1;
"c" "t" 1; "d" "p" "r" 1;
"c" "t" 1; "d" "p" "r" 1;
"c" "t" 1; "d" "p" "r" 1;
"c" "t" 1; "d" "p" "r" 1;
"a" "e" 1; "c" "t" 1; "d" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "h" 1; "c" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "a" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "a" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "a" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 3; "b" "a" 2; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 3; "b" "a" 2; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 3; "b" "a" 2; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 3; "b" "a" 2; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 3; "b" "a" 3; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 3; "b" "a" 3; "c" "c" "f" "i" "t" "u" 1; "d" "r" 2; "e" "z" 1;
"a" "e" 3; "b" "a" 3; "c" "c" "f" "i" "t" "u" 1; "d" "r" 2; "e" "l" "z" 1;
"a" "e" 3; "b" "a" 3; "c" "c" "f" "i" "t" "u" 1; "d" "r" 2; "e" "l" "u" "z" 1;
"a" "e" 3; "b" "a" 3; "c" "c" "f" "i" "t" "u" 1; "d" "r" 2; "e" "l" "u" "z" 1;
"a" "e" 3; "b" "a" 4; "c" "c" "f" "i" "t" "u" 1; "d" "r" 2; "e" "u" 2;
"a" "e" 3; "b" "a" 4; "c" "c" "f" "i" "t" "u" 1; "d" "r" 2; "e" "u" 2;
"a" "e" 3; "b" "a" 4; "c" "c" "f" "i" "o" "t" "u" 1; "d" "r" 2; "e" "u" 2;
"a" "e" 3; "b" "a" 4; "c" "c" "f" "i" "o" "t" "u" 1; "d" "r" 2; "e" "u" 2;
"a" "e" 3; "b" "a" 4; "c" "b" "c" "f" "i" "o" "t" "u" 1; "d" "r" 2; "e" "u" 2;
"a" "e" 3; "b" "a" 4; "c" "b" "c" "f" "i" "o" "t" "u" 1; "d" "r" 2; "e" "u" 2;
"a" "e" 3; "b" "a" 4; "c" "b" "c" "f" "i" "o" "t" "u" 1; "d" "r" 2; "e" "u" 2;
"a" "e" 3; "b" "a" 4; "c" "b" "c" "f" "i" "o" "t" "u" 1; "d" "r" 2; "e" "u" 2;
"a" "e" 3; "b" "a" 4; "c" "b" "c" "f" "i" "o" "t" "u" 1; "d" "r" 2; "e" "u" 2;
"a" "e" 3; "b" "a" 4; "c" "b" "c" "f" "i" "o" "t" "u" 1; "d" "r" 2; "e" "u" 2;
"a" "e" 3; "b" "a" 4; "c" "b" "c" "f" "i" "j" "o" "t" "u" 1; "d" "r" 2; "e" "u" 2;
"a" "e" 3; "b" "a" 4; "c" "t" 2; "d" "r" 2; "e" "u" 2;
"a" "e" 3; "b" "a" 4; "c" "t" 2; "d" "r" 2; "e" "u" 2;
"a" "e" 3; "b" "a" 4; "c" "t" 2; "d" "r" 2; "e" "u" 2;
"a" "e" 3; "b" "a" 4; "c" "t" 2; "d" "r" 2; "e" "u" 2;
"a" "e" 3; "b" "a" 4; "c" "t" 2; "d" "r" 2; "e" "u" 2;
"a" "e" 3; "b" "a" 4; "c" "t" 2; "d" "r" 2; "e" "u" 2;
"a" "e" 3; "b" "a" 4; "c" "t" 2; "d" "r" 2; "e" "u" 2;
"a" "e" 3; "b" "a" 4; "c" "j" "t" 2; "d" "m" "r" 2; "e" "u" 2;
"a" "e" 3; "b" "a" 4; "c" "j" "t" 2; "d" "m" "r" 2; "e" "u" 2;
"a" "e" 3; "b" "a" 4; "c" "j" "t" 2; "d" "m" "r" 2; "e" "u" 2;
"a" "e" 3; "b" "a" 4; "c" "j" "t" 2; "d" "m" "r" 2; "e" "u" 2;
"a" "e" 3; "b" "a" 4; "c" "j" "t" 2; "d" "m" "r" 2; "e" "u" 2;
"a" "e" 3; "b" "a" 4; "c" "j" "t" 2; "d" "m" "r" 2; "e" "u" 2;
"a" "e" 3; "b" "a" 4; "c" "j" "t" 2; "d" "m" "r" 2; "e" "u" 2;
"a" "e" 3; "b" "a" 4; "c" "j" "t" 2; "d" "m" "r" 2; "e" "u" 2;
"a" "e" 3; "b" "a" 4; "c" "j" "t" 2; "d" "m" "r" 2; "e" "u" 2;
"a" "e" 3; "b" "a" 4; "c" "j" "t" 2; "d" "m" "r" 2; "e" "u" 2;
"a" "e" 3; "b" "a" 4; "c" "j" "t" 2; "d" "m" "r" 2; "e" "u" 2;
"a" "e" 3; "b" "a" 4; "c" "j" "t" 2; "d" "m" "r" 2; "e" "u" 2;
"a" "e" 3; "b" "a" 4; "c" "j" "o" "t" "u" 2; "d" "m" "r" 2; "e" "u" 2;
"a" "e" 3; "b" "a" 4; "c" "j" "o" "t" "u" 2; "d" "m" "r" 2; "e" "u" 2;
"a" "e" 3; "b" "a" 4; "c" "j" "o" "t" "u" 2; "d" "m" "r" 2; "e" "u" 3;
"a" "e" 3; "b" "a" 4; "c" "j" "o" "t" "u" 2; "d" "m" "r" 2; "e" "u" 3;
"a" "e" 3; "b" "a" 4; "c" "j" "o" "t" "u" 2; "d" "m" 3; "e" "u" 3;
"a" "e" 3; "b" "a" 4; "c" "j" "o" "t" "u" 2; "d" "m" 3; "e" "u" 3;
"a" "e" 3; "b" "a" 4; "c" "j" "o" "t" "u" 2; "d" "m" 4; "e" "u" 3;
"a" "e" 3; "b" "a" 4; "c" "j" "o" "t" "u" 2; "d" "m" 4; "e" "u" 3;
"a" "e" 3; "b" "a" 4; "c" "j" "o" "t" "u" 2; "d" "m" 4; "e" "u" 3;
"a" "e" 3; "b" "a" 4; "c" "u" 3; "d" "m" 4; "e" "k" "u" 3;
"a" "e" "u" 3; "b" "a" 4; "c" "u" 3; "d" "m" 4; "e" "k" "u" 3;
"a" "e" "u" 3; "b" "a" 4; "c" "u" 3; "d" "m" 4; "e" "k" "u" 3;
"a" "e" "u" 3; "b" "a" 4; "c" "u" 3; "d" "m" 4; "e" "k" "u" 3;
"a" "e" "u" 3; "b" "a" 4; "c" "u" 3; "d" "m" 4; "e" "k" "u" 3;
"a" "e" "u" 3; "b" "a" 4; "c" "u" 3; "d" "m" 4; "e" "k" "u" 3;
"a" "e" "u" 3; "b" "a" 4; "c" "u" 3; "d" "m" 4; "e" "k" "u" 3;
"a" "e" "u" 3; "b" "a" 4; "c" "u" 3; "d" "m" 4; "e" "k" "u" 3;
"a" "e" "u" 3; "b" "a" 4; "c" "u" 3; "d" "m" 4; "e" "u" 4;
"a" "e" "u" 3; "b" "a" 4; "c" "u" 3; "d" "m" 4; "e" "u" 4;
"a" "e" "u" 3; "b" "a" 4; "c" "u" 3; "d" "m" 4; "e" "u" 4;
"a" "e" "u" 3; "b" "a" 4; "c" "u" 3; "d" "m" 4; "e" "u" 4;
"a" "e" "u" 3; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 4;
"a" "e" "u" 3; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 4;
"a" "e" "u" 3; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 4;
"a" "e" "u" 3; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 4;
"a" "e" "u" 3; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 4;
"a" "e" "u" 3; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 4;
"a" "e" "u" 3; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 4;
"a" "e" "u" 3; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 4;
"a" "e" "u" 3; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 4;
"a" "e" "u" 3; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 4;
"a" "e" "u" 3; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 4;
"a" "e" "u" 3; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 4;
"a" "e" "u" 3; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 4;
"a" "e" "u" 3; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 4;
"a" "e" "i" "u" 3; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 4;
"a" "e" "i" "u" 3; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 4;
"a" "e" "i" "u" 3; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 4;
"a" "e" "i" "u" 3; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 4;
"a" "e" 4; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 5;
"a" "e" 4; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 5;
"a" "e" 4; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 5;
"a" "e" 4; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 5;
"a" "e" 4; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 5;
"a" "e" 4; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 5;
"a" "e" 4; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 5;
