none
none
none
none
none
none
none
none
none
none
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "k" "x" 1; "e" "x" 1;
"d" "k" "x" 1; "e" "x" 1;
"d" "k" "x" 1; "e" "x" 1;
"d" "k" "x" 1; "e" "x" 1;
"d" "k" "x" 1; "e" "x" 1;
"d" "k" "x" 1; "e" "x" 1;
"a" "z" 1; "d" "k" "x" 1; "e" "x" 1;
"a" "z" 1; "d" "k" "x" 1; "e" "x" 1;
"a" "z" 1; "d" "k" "x" 1; "e" "x" 1;
"a" "z" 1; "d" "k" "x" 1; "e" "x" 1;
"a" "z" 1; "d" "k" "x" 1; "e" "x" 1;
"a" "z" 1; "d" "k" "x" 1; "e" "x" 1;
"a" "z" 1; "d" "k" "x" 1; "e" "x" 1;
"a" "z" 1; "c" "m" 1; "d" "x" 2; "e" "x" 1;
"a" "z" 1; "c" "m" 1; "d" "x" 2; "e" "x" 1;
"a" "z" 1; "c" "m" 1; "d" "x" 2; "e" "x" 1;
"a" "z" 1; "c" "m" 1; "d" "x" 2; "e" "x" 1;
"a" "d" "z" 1; "b" "d" 1; "c" "d" "m" 1; "d" "x" 2; "e" "x" 1;
"a" "d" "g" "z" 1; "b" "d" 1; "c" "d" "m" 1; "d" "x" 2; "e" "x" 1;
"a" "d" "g" "z" 1; "b" "d" 1; "c" "d" "m" 1; "d" "x" 2; "e" "x" 1;
"a" "d" "g" "z" 1; "b" "d" 1; "c" "d" "m" 1; "d" "x" 2; "e" "x" 1;
"a" "d" "g" "z" 1; "b" "d" 1; "c" "d" "m" 1; "d" "x" 2; "e" "x" 1;
"a" "d" "g" "z" 1; "b" "d" 1; "c" "d" "m" 1; "d" "x" 2; "e" "x" 1;
"a" "d" "g" "z" 1; "b" "d" 1; "c" "d" "m" 1; "d" "x" 2; "e" "x" 1;
"a" "d" "g" "z" 1; "b" "d" 2; "c" "d" "m" 1; "d" "x" 2; "e" "a" "x" 1;
"a" "d" "g" "z" 1; "b" "d" 2; "c" "d" "m" 1; "d" "x" 2; "e" "a" "x" 1;
"a" "d" "g" "z" 1; "b" "d" 2; "c" "d" "m" 1; "d" "x" 2; "e" "a" "x" 1;
"a" "d" "g" "z" 1; "b" "d" 2; "c" "d" "m" 1; "d" "x" 2; "e" "a" "x" 1;
"a" "d" "g" "z" 1; "b" "d" 2; "c" "d" "m" 1; "d" "x" 2; "e" "x" 2;
"a" "d" "g" "z" 1; "b" "d" 2; "c" "d" "m" 1; "d" "x" 2; "e" "x" 2;
"a" "d" "g" "z" 1; "b" "d" 2; "c" "d" "m" 1; "d" "x" 2; "e" "x" 2;
"a" "d" "g" "r" "z" 1; "b" "d" 2; "c" "d" "m" 1; "d" "x" 2; "e" "x" 2;
"a" "d" "g" "r" "z" 1; "b" "d" 2; "c" "d" "m" 1; "d" "x" 2; "e" "x" 2;
"a" "d" "g" "r" "z" 1; "b" "d" 2; "c" "d" "m" 1; "d" "x" 2; "e" "x" 2;
"a" "d" "g" "r" "z" 1; "b" "d" 2; "c" "d" "m" 1; "d" "x" 2; "e" "x" 2;
"a" "d" "g" "r" "z" 1; "b" "d" 2; "c" "d" "m" 1; "d" "x" 2; "e" "x" 2;
"a" "d" "f" "g" "r" "z" 1; "b" "d" 2; "c" "d" "m" 1; "d" "x" 2; "e" "x" 2;
"a" "d" "f" "g" "r" "z" 1; "b" "d" 2; "c" "d" "m" "p" "z" 1; "d" "q" "x" 2; "e" "x" 2;
"a" "d" "f" "g" "r" "z" 1; "b" "d" 2; "c" "d" "m" "o" "p" "z" 1; "d" "q" "x" 2; "e" "x" 2;
"a" "d" "f" "g" "r" "z" 1; "b" "d" 2; "c" "d" "m" "o" "p" "z" 1; "d" "c" "q" "x" 2; "e" "x" 2;
"a" "d" "f" "g" "p" "r" "z" 1; "b" "d" 2; "c" "d" "m" "o" "p" "z" 1; "d" "c" "q" "x" 2; "e" "x" 2;
"a" "d" "f" "g" "p" "r" "z" 1; "b" "d" 2; "c" "d" "m" "o" "p" "q" "z" 1; "d" "c" "q" "x" 2; "e" "x" 2;
