none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "g" 1;
"b" "g" 1;
"b" "g" 1;
"b" "g" 1;
"b" "g" 1;
"b" "g" "u" 1;
"b" "g" "u" 1;
"b" "g" "u" 1; "d" "v" 1;
"b" "g" "u" 1; "d" "v" 1;
"b" "g" "u" 1; "d" "v" 1;
"b" "g" "u" 1; "d" "v" 1; "e" "s" 1;
"b" "g" "u" 1; "d" "v" 1; "e" "s" 1;
"a" "k" 1; "b" "g" "u" 1; "d" "v" 1; "e" "s" 1;
"a" "k" 1; "b" "g" 2; "c" "u" 1; "d" "v" 1; "e" "s" 1;
"a" "k" 1; "b" "g" 2; "c" "u" 1; "d" "n" "v" 1; "e" "s" 1;
"a" "k" 1; "b" "g" 2; "c" "u" 1; "d" "n" "v" 1; "e" "s" 1;
"a" "k" 1; "b" "g" 2; "c" "u" 1; "d" "n" "v" 1; "e" "s" 1;
"a" "k" 1; "b" "g" 2; "c" "u" 1; "d" "n" "v" 1; "e" "s" 1;
"a" "k" 1; "b" "g" 2; "c" "u" 1; "d" "n" "v" 1; "e" "s" 1;
"a" "k" 1; "b" "g" 2; "c" "u" 1; "d" "n" "v" 1; "e" "s" 1;
"a" "e" "k" 1; "b" "g" 2; "c" "u" 1; "d" "n" "v" 1; "e" "s" 2;
"a" "e" "k" 1; "b" "g" 2; "c" "u" 1; "d" "n" "v" 1; "e" "s" 2;
"a" "e" "k" 1; "b" "g" 2; "c" "u" 1; "d" "n" "v" 1; "e" "s" 2;
"a" "k" 2; "b" "g" 2; "c" "u" 1; "d" "n" "v" 1; "e" "s" 2;
"a" "k" 2; "b" "g" 2; "c" "u" 1; "d" "n" "v" 1; "e" "s" 2;
"a" "k" 2; "b" "g" 2; "c" "u" 1; "d" "n" "v" 1; "e" "s" 2;
"a" "k" 2; "b" "g" 2; "c" "u" 1; "d" "n" "v" 1; "e" "s" 2;
"a" "k" 2; "b" "g" 2; "c" "u" 1; "d" "n" "v" 1; "e" "s" 2;
"a" "k" 2; "b" "g" 2; "c" "u" 1; "d" "n" "v" 1; "e" "s" 2;
"a" "k" 2; "b" "g" 2; "c" "h" "u" 1; "d" "n" "v" 1; "e" "s" 2;
"a" "k" 2; "b" "g" 2; "c" "h" "u" 1; "d" "n" "v" 1; "e" "s" 2;
"a" "k" 2; "b" "g" 2; "c" "h" "n" "u" 1; "d" "l" "n" "v" 1; "e" "s" 2;
"a" "k" 2; "b" "g" "s" 2; "c" "n" 2; "d" "l" "n" "v" 1; "e" "s" 2;
"a" "k" 2; "b" "g" "s" 2; "c" "n" 2; "d" "l" "n" "v" 1; "e" "s" 2;
"a" "k" 2; "b" "g" "s" 2; "c" "n" 2; "d" "l" "n" "v" 1; "e" "s" 2;
"a" "k" 2; "b" "g" "s" 2; "c" "n" 2; "d" "l" "n" "t" "v" 1; "e" "s" 2;
"a" "k" 2; "b" "g" "s" 2; "c" "n" 2; "d" "l" "n" "t" "v" 1; "e" "s" 2;
"a" "k" 2; "b" "g" "s" 2; "c" "n" 2; "d" "l" "n" "t" "v" 1; "e" "s" 2;
"a" "k" 2; "b" "g" "s" 2; "c" "n" 2; "d" "l" "n" "t" "v" 1; "e" "s" 2;
