none
none
none
none
none
"c" "g" 1;
"c" "g" 1;
"c" "g" 1;
"c" "g" 1;
"c" "g" 1;
"c" "g" 1;
"c" "g" 1;
"c" "g" 1; "d" "p" 1;
"c" "g" 1; "d" "p" 1;
"c" "g" 1; "d" "p" 1;
"c" "g" 1; "d" "p" 1;
"c" "g" 1; "d" "p" 1;
"c" "g" 1; "d" "p" 1;
"c" "g" 1; "d" "p" 1;
"c" "g" 1; "d" "p" 1;
"c" "g" 1; "d" "p" 1;
"c" "g" 1; "d" "p" 1;
"c" "g" 1; "d" "p" 1;
"b" "y" 1; "c" "g" 1; "d" "p" 1; "e" "i" 1;
"b" "y" 1; "c" "g" 1; "d" "p" 1; "e" "i" 1;
"b" "y" 1; "c" "g" 1; "d" "p" 1; "e" "i" 1;
"b" "y" 1; "c" "g" 1; "d" "p" 1; "e" "i" 1;
"b" "y" 1; "c" "g" 1; "d" "p" 1; "e" "i" 1;
"b" "y" 1; "c" "g" 1; "d" "p" 1; "e" "i" 1;
"a" "j" 1; "b" "y" 1; "c" "g" 1; "d" "p" 1; "e" "i" 1;
"a" "j" 1; "b" "y" 1; "c" "g" 1; "d" "p" 1; "e" "i" 1;
"a" "j" 1; "b" "y" 1; "c" "g" 1; "d" "p" 1; "e" "i" 1;
"a" "j" 1; "b" "y" 1; "c" "g" 1; "d" "p" 1; "e" "i" 1;
"a" "j" 1; "b" "y" 1; "c" "g" 1; "d" "p" 1; "e" "i" 1;
"a" "j" 1; "b" "k" "y" 1; "c" "g" 1; "d" "p" 1; "e" "i" 1;
"a" "j" 1; "b" "k" "y" 1; "c" "g" 1; "d" "l" "p" 1; "e" "i" 1;
"a" "j" 1; "b" "k" "y" 1; "c" "g" 1; "d" "l" "p" 1; "e" "i" 1;
"a" "j" 1; "b" "k" "y" 1; "c" "g" 1; "d" "l" "p" 1; "e" "i" 1;
"a" "j" 1; "b" "k" "y" 1; "c" "g" 1; "d" "l" "p" 1; "e" "i" 1;
"a" "j" 1; "b" "k" "y" 1; "c" "g" 1; "d" "l" "p" 1; "e" "i" 1;
"a" "i" "j" "n" "s" 1; "b" "k" "y" 1; "c" "g" "q" 1; "d" "j" "l" "p" 1; "e" "i" 1;
"a" "i" 2; "b" "k" "y" 1; "c" "g" "q" 1; "d" "j" "l" "p" 1; "e" "i" "p" 1;
"a" "i" 2; "b" "k" "y" 1; "c" "g" "q" 1; "d" "j" "l" "p" 1; "e" "i" "p" 1;
"a" "i" 2; "b" "k" "y" 1; "c" "g" "q" 1; "d" "b" "j" "l" "p" 1; "e" "i" "p" 1;
"a" "i" 2; "b" "k" "q" "y" 1; "c" "g" "q" 1; "d" "b" "j" "l" "p" 1; "e" "i" "p" 1;
"a" "i" 2; "b" "k" "q" "y" 1; "c" "g" "q" 1; "d" "b" "j" "l" "p" 1; "e" "i" "p" 1;
"a" "i" 2; "b" "k" "q" "y" 1; "c" "g" "q" 1; "d" "b" "j" "l" "p" 1; "e" "i" "p" 1;
"a" "i" 2; "b" "k" "q" "y" 1; "c" "g" "q" 1; "d" "b" "j" "l" "p" "y" 1; "e" "i" "p" 1;
"a" "i" 2; "b" "k" "q" "y" 1; "c" "g" "q" 1; "d" "b" "j" "l" "p" "y" 1; "e" "i" "p" 1;
"a" "i" 2; "b" "k" "q" "y" 1; "c" "g" "q" 1; "d" "b" "j" "l" "p" "y" 1; "e" "i" "p" 1;
"a" "i" 2; "b" "k" "n" "q" "y" 1; "c" "g" "q" 1; "d" "b" "j" "l" "p" "y" 1; "e" "i" "p" 1;
"a" "i" 2; "b" "k" "n" "q" "y" 1; "c" "g" "q" 1; "d" "b" "j" "l" "p" "y" 1; "e" "i" "p" 1;
"a" "i" 2; "b" "n" 2; "c" "g" "q" 1; "d" "b" "j" "l" "p" "y" 1; "e" "i" "p" 1;
"a" "i" 2; "b" "n" 2; "c" "g" "q" 1; "d" "b" "j" "l" "p" "x" "y" 1; "e" "i" "p" 1;
"a" "i" 2; "b" "n" 2; "c" "g" "q" 1; "d" "b" "j" "l" "p" "x" "y" 1; "e" "i" "p" 1;
"a" "i" 2; "b" "n" 2; "c" "g" "q" 1; "d" "b" "j" "l" "p" "x" "y" 1; "e" "i" "p" 1;
"a" "i" 2; "b" "n" 2; "c" "g" "q" 1; "d" "b" "j" "l" "p" "x" "y" 1; "e" "i" "p" 1;
"a" "i" 2; "b" "n" 2; "c" "g" "q" 1; "d" "b" "j" "l" "p" "x" "y" 1; "e" "i" "p" 1;
"a" "i" 2; "b" "n" 2; "c" "g" "p" "q" 1; "d" "b" "j" "l" "p" "x" "y" 1; "e" "i" "p" 1;
