none
none
none
none
none
none
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"b" "n" 1; "c" "a" 1;
"b" "n" 1; "c" "a" 1;
"b" "n" "v" 1; "c" "a" 1; "e" "y" 1;
"b" "n" "v" "x" 1; "c" "a" 1; "e" "y" 1;
"b" "n" "v" "x" 1; "c" "a" 1; "e" "y" 1;
"b" "k" "n" "v" "x" 1; "c" "a" 1; "e" "b" "y" 1;
"b" "k" "n" "v" "x" 1; "c" "a" 1; "e" "b" "y" 1;
"b" "k" "n" "v" "x" 1; "c" "a" 1; "e" "b" "y" 1;
"b" "k" "n" "v" "x" 1; "c" "a" 1; "e" "b" "y" 1;
"b" "k" "n" "v" "x" 1; "c" "a" 1; "e" "b" "y" 1;
"b" "k" "n" "v" "x" 1; "c" "a" 1; "e" "b" "y" 1;
"b" "k" "n" "v" "x" 1; "c" "a" 1; "e" "b" "y" 1;
"b" "b" "k" "n" "v" "x" 1; "c" "a" 1; "e" "b" "y" 1;
"b" "b" "k" "n" "r" "v" "x" 1; "c" "a" 1; "d" "i" 1; "e" "b" "y" 1;
"b" "b" "k" "n" "r" "v" "x" 1; "c" "a" 1; "d" "i" 1; "e" "b" "y" 1;
"a" "a" 1; "b" "b" "k" "n" "r" "v" "x" 1; "c" "a" 1; "d" "i" 1; "e" "b" "y" 1;
"a" "a" 1; "b" "b" "k" "n" "r" "v" "x" 1; "c" "a" 1; "d" "i" 1; "e" "b" "y" 1;
"a" "a" 1; "b" "b" "k" "n" "r" "v" "x" 1; "c" "a" 1; "d" "i" 1; "e" "b" "y" 1;
"a" "a" 1; "b" "b" "k" "n" "r" "v" "x" 1; "c" "a" 1; "d" "i" 1; "e" "b" "y" 1;
"a" "a" "i" 1; "b" "b" "k" "n" "r" "v" "x" 1; "c" "a" 1; "d" "i" 1; "e" "b" "y" 1;
"a" "a" "i" "j" 1; "b" "b" "k" "n" "r" "v" "x" 1; "c" "a" 1; "d" "i" 1; "e" "b" "y" 1;
"a" "a" "i" "j" 1; "b" "x" 2; "c" "a" "x" 1; "d" "i" "l" 1; "e" "b" "y" 1;
"a" "a" "i" "j" 1; "b" "r" "x" 2; "c" "a" "x" 1; "d" "i" "l" 1; "e" "b" "y" 1;
"a" "a" "i" "j" 1; "b" "r" "x" 2; "c" "a" "x" 1; "d" "i" "l" 1; "e" "b" "y" 1;
"a" "a" "i" "j" 1; "b" "r" "x" 2; "c" "a" "x" 1; "d" "i" "l" 1; "e" "b" "y" 1;
"a" "a" "i" "j" 1; "b" "r" "x" 2; "c" "a" "x" 1; "d" "i" "l" 1; "e" "b" "y" 1;
