none
none
none
none
none
none
none
none
none
none
none
"e" "z" 1;
"e" "f" "z" 1;
"e" "f" "z" 1;
"e" "f" "z" 1;
"e" "f" "z" 1;
"e" "f" "z" 1;
"e" "f" "z" 1;
"e" "f" "z" 1;
"a" "l" 1; "e" "f" "z" 1;
"a" "l" 1; "e" "f" "z" 1;
"a" "l" 1; "e" "f" "z" 1;
"a" "l" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "k" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "k" 1; "c" "z" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "k" 1; "c" "z" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "k" 1; "c" "z" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "k" 1; "c" "z" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "k" "q" 1; "c" "z" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "k" "q" 1; "c" "z" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "k" "q" 1; "c" "z" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "k" "q" 1; "c" "z" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "k" "q" 1; "c" "z" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "e" "k" "q" 1; "c" "b" "z" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "e" "k" "q" 1; "c" "b" "z" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "e" "k" "q" 1; "c" "b" "z" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "e" "h" "k" "q" 1; "c" "b" "e" "l" "x" "z" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "e" "h" "k" "q" 1; "c" "b" "e" "l" "x" "z" 1; "d" "y" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "e" "h" "k" "q" 1; "c" "b" "e" "l" "x" "z" 1; "d" "y" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "e" "h" "k" "q" 1; "c" "b" "e" "l" "x" "z" 1; "d" "y" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "k" 2; "c" "b" "e" "l" "x" "z" 1; "d" "y" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "k" 2; "c" "b" "e" "l" "x" "z" 1; "d" "i" "y" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "k" 2; "c" "b" "e" "l" "x" "z" 1; "d" "i" "y" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "k" 2; "c" "b" "e" "l" "x" "z" 1; "d" "y" 2; "e" "a" "f" "z" 1;
"a" "l" 1; "b" "k" 2; "c" "b" "e" "l" "x" "z" 1; "d" "y" 2; "e" "a" "f" "z" 1;
"a" "l" 1; "b" "k" 2; "c" "b" "e" "l" "x" "z" 1; "d" "y" 2; "e" "a" "f" "z" 1;
"a" "l" 1; "b" "k" 2; "c" "b" "e" "l" "x" "z" 1; "d" "y" 2; "e" "a" "f" "y" "z" 1;
"a" "l" 1; "b" "k" 2; "c" "b" "e" "l" "x" "z" 1; "d" "y" 2; "e" "a" "f" "y" "z" 1;
"a" "l" 1; "b" "k" 2; "c" "b" "e" "l" "x" "z" 1; "d" "y" 2; "e" "a" "f" "y" "z" 1;
"a" "l" 1; "b" "k" 2; "c" "b" "e" "l" "x" "z" 1; "d" "y" 2; "e" "a" "f" "y" "z" 1;
"a" "l" 1; "b" "k" 2; "c" "l" 2; "d" "y" 2; "e" "a" "f" "y" "z" 1;
"a" "l" 1; "b" "k" 2; "c" "l" 2; "d" "y" 2; "e" "a" "f" "y" "z" 1;
"a" "l" 1; "b" "k" 2; "c" "l" 2; "d" "y" 2; "e" "z" 2;
"a" "l" 1; "b" "k" 2; "c" "l" 3; "d" "y" 2; "e" "z" 2;
"a" "l" 1; "b" "k" 2; "c" "l" 4; "d" "y" 2; "e" "z" 2;
"a" "l" 1; "b" "k" 2; "c" "l" 4; "d" "y" 2; "e" "z" 2;
"a" "l" 1; "b" "k" 2; "c" "l" 4; "d" "y" 2; "e" "f" "z" 2;
"a" "l" 1; "b" "k" 2; "c" "l" 4; "d" "y" 2; "e" "f" "z" 2;
"a" "l" 1; "b" "k" 2; "c" "l" 4; "d" "y" 2; "e" "f" "z" 2;
"a" "l" 1; "b" "k" 2; "c" "l" 4; "d" "y" 2; "e" "f" "z" 2;
"a" "l" "r" 1; "b" "k" 2; "c" "l" 4; "d" "y" 2; "e" "f" "z" 2;
"a" "l" "r" 1; "b" "k" 2; "c" "l" 4; "d" "y" 2; "e" "f" "z" 2;
"a" "l" "r" 1; "b" "k" 2; "c" "l" 4; "d" "y" 2; "e" "f" "z" 2;
"a" "l" "r" 1; "b" "k" 2; "c" "l" 4; "d" "y" 2; "e" "f" "z" 2;
"a" "l" "r" 1; "b" "k" 2; "c" "l" 4; "d" "y" 2; "e" "f" "z" 2;
"a" "l" "r" 1; "b" "k" 2; "c" "l" 4; "d" "y" 2; "e" "f" "z" 2;
"a" "l" "r" 1; "b" "k" "v" 2; "c" "l" 4; "d" "y" 2; "e" "f" "z" 2;
"a" "l" "r" 1; "b" "k" "v" 2; "c" "l" 4; "d" "y" 2; "e" "f" "z" 2;
"a" "l" "r" 1; "b" "k" "v" 2; "c" "l" 4; "d" "y" 2; "e" "f" "z" 2;
"a" "l" "r" 1; "b" "k" "v" 2; "c" "l" 4; "d" "y" 2; "e" "f" "z" 2;
"a" "r" 2; "b" "k" "v" 2; "c" "l" 4; "d" "y" 2; "e" "f" "z" 2;
"a" "r" 2; "b" "k" "v" 2; "c" "l" 4; "d" "y" 2; "e" "f" "z" 2;
"a" "r" 2; "b" "k" "v" 2; "c" "l" 4; "d" "y" 2; "e" "f" "z" 2;
