none
none
none
none
none
none
none
none
none
none
none
"e" "w" 1;
"e" "w" 1;
"c" "w" 1; "e" "w" 1;
"c" "w" 1; "e" "b" "w" 1;
"c" "w" 1; "e" "b" "w" 1;
"c" "w" 1; "e" "b" "w" 1;
"c" "w" 1; "d" "b" 1; "e" "b" "w" 1;
"c" "w" 1; "d" "b" 1; "e" "b" "w" 1;
"c" "w" 1; "d" "b" 1; "e" "b" "w" 1;
"c" "w" 1; "d" "b" 1; "e" "b" "w" 1;
"c" "w" 1; "d" "b" 1; "e" "b" "w" 1;
"a" "h" 1; "c" "w" 1; "d" "b" 1; "e" "b" "w" 1;
"a" "h" 1; "b" "k" 1; "c" "w" 1; "d" "b" 1; "e" "b" "w" 1;
"a" "h" 1; "b" "k" 1; "c" "w" 1; "d" "b" 1; "e" "b" "w" 1;
"a" "h" 1; "b" "k" 1; "c" "w" 1; "d" "b" 1; "e" "b" "w" 1;
"a" "h" 1; "b" "k" 1; "c" "w" 1; "d" "b" "y" 1; "e" "b" "w" 1;
"a" "h" 1; "b" "k" 1; "c" "w" 1; "d" "b" "y" 1; "e" "b" "w" 1;
"a" "h" 1; "b" "k" 1; "c" "w" 1; "d" "b" "y" 1; "e" "w" 2;
"a" "h" 1; "b" "k" 1; "c" "w" 1; "d" "b" "y" 1; "e" "w" 2;
"a" "h" 1; "b" "k" 1; "c" "w" 1; "d" "b" "y" 1; "e" "w" 2;
"a" "h" 1; "b" "k" 1; "c" "w" 1; "d" "b" "y" 1; "e" "w" 2;
"a" "h" 1; "b" "k" 1; "c" "w" 1; "d" "b" "y" 1; "e" "w" 2;
"a" "h" 1; "b" "k" 1; "c" "w" 1; "d" "b" "y" 1; "e" "w" 2;
"a" "h" 1; "b" "k" 1; "c" "w" 1; "d" "b" "y" 1; "e" "w" 2;
"a" "h" "n" 1; "b" "k" 1; "c" "b" "w" 1; "d" "b" "y" 1; "e" "d" "w" 2;
"a" "h" "n" 1; "b" "k" 1; "c" "b" "w" 1; "d" "b" "y" 1; "e" "d" "w" 2;
"a" "h" "n" 1; "b" "k" 1; "c" "b" "w" 1; "d" "b" "y" 1; "e" "d" "w" 2;
"a" "h" "i" "n" 1; "b" "k" 1; "c" "b" "w" 1; "d" "b" "o" "y" 1; "e" "d" "w" 2;
"a" "b" "h" "i" "n" "u" 1; "b" "k" 1; "c" "b" "w" 1; "d" "b" "o" "y" 1; "e" "d" "w" 2;
"a" "b" "h" "i" "n" "u" 1; "b" "k" 1; "c" "b" "w" 1; "d" "b" "o" "y" 1; "e" "d" "w" 2;
"a" "b" "h" "i" "n" "u" 1; "b" "k" 1; "c" "b" "w" 1; "d" "b" "o" "y" 1; "e" "d" "w" 2;
"a" "b" "h" "i" "n" "u" 1; "b" "k" 1; "c" "b" "w" 1; "d" "b" "o" "y" 1; "e" "d" "w" 2;
"a" "b" "h" "i" "n" "u" 1; "b" "k" 1; "c" "b" "w" 1; "d" "b" "o" "y" 1; "e" "d" "w" 2;
"a" "b" "h" "i" "n" "u" 1; "b" "k" 1; "c" "b" "w" 1; "d" "b" "o" "q" "y" 1; "e" "d" "w" 2;
"a" "b" "h" "i" "n" "u" 1; "b" "k" "p" 1; "c" "b" "w" 1; "d" "b" "o" "q" "y" 1; "e" "d" "w" 2;
"a" "b" "h" "i" "n" "u" 1; "b" "k" "p" "t" 1; "c" "b" "o" "w" 1; "d" "b" "o" "q" "y" 1; "e" "d" "w" 2;
"a" "b" "h" "i" "n" "u" 1; "b" "k" "p" "t" 1; "c" "b" "o" "w" 1; "d" "b" "o" "q" "y" 1; "e" "b" "d" "w" 2;
"a" "b" "h" "i" "n" "u" 1; "b" "k" "p" "t" 1; "c" "b" "o" "w" 1; "d" "b" "o" "q" "y" 1; "e" "b" "d" "w" 2;
"a" "b" "h" "i" "n" "t" "u" 1; "b" "e" "k" "p" "t" 1; "c" "b" "o" "w" 1; "d" "y" 2; "e" "b" "d" "w" 2;
"a" "b" "h" "i" "n" "t" "u" 1; "b" "e" "k" "p" "t" 1; "c" "b" "o" "w" 1; "d" "y" 2; "e" "b" 3;
"a" "b" "h" "i" "n" "t" "u" 1; "b" "e" "k" "p" "t" 1; "c" "b" "o" "w" 1; "d" "y" 2; "e" "b" 3;
"a" "b" "h" "i" "n" "t" "u" 1; "b" "e" "k" "p" "t" 1; "c" "b" "o" "w" 1; "d" "y" 2; "e" "b" 3;
"a" "b" "h" "i" "n" "t" "u" 1; "b" "e" "k" "p" "t" 1; "c" "b" "o" "w" 1; "d" "y" 2; "e" "b" 3;
"a" "b" "h" "i" "n" "t" "u" 1; "b" "e" "k" "p" "t" 1; "c" "b" "o" "w" 1; "d" "y" 2; "e" "b" 3;
"a" "b" "h" "i" "n" "t" "u" 1; "b" "e" "k" "p" "t" 1; "c" "b" "o" "w" 1; "d" "y" 2; "e" "b" 3;
"a" "b" "h" "i" "n" "t" "u" 1; "b" "e" "k" "p" "t" 1; "c" "b" "o" "w" 1; "d" "y" 2; "e" "b" 3;
"a" "b" "h" "i" "n" "t" "u" 1; "b" "e" "k" "p" "t" 1; "c" "b" "o" "w" 1; "d" "y" 2; "e" "b" 3;
"a" "b" "h" "i" "n" "t" "u" 1; "b" "e" "k" "p" "t" 1; "c" "b" "o" "w" 1; "d" "y" 2; "e" "b" 3;
"a" "b" "e" "g" "h" "i" "n" "t" "u" 1; "b" "e" "h" "k" "p" "t" 1; "c" "b" "o" "w" 1; "d" "y" 2; "e" "b" 3;
"a" "b" "e" "g" "h" "i" "n" "t" "u" 1; "b" "e" "h" "k" "p" "t" 1; "c" "b" "o" "w" 1; "d" "y" 2; "e" "b" 3;
"a" "b" "e" "g" "h" "i" "n" "t" "u" 1; "b" "e" "h" "k" "p" "t" 1; "c" "b" "o" "w" 1; "d" "y" 2; "e" "b" 3;
"a" "b" "e" "g" "h" "i" "n" "t" "u" 1; "b" "e" "h" "k" "p" "t" 1; "c" "b" "o" "w" 1; "d" "y" 2; "e" "b" 3;
"a" "b" "e" "g" "h" "i" "n" "t" "u" 1; "b" "e" "h" "k" "p" "t" 1; "c" "b" "o" "w" 1; "d" "y" 2; "e" "b" 3;
"a" "b" "e" "g" "h" "i" "n" "t" "u" 1; "b" "e" "h" "k" "p" "t" 1; "c" "b" "o" "w" 1; "d" "y" 2; "e" "b" 3;
"a" "b" "e" "g" "h" "i" "n" "t" "u" 1; "b" "e" "h" "k" "p" "t" 1; "c" "b" "o" "w" 1; "d" "y" 2; "e" "b" 3;
"a" "b" "e" "g" "h" "i" "n" "t" "u" 1; "b" "e" "h" "k" "p" "t" 1; "c" "b" "o" "w" 1; "d" "y" 2; "e" "b" 3;
"a" "b" "e" "g" "h" "i" "n" "t" "u" 1; "b" "e" "h" "k" "p" "q" "t" 1; "c" "b" "h" "o" "w" 1; "d" "u" "y" 2; "e" "b" 3;
"a" "b" "e" "g" "h" "i" "n" "t" "u" 1; "b" "e" "h" "k" "p" "q" "t" 1; "c" "b" "h" "o" "w" 1; "d" "u" "y" 2; "e" "b" 3;
"a" "b" "e" "g" "h" "i" "n" "o" "t" "u" 1; "b" "q" 2; "c" "b" "h" "o" "w" 1; "d" "u" "y" 2; "e" "b" 3;
"a" "b" "e" "g" "h" "i" "n" "o" "t" "u" 1; "b" "q" 2; "c" "b" "h" "o" "w" 1; "d" "u" "y" 2; "e" "b" 3;
"a" "b" "e" "g" "h" "i" "n" "o" "t" "u" 1; "b" "q" 2; "c" "b" "h" "o" "w" 1; "d" "u" "y" 2; "e" "b" 3;
"a" "i" 2; "b" "q" 2; "c" "b" "h" "o" "p" "w" 1; "d" "u" "y" 2; "e" "b" "h" 3;
"a" "i" 2; "b" "q" 2; "c" "b" 2; "d" "u" "y" 2; "e" "b" "h" 3;
"a" "i" 2; "b" "q" 2; "c" "b" 2; "d" "u" "y" 2; "e" "b" "h" 3;
"a" "i" 2; "b" "q" 2; "c" "b" 2; "d" "u" "y" 2; "e" "b" "h" 3;
"a" "i" 2; "b" "q" 2; "c" "b" 2; "d" "u" "y" 2; "e" "b" "h" 3;
"a" "i" 2; "b" "q" 2; "c" "b" 2; "d" "u" "y" 2; "e" "b" "h" 3;
"a" "i" 2; "b" "q" 2; "c" "b" "p" 2; "d" "u" 3; "e" "b" "h" 3;
"a" "i" 2; "b" "q" 2; "c" "b" "p" 2; "d" "u" 3; "e" "b" "h" 3;
"a" "i" 2; "b" "q" 2; "c" "b" "p" 2; "d" "u" 3; "e" "b" "h" 3;
"a" "i" 2; "b" "q" 2; "c" "b" "p" 2; "d" "u" 3; "e" "b" "h" 3;
"a" "i" "o" 2; "b" "q" 2; "c" "b" "p" 2; "d" "u" 3; "e" "b" "h" 3;
"a" "i" "o" 2; "b" "q" 2; "c" "b" "p" 2; "d" "u" "y" 2; "e" "b" "h" 3;
"a" "i" "o" 2; "b" "q" 2; "c" "b" "p" 2; "d" "u" "y" 2; "e" "b" "h" 3;
"a" "i" "o" 2; "b" "q" 2; "c" "b" "p" 2; "d" "u" "y" 2; "e" "b" "h" 3;
"a" "i" "o" 2; "b" "q" 2; "c" "b" "p" 2; "d" "u" "y" 2; "e" "b" "h" 3;
"a" "i" "o" 2; "b" "q" 2; "c" "b" "p" 2; "d" "u" "y" 2; "e" "b" "h" 3;
"a" "i" "o" 2; "b" "q" 2; "c" "b" "p" 2; "d" "u" "y" 2; "e" "b" "h" 3;
"a" "i" "o" 2; "b" "q" 2; "c" "b" "p" 2; "d" "u" "y" 2; "e" "b" "h" 3;
"a" "i" "o" 2; "b" "q" 2; "c" "b" "p" 2; "d" "u" "y" 2; "e" "b" "h" 3;
"a" "i" "o" 2; "b" "q" 2; "c" "b" "p" 2; "d" "u" "y" 2; "e" "b" "h" 3;
"a" "i" "o" 2; "b" "q" 2; "c" "b" "p" 2; "d" "u" "y" 2; "e" "b" "h" 3;
"a" "i" "o" 2; "b" "q" 2; "c" "b" "p" 2; "d" "d" "u" "y" 2; "e" "b" "h" 3;
"a" "i" "o" 2; "b" "q" 2; "c" "b" "p" 2; "d" "d" "u" "y" 2; "e" "b" "h" 3;
"a" "o" 3; "b" "q" "r" 2; "c" "b" "p" 2; "d" "d" "u" "y" 2; "e" "b" "h" 3;
"a" "o" 3; "b" "q" "r" 2; "c" "b" "p" 2; "d" "d" "u" "y" 2; "e" "b" "h" 3;
