none
none
none
none
none
none
none
none
none
"d" "w" 1;
"d" "w" 1;
"d" "v" "w" 1;
"d" "v" "w" 1;
"d" "v" "w" 1;
"d" "v" "w" 1;
"d" "v" "w" 1;
"d" "v" "w" 1;
"d" "v" "w" 1;
"d" "v" "w" 1;
"d" "v" "w" 1;
"d" "v" "w" 1;
"d" "v" "w" 1;
"d" "g" "j" "v" "w" 1;
"d" "g" "j" "v" "w" 1;
"d" "g" "j" "v" "w" 1;
"d" "g" "j" "v" "w" 1;
"c" "r" 1; "d" "g" "j" "v" "w" 1;
"c" "r" 1; "d" "g" "j" "v" "w" 1;
"c" "r" 1; "d" "g" "j" "v" "w" 1;
"c" "r" 1; "d" "g" "j" "v" "w" 1;
"c" "r" 1; "d" "g" "j" "v" "w" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "g" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "g" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "g" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "g" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "a" "d" "h" 1;
"a" "g" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "a" "d" "h" 1;
"a" "g" "q" "v" 1; "b" "j" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "a" "d" "h" 1;
"a" "g" "q" "v" 1; "b" "j" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "a" "d" "h" 1;
"a" "g" "q" "v" 1; "b" "j" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "a" "d" "h" 1;
"a" "g" "q" "v" 1; "b" "j" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "a" "d" "h" 1;
"a" "g" "q" "v" 1; "b" "j" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "a" "d" "h" 1;
"a" "g" "q" "v" 1; "b" "j" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "g" "q" "v" 1; "b" "j" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "g" "p" "q" "v" 1; "b" "j" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "g" "p" "q" "v" 1; "b" "j" "q" 1; "c" "e" "f" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "g" "p" "q" "v" 1; "b" "j" "q" 1; "c" "e" "f" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "g" "p" "q" "v" 1; "b" "q" 2; "c" "e" "f" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "g" "p" "q" "v" 1; "b" "q" 2; "c" "e" "f" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" "m" 1;
"a" "g" "p" "q" "v" 1; "b" "q" 2; "c" "e" "f" "r" "v" 1; "d" "d" "g" "j" "v" "w" 1; "e" "d" "h" "m" 1;
"a" "g" "p" "q" "v" 1; "b" "q" 2; "c" "e" "f" "r" "v" 1; "d" "d" "g" "j" "v" "w" 1; "e" "a" "d" "h" "m" 1;
"a" "g" "p" "q" "v" 1; "b" "q" 2; "c" "e" "f" "r" "v" 1; "d" "d" "g" "j" "v" "w" 1; "e" "a" "d" "h" "m" 1;
"a" "g" "p" "q" "v" 1; "b" "q" 2; "c" "e" "f" "r" "v" 1; "d" "d" "g" "j" "v" "w" 1; "e" "a" "d" "h" "m" 1;
"a" "g" "p" "q" "v" 1; "b" "q" 2; "c" "e" "f" "r" "v" 1; "d" "d" "g" "j" "v" "w" 1; "e" "a" "d" "h" "m" 1;
"a" "g" "p" "q" "v" 1; "b" "q" 2; "c" "e" "f" "r" "v" 1; "d" "d" "g" "j" "o" "v" "w" 1; "e" "a" "d" "h" "m" 1;
"a" "g" "p" "q" "v" 1; "b" "q" 2; "c" "e" "f" "n" "r" "v" 1; "d" "d" "g" "j" "o" "v" "w" 1; "e" "m" 2;
"a" "g" "p" "q" "v" 1; "b" "q" 2; "c" "e" "f" "n" "r" "v" 1; "d" "o" 2; "e" "a" "m" 2;
"a" "g" "p" "q" "v" 1; "b" "q" 2; "c" "e" "f" "n" "r" "v" 1; "d" "o" 2; "e" "a" "m" 2;
"a" "p" 2; "b" "q" 2; "c" "e" "f" "n" "r" "v" 1; "d" "o" 2; "e" "m" 3;
"a" "g" "p" 2; "b" "q" 2; "c" "e" "f" "n" "r" "v" 1; "d" "o" 2; "e" "m" 3;
"a" "g" "p" 2; "b" "q" 2; "c" "e" "f" "n" "r" "v" 1; "d" "o" 2; "e" "m" 3;
"a" "g" "p" 2; "b" "q" 2; "c" "e" "f" "i" "n" "r" "v" 1; "d" "o" 2; "e" "m" 3;
"a" "g" "p" 2; "b" "q" 2; "c" "e" "f" "i" "n" "r" "v" 1; "d" "o" 2; "e" "m" 3;
"a" "g" "p" 2; "b" "q" 2; "c" "e" "f" "i" "n" "r" "v" 1; "d" "o" 2; "e" "m" 3;
"a" "g" "p" 2; "b" "q" 2; "c" "e" "f" "i" "n" "r" "v" 1; "d" "o" 2; "e" "m" 3;
"a" "g" "p" 2; "b" "q" 2; "c" "e" "f" "i" "n" "r" "v" 1; "d" "o" 2; "e" "m" 3;
"a" "g" "p" 2; "b" "q" 2; "c" "e" "f" "i" "n" "r" "v" 1; "d" "o" 2; "e" "m" 3;
"a" "g" "p" 2; "b" "q" 2; "c" "e" "f" "i" "n" "r" "v" 1; "d" "o" 2; "e" "m" 3;
"a" "g" "p" 2; "b" "q" 2; "c" "e" "f" "i" "n" "r" "v" 1; "d" "o" 2; "e" "m" 3;
"a" "g" "p" 2; "b" "q" 2; "c" "e" "f" "i" "j" "n" "r" "v" 1; "d" "o" 2; "e" "m" 3;
"a" "g" "p" 2; "b" "q" 2; "c" "n" 2; "d" "o" 2; "e" "m" 3;
"a" "g" "p" 2; "b" "q" 2; "c" "n" 2; "d" "o" 2; "e" "a" "m" 3;
"a" "g" "p" 2; "b" "q" 2; "c" "n" 2; "d" "o" 2; "e" "a" "m" 3;
"a" "g" "p" 2; "b" "q" 2; "c" "n" 2; "d" "o" 2; "e" "a" "m" 3;
"a" "p" 3; "b" "q" 2; "c" "n" 2; "d" "o" 2; "e" "a" "m" 3;
"a" "p" 3; "b" "q" 2; "c" "n" 2; "d" "o" 2; "e" "a" "m" 3;
"a" "p" 3; "b" "q" 2; "c" "n" 2; "d" "o" 2; "e" "a" "m" 3;
"a" "p" 3; "b" "q" 2; "c" "n" 2; "d" "o" 2; "e" "a" "m" 3;
"a" "p" 3; "b" "q" 2; "c" "n" 2; "d" "o" 2; "e" "a" "m" 3;
"a" "p" 3; "b" "q" 2; "c" "n" 2; "d" "o" 2; "e" "a" "m" 3;
"a" "p" 3; "b" "q" 2; "c" "n" 2; "d" "o" 2; "e" "a" "m" 3;
"a" "p" 3; "b" "q" 2; "c" "i" "n" 2; "d" "o" 2; "e" "a" "m" 3;
"a" "p" 3; "b" "q" 2; "c" "i" "n" 2; "d" "o" 2; "e" "a" "m" 3;
"a" "p" 3; "b" "q" 2; "c" "i" "n" "r" 2; "d" "o" 2; "e" "a" "m" 3;
"a" "p" 3; "b" "q" 2; "c" "i" "n" "r" 2; "d" "o" 2; "e" "a" "m" 3;
"a" "p" 3; "b" "q" 2; "c" "i" "n" "r" 2; "d" "o" 2; "e" "a" "m" 3;
"a" "p" 3; "b" "q" 2; "c" "i" "n" "r" 2; "d" "o" 2; "e" "a" "m" 3;
"a" "p" 3; "b" "q" 2; "c" "i" "n" "r" 2; "d" "h" "o" 2; "e" "a" "m" 3;
"a" "p" 3; "b" "q" 2; "c" "i" "n" "r" 2; "d" "h" "o" 2; "e" "a" "m" 3;
"a" "p" 3; "b" "l" "q" 2; "c" "i" "n" "r" 2; "d" "h" "o" 2; "e" "a" "m" 3;
"a" "p" 3; "b" "l" "q" "t" 2; "c" "i" "n" "r" 2; "d" "h" "o" 2; "e" "a" "m" 3;
"a" "p" 3; "b" "l" "q" "t" 2; "c" "i" "n" "r" 2; "d" "h" "o" 2; "e" "a" "m" 3;
"a" "p" 3; "b" "l" "q" "t" 2; "c" "i" "n" "r" 2; "d" "h" "o" 2; "e" "a" "m" 3;
"a" "p" 3; "b" "l" "q" "t" 2; "c" "i" "n" "r" 2; "d" "h" "o" 2; "e" "a" "m" 3;
"a" "p" 3; "b" "l" "q" "t" 2; "c" "i" "n" "r" 2; "d" "h" "o" 2; "e" "a" "m" 3;
"a" "p" 3; "b" "l" "q" "t" 2; "c" "i" "n" "r" 2; "d" "h" "o" 2; "e" "a" "m" 3;
"a" "p" 3; "b" "l" "q" "t" 2; "c" "i" "n" "r" 2; "d" "h" "o" 2; "e" "a" "m" 3;
"a" "p" 3; "b" "l" "q" "t" 2; "c" "i" "n" "r" 2; "d" "h" "o" 2; "e" "a" "m" 3;
"a" "p" 3; "b" "l" "q" "t" 2; "c" "i" "n" "r" 2; "d" "h" "o" 2; "e" "a" "m" 3;
"a" "p" 3; "b" "l" "q" "t" 2; "c" "i" "n" "r" 2; "d" "h" "o" 2; "e" "a" "m" 3;
"a" "p" 3; "b" "l" "n" "q" "t" 2; "c" "i" "n" "r" 2; "d" "h" "o" 2; "e" "a" "m" 3;
"a" "p" 3; "b" "l" "n" "q" "t" 2; "c" "i" "n" "r" 2; "d" "h" "o" 2; "e" "a" "m" 3;
"a" "p" 3; "b" "l" "n" "q" "t" 2; "c" "i" "n" "r" 2; "d" "h" "o" 2; "e" "a" "m" 3;
"a" "j" "p" 3; "b" "l" "n" "q" "t" 2; "c" "f" "i" "n" "r" 2; "d" "h" "o" "t" 2; "e" "a" "m" 3;
"a" "j" "p" 3; "b" "l" "n" "q" "t" 2; "c" "f" "i" "n" "r" 2; "d" "h" "o" "t" 2; "e" "a" "m" 3;
"a" "j" "p" 3; "b" "l" "n" "q" "t" 2; "c" "f" "i" "n" "r" 2; "d" "h" "o" "t" 2; "e" "a" "m" 3;
"a" "j" "p" 3; "b" "l" "n" "q" "t" 2; "c" "f" "i" "n" "r" 2; "d" "h" "o" "t" 2; "e" "a" "m" 3;
"a" "j" "p" 3; "b" "l" "n" "q" "t" 2; "c" "f" "i" "n" "r" 2; "d" "h" "o" "t" 2; "e" "a" "m" 3;
"a" "j" "p" 3; "b" "l" "n" "q" "t" 2; "c" "f" "i" "n" "r" 2; "d" "h" "o" "t" 2; "e" "a" "m" 3;
