none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "i" 1;
"d" "i" 1;
"d" "i" 1;
"d" "i" 1;
"a" "i" "j" 1; "d" "i" 1; "e" "m" 1;
"a" "i" "j" 1; "b" "s" 1; "d" "i" 1; "e" "m" 1;
"a" "i" "j" 1; "b" "s" 1; "d" "i" 1; "e" "m" 1;
"a" "i" "j" 1; "b" "s" 1; "d" "i" 1; "e" "m" 1;
"a" "i" "j" 1; "b" "s" 1; "d" "i" 1; "e" "m" 1;
"a" "i" "j" 1; "b" "s" 1; "d" "i" 1; "e" "m" 1;
"a" "i" "j" 1; "b" "s" 1; "c" "a" "m" 1; "d" "i" 1; "e" "m" 1;
"a" "i" "j" 1; "b" "s" 1; "c" "a" "m" 1; "d" "i" 1; "e" "m" 1;
"a" "i" "j" 1; "b" "s" 1; "c" "a" "m" 1; "d" "i" 1; "e" "m" 1;
"a" "i" "j" 1; "b" "s" 1; "c" "a" "m" 1; "d" "i" 1; "e" "m" 1;
"a" "i" "j" 1; "b" "s" 1; "c" "a" "m" 1; "d" "i" 1; "e" "m" 1;
"a" "i" "j" 1; "b" "s" 1; "c" "a" "m" 1; "d" "i" 1; "e" "l" "m" 1;
"a" "i" "j" 1; "b" "s" 1; "c" "a" "m" 1; "d" "i" 1; "e" "l" "m" 1;
"a" "i" "j" 1; "b" "s" 1; "c" "a" "m" 1; "d" "i" 1; "e" "l" "m" 1;
"a" "i" "j" 1; "b" "s" 1; "c" "a" "m" 1; "d" "i" 1; "e" "l" "m" 1;
"a" "i" "j" 1; "b" "s" 1; "c" "a" "m" 1; "d" "i" 1; "e" "l" "m" 1;
"a" "i" "j" 1; "b" "s" "t" 1; "c" "a" "b" "m" 1; "d" "i" 1; "e" "l" "m" 1;
"a" "i" "j" 1; "b" "s" "t" 1; "c" "a" "b" "m" 1; "d" "i" 1; "e" "l" "m" 1;
"a" "i" "j" 1; "b" "s" "t" 1; "c" "a" "b" "m" 1; "d" "i" 1; "e" "l" "m" 1;
"a" "i" "j" 1; "b" "s" "t" 1; "c" "a" "b" "m" 1; "d" "i" 1; "e" "l" "m" 1;
"a" "i" "j" 1; "b" "s" "t" 1; "c" "a" "b" "m" 1; "d" "i" 1; "e" "l" "m" 1;
"a" "i" "j" 1; "b" "s" "t" 1; "c" "a" "b" "m" 1; "d" "i" 1; "e" "l" "m" 1;
"a" "i" "j" 1; "b" "s" "t" 1; "c" "a" "b" "m" 1; "d" "i" 1; "e" "l" "m" "r" 1;
"a" "i" "j" 1; "b" "s" "t" 1; "c" "a" "b" "m" 1; "d" "i" 1; "e" "l" "m" "r" 1;
"a" "i" "j" 1; "b" "s" "t" 1; "c" "a" "b" "m" 1; "d" "i" 1; "e" "l" "m" "r" 1;
"a" "i" "j" 1; "b" "s" "t" 1; "c" "a" "b" "i" "k" "m" 1; "d" "i" 1; "e" "l" "m" "r" 1;
"a" "i" "j" 1; "b" "s" "t" 1; "c" "a" "b" "i" "k" "m" 1; "d" "i" 1; "e" "l" "m" "r" 1;
"a" "i" "j" 1; "b" "s" "t" 1; "c" "a" "b" "i" "k" "m" 1; "d" "i" 1; "e" "l" "m" "r" 1;
"a" "i" "j" 1; "b" "s" "t" 1; "c" "a" "b" "i" "k" "m" 1; "d" "i" 1; "e" "l" "m" "r" 1;
"a" "i" "j" 1; "b" "s" "t" 1; "c" "a" "b" "i" "k" "m" 1; "d" "i" 1; "e" "l" "m" "r" 1;
"a" "i" "j" 1; "b" "s" "t" 1; "c" "a" "b" "i" "k" "m" 1; "d" "i" 1; "e" "h" "l" "m" "r" 1;
"a" "i" "j" 1; "b" "s" "t" 1; "c" "a" "b" "h" "i" "k" "m" 1; "d" "i" 1; "e" "h" "l" "m" "r" 1;
"a" "i" 2; "b" "s" "t" "z" 1; "c" "b" "h" 2; "d" "i" "t" 1; "e" "f" "h" "l" "m" "r" 1;
"a" "i" 2; "b" "s" "t" "z" 1; "c" "b" "h" 2; "d" "i" "s" "t" "w" 1; "e" "f" "h" "l" "m" "r" 1;
"a" "i" 2; "b" "s" "t" "z" 1; "c" "b" "h" 2; "d" "i" "s" "t" "w" 1; "e" "f" "h" "l" "m" "r" 1;
"a" "i" 2; "b" "s" "t" "z" 1; "c" "b" "h" 2; "d" "i" "s" "t" "w" 1; "e" "f" "h" "l" "m" "r" 1;
"a" "i" 2; "b" "s" "t" "z" 1; "c" "b" "h" 2; "d" "i" "s" "t" "w" 1; "e" "f" "h" "l" "m" "r" 1;
"a" "i" 2; "b" "s" "t" "z" 1; "c" "b" "h" 2; "d" "i" "s" "t" "w" 1; "e" "f" 2;
"a" "i" 2; "b" "s" "t" "z" 1; "c" "b" "h" 2; "d" "i" "s" "t" "w" 1; "e" "f" "m" 2;
"a" "i" 2; "b" "s" "t" "z" 1; "c" "b" "h" 2; "d" "i" "s" "t" "w" 1; "e" "f" "m" 2;
"a" "i" 2; "b" "s" "t" "z" 1; "c" "b" "h" 2; "d" "i" "s" "t" "w" 1; "e" "f" "m" 2;
