none
none
none
none
none
none
none
none
none
none
none
"d" "g" 1; "e" "v" 1;
"d" "g" 1; "e" "v" 1;
"d" "g" 1; "e" "v" 1;
"d" "g" 1; "e" "v" 1;
"d" "g" 1; "e" "v" 1;
"d" "g" 1; "e" "v" 1;
"d" "g" 1; "e" "v" 1;
"d" "g" 1; "e" "v" 1;
"d" "g" 1; "e" "v" 1;
"d" "g" 1; "e" "v" 1;
"a" "o" 1; "b" "h" 1; "d" "a" "g" "o" 1; "e" "c" "v" 1;
"a" "o" 1; "b" "h" 1; "d" "a" "g" "o" 1; "e" "c" "v" 1;
"a" "o" 1; "b" "h" 1; "d" "a" "g" "o" 1; "e" "c" "e" "v" 1;
"a" "o" 1; "b" "h" 1; "d" "a" "g" "o" 1; "e" "c" "e" "v" 1;
"a" "o" 1; "b" "h" 1; "d" "a" "g" "o" 1; "e" "b" "c" "e" "v" 1;
"a" "o" 1; "b" "h" 1; "d" "a" "g" "o" 1; "e" "b" "c" "e" "v" 1;
"a" "b" "k" "o" 1; "b" "h" 1; "c" "j" 1; "d" "a" "g" "o" 1; "e" "b" "c" "e" "v" 1;
"a" "b" "k" "o" 1; "b" "h" 1; "c" "j" 1; "d" "a" "g" "o" 1; "e" "b" "c" "e" "v" 1;
"a" "b" "k" "o" 1; "b" "h" 1; "c" "j" 1; "d" "a" "g" "o" 1; "e" "b" "c" "e" "i" "v" 1;
"a" "b" "k" "o" 1; "b" "h" 1; "c" "j" 1; "d" "a" "g" "o" 1; "e" "b" "c" "e" "i" "v" 1;
"a" "b" "g" "k" "o" 1; "b" "h" "o" 1; "c" "j" 1; "d" "a" "g" "o" 1; "e" "b" "c" "e" "i" "v" 1;
"a" "b" "g" "k" "o" "r" 1; "b" "h" "o" 1; "c" "j" 1; "d" "a" "g" "o" 1; "e" "b" "c" "e" "i" "v" 1;
"a" "b" "g" "k" "o" "r" 1; "b" "h" "o" 1; "c" "j" 1; "d" "a" "g" "o" 1; "e" "c" 2;
"a" "b" "g" "k" "o" "r" 1; "b" "h" "o" 1; "c" "j" 1; "d" "a" "g" "o" 1; "e" "c" 2;
"a" "k" 2; "b" "h" "o" 1; "c" "j" 1; "d" "a" "g" "o" 1; "e" "c" 2;
"a" "k" 2; "b" "h" "o" 1; "c" "j" 1; "d" "a" "g" "o" 1; "e" "c" 2;
"a" "k" 2; "b" "h" "o" 1; "c" "j" 1; "d" "a" "g" "k" "o" 1; "e" "c" 2;
"a" "k" 2; "b" "h" "o" 1; "c" "a" "j" 1; "d" "a" "g" "k" "o" 1; "e" "b" "c" 2;
"a" "k" 2; "b" "h" "o" 1; "c" "a" "j" 1; "d" "a" "g" "k" "o" 1; "e" "b" "c" 2;
"a" "k" 2; "b" "h" "o" 1; "c" "a" "j" 1; "d" "a" "g" "k" "o" 1; "e" "b" "c" 2;
"a" "k" 2; "b" "h" "o" 1; "c" "a" "h" "j" 1; "d" "a" "g" "k" "o" 1; "e" "b" "c" 2;
"a" "k" 2; "b" "h" "o" 1; "c" "a" "h" "j" 1; "d" "a" "g" "k" "o" 1; "e" "b" "c" 2;
"a" "k" 2; "b" "h" "o" 1; "c" "a" "h" "j" 1; "d" "a" "g" "k" "o" 1; "e" "b" "c" 2;
"a" "k" 2; "b" "h" "o" 1; "c" "a" "h" "j" 1; "d" "a" "f" "g" "k" "o" 1; "e" "b" "c" 2;
"a" "k" 2; "b" "h" "o" 1; "c" "a" "h" "j" 1; "d" "a" "f" "g" "k" "o" 1; "e" "b" "c" 2;
"a" "k" 2; "b" "h" "o" 1; "c" "a" "h" "j" 1; "d" "a" "f" "g" "k" "o" 1; "e" "b" "c" 2;
"a" "k" 2; "b" "h" "o" 1; "c" "a" "h" "j" 1; "d" "a" "f" "g" "k" "o" 1; "e" "b" "c" 2;
"a" "b" "k" 2; "b" "h" "j" "o" 1; "c" "a" "h" "j" 1; "d" "a" "f" "g" "k" "o" 1; "e" "b" "c" 2;
"a" "b" "k" 2; "b" "h" "j" "o" 1; "c" "a" "h" "j" 1; "d" "a" "f" "g" "k" "o" 1; "e" "b" "c" 2;
"a" "b" "k" 2; "b" "h" "j" "o" 1; "c" "a" "h" "j" "w" 1; "d" "a" "f" "g" "k" "o" 1; "e" "b" "c" 2;
"a" "b" "k" 2; "b" "h" "j" "o" 1; "c" "a" "h" "j" "w" 1; "d" "a" "f" "g" "k" "o" 1; "e" "b" "c" 2;
"a" "b" "k" "x" 2; "b" "h" "j" "o" 1; "c" "a" "h" "j" "w" 1; "d" "a" "f" "g" "k" "o" 1; "e" "b" "c" 2;
"a" "b" "k" "x" 2; "b" "h" "j" "o" 1; "c" "a" "h" "j" "w" 1; "d" "f" 2; "e" "b" "c" 2;
"a" "b" "k" "x" 2; "b" "g" "h" "j" "o" 1; "c" "a" "h" "j" "w" 1; "d" "f" 2; "e" "b" "c" 2;
"a" "b" "k" "x" 2; "b" "g" "h" "j" "o" 1; "c" "h" "w" 2; "d" "f" 2; "e" "b" "c" 2;
"a" "b" "k" "x" 2; "b" "g" "h" "j" "n" "o" 1; "c" "h" "w" 2; "d" "f" 2; "e" "b" "c" 2;
"a" "b" "k" "x" 2; "b" "g" "h" "j" "n" "o" 1; "c" "h" "w" 2; "d" "f" 2; "e" "b" "c" 2;
"a" "b" "k" "x" 2; "b" "g" "h" "j" "n" "o" 1; "c" "h" "w" 2; "d" "f" 2; "e" "b" "c" 2;
"a" "b" "k" "x" 2; "b" "g" "h" "j" "n" "o" 1; "c" "h" "w" 2; "d" "f" "y" 2; "e" "b" "c" 2;
"a" "b" "k" "x" 2; "b" "g" "h" "j" "n" "o" 1; "c" "h" "w" 2; "d" "f" "y" 2; "e" "b" "c" 2;
"a" "b" "k" "x" 2; "b" "g" "h" "j" "n" "o" "w" 1; "c" "h" "w" 2; "d" "f" "y" 2; "e" "b" "c" 2;
