none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"a" "x" 1; "c" "y" 1;
"a" "x" 1; "c" "y" 1;
"a" "x" 1; "c" "b" "y" 1;
"a" "x" 1; "c" "b" "y" 1;
"a" "x" 1; "c" "b" "y" 1;
"a" "x" 1; "c" "b" "d" "y" 1;
"a" "x" 1; "c" "b" "d" "y" 1;
"a" "b" "x" 1; "c" "b" "d" "y" 1;
"a" "b" "x" 1; "c" "b" "d" "y" 1;
"a" "b" "s" "x" 1; "c" "b" "d" "y" 1;
"a" "b" "s" "x" 1; "c" "b" "d" "y" 1;
"a" "b" "s" "x" 1; "c" "d" 2;
"a" "b" "s" "x" 1; "c" "d" 2;
"a" "b" "s" "x" 1; "c" "d" 2;
"a" "b" "s" "t" "x" 1; "b" "u" 1; "c" "d" 2;
"a" "b" "s" "t" "x" 1; "b" "u" 1; "c" "d" 2;
"a" "b" "s" "t" "x" 1; "b" "u" 1; "c" "d" 2;
"a" "b" "s" "t" "x" 1; "b" "u" 1; "c" "d" 2;
"a" "b" "s" "t" "x" 1; "b" "u" 1; "c" "d" 2;
"a" "b" "s" "t" "x" 1; "b" "u" 1; "c" "d" 2;
"a" "b" "s" "t" "x" 1; "b" "u" 1; "c" "d" 2;
"a" "b" "s" "t" "x" 1; "b" "u" 1; "c" "d" 2;
"a" "b" "s" "t" "x" 1; "b" "u" 1; "c" "d" 2;
"a" "b" "s" "t" "x" 1; "b" "u" 1; "c" "d" 2;
"a" "t" 2; "b" "d" "u" 1; "c" "d" 2;
"a" "t" 2; "b" "d" "u" 1; "c" "d" 2; "d" "q" 1;
"a" "t" 2; "b" "d" "u" 1; "c" "d" 2; "d" "q" 1;
"a" "t" 2; "b" "d" "q" "u" 1; "c" "d" 2; "d" "q" 1; "e" "o" 1;
"a" "t" 2; "b" "d" "q" "u" 1; "c" "d" 2; "d" "q" 1; "e" "o" 1;
"a" "t" 2; "b" "d" "q" "u" 1; "c" "d" 2; "d" "q" 1; "e" "o" 1;
"a" "t" 2; "b" "d" "q" "u" 1; "c" "d" 2; "d" "q" 1; "e" "o" 1;
"a" "t" 2; "b" "d" "q" "u" 1; "c" "d" 2; "d" "q" 1; "e" "o" "z" 1;
"a" "t" 2; "b" "d" "i" "q" "u" 1; "c" "b" "d" 2; "d" "q" 1; "e" "o" "u" "z" 1;
"a" "t" 2; "b" "a" "d" "i" "q" "u" 1; "c" "b" "d" "o" 2; "d" "q" 1; "e" "o" "u" "z" 1;
"a" "t" 2; "b" "a" "d" "i" "q" "u" 1; "c" "b" "d" "o" 2; "d" "q" 1; "e" "o" "u" "z" 1;
"a" "t" 2; "b" "a" "d" "i" "q" "u" 1; "c" "b" "d" "o" 2; "d" "q" 1; "e" "o" "u" "z" 1;
"a" "t" 2; "b" "a" "d" "i" "q" "u" 1; "c" "b" "d" "o" 2; "d" "q" 1; "e" "o" "u" "z" 1;
"a" "t" 2; "b" "a" "d" "i" "q" "u" 1; "c" "b" "d" "o" 2; "d" "q" 1; "e" "o" "u" "z" 1;
"a" "t" 2; "b" "a" "d" "i" "q" "u" 1; "c" "b" "d" "o" 2; "d" "q" 1; "e" "o" "u" "z" 1;
"a" "j" "t" 2; "b" "a" "d" "i" "q" "u" 1; "c" "b" "d" "o" 2; "d" "q" 1; "e" "o" "u" "z" 1;
"a" "j" "t" 2; "b" "a" "d" "i" "q" "u" 1; "c" "b" "d" "o" 2; "d" "q" 1; "e" "o" "u" "z" 1;
"a" "j" "t" 2; "b" "a" "d" "i" "q" "u" 1; "c" "b" "d" "o" 2; "d" "q" 2; "e" "o" "u" "z" 1;
"a" "j" "t" 2; "b" "a" "d" "i" "n" "q" "u" 1; "c" "b" "d" "o" 2; "d" "q" 2; "e" "o" "u" "z" 1;
"a" "j" "t" 2; "b" "a" "d" "i" "n" "q" "u" 1; "c" "o" 3; "d" "q" 2; "e" "b" "o" "u" "z" 1;
"a" "j" "t" 2; "b" "a" "d" "i" "n" "q" "u" 1; "c" "o" 3; "d" "q" 2; "e" "b" "o" "u" "z" 1;
"a" "j" "t" 2; "b" "a" "d" "i" "n" "q" "u" 1; "c" "o" 3; "d" "q" 2; "e" "b" "o" "u" "z" 1;
"a" "j" "t" 2; "b" "a" "d" "i" "n" "q" "u" 1; "c" "o" 3; "d" "q" 2; "e" "b" "o" "u" "z" 1;
"a" "j" "t" 2; "b" "a" "d" "i" "l" "n" "q" "u" 1; "c" "o" 3; "d" "q" 2; "e" "b" "o" "u" "z" 1;
"a" "j" "t" 2; "b" "a" "d" "i" "l" "n" "q" "u" 1; "c" "o" 3; "d" "q" 2; "e" "b" "o" "u" "z" 1;
"a" "j" "t" 2; "b" "a" "d" "i" "l" "n" "q" "u" 1; "c" "o" 3; "d" "q" 2; "e" "b" "o" "u" "z" 1;
"a" "j" "t" 2; "b" "a" "d" "i" "l" "n" "q" "u" 1; "c" "o" 3; "d" "q" 2; "e" "b" "o" "u" "z" 1;
"a" "j" "t" 2; "b" "a" "d" "i" "l" "n" "q" "u" 1; "c" "o" 3; "d" "q" 2; "e" "u" 2;
"a" "j" "t" 2; "b" "a" "d" "i" "l" "n" "q" "u" 1; "c" "o" 3; "d" "q" 2; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "d" "i" "l" "n" "q" "t" "u" 1; "c" "o" 3; "d" "q" 2; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "d" "i" "l" "n" "q" "t" "u" 1; "c" "o" 3; "d" "q" 2; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "d" "i" "l" "n" "q" "t" "u" 1; "c" "o" 3; "d" "q" 2; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "d" "i" "l" "n" "q" "t" "u" 1; "c" "o" 3; "d" "q" 2; "e" "u" 2;
