none
none
none
none
none
none
"c" "s" 1;
"c" "s" 1; "e" "b" 1;
"c" "s" 1; "e" "b" 1;
"c" "s" 1; "e" "b" 1;
"c" "s" 1; "e" "b" 1;
"c" "s" 1; "e" "b" 1;
"c" "s" 1; "e" "b" 1;
"c" "s" 1; "e" "b" 1;
"c" "s" 1; "e" "b" 1;
"c" "s" 1; "e" "b" 1;
"c" "f" "s" 1; "e" "b" 1;
"c" "f" "s" 1; "e" "b" 1;
"b" "c" 1; "c" "f" "s" 1; "e" "b" 1;
"a" "a" 1; "b" "c" 1; "c" "f" "s" 1; "e" "b" 1;
"a" "a" 1; "b" "c" 1; "c" "f" "s" 1; "e" "b" 1;
"a" "a" 1; "b" "c" 1; "c" "f" "s" 1; "e" "b" 1;
"a" "a" 1; "b" "c" 1; "c" "f" "s" 1; "e" "b" 1;
"a" "a" 1; "b" "c" 1; "c" "f" "s" 1; "e" "b" 1;
"a" "a" 1; "b" "c" 1; "c" "f" "s" 1; "e" "b" 1;
"a" "a" 1; "b" "c" 1; "c" "f" "s" 1; "e" "b" 1;
"a" "a" 1; "b" "c" "n" 1; "c" "f" "s" 1; "d" "t" 1; "e" "b" 1;
"a" "a" "u" 1; "b" "c" "n" 1; "c" "f" "s" 1; "d" "i" "t" 1; "e" "b" 1;
"a" "a" "u" 1; "b" "c" "n" 1; "c" "f" "s" 1; "d" "i" "t" 1; "e" "b" 1;
"a" "a" "u" 1; "b" "c" "n" 1; "c" "f" "s" 1; "d" "i" "t" 1; "e" "b" 1;
"a" "a" "u" 1; "b" "c" "n" 1; "c" "f" "s" 1; "d" "i" "t" 1; "e" "b" 1;
"a" "a" "u" 1; "b" "c" "g" "n" "y" 1; "c" "f" "i" "s" 1; "d" "i" "t" 1; "e" "b" 1;
"a" "a" "u" 1; "b" "c" "g" "n" "y" 1; "c" "f" "i" "s" 1; "d" "i" "t" 1; "e" "b" 1;
"a" "a" "u" 1; "b" "c" "g" "n" "y" 1; "c" "f" "i" "s" 1; "d" "i" "t" 1; "e" "b" "g" 1;
"a" "a" 2; "b" "c" "g" "n" "y" 1; "c" "f" "i" "s" 1; "d" "i" "t" 1; "e" "b" "g" "m" 1;
"a" "a" 2; "b" "c" "g" "n" "y" 1; "c" "f" "i" "s" 1; "d" "i" "t" 1; "e" "b" "g" "m" 1;
"a" "a" 2; "b" "c" "g" "n" "y" 1; "c" "f" "i" "s" 1; "d" "i" "t" 1; "e" "b" "g" "m" 1;
"a" "a" 2; "b" "c" "g" "n" "y" 1; "c" "f" "i" "s" 1; "d" "i" "t" 1; "e" "b" "g" "m" 1;
"a" "a" 2; "b" "c" "g" "n" "y" 1; "c" "f" "i" "s" 1; "d" "i" "t" 1; "e" "b" "g" "m" 1;
"a" "a" 2; "b" "c" "g" "n" "y" 1; "c" "f" "i" "s" 1; "d" "i" "t" 1; "e" "b" "g" "m" 1;
"a" "a" 2; "b" "c" "g" "n" "y" 1; "c" "f" "i" "s" 1; "d" "i" "t" 1; "e" "b" "g" "m" 1;
"a" "a" 2; "b" "c" "g" "n" "y" 1; "c" "f" "i" "s" 1; "d" "i" "t" 1; "e" "b" "d" "g" "m" 1;
"a" "a" 2; "b" "g" 2; "c" "f" "i" "s" 1; "d" "c" "i" "t" 1; "e" "b" "d" "g" "h" "m" 1;
"a" "a" 2; "b" "g" 2; "c" "f" 2; "d" "c" "i" "t" "w" 1; "e" "g" 2;
"a" "a" 2; "b" "g" 2; "c" "f" 2; "d" "c" "i" "t" "w" 1; "e" "g" 2;
"a" "a" 2; "b" "g" 2; "c" "f" 2; "d" "c" "i" "t" "w" 1; "e" "g" 2;
"a" "a" 2; "b" "g" 2; "c" "f" 2; "d" "c" "f" "i" "t" "w" 1; "e" "g" 2;
"a" "a" 2; "b" "g" 2; "c" "f" 2; "d" "c" "f" "i" "t" "w" 1; "e" "g" 2;
"a" "a" 2; "b" "g" 2; "c" "f" 2; "d" "c" "f" "i" "t" "w" 1; "e" "g" 2;
"a" "a" "u" 2; "b" "g" 2; "c" "f" 2; "d" "c" "f" "i" "t" "w" 1; "e" "g" 2;
"a" "a" "u" 2; "b" "g" "j" 2; "c" "f" 2; "d" "c" "f" "i" "t" "w" 1; "e" "g" 2;
