none
none
none
none
none
none
none
none
none
none
none
none
"d" "d" 1;
"d" "d" 1;
"d" "d" 1;
"d" "d" 1;
"d" "d" 1;
"d" "c" "d" 1;
"d" "c" "d" 1;
"b" "m" 1; "d" "c" "d" 1;
"b" "m" 1; "d" "c" "d" 1;
"b" "m" 1; "d" "c" "d" 1;
"b" "m" 1; "d" "c" "d" 1;
"b" "m" 1; "d" "c" "d" 1;
"b" "m" 1; "d" "c" "d" 1;
"b" "m" 1; "d" "c" "d" 1;
"b" "m" 1; "d" "c" "d" 1;
"b" "m" 1; "d" "c" "d" 1;
"b" "m" 1; "d" "c" "d" "r" 1;
"b" "m" 1; "d" "c" "d" "r" 1;
"b" "m" 1; "c" "y" 1; "d" "c" "d" "r" 1;
"b" "m" 1; "c" "y" 1; "d" "c" "d" "r" 1;
"b" "m" 1; "c" "y" 1; "d" "c" "d" "r" 1;
"b" "m" 1; "c" "y" 1; "d" "c" "d" "r" 1;
"b" "m" 1; "c" "y" 1; "d" "c" "d" "r" 1;
"a" "d" 1; "b" "c" "m" 1; "c" "y" 1; "d" "c" "d" "r" 1;
"a" "d" 1; "b" "c" "m" 1; "c" "y" 1; "d" "c" "d" "r" 1;
"a" "d" 1; "b" "c" "m" 1; "c" "x" "y" 1; "d" "c" "d" "r" 1;
"a" "d" 1; "b" "c" "m" 1; "c" "x" "y" 1; "d" "c" "d" "r" 1;
"a" "d" 1; "b" "c" "m" 1; "c" "x" "y" 1; "d" "c" "d" "r" 1;
"a" "d" 1; "b" "c" "m" 1; "c" "x" "y" 1; "d" "c" "d" "r" 1; "e" "p" 1;
"a" "d" 1; "b" "c" "m" 1; "c" "x" "y" 1; "d" "c" "d" "r" 1; "e" "p" 1;
"a" "d" 1; "b" "c" "m" 1; "c" "x" "y" 1; "d" "c" "d" "r" 1; "e" "p" 1;
"a" "d" 1; "b" "c" "m" 1; "c" "x" "y" 1; "d" "c" "d" "r" 1; "e" "p" 1;
"a" "d" 1; "b" "c" "m" 1; "c" "x" "y" 1; "d" "c" "d" "r" 1; "e" "p" 1;
"a" "d" 1; "b" "c" "m" 1; "c" "x" "y" 1; "d" "c" "d" "r" 1; "e" "p" 1;
"a" "d" 1; "b" "c" "m" 1; "c" "x" "y" 1; "d" "c" "d" "r" 1; "e" "d" "p" 1;
"a" "d" 1; "b" "c" "m" 1; "c" "x" "y" 1; "d" "c" "d" "r" 1; "e" "d" "p" 1;
"a" "d" 1; "b" "c" "m" 1; "c" "x" "y" 1; "d" "c" "d" "r" 1; "e" "d" "p" 1;
"a" "d" 1; "b" "c" "m" 1; "c" "x" "y" 1; "d" "c" "d" "r" 1; "e" "d" "p" 1;
"a" "d" 1; "b" "c" "m" 1; "c" "x" "y" 1; "d" "b" "c" "d" "r" 1; "e" "d" "p" 1;
"a" "d" 1; "b" "c" "m" 1; "c" "x" "y" 1; "d" "b" "c" "d" "r" 1; "e" "d" "p" 1;
"a" "d" "m" 1; "b" "c" "m" 1; "c" "x" "y" 1; "d" "b" "c" "d" "r" 1; "e" "d" "p" 1;
"a" "d" "m" 1; "b" "c" "m" 1; "c" "x" "y" 1; "d" "b" "c" "d" "j" "p" "r" 1; "e" "d" "p" 1;
"a" "d" "m" 1; "b" "c" "m" 1; "c" "x" "y" 1; "d" "b" "c" "d" "j" "p" "r" 1; "e" "d" "p" 1;
"a" "d" "m" 1; "b" "c" "m" 1; "c" "x" "y" 1; "d" "b" "c" "d" "j" "p" "r" 1; "e" "d" "p" 1;
"a" "d" "m" 1; "b" "c" "m" 1; "c" "x" "y" 1; "d" "b" "c" "d" "j" "p" "r" 1; "e" "d" "p" 1;
"a" "d" "m" 1; "b" "c" "m" 1; "c" "x" "y" 1; "d" "b" "c" "d" "f" "j" "p" "r" 1; "e" "d" "p" 1;
"a" "d" "m" 1; "b" "c" "m" 1; "c" "x" "y" 1; "d" "b" "c" "d" "f" "j" "p" "r" 1; "e" "d" "p" 1;
"a" "d" "m" 1; "b" "c" "m" 1; "c" "x" "y" 1; "d" "b" "c" "d" "f" "j" "p" "r" 1; "e" "d" "p" 1;
"a" "d" "m" 1; "b" "c" "m" "p" "w" 1; "c" "m" "x" "y" 1; "d" "b" "c" "d" "f" "j" "p" "r" "z" 1; "e" "d" "p" 1;
"a" "d" "m" 1; "b" "c" "m" "p" "w" 1; "c" "m" "x" "y" 1; "d" "b" "c" "d" "f" "j" "p" "r" "z" 1; "e" "d" "p" 1;
"a" "d" "m" 1; "b" "m" 2; "c" "m" "x" "y" 1; "d" "b" "c" "d" "f" "j" "k" "p" "r" "z" 1; "e" "d" "p" 1;
"a" "d" "m" "s" 1; "b" "m" 2; "c" "l" "m" "x" "y" 1; "d" "b" "c" "d" "f" "j" "k" "p" "r" "z" 1; "e" "d" "p" 1;
"a" "d" "m" "s" 1; "b" "m" 2; "c" "l" "m" "x" "y" 1; "d" "b" "c" "d" "f" "j" "k" "p" "r" "z" 1; "e" "d" "p" 1;
"a" "d" "m" "s" 1; "b" "m" 2; "c" "l" "m" "x" "y" 1; "d" "b" "c" "d" "f" "j" "k" "p" "r" "z" 1; "e" "d" "p" 1;
"a" "d" "m" "s" 1; "b" "m" 2; "c" "l" "m" "x" "y" 1; "d" "b" "c" "d" "f" "j" "k" "p" "r" "z" 1; "e" "d" "p" 1;
"a" "d" "m" "s" 1; "b" "m" 2; "c" "l" "m" "x" "y" 1; "d" "b" "c" "d" "f" "j" "k" "p" "r" "z" 1; "e" "d" "p" 1;
"a" "d" "m" "s" 1; "b" "m" 2; "c" "l" "m" "x" "y" 1; "d" "b" "c" "d" "f" "j" "k" "p" "r" "z" 1; "e" "d" "p" 1;
"a" "d" "m" "s" "t" 1; "b" "m" 2; "c" "l" "m" "x" "y" 1; "d" "b" "c" "d" "f" "j" "k" "p" "r" "z" 1; "e" "d" "p" 1;
"a" "d" "m" "s" "t" 1; "b" "m" 2; "c" "l" "m" "q" "x" "y" 1; "d" "b" "c" "d" "f" "j" "k" "p" "r" "z" 1; "e" "d" "p" 1;
"a" "d" "m" "s" "t" 1; "b" "m" 2; "c" "l" "m" "o" "q" "x" "y" 1; "d" "b" "c" "d" "f" "j" "k" "p" "r" "z" 1; "e" "d" "p" 1;
"a" "d" "m" "s" "t" "z" 1; "b" "m" 2; "c" "l" "m" "o" "q" "u" "x" "y" 1; "d" "b" "c" "d" "f" "j" "k" "p" "r" "z" 1; "e" "d" "p" 1;
"a" "d" "m" "s" "t" "z" 1; "b" "m" 2; "c" "l" "m" "o" "q" "u" "x" "y" 1; "d" "b" "c" "d" "f" "j" "k" "p" "r" "z" 1; "e" "d" "p" 1;
"a" "d" "m" "s" "t" "z" 1; "b" "m" 2; "c" "q" 2; "d" "b" "c" "d" "f" "j" "k" "p" "r" "z" 1; "e" "d" "p" 1;
"a" "d" "m" "s" "t" "z" 1; "b" "m" 2; "c" "q" 2; "d" "b" "c" "d" "f" "j" "k" "p" "r" "z" 1; "e" "d" "p" 1;
"a" "d" "m" "s" "t" "z" 1; "b" "h" "m" 2; "c" "q" 2; "d" "z" 2; "e" "d" "p" 1;
"a" "d" "m" "s" "t" "u" "z" 1; "b" "h" "m" 2; "c" "q" 2; "d" "z" 2; "e" "d" "p" 1;
"a" "z" 2; "b" "h" "m" 2; "c" "q" 2; "d" "z" 2; "e" "d" "p" 1;
"a" "z" 2; "b" "h" "m" 2; "c" "q" 2; "d" "z" 2; "e" "d" "p" 1;
"a" "z" 2; "b" "h" "m" 2; "c" "q" 2; "d" "z" 2; "e" "d" "p" 1;
"a" "z" 2; "b" "h" "m" 2; "c" "q" 2; "d" "z" 2; "e" "d" "p" 1;
"a" "z" 2; "b" "h" "m" 2; "c" "q" 2; "d" "z" 2; "e" "d" "p" 1;
"a" "z" 2; "b" "h" "m" 2; "c" "q" 2; "d" "z" 2; "e" "d" "p" "z" 1;
"a" "z" 2; "b" "h" "m" 2; "c" "q" 2; "d" "z" 2; "e" "d" "p" "z" 1;
"a" "z" 2; "b" "h" "m" 2; "c" "q" 2; "d" "z" 2; "e" "d" "p" "z" 1;
"a" "z" 2; "b" "h" "m" 2; "c" "q" 2; "d" "z" 2; "e" "d" "p" "z" 1;
"a" "z" 2; "b" "h" "m" 2; "c" "q" 2; "d" "z" 2; "e" "d" "p" "z" 1;
"a" "z" 2; "b" "h" "m" 2; "c" "l" "q" 2; "d" "z" 2; "e" "d" "p" "z" 1;
"a" "z" 2; "b" "h" "m" 2; "c" "l" "q" 2; "d" "z" 2; "e" "d" "j" "p" "z" 1;
"a" "z" 2; "b" "h" "m" 2; "c" "l" "q" 2; "d" "z" 2; "e" "p" 2;
