none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"e" "e" 1;
"e" "e" 1;
"e" "e" 1;
"e" "e" 1;
"e" "e" 1;
"e" "e" 1;
"e" "e" 1;
"e" "e" 1;
"e" "e" 1;
"a" "o" 1; "e" "e" 1;
"a" "o" 1; "e" "e" 1;
"a" "o" 1; "b" "l" 1; "e" "e" "j" 1;
"a" "o" 1; "b" "l" 1; "e" "e" "j" 1;
"a" "o" 1; "b" "l" 1; "e" "e" "j" 1;
"a" "o" 1; "b" "l" 1; "e" "e" "f" "j" 1;
"a" "o" 1; "b" "l" 1; "c" "b" 1; "e" "e" "f" "j" 1;
"a" "o" 1; "b" "l" 1; "c" "b" 1; "d" "o" 1; "e" "e" "f" "j" 1;
"a" "o" 1; "b" "k" "l" 1; "c" "b" 1; "d" "o" 1; "e" "e" "f" "j" 1;
"a" "o" 1; "b" "k" "l" 1; "c" "b" 1; "d" "o" 1; "e" "e" "f" "j" 1;
"a" "o" 1; "b" "k" "l" 1; "c" "b" 1; "d" "o" 1; "e" "e" "f" "j" 1;
"a" "o" 1; "b" "k" "l" 1; "c" "b" 1; "d" "o" 1; "e" "e" "f" "j" 1;
"a" "o" 1; "b" "k" "l" 1; "c" "b" 1; "d" "o" 1; "e" "e" "f" "j" 1;
"a" "o" 1; "b" "k" "l" 1; "c" "b" 1; "d" "o" 1; "e" "e" "f" "j" 1;
"a" "o" 1; "b" "k" "l" 1; "c" "b" 1; "d" "o" 1; "e" "e" "f" "j" 1;
"a" "o" 1; "b" "k" "l" 1; "c" "b" "v" 1; "d" "o" 1; "e" "e" "f" "j" 1;
"a" "o" 2; "b" "k" "l" 1; "c" "b" "v" 1; "d" "o" 1; "e" "e" "f" "i" "j" 1;
"a" "o" 2; "b" "k" "l" 1; "c" "b" "v" 1; "d" "o" 1; "e" "e" "f" "i" "j" 1;
"a" "o" 2; "b" "k" "l" 1; "c" "b" "v" 1; "d" "o" 1; "e" "e" "f" "i" "j" 1;
"a" "o" 3; "b" "k" "l" 1; "c" "b" "v" 1; "d" "o" 1; "e" "e" "f" "i" "j" 1;
"a" "o" 3; "b" "k" "l" 1; "c" "b" "v" 1; "d" "o" 1; "e" "e" "f" "i" "j" 1;
"a" "o" 3; "b" "k" "l" 1; "c" "b" "v" 1; "d" "o" 1; "e" "e" "f" "i" "j" 1;
"a" "o" 3; "b" "k" "l" 1; "c" "b" "o" "v" 1; "d" "o" 1; "e" "e" "f" "i" "j" 1;
"a" "o" 3; "b" "k" "l" 1; "c" "b" "o" "v" 1; "d" "o" 1; "e" "e" "f" "i" "j" 1;
"a" "o" 3; "b" "k" "l" 1; "c" "b" "o" "v" 1; "d" "o" 1; "e" "e" "f" "i" "j" 1;
"a" "o" 3; "b" "k" "l" 1; "c" "b" "o" "v" 1; "d" "o" 1; "e" "e" "f" "i" "j" 1;
"a" "o" 3; "b" "k" "l" "t" 1; "c" "b" "o" "v" 1; "d" "o" 1; "e" "e" "f" "i" "j" "q" 1;
"a" "o" 3; "b" "k" "l" "t" 1; "c" "b" "o" "v" 1; "d" "o" 1; "e" "e" "f" "i" "j" "q" 1;
"a" "o" 3; "b" "k" "l" "t" 1; "c" "b" "o" "v" 1; "d" "o" 1; "e" "e" "f" "i" "j" "q" 1;
"a" "o" 3; "b" "k" "l" "t" 1; "c" "b" "o" "v" 1; "d" "o" 1; "e" "e" "f" "i" "j" "q" 1;
"a" "o" 3; "b" "k" "l" "t" 1; "c" "b" "d" "o" "v" 1; "d" "o" 1; "e" "e" "f" "i" "j" "q" 1;
"a" "o" 3; "b" "k" "l" "t" 1; "c" "b" "d" "o" "v" 1; "d" "o" "q" 1; "e" "f" 2;
"a" "o" 3; "b" "k" "l" "t" 1; "c" "b" "d" "o" "v" 1; "d" "o" "q" 1; "e" "f" 2;
"a" "o" 3; "b" "k" "l" "t" 1; "c" "b" "d" "o" "v" 1; "d" "o" "q" 1; "e" "f" 2;
"a" "o" 3; "b" "k" "l" "t" 1; "c" "b" "d" "o" "v" 1; "d" "o" "q" 1; "e" "f" 2;
"a" "o" 3; "b" "k" "l" "t" 1; "c" "b" "d" "g" "i" "m" "o" "v" 1; "d" "o" "q" 1; "e" "f" 2;
"a" "o" 3; "b" "k" "l" "t" 1; "c" "b" "d" "g" "i" "m" "o" "v" 1; "d" "o" "q" 1; "e" "f" 3;
