none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "v" 1;
"d" "v" 1;
"d" "v" 1;
"c" "r" 1; "d" "v" 1;
"c" "r" 1; "d" "v" 1;
"c" "f" "r" 1; "d" "v" 1;
"c" "f" "r" 1; "d" "v" 1;
"c" "f" "r" 1; "d" "v" 1; "e" "p" 1;
"c" "f" "r" 1; "d" "v" 1; "e" "p" 1;
"c" "f" "r" 1; "d" "v" 1; "e" "p" 1;
"c" "f" "r" 1; "d" "v" 1; "e" "p" 1;
"c" "f" "r" 1; "d" "v" 1; "e" "p" 1;
"c" "f" "r" 1; "d" "v" 1; "e" "p" 1;
"c" "f" "r" 1; "d" "v" 1; "e" "p" 1;
"b" "g" 1; "c" "f" "r" 1; "d" "v" 1; "e" "b" "p" 1;
"b" "g" 1; "c" "f" "r" 1; "d" "v" 1; "e" "b" "m" "p" 1;
"b" "g" "h" 1; "c" "f" "r" "z" 1; "d" "v" 1; "e" "b" "m" "p" 1;
"a" "f" 1; "b" "g" "h" "s" "z" 1; "c" "f" "r" "z" 1; "d" "d" "v" 1; "e" "a" "b" "m" "p" 1;
"a" "a" "f" "s" 1; "b" "g" "h" "s" "z" 1; "c" "f" "r" "z" 1; "d" "d" "v" 1; "e" "a" "b" "m" "p" 1;
"a" "a" "f" "s" "y" 1; "b" "g" "h" "s" "z" 1; "c" "f" "r" "u" "z" 1; "d" "d" "n" "v" 1; "e" "a" "b" "m" "p" 1;
"a" "a" "d" "f" "s" "y" 1; "b" "g" "h" "s" "z" 1; "c" "f" "n" "r" "u" "z" 1; "d" "d" "n" "v" 1; "e" "a" "b" "m" "p" 1;
"a" "a" "d" "f" "s" "y" 1; "b" "g" "h" "s" "z" 1; "c" "f" "n" "r" "u" "z" 1; "d" "d" "n" "v" 1; "e" "a" "b" "m" "p" 1;
"a" "a" "c" "d" "f" "s" "y" 1; "b" "g" "h" "s" "z" 1; "c" "f" "n" "r" "u" "z" 1; "d" "d" "k" "n" "v" 1; "e" "a" "b" "m" "p" 1;
"a" "a" "c" "d" "f" "s" "y" 1; "b" "g" "h" "s" "z" 1; "c" "f" "n" "r" "u" "z" 1; "d" "d" "k" "n" "v" 1; "e" "a" "b" "m" "p" 1;
"a" "a" "c" "d" "f" "s" "x" "y" 1; "b" "g" "h" "j" "s" "z" 1; "c" "b" "d" "f" "n" "r" "u" "z" 1; "d" "d" "k" "n" "v" 1; "e" "b" 2;
"a" "a" "c" "d" "f" "s" "x" "y" 1; "b" "g" "h" "j" "s" "z" 1; "c" "b" "d" "f" "n" "r" "u" "z" 1; "d" "d" "k" "n" "v" 1; "e" "b" 2;
"a" "a" "c" "d" "f" "s" "x" "y" 1; "b" "g" "h" "j" "s" "z" 1; "c" "b" "d" "f" "n" "r" "u" "z" 1; "d" "d" "k" "n" "v" 1; "e" "b" 2;
"a" "a" "c" "d" "f" "s" "x" "y" 1; "b" "j" 2; "c" "b" "d" "f" "n" "r" "u" "z" 1; "d" "d" "k" "n" "v" 1; "e" "b" 2;
"a" "a" "c" "d" "f" "s" "u" "x" "y" 1; "b" "j" 2; "c" "b" "d" "f" "n" "r" "u" "z" 1; "d" "d" "k" "n" "v" 1; "e" "b" 2;
"a" "a" "c" "d" "f" "s" "u" "x" "y" "z" 1; "b" "j" 2; "c" "b" "d" "f" "n" "r" "s" "u" "z" 1; "d" "d" "k" "n" "v" 1; "e" "b" 2;
"a" "a" 2; "b" "j" 2; "c" "b" "d" "f" "n" "p" "r" "s" "t" "u" "z" 1; "d" "d" "k" "n" "v" 1; "e" "b" 2;
"a" "a" 2; "b" "j" 2; "c" "b" "d" "f" "n" "p" "r" "s" "t" "u" "z" 1; "d" "d" "k" "n" "v" 1; "e" "b" 2;
"a" "a" 2; "b" "j" 2; "c" "b" "d" "f" "n" "p" "r" "s" "t" "u" "z" 1; "d" "d" "k" "n" "v" 1; "e" "b" 2;
"a" "a" 2; "b" "j" 2; "c" "b" "d" "f" "n" "p" "r" "s" "t" "u" "z" 1; "d" "d" "k" "n" "v" 1; "e" "b" 2;
"a" "a" 2; "b" "j" 2; "c" "b" "d" "f" "n" "p" "r" "s" "t" "u" "z" 1; "d" "d" "k" "n" "v" 1; "e" "b" 2;
