none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "w" 1;
"b" "w" 1;
"b" "w" 1;
"b" "w" 1;
"b" "w" 1;
"b" "w" 1;
"b" "w" 1;
"b" "w" 1; "e" "a" 1;
"b" "w" 1; "e" "a" 1;
"b" "w" 1; "e" "a" 1;
"b" "w" 1; "e" "a" 1;
"b" "w" 1; "e" "a" 1;
"b" "w" 1; "e" "a" 1;
"b" "w" 1; "e" "a" 1;
"b" "q" "w" 1; "d" "u" 1; "e" "a" 1;
"a" "s" 1; "b" "q" "w" 1; "d" "u" 1; "e" "a" "u" 1;
"a" "s" 1; "b" "q" "w" 1; "d" "u" 1; "e" "a" "u" 1;
"a" "s" 1; "b" "q" "w" 1; "c" "s" 1; "d" "l" "u" 1; "e" "a" "l" "u" 1;
"a" "s" 1; "b" "q" "w" 1; "c" "s" 1; "d" "l" "u" 1; "e" "a" "l" "u" 1;
"a" "s" 1; "b" "q" "w" 1; "c" "s" 1; "d" "l" "u" 1; "e" "a" "l" "u" 1;
"a" "s" 1; "b" "q" "w" 1; "c" "s" 1; "d" "l" "u" 1; "e" "a" "l" "u" 1;
"a" "s" 1; "b" "w" 2; "c" "s" 1; "d" "l" "u" 1; "e" "a" "l" "u" 1;
"a" "l" "s" "v" 1; "b" "w" 2; "c" "s" 1; "d" "l" "r" "u" 1; "e" "a" "l" "u" 1;
"a" "l" "s" "v" 1; "b" "w" 2; "c" "s" 1; "d" "l" "r" "u" 1; "e" "a" "l" "u" 1;
"a" "l" "s" "v" 1; "b" "w" 2; "c" "s" 1; "d" "l" "r" "u" 1; "e" "a" "l" "u" 1;
"a" "l" "s" "v" 1; "b" "w" 2; "c" "s" 1; "d" "l" "r" "u" 1; "e" "a" "l" "u" 1;
"a" "l" "s" "v" "z" 1; "b" "w" 2; "c" "s" 1; "d" "l" "r" "u" 1; "e" "a" "l" "u" 1;
