"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1; "d" "q" 1;
"c" "p" 1; "d" "q" 1;
"c" "p" 1; "d" "q" 1;
"c" "p" 1; "d" "q" 1;
"c" "p" 1; "d" "q" 1;
"c" "p" 1; "d" "q" 1;
"c" "p" 1; "d" "q" 1;
"c" "p" 1; "d" "q" 1;
"c" "p" 1; "d" "q" 1;
"a" "n" 1; "c" "l" "p" 1; "d" "q" 1;
"a" "n" 1; "c" "l" "p" 1; "d" "q" 1;
"a" "n" "p" 1; "b" "n" 1; "c" "l" "p" 1; "d" "q" 1;
"a" "n" "p" 1; "b" "n" 1; "c" "l" "p" 1; "d" "q" 1;
"a" "n" "p" "x" 1; "b" "e" "n" "r" 1; "c" "l" "p" 1; "d" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "e" "n" "r" 1; "c" "l" "p" 1; "d" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "e" "n" "r" "s" 1; "c" "l" "p" 1; "d" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "e" "n" "r" "s" 1; "c" "l" "p" 1; "d" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "e" "n" "r" "s" 1; "c" "l" "p" 1; "d" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "e" "n" "r" "s" 1; "c" "l" "p" "y" 1; "d" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "e" "n" "r" "s" 1; "c" "l" "p" "y" 1; "d" "e" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "a" "e" "n" "r" "s" 1; "c" "l" "p" "y" 1; "d" "e" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "a" "e" "n" "r" "s" 1; "c" "l" "p" "y" 1; "d" "e" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "a" "e" "n" "r" "s" 1; "c" "l" "p" "y" 1; "d" "e" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "a" "e" "n" "r" "s" 1; "c" "l" "p" "y" 1; "d" "e" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "a" "e" "n" "r" "s" 1; "c" "g" "l" "p" "y" 1; "d" "e" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "a" 2; "c" "g" "l" "p" "y" 1; "d" "e" "q" "r" "u" 1; "e" "i" 1;
"a" "n" "p" "x" 1; "b" "a" 2; "c" "g" "l" "p" "y" 1; "d" "e" "q" "r" "u" 1; "e" "i" "o" 1;
"a" "n" "p" "x" 1; "b" "a" 2; "c" "g" "l" "p" "y" 1; "d" "e" "q" "r" "u" 1; "e" "i" "o" 1;
"a" "n" "p" "x" 1; "b" "a" 2; "c" "g" "l" "p" "y" 1; "d" "e" "q" "r" "u" 1; "e" "i" "o" 1;
"a" "n" "p" "x" 1; "b" "a" 2; "c" "g" "l" "p" "y" 1; "d" "e" "q" "r" "u" 1; "e" "i" "o" 1;
"a" "n" "p" "x" 1; "b" "a" 2; "c" "d" "g" "l" "p" "y" 1; "d" "e" "q" "r" "u" 1; "e" "i" "o" 1;
"a" "n" "p" "x" 1; "b" "a" 2; "c" "d" "g" "l" "p" "y" 1; "d" "e" "q" "r" "u" 1; "e" "i" "o" 1;
"a" "n" "p" "x" 1; "b" "a" 2; "c" "d" "g" "l" "p" "y" 1; "d" "e" "q" "r" "u" 1; "e" "i" "o" 1;
"a" "n" "p" "x" 1; "b" "a" 2; "c" "d" "g" "l" "p" "y" 1; "d" "a" "e" "q" "r" "u" 1; "e" "i" "o" 1;
"a" "n" "p" "x" 1; "b" "a" 2; "c" "d" "g" "l" "p" "y" 1; "d" "a" "e" "p" "q" "r" "u" 1; "e" "i" "o" 1;
"a" "n" "p" "x" 1; "b" "a" "n" 2; "c" "d" "g" "l" "p" "s" "y" 1; "d" "a" "e" "p" "q" "r" "u" 1; "e" "i" "o" 1;
"a" "n" "p" "x" 1; "b" "a" "n" 2; "c" "d" "g" "l" "p" "s" "y" 1; "d" "a" "e" "p" "q" "r" "u" 1; "e" "i" "o" 1;
"a" "n" "p" "x" 1; "b" "a" "n" 2; "c" "d" "g" "l" "p" "s" "y" 1; "d" "a" "e" "p" "q" "r" "u" 1; "e" "i" "o" 1;
"a" "n" "p" "x" 1; "b" "a" "n" 2; "c" "d" "g" "l" "p" "s" "y" 1; "d" "a" "e" "p" "q" "r" "t" "u" 1; "e" "i" "o" 1;
"a" "n" "p" "x" 1; "b" "a" "n" 2; "c" "d" "g" "l" "p" "s" "y" 1; "d" "a" "e" "p" "q" "r" "t" "u" 1; "e" "i" "o" 1;
