none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "k" 1;
"b" "k" 1;
"b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1; "c" "i" 1; "d" "a" 1;
"a" "o" 1; "b" "k" 1; "c" "i" 1; "d" "a" 1;
"a" "o" 1; "b" "k" 1; "c" "i" 1; "d" "a" 1; "e" "h" 1;
"a" "o" 1; "b" "k" 1; "c" "i" 1; "d" "a" 1; "e" "h" 1;
"a" "o" 1; "b" "k" "o" 1; "c" "i" 1; "d" "a" "h" 1; "e" "h" 1;
"a" "o" 1; "b" "k" "o" 1; "c" "i" 1; "d" "a" "h" 1; "e" "h" 1;
"a" "o" 1; "b" "k" "o" 1; "c" "i" 1; "d" "a" "h" 1; "e" "h" 1;
"a" "g" "o" 1; "b" "k" "o" 1; "c" "i" 1; "d" "a" "h" 1; "e" "h" 1;
"a" "g" "o" 1; "b" "k" "o" 1; "c" "i" "n" 1; "d" "a" "h" 1; "e" "h" 1;
"a" "g" "o" 1; "b" "k" "o" 1; "c" "i" "n" 1; "d" "a" "h" 1; "e" "h" 1;
"a" "g" "o" 1; "b" "k" "o" 1; "c" "i" "n" 1; "d" "a" "h" 1; "e" "h" 1;
"a" "g" "o" 1; "b" "k" "o" 1; "c" "i" "n" 1; "d" "a" "h" 1; "e" "h" 1;
"a" "g" "o" 1; "b" "k" "n" "o" 1; "c" "i" "n" 1; "d" "a" "h" "m" 1; "e" "h" 1;
"a" "g" "o" 1; "b" "k" "n" "o" 1; "c" "i" "n" 1; "d" "a" "h" "l" "m" 1; "e" "h" 1;
"a" "g" "o" 1; "b" "n" 2; "c" "i" "k" "n" 1; "d" "a" "h" "l" "m" 1; "e" "h" "x" 1;
"a" "g" "o" 1; "b" "n" 2; "c" "i" "k" "n" 1; "d" "a" "h" "l" "m" "w" 1; "e" "h" "x" 1;
"a" "g" "o" 1; "b" "n" 2; "c" "i" "k" "n" 1; "d" "a" "h" "l" "m" "w" 1; "e" "h" "x" 1;
"a" "g" "o" 1; "b" "n" 2; "c" "i" "k" "n" 1; "d" "a" "h" "l" "m" "w" 1; "e" "h" "x" 1;
"a" "g" "o" 1; "b" "n" 2; "c" "i" "k" "n" 1; "d" "a" "h" "l" "m" "w" 1; "e" "h" "x" 1;
"a" "g" "o" 1; "b" "n" 2; "c" "i" "k" "n" 1; "d" "a" "c" "h" "l" "m" "w" "z" 1; "e" "h" "x" 1;
"a" "g" "o" 1; "b" "n" 2; "c" "i" "k" "n" 1; "d" "a" "c" "h" "l" "m" "w" "z" 1; "e" "h" "x" 1;
