none
none
none
none
none
none
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" "e" 1; "d" "q" 1;
"a" "c" "e" 1; "d" "q" 1;
"a" "c" "e" 1; "d" "l" "q" "u" 1;
"a" "c" "e" 1; "d" "l" "q" "u" 1;
"a" "c" "e" 1; "d" "l" "q" "u" 1;
"a" "c" "e" 1; "d" "l" "q" "u" 1;
"a" "c" "e" "p" 1; "d" "l" "q" "u" 1;
"a" "c" "e" "p" 1; "d" "l" "q" "u" 1;
"a" "c" "e" "p" "x" 1; "d" "l" "q" "u" 1; "e" "b" "x" 1;
"a" "c" "e" "l" "p" "x" 1; "b" "v" 1; "d" "l" "q" "u" 1; "e" "b" "x" 1;
"a" "c" "e" "l" "p" "x" 1; "b" "v" 1; "d" "l" "q" "u" 1; "e" "b" "x" 1;
"a" "c" "e" "l" "p" "x" 1; "b" "v" 1; "d" "l" "q" "u" 1; "e" "b" "x" 1;
"a" "c" "e" "l" "p" "x" 1; "b" "v" 1; "d" "l" "q" "u" 1; "e" "b" "x" 1;
"a" "c" "e" "l" "p" "x" 1; "b" "v" 1; "d" "l" "q" "u" 1; "e" "b" "x" 1;
"a" "c" "e" "l" "p" "x" 1; "b" "v" 1; "c" "p" 1; "d" "l" "q" "u" 1; "e" "b" "x" 1;
"a" "c" "e" "l" "p" "x" 1; "b" "v" 1; "c" "p" 1; "d" "l" "q" "u" 1; "e" "b" "j" "x" 1;
"a" "c" "e" "l" "p" "x" 1; "b" "v" 1; "c" "p" 1; "d" "l" "q" "u" 1; "e" "b" "j" "x" 1;
"a" "c" "e" "l" "p" "x" 1; "b" "v" 1; "c" "p" 1; "d" "l" "q" "u" 1; "e" "b" "j" "x" 1;
"a" "c" "e" "l" "p" "x" 1; "b" "v" 1; "c" "p" 1; "d" "l" "q" "u" 1; "e" "b" "j" "x" 1;
"a" "c" "e" "l" "p" "x" 1; "b" "v" 1; "c" "p" 1; "d" "l" "m" "q" "u" 1; "e" "b" "j" "x" 1;
"a" "c" "e" "l" "p" "x" 1; "b" "v" 1; "c" "p" 1; "d" "l" "m" "q" "u" 1; "e" "b" "j" "x" 1;
"a" "c" "e" "l" "p" "x" 1; "b" "v" 1; "c" "p" 1; "d" "l" "m" "q" "u" 1; "e" "b" "j" "x" 1;
"a" "c" "e" "l" "p" "x" 1; "b" "v" 1; "c" "p" 1; "d" "l" "m" "q" "u" 1; "e" "b" "j" "x" 1;
"a" "c" "e" "l" "p" "x" 1; "b" "g" "v" 1; "c" "i" "p" 1; "d" "m" 2; "e" "b" "j" "x" 1;
"a" "c" "e" "l" "p" "x" 1; "b" "g" "v" 1; "c" "c" "i" "p" 1; "d" "m" 2; "e" "b" "j" "x" 1;
"a" "c" "e" "l" "p" "x" 1; "b" "g" "v" 1; "c" "c" "i" "p" 1; "d" "m" 2; "e" "b" "c" "j" "x" 1;
"a" "c" "e" "l" "p" "q" "u" "x" 1; "b" "g" "v" "w" 1; "c" "c" "i" "p" "w" 1; "d" "m" 2; "e" "b" "c" "j" "u" "x" 1;
"a" "c" "e" "l" "p" "q" "u" "x" 1; "b" "g" "v" "w" "x" "z" 1; "c" "c" "d" "i" "p" "w" 1; "d" "m" 2; "e" "b" "c" "j" "u" "x" 1;
"a" "c" "e" "l" "p" "q" "u" "x" 1; "b" "g" "v" "w" "x" "z" 1; "c" "c" "d" "g" "i" "p" "w" 1; "d" "m" 2; "e" "b" "c" "j" "u" "x" 1;
"a" "c" "e" "l" "p" "q" "u" "x" 1; "b" "g" "v" "w" "x" "z" 1; "c" "c" "d" "g" "i" "p" "w" 1; "d" "m" 2; "e" "b" "c" "j" "u" "x" 1;
"a" "c" "e" "l" "p" "q" "u" "x" 1; "b" "g" "v" "w" "x" "z" 1; "c" "c" "d" "g" "i" "p" "w" 1; "d" "m" 2; "e" "b" "c" "j" "u" "x" 1;
"a" "c" "e" "l" "p" "q" "u" "x" 1; "b" "g" "v" "w" "x" "z" 1; "c" "c" "d" "g" "i" "p" "w" 1; "d" "m" 2; "e" "b" "c" "j" "u" "x" 1;
"a" "c" "e" "l" "p" "q" "u" "x" 1; "b" "g" "v" "w" "x" "z" 1; "c" "c" "d" "g" "i" "p" "w" 1; "d" "m" 2; "e" "b" "c" "j" "u" "x" 1;
"a" "c" "e" "l" "p" "q" "u" "x" 1; "b" "g" "v" "w" "x" "z" 1; "c" "c" "d" "g" "i" "p" "w" 1; "d" "m" 2; "e" "b" "c" "j" "u" "x" 1;
"a" "c" "e" "l" "p" "q" "u" "x" 1; "b" "g" "k" "v" "w" "x" "z" 1; "c" "c" "d" "g" "i" "p" "w" 1; "d" "m" 2; "e" "b" "c" "j" "m" "r" "u" "x" 1;
"a" "c" "e" "l" "p" "q" "u" "x" 1; "b" "g" "k" "v" "w" "x" "z" 1; "c" "i" 2; "d" "m" 2; "e" "b" "c" "j" "m" "r" "u" "x" 1;
"a" "c" "e" "l" "p" "q" "u" "w" "x" 1; "b" "g" "k" "v" "w" "x" "z" 1; "c" "i" 2; "d" "m" 2; "e" "b" "c" "j" "m" "r" "u" "x" 1;
"a" "c" "e" "l" "p" "q" "u" "w" "x" 1; "b" "g" "k" "v" "w" "x" "z" 1; "c" "i" 2; "d" "m" 2; "e" "b" "c" "j" "m" "r" "u" "x" 1;
"a" "c" "e" "l" "p" "q" "u" "w" "x" 1; "b" "g" "k" "v" "w" "x" "z" 1; "c" "i" 2; "d" "m" 2; "e" "b" "c" "j" "m" "r" "u" "x" 1;
"a" "c" "e" "l" "p" "q" "u" "w" "x" 1; "b" "g" "k" "v" "w" "x" "z" 1; "c" "i" 2; "d" "m" 2; "e" "b" "c" "j" "m" "r" "u" "x" 1;
"a" "c" "e" "l" "p" "q" "u" "w" "x" 1; "b" "x" 2; "c" "i" 2; "d" "m" 2; "e" "b" "c" "j" "m" "r" "u" "x" 1;
"a" "c" "e" "l" "p" "q" "u" "w" "x" 1; "b" "x" 2; "c" "i" 2; "d" "m" 2; "e" "b" "c" "j" "m" "r" "u" "x" 1;
"a" "c" "e" "l" "p" "q" "u" "w" "x" 1; "b" "x" 2; "c" "i" 2; "d" "m" 2; "e" "b" "c" "j" "m" "r" "u" "x" 1;
"a" "l" 2; "b" "x" 2; "c" "i" 2; "d" "m" 2; "e" "b" "c" "j" "m" "r" "u" "x" 1;
"a" "l" 2; "b" "x" 2; "c" "i" 2; "d" "m" 2; "e" "b" "c" "g" "j" "m" "r" "u" "x" 1;
"a" "l" 2; "b" "x" 2; "c" "i" 2; "d" "m" 2; "e" "b" "c" "g" "j" "m" "r" "u" "x" 1;
"a" "l" 2; "b" "x" 2; "c" "i" 2; "d" "m" 2; "e" "b" "c" "g" "j" "m" "r" "u" "x" 1;
"a" "l" 2; "b" "x" 2; "c" "i" 2; "d" "m" 2; "e" "b" "c" "g" "j" "m" "r" "u" "x" 1;
"a" "l" "q" 2; "b" "x" 2; "c" "i" 2; "d" "m" 2; "e" "b" "c" "g" "j" "m" "r" "u" "x" 1;
"a" "l" "q" 2; "b" "x" 2; "c" "i" 2; "d" "m" 2; "e" "b" "c" "g" "j" "m" "r" "u" "x" 1;
"a" "l" "q" 2; "b" "x" 2; "c" "i" 2; "d" "m" 2; "e" "b" "c" "g" "j" "m" "r" "u" "x" 1;
