none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "d" 1;
"a" "d" 1;
"a" "d" 1;
"a" "d" 1; "e" "w" 1;
"a" "d" 1; "e" "w" 1;
"a" "d" 1; "e" "w" 1;
"a" "d" 1; "e" "w" 1;
"a" "d" 1; "b" "c" 1; "e" "w" 1;
"a" "d" 1; "b" "c" 1; "e" "w" 1;
"a" "d" 1; "b" "q" 1; "e" "w" 1;
"a" "d" 1; "b" "q" 1; "e" "w" 1;
"a" "d" 1; "b" "q" 1; "e" "w" 1;
"a" "d" 1; "b" "q" 1; "e" "w" 1;
"a" "d" 1; "b" "o" "q" 1; "e" "w" 1;
"a" "d" 1; "b" "q" 2; "e" "w" 1;
"a" "d" 1; "b" "q" 2; "e" "w" 1;
"a" "d" 1; "b" "q" 2; "e" "w" 1;
"a" "d" 1; "b" "q" 2; "e" "w" 1;
"a" "d" 1; "b" "q" 2; "e" "w" 1;
"a" "d" 1; "b" "q" 2; "c" "c" 1; "e" "w" 1;
"a" "d" 1; "b" "q" 2; "c" "c" 1; "e" "w" 1;
"a" "d" 1; "b" "q" 2; "c" "c" 1; "e" "w" 1;
"a" "d" 1; "b" "q" 2; "c" "c" 1; "e" "w" 1;
"a" "d" 1; "b" "q" 2; "c" "c" 1; "e" "j" "w" 1;
"a" "d" 1; "b" "q" 2; "c" "c" 1; "e" "j" "w" 1;
"a" "d" 1; "b" "q" 2; "c" "c" 1; "e" "j" "w" 1;
"a" "d" 1; "b" "o" "q" 2; "c" "c" 1; "e" "j" "w" 1;
"a" "d" 1; "b" "o" "q" 2; "c" "c" 1; "e" "j" "w" 1;
"a" "d" 1; "b" "o" "q" 2; "c" "c" 2; "e" "g" "j" "w" 1;
"a" "d" 1; "b" "o" "q" 2; "c" "c" 2; "e" "g" "j" "m" "w" 1;
"a" "d" "g" "q" 1; "b" "o" "q" 2; "c" "c" 2; "e" "g" "j" "m" "w" 1;
"a" "d" "g" "q" 1; "b" "o" "q" 2; "c" "c" 2; "e" "g" "j" "m" "w" 1;
"a" "d" "g" "k" "q" 1; "b" "o" "q" 2; "c" "c" 2; "e" "g" "j" "m" "w" 1;
"a" "d" "g" "k" "q" 1; "b" "o" "q" 2; "c" "c" 2; "e" "g" "j" "m" "w" 1;
"a" "d" "g" "k" "q" 1; "b" "o" "q" 2; "c" "c" 2; "e" "g" "j" "m" "w" 1;
"a" "d" "g" "k" "q" 1; "b" "o" "q" 2; "c" "c" 2; "e" "g" "j" "m" "w" 1;
"a" "d" "g" "k" "q" "r" 1; "b" "o" "q" 2; "c" "c" 2; "e" "g" "j" "m" "w" 1;
"a" "d" "g" "k" "q" "r" "v" 1; "b" "o" "q" 2; "c" "c" 2; "d" "k" 1; "e" "g" "j" "m" "w" 1;
"a" "d" "g" "k" "q" "r" "v" 1; "b" "o" "q" 2; "c" "c" 2; "d" "k" 1; "e" "g" "j" "m" "w" 1;
"a" "r" 2; "b" "o" "q" 2; "c" "c" 2; "d" "k" "u" 1; "e" "g" "j" "m" "w" 1;
"a" "r" 2; "b" "o" "q" 2; "c" "c" 2; "d" "k" "u" 1; "e" "g" "j" "m" "w" 1;
"a" "r" 2; "b" "o" "q" 2; "c" "c" 2; "d" "k" "u" 1; "e" "g" "j" "m" "w" 1;
"a" "r" 2; "b" "o" "q" 2; "c" "c" 2; "d" "k" "u" 1; "e" "g" "j" "m" "s" "w" 1;
"a" "r" 2; "b" "o" "q" 2; "c" "c" 2; "d" "k" "s" "u" 1; "e" "g" "j" "m" "s" "w" 1;
"a" "r" 2; "b" "o" "q" 2; "c" "c" 2; "d" "k" "s" "u" 1; "e" "g" "j" "m" "s" "w" 1;
"a" "r" 2; "b" "o" "q" 2; "c" "c" 2; "d" "k" "s" "u" 1; "e" "g" "j" "m" "s" "w" 1;
"a" "r" 2; "b" "o" "q" 2; "c" "c" 2; "d" "k" "s" "u" 1; "e" "g" "j" "m" "s" "w" 1;
"a" "r" 2; "b" "o" "q" 2; "c" "c" 2; "d" "k" "s" "u" 1; "e" "g" "j" "m" "s" "w" 1;
"a" "r" 2; "b" "o" "q" 2; "c" "c" 2; "d" "k" "s" "u" 1; "e" "g" "j" "m" "s" "w" 1;
"a" "r" 2; "b" "o" "q" 2; "c" "c" 2; "d" "k" "s" "u" 1; "e" "g" "j" "m" "s" "w" 1;
"a" "r" 2; "b" "o" "q" 2; "c" "c" 2; "d" "k" "q" "s" "u" 1; "e" "g" "j" "m" "s" "w" 1;
"a" "r" 2; "b" "o" "q" 2; "c" "c" 2; "d" "k" "q" "s" "u" 1; "e" "g" "j" "m" "s" "w" 1;
"a" "r" 2; "b" "o" "q" 2; "c" "c" 2; "d" "k" "q" "s" "u" 1; "e" "g" "j" "m" "s" "w" 1;
"a" "r" 2; "b" "o" "q" 2; "c" "c" 2; "d" "k" "q" "s" "u" 1; "e" "g" "j" "m" "s" "w" 1;
"a" "r" 3; "b" "o" "q" "v" 2; "c" "c" 2; "d" "s" 2; "e" "g" "j" "m" "s" "w" 1;
"a" "r" 3; "b" "o" "q" "v" 2; "c" "c" 2; "d" "s" 2; "e" "g" "j" "m" "s" "w" 1;
"a" "r" 3; "b" "o" "q" "v" 2; "c" "c" 2; "d" "s" 2; "e" "g" "j" "m" "s" "w" 1;
"a" "r" 3; "b" "o" "q" "v" 2; "c" "c" 2; "d" "s" 2; "e" "g" "j" "m" "s" "w" 1;
"a" "r" 3; "b" "o" "q" "v" 2; "c" "c" 2; "d" "s" 2; "e" "g" "j" "m" "s" "w" 1;
"a" "r" 3; "b" "o" "q" "v" 2; "c" "c" 2; "d" "s" 2; "e" "g" "h" "m" "s" "w" 1;
"a" "r" 3; "b" "o" "q" "v" 2; "c" "c" 2; "d" "s" 2; "e" "g" "h" "m" "s" "w" 1;
"a" "r" 3; "b" "j" "o" "q" "v" 2; "c" "c" 2; "d" "s" 2; "e" "g" "h" "m" "s" "w" 1;
"a" "r" 3; "b" "j" "o" "q" "v" 2; "c" "c" 2; "d" "s" 2; "e" "g" "h" "m" "s" "w" 1;
"a" "r" 3; "b" "j" "o" "q" "v" 2; "c" "c" 2; "d" "s" 2; "e" "g" "h" "m" "s" "w" 1;
"a" "r" 3; "b" "j" "o" "q" "v" 2; "c" "c" 2; "d" "s" 2; "e" "g" "h" "m" "s" "w" 1;
"a" "r" 3; "b" "j" "o" "q" "v" 2; "c" "c" "o" 2; "d" "s" 2; "e" "s" 2;
"a" "r" 3; "b" "j" "o" "q" "v" 2; "c" "c" "o" 2; "d" "s" 2; "e" "s" 2;
"a" "r" 3; "b" "j" "o" "q" "v" 2; "c" "c" "o" 2; "d" "s" 2; "e" "s" 2;
"a" "r" 3; "b" "j" "o" "q" "v" 2; "c" "c" "o" 2; "d" "s" 2; "e" "s" 2;
"a" "r" 3; "b" "j" "o" "q" "v" 2; "c" "c" "o" 2; "d" "s" 2; "e" "s" 2;
"a" "r" 3; "b" "j" "o" "q" "v" 2; "c" "c" "o" 2; "d" "s" 2; "e" "s" 2;
"a" "r" 3; "b" "j" "o" "q" "v" 2; "c" "o" 3; "d" "s" 2; "e" "s" 2;
"a" "r" 3; "b" "j" "o" "q" "v" 2; "c" "o" 3; "d" "s" 2; "e" "s" 2;
"a" "r" 3; "b" "j" "o" "q" "v" 2; "c" "o" 3; "d" "s" 2; "e" "s" 2;
"a" "r" 3; "b" "j" "o" "q" "v" 2; "c" "o" 3; "d" "s" 2; "e" "s" 2;
"a" "r" 3; "b" "j" "o" "q" "v" 2; "c" "o" 3; "d" "s" 2; "e" "s" 2;
"a" "r" 3; "b" "j" "o" "q" "v" 2; "c" "o" 3; "d" "s" 2; "e" "s" 2;
"a" "r" 3; "b" "j" "o" "q" "v" 2; "c" "o" 3; "d" "s" 2; "e" "s" 2;
"a" "r" 3; "b" "j" "o" "q" "v" 2; "c" "o" 3; "d" "s" 2; "e" "s" 2;
"a" "r" 3; "b" "j" "o" "q" "v" 2; "c" "o" 3; "d" "e" "s" 2; "e" "s" 2;
"a" "r" 3; "b" "j" "o" "q" "v" 2; "c" "o" 3; "d" "e" "s" 2; "e" "s" 2;
"a" "r" 3; "b" "j" "o" "q" "v" 2; "c" "o" 3; "d" "e" "s" 2; "e" "s" 2;
"a" "r" 3; "b" "j" "o" "q" "v" 2; "c" "o" 3; "d" "c" "e" "s" 2; "e" "s" 2;
"a" "r" 3; "b" "j" "o" "q" "v" 2; "c" "o" 3; "d" "c" "e" "s" 2; "e" "s" 2;
"a" "r" 3; "b" "j" "o" "q" "v" 2; "c" "o" 3; "d" "c" "e" "s" 2; "e" "s" 2;
"a" "r" 3; "b" "j" "o" "q" "v" 2; "c" "o" 3; "d" "c" "e" "s" 2; "e" "s" 2;
"a" "r" 3; "b" "j" "o" "q" "v" 2; "c" "o" 3; "d" "c" "e" "s" 2; "e" "s" 2;
"a" "r" 3; "b" "j" "o" "q" "v" 2; "c" "o" 3; "d" "c" "e" "s" 2; "e" "s" 2;
"a" "r" 3; "b" "j" "o" "q" "v" 2; "c" "o" 3; "d" "c" "e" "s" 2; "e" "s" 2;
"a" "r" 3; "b" "j" "o" "q" "u" "v" 2; "c" "o" 3; "d" "c" "e" "s" 2; "e" "s" 2;
"a" "r" 3; "b" "j" "o" "q" "u" "v" 2; "c" "o" 3; "d" "c" "e" "s" 2; "e" "s" 2;
"a" "r" 3; "b" "j" "o" "q" "u" "v" 2; "c" "o" 3; "d" "c" "e" "s" 2; "e" "s" 2;
"a" "r" 3; "b" "j" "o" "q" "u" "v" 2; "c" "o" 3; "d" "c" "e" "s" 2; "e" "s" 2;
"a" "r" 3; "b" "j" "o" "q" "u" "v" 2; "c" "o" 3; "d" "c" "e" "s" 2; "e" "r" "s" 2;
"a" "r" 3; "b" "j" "o" "q" "u" "v" 2; "c" "o" 3; "d" "c" "e" "s" 2; "e" "r" "s" 2;
"a" "r" 3; "b" "j" "o" "q" "u" "v" "x" 2; "c" "o" 3; "d" "c" "e" "s" 2; "e" "r" 3;
"a" "r" 3; "b" "j" "o" "q" "u" "v" "x" 2; "c" "o" 3; "d" "c" "e" "s" 2; "e" "r" 3;
"a" "r" 3; "b" "j" "o" "q" "u" "v" "x" 2; "c" "o" 3; "d" "c" "e" "s" 2; "e" "r" 3;
"a" "r" 3; "b" "j" "o" "q" "u" "v" "x" 2; "c" "o" 3; "d" "c" "e" "s" 2; "e" "r" 3;
"a" "r" 3; "b" "j" "o" "q" "u" "v" "x" 2; "c" "o" 3; "d" "c" "e" "h" "s" 2; "e" "r" 3;
"a" "r" 3; "b" "j" "o" "q" "u" "v" "x" 2; "c" "o" 3; "d" "c" "e" "h" "s" 2; "e" "r" 3;
"a" "r" 3; "b" "j" "o" "q" "u" "v" "x" 2; "c" "o" 3; "d" "c" "e" "h" "s" 2; "e" "r" 3;
"a" "r" 3; "b" "j" "o" "q" "u" "v" "x" 2; "c" "o" 3; "d" "c" "e" "h" "s" 2; "e" "r" 3;
"a" "r" 3; "b" "j" "n" "o" "q" "u" "v" "x" 2; "c" "o" 3; "d" "c" "e" "h" "s" 2; "e" "r" 3;
"a" "r" 3; "b" "j" "n" "o" "q" "u" "v" "x" 2; "c" "o" 3; "d" "c" "e" "h" "s" 2; "e" "r" 3;
"a" "r" 3; "b" "j" "n" "o" "q" "u" "v" "x" 2; "c" "o" 3; "d" "c" "e" "h" "s" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "j" "n" "o" "q" "u" "v" "x" 2; "c" "o" 3; "d" "c" "e" "h" "s" "t" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "j" "n" "o" "q" "u" "v" "x" 2; "c" "h" "o" 3; "d" "c" "e" "h" "s" "t" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "j" "n" "o" "q" "u" "v" "x" 2; "c" "h" "o" 3; "d" "c" "e" "h" "s" "t" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "j" "n" "o" "q" "u" "v" "x" 2; "c" "h" "o" 3; "d" "c" "e" "h" "s" "t" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "x" 3; "c" "h" "o" 3; "d" "c" "e" "h" "s" "t" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "x" 3; "c" "h" "o" 3; "d" "c" "e" "h" "s" "t" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "x" 3; "c" "h" "o" 3; "d" "c" "e" "h" "s" "t" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "x" 3; "c" "h" "o" 3; "d" "c" "e" "h" "s" "t" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "x" 3; "c" "h" "o" 3; "d" "c" "e" "h" "s" "t" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "x" 3; "c" "h" "o" 3; "d" "c" "e" "h" "s" "t" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "x" 3; "c" "h" "o" 3; "d" "c" "e" "h" "s" "t" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "x" 3; "c" "h" "o" 3; "d" "c" "e" "h" "s" "t" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "x" 3; "c" "h" 4; "d" "c" "e" "h" "s" "t" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "x" 3; "c" "h" 4; "d" "c" "e" "h" "s" "t" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "x" 3; "c" "h" 4; "d" "c" "e" "h" "s" "t" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "x" 3; "c" "h" 4; "d" "c" "e" "h" "s" "t" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "x" 3; "c" "h" 4; "d" "c" "e" "h" "s" "t" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "x" 3; "c" "h" 4; "d" "c" "e" "h" "s" "t" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "x" 3; "c" "h" 4; "d" "c" "e" "h" "s" "t" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "x" 3; "c" "h" 4; "d" "c" "e" "h" "s" "t" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "x" 3; "c" "h" 4; "d" "c" "e" "h" "s" "t" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "x" 3; "c" "h" 4; "d" "c" "e" "h" "s" "t" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "x" 3; "c" "h" 4; "d" "c" "e" "h" "s" "t" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "x" 3; "c" "h" 4; "d" "c" "e" "h" "s" "t" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "x" 3; "c" "h" 4; "d" "c" "e" "h" "s" "t" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "x" 3; "c" "h" 4; "d" "c" "e" "h" "s" "t" "w" 2; "e" "r" 3;
"a" "r" "z" 3; "b" "x" 3; "c" "h" 4; "d" "c" "e" "h" "s" "t" "w" 2; "e" "r" 3;
"a" "r" "z" 3; "b" "x" 3; "c" "h" 4; "d" "c" "e" "h" "s" "t" "w" 2; "e" "r" 3;
"a" "r" "z" 3; "b" "x" 3; "c" "h" 4; "d" "c" "e" "h" "s" "t" "w" 2; "e" "r" 3;
"a" "r" "z" 3; "b" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "r" 3;
