none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "g" 1;
"a" "g" 1; "d" "g" 1;
"a" "g" 1; "d" "g" "v" 1;
"a" "g" 1; "d" "g" "v" 1;
"a" "g" 1; "d" "g" "v" 1;
"a" "g" 1; "d" "g" "v" 1;
"a" "g" 1; "d" "g" "v" 1; "e" "x" 1;
"a" "g" 1; "b" "e" 1; "d" "g" "v" 1; "e" "x" 1;
"a" "g" 1; "b" "e" 1; "d" "g" "v" 1; "e" "x" 1;
"a" "g" 1; "b" "e" 1; "d" "g" "v" 1; "e" "x" 1;
"a" "g" 1; "b" "e" 1; "d" "g" "v" 1; "e" "x" 1;
"a" "g" 1; "b" "e" 1; "d" "g" "v" 1; "e" "x" 1;
"a" "g" 1; "b" "e" 1; "d" "g" "v" 1; "e" "x" 1;
"a" "g" 1; "b" "e" 1; "d" "g" "v" 1; "e" "x" 1;
"a" "g" 1; "b" "e" 1; "d" "g" "v" 1; "e" "x" 1;
"a" "g" 1; "b" "e" 1; "d" "g" "j" "v" 1; "e" "x" 1;
"a" "g" "w" 1; "b" "e" 1; "d" "g" "j" "v" 1; "e" "x" 1;
"a" "g" "w" 1; "b" "e" 1; "d" "g" "j" "v" 1; "e" "x" 1;
"a" "g" "w" 1; "b" "e" 1; "d" "g" "j" "v" 1; "e" "x" 1;
"a" "g" "w" 1; "b" "e" 1; "c" "b" 1; "d" "g" "j" "v" 1; "e" "x" 1;
"a" "g" "s" "w" 1; "b" "e" 1; "c" "b" 1; "d" "g" "j" "v" "z" 1; "e" "x" 1;
"a" "g" "s" "w" 1; "b" "e" 1; "c" "b" 1; "d" "g" "j" "v" "z" 1; "e" "x" 1;
"a" "g" "s" "w" 1; "b" "e" 1; "c" "b" 1; "d" "g" "j" "v" "z" 1; "e" "u" "x" 1;
"a" "g" "s" "w" 1; "b" "e" "z" 1; "c" "b" 1; "d" "g" "j" "v" "z" 1; "e" "u" "x" 1;
"a" "g" "s" "w" 1; "b" "e" "z" 1; "c" "b" 1; "d" "g" "j" "v" "z" 1; "e" "u" "x" 1;
"a" "g" "s" "w" 1; "b" "e" "z" 1; "c" "b" 1; "d" "g" "j" "k" "v" "z" 1; "e" "u" "x" 1;
"a" "g" "s" "w" 1; "b" "e" "z" 1; "c" "b" 1; "d" "g" "j" "k" "v" "z" 1; "e" "u" "x" 1;
"a" "g" "s" "w" 1; "b" "e" "z" 1; "c" "b" 1; "d" "g" "j" "k" "v" "z" 1; "e" "u" "x" 1;
"a" "g" "s" "w" 1; "b" "e" "z" 1; "c" "b" 1; "d" "g" "j" "k" "v" "z" 1; "e" "u" "x" 1;
"a" "g" "s" "w" 1; "b" "e" "z" 1; "c" "b" 1; "d" "g" "j" "k" "v" "z" 1; "e" "u" "x" 1;
"a" "g" "s" "w" 1; "b" "e" "z" 1; "c" "b" "t" 1; "d" "g" "j" "k" "v" "z" 1; "e" "u" "x" 1;
"a" "g" "s" "w" 1; "b" "e" "z" 1; "c" "b" "t" 1; "d" "g" "j" "k" "v" "z" 1; "e" "u" "x" 1;
"a" "g" "s" "w" 1; "b" "e" "z" 1; "c" "b" "t" 1; "d" "g" "j" "k" "v" "z" 1; "e" "u" "v" "x" 1;
"a" "g" "s" "w" 1; "b" "e" "z" 1; "c" "b" "t" 1; "d" "g" "j" "k" "v" "z" 1; "e" "u" "v" "x" 1;
"a" "g" "s" "w" 1; "b" "e" "z" 1; "c" "b" "t" 1; "d" "g" "j" "k" "v" "z" 1; "e" "u" "v" "x" 1;
"a" "g" "s" "w" 1; "b" "e" "z" 1; "c" "b" "t" 1; "d" "g" "j" "k" "v" "z" 1; "e" "u" "v" "x" 1;
"a" "g" "n" "s" "w" 1; "b" "e" "z" 1; "c" "b" "t" 1; "d" "g" "j" "k" "v" "z" 1; "e" "h" "u" "v" "x" 1;
"a" "g" "n" "s" "w" 1; "b" "e" "z" 1; "c" "b" "t" 1; "d" "g" "j" "k" "v" "z" 1; "e" "h" "u" "v" "x" 1;
"a" "g" "n" "p" "s" "w" 1; "b" "e" "i" "z" 1; "c" "b" "t" 1; "d" "g" "j" "k" "v" "z" 1; "e" "h" "u" "v" "x" 1;
"a" "g" "n" "p" "s" "w" 1; "b" "e" "i" "z" 1; "c" "b" "t" 1; "d" "g" "j" "k" "v" "z" 1; "e" "h" "u" "v" "x" 1;
"a" "g" "n" "p" "s" "w" 1; "b" "e" "i" "z" 1; "c" "b" "t" "x" 1; "d" "g" "j" "k" "p" "v" "z" 1; "e" "h" "u" "v" "x" 1;
"a" "g" "n" "p" "s" "w" 1; "b" "e" "i" "u" "z" 1; "c" "b" "t" "x" 1; "d" "c" "g" "j" "k" "p" "v" "z" 1; "e" "h" "u" "v" "x" 1;
"a" "g" "n" "p" "s" "w" 1; "b" "e" "i" "u" "z" 1; "c" "b" "t" "x" 1; "d" "c" "g" "j" "k" "p" "v" "z" 1; "e" "h" "u" "v" "x" 1;
"a" "g" "n" "p" "s" "w" 1; "b" "e" "i" "u" "z" 1; "c" "b" "t" "x" 1; "d" "c" "g" "j" "k" "p" "v" "z" 1; "e" "h" "u" "v" "x" 1;
"a" "g" "n" "p" "s" "w" 1; "b" "e" "i" "u" "z" 1; "c" "b" "t" "x" 1; "d" "c" "g" "j" "k" "p" "v" "z" 1; "e" "h" "u" "v" "x" 1;
"a" "g" "n" "p" "s" "w" 1; "b" "e" "i" "u" "z" 1; "c" "b" "t" "x" 1; "d" "c" "g" "j" "k" "p" "v" "z" 1; "e" "h" "u" "v" "x" 1;
"a" "g" "n" "p" "s" "w" 1; "b" "e" "i" "u" "z" 1; "c" "b" "t" "x" 1; "d" "c" "g" "j" "k" "p" "v" "z" 1; "e" "h" "u" "v" "x" 1;
"a" "g" "h" "n" "p" "s" "w" 1; "b" "e" "i" "u" "z" 1; "c" "b" "t" "x" 1; "d" "c" "g" "j" "k" "p" "v" "z" 1; "e" "h" "u" "v" "x" 1;
"a" "g" "h" "n" "p" "s" "w" 1; "b" "e" "i" "u" "z" 1; "c" "a" "b" "t" "x" 1; "d" "g" "j" 2; "e" "h" "q" "u" "v" "x" "z" 1;
"a" "g" "h" "n" "p" "s" "w" 1; "b" "e" "i" "u" "z" 1; "c" "a" "b" "t" "x" 1; "d" "g" "j" 2; "e" "h" "q" "u" "v" "x" "z" 1;
"a" "g" "h" "n" "p" "s" "w" 1; "b" "e" "i" "u" "z" 1; "c" "a" "b" "t" "x" 1; "d" "g" "j" 2; "e" "h" "q" "u" "v" "x" "z" 1;
"a" "g" "h" "n" "p" "s" "w" 1; "b" "e" "i" "u" "z" 1; "c" "a" "b" "t" "x" 1; "d" "g" "j" 2; "e" "h" "q" "u" "v" "x" "z" 1;
"a" "g" "h" "n" "p" "s" "w" 1; "b" "e" "i" "u" "z" 1; "c" "a" "b" "t" "x" 1; "d" "g" "j" 2; "e" "h" "q" "u" "v" "x" "z" 1;
"a" "g" "h" "n" "p" "s" "w" 1; "b" "e" "i" "u" "z" 1; "c" "a" "b" "t" "x" 1; "d" "g" "j" 2; "e" "h" "q" "u" "v" "x" "z" 1;
"a" "g" "h" "n" "p" "s" "w" 1; "b" "e" "i" "u" "z" 1; "c" "a" "b" "t" "x" "y" 1; "d" "g" "j" 2; "e" "h" "q" "u" "v" "x" "z" 1;
"a" "d" "g" "h" "n" "p" "s" "w" 1; "b" "e" "i" "u" "z" 1; "c" "a" "b" "t" "u" "x" "y" 1; "d" "g" "j" 2; "e" "c" "h" "q" "u" "v" "x" "z" 1;
"a" "d" "g" "h" "n" "p" "s" "w" 1; "b" "e" "i" "u" "z" 1; "c" "a" "b" "t" "u" "x" "y" 1; "d" "g" "j" 2; "e" "c" "h" "q" "u" "v" "x" "z" 1;
"a" "d" "g" "h" "n" "p" "s" "w" 1; "b" "e" "i" "u" "z" 1; "c" "a" "b" "t" "u" "x" "y" 1; "d" "g" "j" 2; "e" "c" "h" "q" "u" "v" "x" "z" 1;
"a" "d" "g" "h" "n" "p" "s" "w" 1; "b" "e" "i" "u" "z" 1; "c" "a" 2; "d" "g" "j" 2; "e" "c" "h" "q" "u" "v" "x" "z" 1;
"a" "d" "g" "h" "n" "p" "s" "w" 1; "b" "e" "i" "u" "z" 1; "c" "a" 2; "d" "g" "j" 2; "e" "c" "h" "q" "u" "v" "x" "z" 1;
"a" "w" 2; "b" "e" "i" "u" "v" "z" 1; "c" "a" 2; "d" "g" "j" 2; "e" "c" "h" "q" "u" "v" "x" "z" 1;
"a" "w" 2; "b" "e" "i" "u" "v" "z" 1; "c" "a" 2; "d" "g" "j" "x" 2; "e" "c" "h" "q" "u" "v" "x" "z" 1;
"a" "w" 2; "b" "e" 2; "c" "a" 2; "d" "g" "j" "x" 2; "e" "c" "h" "q" "u" "v" "x" "z" 1;
"a" "w" 2; "b" "e" 2; "c" "a" 2; "d" "g" "j" "x" 2; "e" "c" "h" "q" "u" "v" "x" "z" 1;
"a" "w" 2; "b" "e" 2; "c" "a" 2; "d" "g" "j" "x" 2; "e" "c" "h" "n" "q" "u" "v" "x" "z" 1;
"a" "w" 2; "b" "e" 2; "c" "a" 2; "d" "g" "j" "x" 2; "e" "u" 2;
"a" "w" 2; "b" "e" 2; "c" "a" 2; "d" "g" "j" "x" 2; "e" "u" 2;
"a" "w" 2; "b" "e" 2; "c" "a" 2; "d" "g" "j" "x" 2; "e" "u" 2;
"a" "w" 2; "b" "e" 2; "c" "a" 2; "d" "g" "j" "x" 2; "e" "u" 2;
"a" "w" 2; "b" "e" 2; "c" "a" 2; "d" "g" "j" "x" 2; "e" "g" "u" 2;
"a" "w" 2; "b" "e" 2; "c" "a" "y" 2; "d" "g" "j" "x" 2; "e" "g" "u" 2;
"a" "d" "w" 2; "b" "e" 2; "c" "a" "y" 2; "d" "g" "j" "x" 2; "e" "g" "u" 2;
"a" "d" "w" 2; "b" "e" 2; "c" "a" "b" "y" 2; "d" "g" "j" "x" 2; "e" "g" "u" 2;
"a" "d" "w" 2; "b" "e" 2; "c" "a" "b" "y" 2; "d" "g" "j" "x" 2; "e" "g" "u" 2;
"a" "d" "w" 2; "b" "e" 2; "c" "a" "b" "y" 2; "d" "g" "j" "x" 2; "e" "g" "u" 2;
"a" "d" "w" 2; "b" "e" 2; "c" "a" "b" "y" 2; "d" "g" "j" "x" 2; "e" "g" "u" 2;
"a" "d" "w" 2; "b" "e" 2; "c" "a" "b" "y" 2; "d" "g" "j" "x" 2; "e" "g" "u" 2;
"a" "d" "w" 2; "b" "e" 2; "c" "a" "b" "y" 2; "d" "j" 3; "e" "g" "u" 2;
"a" "d" "g" "w" 2; "b" "e" 2; "c" "a" "b" "y" 2; "d" "j" 3; "e" "g" "u" 2;
"a" "d" "g" "w" 2; "b" "e" 2; "c" "a" "b" "y" 2; "d" "j" 3; "e" "g" "u" 2;
"a" "d" "g" "w" 2; "b" "e" 2; "c" "a" "b" "y" 2; "d" "j" 3; "e" "g" "u" 2;
"a" "d" "g" "w" 2; "b" "e" 2; "c" "a" "b" "y" 2; "d" "g" "j" 3; "e" "g" "u" 2;
"a" "d" "g" "w" 2; "b" "e" 2; "c" "a" "b" "y" 2; "d" "g" "j" 3; "e" "g" "u" 2;
"a" "d" "g" "w" 2; "b" "e" 2; "c" "a" "b" "y" 2; "d" "g" "j" 3; "e" "g" "l" "u" 2;
"a" "d" "g" "w" 2; "b" "e" 2; "c" "a" "b" "y" 2; "d" "g" "j" 3; "e" "g" "l" "u" 2;
"a" "d" "g" "w" 2; "b" "e" 2; "c" "a" "b" "y" 2; "d" "g" "j" 3; "e" "g" "l" "u" 2;
"a" "d" "g" "w" 2; "b" "e" 2; "c" "a" "b" "y" 2; "d" "g" "j" 3; "e" "g" "l" "u" 2;
"a" "d" "g" "w" 2; "b" "e" 2; "c" "a" "b" "y" 2; "d" "g" "j" 3; "e" "g" "l" "u" 2;
"a" "g" 3; "b" "e" 2; "c" "a" "b" "y" 2; "d" "g" "j" 3; "e" "g" "l" "u" 2;
"a" "g" 3; "b" "e" 2; "c" "a" "b" "y" 2; "d" "g" "j" 3; "e" "g" "l" "u" 2;
"a" "g" 3; "b" "e" 2; "c" "a" "b" "y" 2; "d" "g" "j" 3; "e" "g" "l" "u" 2;
"a" "g" 3; "b" "e" 2; "c" "a" "b" "y" 2; "d" "g" "j" 3; "e" "g" "l" "u" 2;
"a" "g" 3; "b" "e" 2; "c" "a" "b" "y" 2; "d" "g" "j" 3; "e" "g" "l" "u" 2;
"a" "g" 3; "b" "e" 2; "c" "a" "b" "u" "y" 2; "d" "g" "j" 3; "e" "g" "l" "u" 2;
"a" "g" 3; "b" "e" 2; "c" "a" "b" "u" "y" 2; "d" "g" "j" 3; "e" "g" "l" "u" 2;
"a" "g" 3; "b" "e" "v" 2; "c" "a" "b" "u" "y" 2; "d" "g" "j" "x" 3; "e" "g" "l" "u" 2;
"a" "g" 3; "b" "e" "v" 2; "c" "a" "b" "u" "y" 2; "d" "g" "j" "x" 3; "e" "g" "l" "u" 2;
"a" "g" 3; "b" "e" "v" 2; "c" "a" "b" "u" "y" 2; "d" "g" "j" "x" 3; "e" "g" "l" "u" 2;
"a" "g" 3; "b" "e" "v" 2; "c" "a" "b" "u" "y" 2; "d" "g" "j" "x" 3; "e" "g" "l" "u" 2;
"a" "g" 3; "b" "e" "v" 2; "c" "a" "b" "u" "y" 2; "d" "g" "j" "x" 3; "e" "g" "l" "u" 2;
"a" "g" 3; "b" "e" "v" 2; "c" "a" "b" "u" "y" 2; "d" "g" "j" "x" 3; "e" "g" "l" "u" 2;
"a" "g" 3; "b" "e" "v" 2; "c" "a" "b" "u" "y" 2; "d" "g" "j" "x" 3; "e" "g" "l" "u" 2;
"a" "g" 3; "b" "e" "v" 2; "c" "a" "b" "u" "y" 2; "d" "g" "j" "x" 3; "e" "g" "l" "u" 2;
"a" "g" 3; "b" "e" "v" 2; "c" "a" "b" "u" "y" 2; "d" "g" "j" "x" 3; "e" "g" "l" "u" 2;
"a" "g" 3; "b" "e" "v" 2; "c" "a" "b" "u" "y" 2; "d" "g" "j" "x" 3; "e" "g" "l" "u" 2;
"a" "g" 3; "b" "e" "v" 2; "c" "a" "b" "u" "y" "z" 2; "d" "g" "j" "x" 3; "e" "g" "l" "u" "v" 2;
"a" "g" 3; "b" "e" "v" 2; "c" "a" "b" "u" "y" "z" 2; "d" "g" "j" "x" 3; "e" "g" "l" "u" "v" 2;
"a" "g" 3; "b" "e" "v" 2; "c" "a" "b" "u" "y" "z" 2; "d" "g" 4; "e" "g" "l" "s" "u" "v" 2;
"a" "g" 3; "b" "e" "v" 2; "c" "a" "b" "u" "y" "z" 2; "d" "g" 4; "e" "g" "l" "s" "u" "v" 2;
