none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "g" 1;
"d" "g" 1;
"d" "g" 1;
"d" "g" 1; "e" "i" 1;
"d" "g" 1; "e" "i" 1;
"d" "g" 1; "e" "i" 1;
"d" "g" 1; "e" "i" 1;
"d" "g" 1; "e" "i" 1;
"d" "g" 1; "e" "i" 1;
"d" "g" 1; "e" "i" 1;
"d" "g" "u" "z" 1; "e" "h" "i" 1;
"d" "g" "u" "z" 1; "e" "h" "i" 1;
"d" "g" "u" "z" 1; "e" "h" "i" 1;
"b" "k" 1; "d" "g" "u" "z" 1; "e" "h" "i" 1;
"b" "k" 1; "d" "g" "u" "z" 1; "e" "h" "i" 1;
"b" "k" 1; "d" "g" "u" "z" 1; "e" "h" "i" 1;
"b" "k" 1; "d" "g" "u" "z" 1; "e" "h" "i" 1;
"b" "k" 1; "d" "g" "u" "z" 1; "e" "h" "i" 1;
"b" "k" 1; "d" "g" "u" "z" 1; "e" "h" "i" 1;
"b" "f" "k" 1; "c" "f" 1; "d" "g" "u" "w" "z" 1; "e" "h" "i" "n" 1;
"b" "f" "k" 1; "c" "f" 1; "d" "g" "u" "w" "z" 1; "e" "h" "i" "n" 1;
"b" "f" "k" 1; "c" "f" 1; "d" "g" "u" "w" "z" 1; "e" "c" "h" "i" "n" 1;
"b" "f" "k" 1; "c" "f" 1; "d" "g" "u" "w" "z" 1; "e" "c" "h" "i" "n" "t" 1;
"b" "f" "k" "x" 1; "c" "f" 1; "d" "g" "u" "w" "z" 1; "e" "c" "h" "i" "n" "t" 1;
"b" "f" "k" "x" 1; "c" "f" 1; "d" "g" "u" "w" "z" 1; "e" "c" "h" "i" "n" "t" 1;
"b" "f" "k" "x" 1; "c" "f" 1; "d" "g" "u" "w" "z" 1; "e" "c" "h" "i" "n" "t" 1;
"b" "f" "k" "x" 1; "c" "f" 1; "d" "g" "u" "w" "z" 1; "e" "c" "h" "i" "n" "t" 1;
"b" "f" "k" "x" 1; "c" "f" 1; "d" "g" "u" "w" "z" 1; "e" "c" "h" "i" "n" "p" "t" 1;
"a" "t" 1; "b" "x" 2; "c" "f" 1; "d" "g" "u" "w" "z" 1; "e" "c" "h" "i" "n" "p" "t" 1;
"a" "g" "t" 1; "b" "x" 2; "c" "f" 1; "d" "v" 2; "e" "c" "h" "i" "n" "p" "t" 1;
"a" "e" "g" "t" 1; "b" "x" 2; "c" "f" "g" 1; "d" "v" 2; "e" "c" "h" "i" "n" "p" "t" "z" 1;
"a" "e" "g" "t" 1; "b" "x" 2; "c" "f" "g" 1; "d" "v" 2; "e" "c" "h" "i" "n" "p" "t" "z" 1;
"a" "e" "g" "t" 1; "b" "x" 2; "c" "f" "g" 1; "d" "v" 2; "e" "c" "h" "i" "n" "p" "t" "z" 1;
"a" "e" "g" "t" 1; "b" "x" 2; "c" "f" "g" 1; "d" "v" 2; "e" "c" "h" "i" "n" "p" "t" "z" 1;
"a" "e" "g" "t" 1; "b" "x" 2; "c" "f" "g" 1; "d" "v" 2; "e" "c" "h" "i" "n" "p" "t" "z" 1;
"a" "e" "g" "n" "t" 1; "b" "x" 2; "c" "f" "g" 1; "d" "v" 3; "e" "c" "h" "i" "n" "p" "t" "z" 1;
"a" "e" "g" "n" "t" 1; "b" "x" 2; "c" "f" "g" 1; "d" "v" 3; "e" "c" "h" "i" "n" "p" "t" "z" 1;
"a" "e" "g" "n" "t" "x" 1; "b" "x" 2; "c" "f" "g" 1; "d" "v" 3; "e" "c" "h" "i" "n" "p" "t" "z" 1;
"a" "e" "g" "n" "t" "x" 1; "b" "x" 2; "c" "f" "g" 1; "d" "v" 3; "e" "c" "h" "i" "n" "p" "t" "z" 1;
"a" "e" "g" "n" "t" "x" 1; "b" "x" 2; "c" "f" "g" 1; "d" "v" 3; "e" "c" "h" "i" "n" "p" "t" "z" 1;
"a" "e" "g" "n" "t" "x" 1; "b" "x" 2; "c" "f" "g" 1; "d" "v" 3; "e" "c" "h" "i" "n" "p" "t" "z" 1;
"a" "e" "g" "n" "t" "x" 1; "b" "x" 2; "c" "f" "g" "t" 1; "d" "v" 3; "e" "c" "h" "i" "n" "p" "t" "z" 1;
