none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "h" 1;
"b" "h" 1; "d" "h" 1;
"b" "h" 1; "d" "h" 1;
"b" "h" 1; "c" "b" 1; "d" "h" "m" 1;
"b" "h" 1; "c" "b" 1; "d" "h" "m" "s" 1;
"a" "t" 1; "b" "h" 1; "c" "b" 1; "d" "h" "m" "s" 1;
"a" "t" 1; "b" "h" 1; "c" "b" "v" 1; "d" "h" "m" "s" 1;
"a" "t" 1; "b" "h" 1; "c" "b" "v" 1; "d" "h" "m" "s" 1;
"a" "t" 1; "b" "h" 1; "c" "b" "v" 1; "d" "h" "m" "s" 1;
"a" "t" 1; "b" "h" 1; "c" "b" "v" 1; "d" "h" "m" "s" 1;
"a" "t" 1; "b" "h" 1; "c" "b" "v" 1; "d" "h" "m" "s" 1; "e" "o" 1;
"a" "k" "t" 1; "b" "h" "t" 1; "c" "b" "v" "x" "y" 1; "d" "m" 2; "e" "o" "t" 1;
"a" "k" "t" 1; "b" "h" "t" 1; "c" "b" "v" "x" "y" 1; "d" "m" 2; "e" "o" "s" "t" 1;
"a" "k" "t" 1; "b" "h" "t" 1; "c" "b" "v" "x" "y" 1; "d" "m" 2; "e" "o" "s" "t" 1;
"a" "k" 2; "b" "h" "t" 1; "c" "b" "v" "x" "y" 1; "d" "m" 2; "e" "o" "s" "t" 1;
"a" "k" 2; "b" "h" "t" 1; "c" "b" "v" "x" "y" 1; "d" "m" 2; "e" "o" "s" "t" 1;
"a" "k" 2; "b" "h" "t" 1; "c" "b" "v" "x" "y" 1; "d" "m" 2; "e" "o" "s" "t" 1;
"a" "k" 2; "b" "h" "t" 1; "c" "b" "m" "v" "x" "y" 1; "d" "m" 2; "e" "o" "s" "t" 1;
"a" "k" 2; "b" "h" "t" "u" 1; "c" "b" "m" "v" "x" "y" 1; "d" "m" 2; "e" "i" "o" "s" "t" 1;
"a" "k" 2; "b" "h" "t" "u" 1; "c" "b" "m" "v" "x" "y" 1; "d" "m" 2; "e" "i" "o" "s" "t" 1;
"a" "k" 2; "b" "h" "t" "u" 1; "c" "b" "m" "v" "x" "y" 1; "d" "m" 2; "e" "i" "o" "s" "t" 1;
"a" "k" 2; "b" "h" "t" "u" 1; "c" "b" "m" "v" "x" "y" 1; "d" "m" 2; "e" "i" "o" "s" "t" 1;
"a" "k" 2; "b" "h" "t" "u" 1; "c" "b" "m" "v" "x" "y" 1; "d" "m" 2; "e" "i" "o" "s" "t" 1;
"a" "k" 2; "b" "h" "t" "u" 1; "c" "b" "m" "v" "x" "y" 1; "d" "m" 2; "e" "i" "o" "s" "t" 1;
"a" "k" 2; "b" "h" "t" "u" 1; "c" "b" "m" "v" "x" "y" 1; "d" "m" 2; "e" "i" "o" "s" "t" 1;
"a" "k" 2; "b" "h" "t" "u" 1; "c" "b" "m" "v" "x" "y" 1; "d" "m" 2; "e" "i" "o" "s" "t" 1;
"a" "k" 2; "b" "h" "t" "u" 1; "c" "b" "m" "v" "x" "y" 1; "d" "m" 2; "e" "i" "o" "s" "t" 1;
"a" "k" 2; "b" "h" "t" "u" 1; "c" "b" "m" "v" "x" "y" 1; "d" "m" 2; "e" "i" "o" "s" "t" 1;
"a" "k" 2; "b" "h" "t" "u" 1; "c" "b" "m" "v" "x" "y" 1; "d" "m" 2; "e" "i" "o" "s" "t" 1;
"a" "k" 2; "b" "a" "h" "t" "u" 1; "c" "b" "m" "v" "x" "y" 1; "d" "m" 2; "e" "i" "o" "s" "t" 1;
"a" "k" 2; "b" "a" "h" "t" "u" 1; "c" "b" "m" "v" "x" "y" 1; "d" "m" 2; "e" "i" "o" "s" "t" 1;
"a" "k" 2; "b" "a" "h" "t" "u" 1; "c" "b" "m" "v" "x" "y" 1; "d" "m" 2; "e" "i" "o" "s" "t" 1;
"a" "k" 2; "b" "a" "h" "t" "u" 1; "c" "b" "m" "q" "v" "x" "y" 1; "d" "m" 2; "e" "i" "o" "s" "t" 1;
"a" "k" 2; "b" "a" "h" "t" "u" 1; "c" "b" "m" "q" "v" "x" "y" 1; "d" "m" 2; "e" "i" "o" "s" "t" 1;
"a" "k" 2; "b" "h" 2; "c" "b" "m" "q" "v" "x" "y" 1; "d" "m" 2; "e" "i" "o" "s" "t" 1;
"a" "k" 2; "b" "h" 2; "c" "b" "m" "q" "v" "x" "y" 1; "d" "m" 2; "e" "i" "o" "s" "t" 1;
"a" "k" 2; "b" "h" 2; "c" "x" 2; "d" "m" 2; "e" "i" "o" "p" "s" "t" 1;
"a" "k" 2; "b" "h" 2; "c" "x" 2; "d" "m" 2; "e" "i" "o" "p" "s" "t" 1;
"a" "k" 2; "b" "h" 2; "c" "x" 2; "d" "m" 2; "e" "i" "o" "p" "s" "t" 1;
"a" "k" 2; "b" "a" "h" 2; "c" "x" 2; "d" "m" 2; "e" "i" "o" "p" "s" "t" 1;
"a" "k" 2; "b" "a" "h" 2; "c" "x" 2; "d" "m" 2; "e" "p" 2;
"a" "k" 2; "b" "a" "h" 2; "c" "x" 2; "d" "m" 2; "e" "p" 2;
"a" "k" 2; "b" "a" "h" 2; "c" "x" 2; "d" "m" 2; "e" "p" 2;
"a" "k" 2; "b" "a" "h" 2; "c" "x" 2; "d" "m" 2; "e" "p" 2;
"a" "k" 2; "b" "a" "h" 2; "c" "x" 2; "d" "m" 2; "e" "p" "t" 2;
"a" "k" 2; "b" "a" "h" 2; "c" "x" 2; "d" "m" 2; "e" "p" "t" 2;
"a" "k" 2; "b" "a" "h" 2; "c" "x" 2; "d" "m" 2; "e" "p" "t" 2;
"a" "k" 2; "b" "a" "h" 2; "c" "x" 2; "d" "m" 2; "e" "p" "t" 2;
"a" "k" 2; "b" "a" "h" 2; "c" "x" 2; "d" "m" 2; "e" "p" "t" 2;
"a" "k" 2; "b" "a" "h" 2; "c" "x" 2; "d" "m" 2; "e" "p" "t" 2;
"a" "k" 2; "b" "h" 3; "c" "x" 2; "d" "m" 2; "e" "p" "s" "t" 2;
"a" "k" 2; "b" "h" 3; "c" "x" 2; "d" "m" 2; "e" "p" "s" "t" 2;
"a" "k" 3; "b" "h" 3; "c" "x" 2; "d" "m" 2; "e" "p" "s" "t" 2;
"a" "k" 3; "b" "h" 3; "c" "x" 2; "d" "m" 2; "e" "p" "s" "t" 2;
"a" "k" 3; "b" "h" 3; "c" "x" 2; "d" "m" 2; "e" "p" "s" "t" 2;
"a" "k" 3; "b" "h" 3; "c" "x" 2; "d" "m" 2; "e" "p" "s" "t" 2;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "m" 2; "e" "p" "s" "t" 2;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "m" 2; "e" "m" "p" "s" "t" 2;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "m" 2; "e" "m" "p" "s" "t" 2;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "m" 2; "e" "m" "p" "s" "t" 2;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "m" 2; "e" "t" 3;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "m" 2; "e" "t" 3;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "m" 2; "e" "t" 3;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "m" 2; "e" "p" "t" 3;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "m" 2; "e" "p" "t" 3;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "m" 2; "e" "p" "t" 3;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "m" 2; "e" "p" "t" 3;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "m" 2; "e" "p" "t" 3;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "m" 2; "e" "p" "t" 3;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "m" 2; "e" "p" "t" 3;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "m" 2; "e" "p" "t" 3;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "m" 2; "e" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "m" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "m" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "m" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "m" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "m" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "m" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "m" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "m" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "m" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "m" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "m" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "m" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "m" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "m" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "m" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "a" "m" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "a" "m" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "a" "m" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "a" "m" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "a" "m" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "a" "m" "p" 2; "e" "s" 4;
