none
none
none
none
none
none
none
none
none
none
none
none
"b" "a" 1;
"b" "a" 1;
"b" "a" 1;
"b" "a" 1;
"b" "a" 1; "c" "y" 1;
"b" "a" 1; "c" "y" 1;
"a" "o" 1; "b" "a" "r" "y" 1; "c" "y" 1;
"a" "o" "z" 1; "b" "a" "r" "y" 1; "c" "y" 1;
"a" "o" "z" 1; "b" "a" "r" "y" 1; "c" "y" 1;
"a" "o" "z" 1; "b" "a" "r" "y" 1; "c" "y" 1; "e" "p" 1;
"a" "o" "z" 1; "b" "a" "g" "r" "y" 1; "c" "y" 1; "e" "p" 1;
"a" "o" "z" 1; "b" "a" "g" "r" "y" 1; "c" "y" 1; "e" "p" 1;
"a" "o" "z" 1; "b" "a" "g" "r" "y" 1; "c" "y" 1; "e" "p" "x" 1;
"a" "o" "z" 1; "b" "a" "g" "l" "r" "y" 1; "c" "y" 1; "e" "p" "x" 1;
"a" "o" "z" 1; "b" "a" "g" "l" "r" "y" 1; "c" "y" 1; "e" "p" "x" 1;
"a" "o" "z" 1; "b" "a" "g" "l" "r" "y" 1; "c" "x" "y" 1; "e" "p" "x" 1;
"a" "o" "z" 1; "b" "a" "g" "l" "r" "y" 1; "c" "x" "y" 1; "e" "p" "x" 1;
"a" "o" "z" 1; "b" "a" "g" "l" "r" "y" 1; "c" "o" "x" "y" 1; "e" "p" "x" 1;
"a" "o" "z" 1; "b" "a" "g" "l" "r" "y" 1; "c" "o" "x" "y" 1; "e" "p" "x" 1;
"a" "o" "z" 1; "b" "a" "g" "l" "r" "y" 1; "c" "o" "x" "y" 1; "e" "p" "x" 1;
"a" "o" "z" 1; "b" "a" "g" "l" "r" "y" 1; "c" "o" "x" "y" 1; "d" "w" 1; "e" "p" "x" 1;
"a" "o" "z" 1; "b" "a" "g" "l" "r" "y" 1; "c" "o" "x" "y" 1; "d" "w" 1; "e" "p" "x" 1;
"a" "o" "z" 1; "b" "a" "g" "l" "r" "y" 1; "c" "o" "x" "y" 1; "d" "w" 1; "e" "p" "x" 1;
"a" "o" "z" 1; "b" "a" "g" "l" "r" "y" 1; "c" "o" "x" "y" 1; "d" "w" 1; "e" "e" "p" "x" 1;
"a" "o" "z" 1; "b" "a" "e" "g" "l" "r" "y" 1; "c" "o" 2; "d" "r" "w" 1; "e" "e" "p" "x" 1;
"a" "o" "z" 1; "b" "a" "e" "g" "l" "r" "y" 1; "c" "o" 2; "d" "n" "r" "w" 1; "e" "e" "p" "x" 1;
"a" "o" "z" 1; "b" "a" "e" "g" "l" "r" "y" 1; "c" "o" 2; "d" "n" "r" "w" 1; "e" "e" "p" "x" "z" 1;
"a" "o" 2; "b" "a" "e" "g" "l" "r" "x" "y" 1; "c" "o" 2; "d" "n" "r" "w" 1; "e" "z" 2;
"a" "o" 2; "b" "a" "e" "g" "l" "r" "x" "y" 1; "c" "o" 2; "d" "n" "r" "w" 1; "e" "z" 2;
"a" "o" 2; "b" "a" "e" "g" "l" "r" "x" "y" 1; "c" "o" 2; "d" "n" "r" "w" 1; "e" "z" 2;
"a" "o" 2; "b" "a" "e" "g" "l" "r" "w" "x" "y" 1; "c" "o" 2; "d" "n" "r" "w" 1; "e" "z" 2;
"a" "o" 2; "b" "a" "e" "g" "l" "r" "w" "x" "y" 1; "c" "o" 2; "d" "n" "r" "w" 1; "e" "z" 2;
"a" "o" 2; "b" "a" "e" "g" "l" "r" "w" "x" "y" 1; "c" "o" 2; "d" "n" "r" "w" 1; "e" "z" 2;
"a" "o" 2; "b" "a" "e" "g" "l" "r" "w" "x" "y" 1; "c" "o" 2; "d" "n" "r" "w" 1; "e" "z" 2;
"a" "o" 2; "b" "a" "e" "g" "l" "r" "w" "x" "y" 1; "c" "o" 2; "d" "n" "r" "w" 1; "e" "z" 2;
"a" "o" 2; "b" "a" "e" "g" "l" "r" "w" "x" "y" 1; "c" "o" 2; "d" "n" "r" "w" 1; "e" "z" 2;
"a" "o" 2; "b" "a" "e" "g" "l" "r" "w" "x" "y" 1; "c" "o" 2; "d" "n" "r" "w" 1; "e" "z" 2;
"a" "o" 2; "b" "a" "e" "g" "l" "r" "w" "x" "y" 1; "c" "o" 2; "d" "n" "r" "w" 1; "e" "z" 2;
"a" "o" 2; "b" "a" "e" "g" "l" "r" "w" "x" "y" 1; "c" "o" 2; "d" "n" "r" "w" 1; "e" "z" 2;
"a" "o" 2; "b" "a" "e" "g" "l" "r" "w" "x" "y" 1; "c" "o" 2; "d" "n" "r" "w" 1; "e" "z" 2;
"a" "o" 2; "b" "a" "e" "g" "l" "r" "w" "x" "y" 1; "c" "o" 2; "d" "n" "r" "w" 1; "e" "z" 2;
"a" "o" 2; "b" "a" "e" "g" "l" "r" "w" "x" "y" 1; "c" "o" 2; "d" "n" "r" "w" 1; "e" "z" 2;
"a" "o" 2; "b" "a" "e" "g" "l" "r" "w" "x" "y" 1; "c" "o" 2; "d" "n" "r" "w" 1; "e" "z" 2;
"a" "o" 2; "b" "a" "e" "g" "l" "r" "w" "x" "y" 1; "c" "o" 2; "d" "n" "r" "w" 1; "e" "z" 2;
"a" "o" 2; "b" "a" "e" "g" "l" "r" "w" "x" "y" 1; "c" "o" 2; "d" "n" "r" "w" 1; "e" "z" 2;
"a" "o" 2; "b" "a" "e" "g" "l" "r" "w" "x" "y" 1; "c" "o" 2; "d" "n" "r" "w" 1; "e" "z" 2;
"a" "o" 2; "b" "a" "e" "g" "l" "r" "w" "x" "y" 1; "c" "o" 2; "d" "n" "r" "w" 1; "e" "z" 2;
"a" "o" 2; "b" "a" "e" "g" "l" "r" "w" "x" "y" 1; "c" "o" 2; "d" "n" "r" "w" 1; "e" "z" 2;
"a" "o" 2; "b" "a" "e" "g" "l" "r" "w" "x" "y" 1; "c" "o" 2; "d" "j" "n" "r" "w" 1; "e" "z" 2;
"a" "o" 2; "b" "g" 2; "c" "o" 2; "d" "j" "n" "r" "w" 1; "e" "z" 2;
"a" "o" "z" 2; "b" "g" 2; "c" "o" 2; "d" "j" "n" "r" "w" 1; "e" "z" 2;
"a" "o" "z" 2; "b" "g" 2; "c" "o" 2; "d" "j" "n" "r" "w" 1; "e" "z" 2;
"a" "o" "z" 2; "b" "g" 2; "c" "o" 2; "d" "j" "n" "r" "w" 1; "e" "z" 2;
"a" "o" "z" 2; "b" "g" 2; "c" "o" 2; "d" "j" "n" "r" "w" 1; "e" "z" 2;
"a" "o" "z" 2; "b" "g" 2; "c" "o" 2; "d" "j" "n" "r" "u" "w" 1; "e" "z" 2;
"a" "o" "z" 2; "b" "g" 2; "c" "o" 2; "d" "j" "n" "r" "u" "w" 1; "e" "z" 2;
"a" "o" "z" 2; "b" "g" 2; "c" "o" 2; "d" "u" 2; "e" "z" 2;
"a" "o" "z" 2; "b" "g" 2; "c" "o" 2; "d" "u" 2; "e" "z" 2;
"a" "o" "z" 2; "b" "g" 2; "c" "o" 2; "d" "u" 2; "e" "z" 2;
"a" "o" "z" 2; "b" "g" 2; "c" "o" 2; "d" "u" 2; "e" "z" 2;
"a" "o" "z" 2; "b" "g" 2; "c" "o" 2; "d" "u" 2; "e" "z" 2;
"a" "o" "z" 2; "b" "g" 2; "c" "o" 2; "d" "u" 2; "e" "z" 2;
"a" "o" "z" 2; "b" "g" 2; "c" "o" 2; "d" "u" 2; "e" "z" 2;
"a" "o" "z" 2; "b" "g" 2; "c" "o" 2; "d" "u" 2; "e" "z" 2;
"a" "o" "z" 2; "b" "g" 2; "c" "o" 2; "d" "u" 2; "e" "z" 2;
"a" "o" "z" 2; "b" "g" 2; "c" "o" 2; "d" "u" 2; "e" "z" 2;
"a" "o" "z" 2; "b" "g" 2; "c" "o" 2; "d" "u" 2; "e" "z" 2;
"a" "o" "z" 2; "b" "g" 2; "c" "o" "x" 2; "d" "u" 2; "e" "z" 2;
"a" "o" "z" 2; "b" "g" 2; "c" "o" "x" 2; "d" "u" 2; "e" "z" 2;
"a" "o" "z" 2; "b" "g" 2; "c" "o" "x" 2; "d" "u" 2; "e" "z" 2;
"a" "o" "z" 2; "b" "g" 2; "c" "o" "x" 2; "d" "u" 2; "e" "z" 2;
"a" "o" "z" 2; "b" "g" 2; "c" "o" "x" 2; "d" "u" 2; "e" "z" 2;
"a" "o" "z" 2; "b" "g" 3; "c" "o" "x" 2; "d" "u" 2; "e" "x" "z" 2;
"a" "o" "z" 2; "b" "g" 3; "c" "o" "x" 2; "d" "u" 2; "e" "x" "z" 2;
"a" "o" "z" 2; "b" "g" 3; "c" "o" "x" 2; "d" "u" 2; "e" "x" "z" 2;
"a" "o" "z" 2; "b" "g" 3; "c" "o" "x" 2; "d" "u" 2; "e" "x" "z" 2;
"a" "o" "z" 2; "b" "g" 3; "c" "o" "x" 2; "d" "u" 2; "e" "x" "z" 2;
"a" "o" "z" 2; "b" "g" 3; "c" "o" "x" 2; "d" "u" 2; "e" "x" "z" 2;
"a" "o" "z" 2; "b" "g" 3; "c" "o" "x" 2; "d" "u" 2; "e" "x" "z" 2;
"a" "o" "z" 2; "b" "g" 3; "c" "o" "x" 2; "d" "u" 2; "e" "x" "z" 2;
