none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "t" 1; "d" "g" 1;
"c" "t" 1; "d" "g" 1;
"c" "t" 1; "d" "g" 1;
"c" "t" 1; "d" "g" 1;
"c" "t" 1; "d" "g" 1;
"c" "e" "t" 1; "d" "g" 1;
"b" "z" 1; "c" "e" "t" 1; "d" "g" 1;
"b" "z" 1; "c" "e" "t" 1; "d" "g" 1;
"b" "z" 1; "c" "e" "t" 1; "d" "g" 1;
"b" "z" 1; "c" "e" "t" 1; "d" "e" "g" 1;
"b" "z" 1; "c" "e" "t" 1; "d" "e" "g" 1;
"b" "z" 1; "c" "e" "t" 1; "d" "e" "g" "v" 1;
"b" "w" "z" 1; "c" "e" "t" 1; "d" "e" "g" "v" 1;
"b" "w" "z" 1; "c" "e" "t" 1; "d" "e" "g" "v" 1;
"b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "e" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "e" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "e" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "e" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "e" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "e" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "d" "e" "m" "u" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" "v" 1; "d" "e" "g" "v" "z" 1;
"a" "d" "e" "m" "u" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" "v" 1; "d" "e" "g" "v" "z" 1;
"a" "d" "e" "m" "u" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" "v" 1; "d" "e" "g" "v" "z" 1; "e" "m" 1;
"a" "d" "e" "m" "u" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" "v" 1; "d" "e" "g" "v" "z" 1; "e" "m" 1;
"a" "d" "e" "m" "u" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" "v" 1; "d" "e" "g" "j" "v" "z" 1; "e" "j" "m" "p" 1;
"a" "d" "e" "m" "u" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" "v" 1; "d" "e" "g" "j" "v" "z" 1; "e" "j" "m" "p" 1;
"a" "d" "e" "m" "u" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" "v" 1; "d" "e" "g" "j" "v" "z" 1; "e" "j" "m" "p" 1;
"a" "d" "e" "m" "r" "u" "z" 1; "b" "c" "w" "z" 1; "c" "e" "q" "t" "v" 1; "d" "e" "g" "j" "v" "z" 1; "e" "j" "m" "p" 1;
"a" "d" "e" "m" "r" "s" "u" "z" 1; "b" "c" "w" "z" 1; "c" "e" "q" "t" "v" 1; "d" "e" "g" "j" "m" "v" "z" 1; "e" "j" "m" "p" 1;
"a" "d" "e" "m" "r" "s" "u" "z" 1; "b" "c" "w" "z" 1; "c" "e" "q" "t" "v" 1; "d" "e" "g" "j" "m" "v" "z" 1; "e" "j" "m" "p" 1;
"a" "d" "e" "m" "r" "s" "u" "z" 1; "b" "c" "v" "w" "z" 1; "c" "e" "q" "t" "v" 1; "d" "e" "g" "j" "m" "s" "v" "z" 1; "e" "j" "m" "p" 1;
"a" "d" "e" "j" "m" "r" "s" "u" "z" 1; "b" "c" "v" "w" "x" "z" 1; "c" "e" "q" "t" "v" 1; "d" "e" "g" "j" "m" "s" "v" "z" 1; "e" "j" "m" "p" 1;
"a" "d" "e" "j" "m" "r" "s" "u" "z" 1; "b" "c" "v" "w" "x" "z" 1; "c" "e" "q" "t" "v" 1; "d" "e" "g" "j" "m" "s" "v" "z" 1; "e" "j" "m" "p" 1;
"a" "d" "e" "j" "l" "m" "r" "s" "u" "z" 1; "b" "c" "v" "w" "x" "z" 1; "c" "e" "q" "t" "v" 1; "d" "e" "g" "j" "m" "q" "s" "v" "z" 1; "e" "j" "m" "p" 1;
"a" "d" "e" "j" "l" "m" "r" "s" "u" "z" 1; "b" "c" "v" "w" "x" "z" 1; "c" "e" "q" "t" "v" 1; "d" "e" "g" "j" "m" "q" "s" "v" "z" 1; "e" "j" "m" "p" 1;
"a" "d" "e" "j" "l" "m" "r" "s" "u" "z" 1; "b" "c" "v" "w" "x" "z" 1; "c" "e" "q" "t" "v" 1; "d" "e" "g" "j" "m" "q" "s" "v" "z" 1; "e" "j" "m" "p" 1;
"a" "d" "e" "j" "l" "m" "r" "u" "z" 1; "b" "c" "v" "w" "x" "z" 1; "c" "q" "t" "v" 1; "d" "e" "g" "j" "m" "q" "s" "v" "z" 1; "e" "j" "m" "p" 1;
"a" "d" "e" "j" "l" "m" "r" "u" "z" 1; "b" "c" "v" "w" "x" "z" 1; "c" "q" "t" "v" 1; "d" "e" "g" "j" "m" "q" "s" "v" "z" 1; "e" "j" "m" "p" 1;
"a" "d" "e" "j" "l" "m" "r" "u" "z" 1; "b" "c" "v" "w" "x" "z" 1; "c" "q" "t" "v" 1; "d" "e" "g" "j" "m" "q" "r" "s" "v" "z" 1; "e" "j" "m" "p" 1;
"a" "d" "e" "j" "l" "m" "r" "u" "z" 1; "b" "c" "v" "w" "x" "z" 1; "c" "q" "t" "v" 1; "d" "e" "g" "j" "m" "p" "q" "r" "s" "v" "z" 1; "e" "j" "m" "p" 1;
"a" "d" "e" "j" "l" "m" "r" "u" "z" 1; "b" "c" "f" "v" "w" "x" "z" 1; "c" "q" "t" "v" 1; "d" "q" 2; "e" "j" "m" "p" 1;
"a" "d" "e" "j" "l" "m" "r" "u" "z" 1; "b" "c" "f" "v" "w" "x" "z" 1; "c" "q" "t" "v" 1; "d" "q" 2; "e" "m" 2;
"a" "d" "e" "j" "l" "m" "r" "u" "z" 1; "b" "c" "f" "v" "w" "x" "z" 1; "c" "q" "t" "v" 1; "d" "q" 2; "e" "m" 2;
"a" "d" "e" "j" "l" "m" "p" "r" "u" "z" 1; "b" "c" "f" "v" "w" "x" "z" 1; "c" "q" "t" "v" 1; "d" "q" 2; "e" "m" 2;
