"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"a" "i" 1; "b" "w" 1; "d" "k" 2; "e" "t" "w" 1;
"a" "i" 1; "b" "w" 1; "d" "k" 2; "e" "t" "w" 1;
"a" "i" 1; "b" "w" 1; "d" "k" 2; "e" "t" "w" 1;
"a" "i" 2; "b" "w" 1; "d" "k" 2; "e" "t" "w" 1;
"a" "i" 2; "b" "w" 1; "d" "k" 2; "e" "t" "w" 1;
"a" "i" 2; "b" "w" 1; "d" "k" 2; "e" "t" "w" 1;
"a" "i" 2; "b" "w" 1; "d" "k" 2; "e" "t" "w" 1;
"a" "i" 2; "b" "w" 1; "d" "k" 2; "e" "t" "w" 1;
"a" "i" 2; "b" "w" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "i" 2; "b" "w" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "i" 2; "b" "v" "w" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "i" 2; "b" "v" "w" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "i" 2; "b" "v" "w" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "i" 2; "b" "v" "w" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "i" 2; "b" "v" "w" 1; "c" "o" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "i" "r" 2; "b" "v" "w" 1; "c" "o" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "i" "r" 2; "b" "v" "w" 1; "c" "o" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "i" "r" 2; "b" "v" "w" 1; "c" "o" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "i" "r" 2; "b" "v" "w" 1; "c" "o" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "i" "r" 2; "b" "v" "w" 1; "c" "o" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "i" "r" 2; "b" "v" "w" 1; "c" "o" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "i" "r" 2; "b" "v" "w" 1; "c" "o" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "i" "r" 2; "b" "v" "w" 1; "c" "o" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "i" "r" 2; "b" "v" "w" 1; "c" "o" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "i" "r" 2; "b" "v" "w" 1; "c" "o" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "i" "r" 2; "b" "v" "w" 1; "c" "o" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "i" "r" 2; "b" "v" "w" 1; "c" "o" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "i" "r" 2; "b" "v" "w" 1; "c" "o" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "i" "r" 2; "b" "v" "w" 1; "c" "o" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "i" "r" 2; "b" "e" "t" "v" "w" 1; "c" "o" "r" 1; "d" "k" 2; "e" "a" "g" "t" "w" 1;
"a" "i" "r" 2; "b" "e" "t" "v" "w" 1; "c" "o" "r" 1; "d" "k" 2; "e" "a" "g" "t" "w" 1;
"a" "i" "r" 2; "b" "e" "t" "v" "w" 1; "c" "o" "r" 1; "d" "k" 2; "e" "a" "g" "t" "w" 1;
"a" "i" "r" 2; "b" "e" "t" "v" "w" 1; "c" "o" "r" 1; "d" "k" 2; "e" "a" "g" "t" "w" 1;
"a" "i" "r" 2; "b" "e" "t" "v" "w" 1; "c" "o" "r" 1; "d" "k" 2; "e" "a" "g" "t" "w" 1;
"a" "i" "r" 2; "b" "e" "t" "v" "w" 1; "c" "o" "r" 1; "d" "k" 2; "e" "a" "g" "t" "w" 1;
"a" "i" "r" 2; "b" "e" "t" "v" "w" 1; "c" "o" "r" 1; "d" "k" 2; "e" "a" "g" "t" "w" 1;
"a" "i" "r" 2; "b" "e" "t" "v" "w" 1; "c" "o" "r" 1; "d" "k" 2; "e" "a" "g" "t" "w" 1;
