none
none
none
none
none
none
"c" "a" 1;
"c" "a" 1;
"c" "a" "u" 1;
"c" "a" "u" 1;
"c" "a" "u" 1;
"c" "a" "u" 1;
"c" "a" "u" 1;
"c" "a" "u" 1; "d" "u" 1;
"c" "a" "u" 1; "d" "u" 1;
"c" "a" "u" 1; "d" "u" 1;
"c" "a" "u" 1; "d" "u" 1;
"c" "a" "u" 1; "d" "a" "u" 1;
"a" "z" 1; "c" "a" "u" 1; "d" "a" "u" 1;
"a" "z" 1; "c" "a" "u" 1; "d" "a" "u" 1;
"a" "q" "z" 1; "b" "j" "y" 1; "c" "a" "u" 1; "d" "a" "r" "u" 1;
"a" "q" "z" 1; "b" "j" "y" 1; "c" "a" "u" 1; "d" "a" "r" "u" 1; "e" "i" "u" 1;
"a" "q" "z" 1; "b" "j" "t" "y" 1; "c" "a" "u" 1; "d" "a" "r" "u" 1; "e" "i" "u" 1;
"a" "q" "z" 1; "b" "j" "t" "y" 1; "c" "a" "u" 1; "d" "a" "r" "u" 1; "e" "i" "u" 1;
"a" "q" "z" 1; "b" "j" "t" "y" 1; "c" "a" "u" 1; "d" "a" "r" "u" 1; "e" "i" "u" 1;
"a" "q" "z" 1; "b" "j" "t" "y" 1; "c" "a" "u" 1; "d" "a" "r" "u" 1; "e" "i" "u" 1;
"a" "q" "z" 1; "b" "j" "t" "y" 1; "c" "a" "u" 1; "d" "a" "r" "u" 1; "e" "i" "u" 1;
"a" "q" "z" 1; "b" "j" "t" "y" 1; "c" "a" "u" 1; "d" "a" "r" "u" 1; "e" "i" "u" 1;
"a" "q" "z" 1; "b" "j" "t" "y" 1; "c" "a" "u" 1; "d" "a" "r" "u" 1; "e" "i" "u" 1;
"a" "q" "z" 1; "b" "j" "t" "y" 1; "c" "a" "u" 1; "d" "a" "r" "u" 1; "e" "i" 2;
"a" "q" "z" 1; "b" "j" "t" "y" 1; "c" "a" "u" 1; "d" "a" "r" "u" 1; "e" "i" 2;
