none
none
none
none
none
none
none
none
none
none
none
"c" "t" "u" 1;
"c" "t" "u" 1;
"c" "t" "u" 1;
"c" "t" "u" 1;
"c" "t" "u" 1;
"c" "d" "t" "u" 1;
"a" "p" "t" 1; "c" "d" "r" "t" "u" 1;
"a" "p" "t" 1; "c" "d" "r" "t" "u" 1;
"a" "p" "t" 1; "c" "d" "r" "t" "u" 1;
"a" "p" "t" 1; "c" "d" "r" "t" "u" 1;
"a" "p" "t" 1; "c" "d" "r" "t" "u" 1;
"a" "p" "t" 1; "c" "d" "r" "t" "u" 1;
"a" "p" "t" 1; "c" "d" "r" "t" "u" 1;
"a" "p" "t" 1; "b" "d" 1; "c" "u" 2;
"a" "p" "t" 1; "b" "d" 1; "c" "u" 2;
"a" "p" "t" 1; "b" "d" 1; "c" "u" 2;
"a" "p" "t" 1; "b" "d" 1; "c" "u" 2;
"a" "p" "t" 1; "b" "d" 1; "c" "u" 2;
"a" "p" "q" "t" "z" 1; "b" "d" 1; "c" "u" 2;
"a" "p" "q" "t" "z" 1; "b" "d" 1; "c" "u" 2;
"a" "p" "q" "t" "z" 1; "b" "d" 1; "c" "u" 2;
"a" "p" "q" "t" "z" 1; "b" "d" 1; "c" "d" "u" 2; "d" "k" 1;
"a" "p" "q" "t" "z" 1; "b" "d" 1; "c" "d" "u" 2; "d" "k" 1;
"a" "p" "q" "t" "z" 1; "b" "d" 1; "c" "d" "u" 2; "d" "k" 1;
"a" "m" "p" "q" "t" "z" 1; "b" "d" 1; "c" "d" "u" 2; "d" "k" "v" 1;
"a" "m" "p" "q" "t" "z" 1; "b" "d" 1; "c" "d" "u" 2; "d" "k" "v" 1;
"a" "m" "p" "q" "t" "z" 1; "b" "d" 1; "c" "d" "u" 2; "d" "k" "v" 1;
"a" "m" "p" "q" "t" "z" 1; "b" "d" 1; "c" "d" "u" 2; "d" "k" "v" 1;
"a" "m" "p" "q" "t" "z" 1; "b" "d" 1; "c" "d" "u" 2; "d" "k" "v" 1;
"a" "m" "p" "q" "t" "z" 1; "b" "d" 1; "c" "d" "u" 2; "d" "k" "v" 1;
"a" "m" "p" "q" "t" "z" 1; "b" "d" "k" 1; "c" "d" "u" 2; "d" "k" "v" 1; "e" "k" 1;
"a" "m" "p" "q" "t" "z" 1; "b" "a" "d" "k" 1; "c" "d" "u" 2; "d" "k" "u" "v" 1; "e" "k" 1;
"a" "m" "p" "q" "t" "z" 1; "b" "a" "d" "k" 1; "c" "d" "u" 2; "d" "k" "u" "v" 1; "e" "k" 1;
"a" "m" "p" "q" "t" "z" 1; "b" "a" "d" "k" 1; "c" "d" "u" 2; "d" "k" "u" "v" 1; "e" "h" "k" 1;
"a" "m" "p" "q" "t" "z" 1; "b" "a" "d" "k" 1; "c" "d" "u" 2; "d" "k" "u" "v" 1; "e" "h" "k" 1;
"a" "m" "p" "q" "t" "z" 1; "b" "a" "d" "f" "k" 1; "c" "d" "u" 2; "d" "k" "u" "v" 1; "e" "h" "k" 1;
"a" "m" "p" "q" "t" "z" 1; "b" "a" "d" "f" "k" 1; "c" "d" "u" 2; "d" "k" "u" "v" 1; "e" "h" "k" 1;
"a" "m" "p" "q" "t" "z" 1; "b" "a" "d" "f" "k" 1; "c" "d" "u" 2; "d" "k" "u" "v" 1; "e" "h" "k" 1;
"a" "b" "m" "p" "q" "t" "z" 1; "b" "a" "d" "f" "k" 1; "c" "d" "u" 2; "d" "k" "u" "v" 1; "e" "k" 2;
"a" "b" "m" "p" "q" "t" "z" 1; "b" "a" "d" "f" "j" "k" 1; "c" "d" "u" 2; "d" "k" "u" "v" 1; "e" "k" 2;
"a" "t" 2; "b" "a" "d" "f" "j" "k" 1; "c" "d" "u" 2; "d" "k" "u" "v" 1; "e" "k" 2;
"a" "t" 2; "b" "a" "d" "f" "j" "k" 1; "c" "d" "u" 2; "d" "k" "u" "v" 1; "e" "k" 2;
"a" "t" 2; "b" "a" "d" "f" "j" "k" 1; "c" "d" "u" 2; "d" "k" "u" "v" 1; "e" "k" 2;
"a" "t" 2; "b" "a" "d" "f" "j" "k" 1; "c" "d" "u" 2; "d" "k" "u" "v" 1; "e" "k" 2;
"a" "t" 2; "b" "a" "d" "f" "j" "k" 1; "c" "d" "u" 2; "d" "k" "u" "v" 1; "e" "k" 2;
"a" "t" 2; "b" "a" "d" "f" "j" "k" 1; "c" "d" "u" 2; "d" "k" "u" "v" 1; "e" "k" 2;
"a" "t" 2; "b" "a" "d" "f" "j" "k" 1; "c" "d" "u" 2; "d" "k" "u" "v" 1; "e" "k" 2;
"a" "t" 2; "b" "a" "d" "f" "j" "k" 1; "c" "d" "u" 2; "d" "k" "u" "v" "z" 1; "e" "k" 2;
"a" "t" 2; "b" "a" "d" "f" "j" "k" 1; "c" "d" "u" 2; "d" "k" "u" "v" "z" 1; "e" "k" 2;
"a" "t" 2; "b" "a" "d" "f" "g" "j" "k" "y" 1; "c" "d" "u" 2; "d" "k" "m" "u" "v" "z" 1; "e" "k" 2;
"a" "m" "t" 2; "b" "a" "d" "f" "g" "j" "k" "l" "y" 1; "c" "d" "u" 2; "d" "k" "m" "u" "v" "z" 1; "e" "k" 2;
"a" "m" "t" 2; "b" "a" "d" "f" "g" "j" "k" "l" "y" 1; "c" "d" "u" 2; "d" "k" "m" "n" "u" "v" "z" 1; "e" "k" 2;
"a" "m" "t" 2; "b" "a" "d" "f" "g" "j" "k" "l" "y" 1; "c" "d" "u" 2; "d" "u" 2; "e" "k" 2;
"a" "m" "t" 2; "b" "a" "d" "f" "g" "j" "k" "l" "y" 1; "c" "d" "u" 2; "d" "u" 2; "e" "k" 2;
"a" "m" "t" 2; "b" "a" "d" "f" "g" "j" "k" "l" "y" 1; "c" "d" "u" 2; "d" "u" 2; "e" "k" 2;
"a" "m" "t" 2; "b" "a" "d" "f" "g" "j" "k" "l" "y" 1; "c" "d" "u" 2; "d" "u" 2; "e" "k" 2;
"a" "m" "t" 2; "b" "a" "d" "f" "g" "j" "k" "l" "y" 1; "c" "d" "u" 2; "d" "u" 2; "e" "k" 2;
"a" "h" "m" "t" "z" 2; "b" "j" 2; "c" "d" "u" 2; "d" "u" 2; "e" "k" 2;
"a" "h" "m" "t" "z" 2; "b" "j" 2; "c" "d" "u" 2; "d" "u" 2; "e" "k" 2;
"a" "h" "m" "t" "z" 2; "b" "j" 2; "c" "d" "u" 2; "d" "u" 2; "e" "k" 2;
