none
none
none
none
none
none
none
none
none
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"b" "y" 1; "c" "e" 1;
"b" "y" 1; "c" "e" 1;
"b" "y" 1; "c" "e" 1;
"b" "y" 1; "c" "e" 1;
"b" "y" 1; "c" "e" 1; "d" "r" 1;
"b" "y" 1; "c" "e" 1; "d" "r" 1;
"b" "y" 1; "c" "e" 1; "d" "r" 1;
"b" "s" "y" 1; "c" "e" 1; "d" "r" 1;
"b" "s" "y" 1; "c" "e" 1; "d" "r" 1;
"b" "s" "y" 1; "c" "e" 1; "d" "r" 1;
"b" "s" "y" 1; "c" "e" 1; "d" "r" 1;
"b" "s" "y" 1; "c" "e" "t" 1; "d" "r" 1;
"b" "s" "y" 1; "c" "e" "t" 1; "d" "r" 1;
"b" "s" "y" 1; "c" "e" "t" 1; "d" "r" 1;
"b" "s" "y" 1; "c" "e" "t" 1; "d" "r" 1;
"b" "e" "s" "w" "y" 1; "c" "e" "t" 1; "d" "r" 1;
"b" "e" "s" "w" "y" 1; "c" "e" "t" 1; "d" "l" "r" 1;
"b" "e" "s" "w" "y" 1; "c" "e" "t" 1; "d" "d" "l" "r" 1; "e" "f" "l" 1;
"a" "t" 1; "b" "e" "s" "w" "y" 1; "c" "e" "t" 1; "d" "d" "k" "l" "r" 1; "e" "f" "l" 1;
"a" "t" 1; "b" "e" "s" "w" "y" 1; "c" "e" "t" 1; "d" "d" "k" "l" "r" 1; "e" "f" "l" 1;
"a" "t" 1; "b" "e" "s" "w" "y" 1; "c" "e" "t" 1; "d" "d" "k" "l" "r" 1; "e" "f" "l" 1;
"a" "t" 1; "b" "e" "s" "w" "y" 1; "c" "e" "t" 1; "d" "d" "k" "l" "r" 1; "e" "b" "f" "l" 1;
"a" "t" 1; "b" "e" "s" "w" "y" 1; "c" "e" "o" "t" 1; "d" "d" "k" "l" "r" 1; "e" "b" "f" "l" 1;
"a" "t" 1; "b" "e" "s" "w" "y" 1; "c" "e" "o" "r" "t" 1; "d" "d" "k" "l" "r" 1; "e" "b" "f" "l" 1;
"a" "t" 1; "b" "e" "s" "w" "y" 1; "c" "e" "o" "r" "t" 1; "d" "d" "k" "l" "r" 1; "e" "b" "f" "l" 1;
"a" "t" 1; "b" "e" "s" "w" "y" 1; "c" "e" "o" "r" "t" 1; "d" "d" "k" "l" "r" 1; "e" "b" "f" "l" 1;
"a" "t" 1; "b" "e" "s" "w" "y" 1; "c" "e" "o" "r" "t" 1; "d" "d" "k" "l" "r" 1; "e" "b" 2;
"a" "f" "t" 1; "b" "e" "s" "w" "y" 1; "c" "e" "o" "r" "t" 1; "d" "d" "k" "l" "r" 1; "e" "b" 2;
