none
none
none
none
none
none
none
none
none
none
none
none
"a" "e" 1;
"a" "e" 1; "c" "m" 1;
"a" "e" 1; "c" "m" 1;
"a" "e" 1; "c" "m" 1;
"a" "e" 1; "c" "m" 1;
"a" "e" 1; "c" "m" 1;
"a" "e" "u" 1; "c" "l" "m" 1;
"a" "e" "u" 1; "c" "l" "m" 1;
"a" "u" 2; "c" "l" "m" 1;
"a" "u" 2; "c" "l" "m" 1;
"a" "u" 2; "c" "l" "m" 1;
"a" "u" 2; "c" "l" "m" 1;
"a" "u" 2; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "b" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "b" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "b" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "b" "l" "m" 1; "e" "u" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "b" "l" "m" 1; "e" "u" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "b" "l" "m" 1; "e" "u" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "b" "l" "m" 1; "d" "r" "u" 1; "e" "u" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "b" "l" "m" 1; "d" "r" "u" 1; "e" "u" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "b" "l" "m" 1; "d" "r" "u" 1; "e" "u" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "b" "l" "m" 1; "d" "r" "u" 1; "e" "u" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "b" "l" "m" 1; "d" "r" "u" 1; "e" "u" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "b" "l" "m" 1; "d" "r" "u" 1; "e" "u" "v" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "b" "l" "m" "o" 1; "d" "r" "u" 1; "e" "u" "v" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "b" "l" "m" "o" 1; "d" "r" "u" 1; "e" "u" "v" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "b" "h" "l" "m" "o" 1; "d" "a" "r" "u" 1; "e" "u" "v" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "b" "h" "l" "m" "o" 1; "d" "a" "r" "u" 1; "e" "u" "v" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "b" "h" "l" "m" "o" 1; "d" "a" "o" "r" "u" 1; "e" "u" "v" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "b" "h" "l" "m" "o" 1; "d" "a" "o" "r" "u" 1; "e" "u" "v" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "b" "h" "l" "m" "o" 1; "d" "a" "o" "r" "u" 1; "e" "u" "v" "x" 1;
"a" "u" "x" 2; "b" "b" "v" 1; "c" "b" "h" "l" "m" "o" 1; "d" "a" "o" "r" "s" "u" 1; "e" "q" "u" "v" "x" 1;
"a" "u" "x" 2; "b" "b" "v" 1; "c" "b" "h" "l" "m" "o" 1; "d" "a" "o" "r" "s" "u" 1; "e" "q" "u" "v" "x" 1;
"a" "u" "x" 2; "b" "b" "v" 1; "c" "b" "h" "l" "m" "o" 1; "d" "a" "o" "r" "s" "u" 1; "e" "g" "q" "u" "v" "x" 1;
"a" "u" "x" 2; "b" "b" "v" 1; "c" "b" "h" "l" "m" "o" 1; "d" "a" "o" "r" "s" "u" 1; "e" "g" "q" "u" "v" "x" 1;
"a" "u" "x" 2; "b" "b" "v" 1; "c" "b" "h" "l" "m" "o" 1; "d" "a" "o" "r" "s" "u" 1; "e" "g" "q" "u" "v" "x" 1;
"a" "u" "x" 2; "b" "b" "v" 1; "c" "b" "h" "l" "m" "o" 1; "d" "a" "o" "r" "s" "u" 1; "e" "g" "q" "u" "v" "x" 1;
"a" "u" "x" 2; "b" "b" "v" 1; "c" "b" "h" "l" "m" "o" 1; "d" "a" "o" "r" "s" "u" 1; "e" "g" "q" "u" "v" "x" 1;
"a" "u" "x" 2; "b" "b" "v" 1; "c" "b" "h" "l" "m" "o" 1; "d" "a" "o" "r" "s" "u" 1; "e" "g" "q" "u" "v" "x" 1;
"a" "u" "x" 2; "b" "b" "v" 1; "c" "b" "h" "l" "m" "o" 1; "d" "a" "o" "r" "s" "u" 1; "e" "g" "q" "u" "v" "x" 1;
"a" "u" "x" 2; "b" "b" "u" "v" 1; "c" "b" "h" "l" "m" "o" "q" 1; "d" "a" "o" "r" "s" "u" 1; "e" "u" 2;
"a" "u" "x" 2; "b" "b" "u" "v" 1; "c" "b" "h" "l" "m" "o" "q" 1; "d" "a" "o" "r" "s" "u" 1; "e" "u" 2;
"a" "u" "x" 2; "b" "b" "u" "v" 1; "c" "b" "h" "l" "m" "o" "q" 1; "d" "a" "o" "r" "s" "u" 1; "e" "u" 2;
"a" "u" "x" 2; "b" "b" "o" "u" "v" 1; "c" "b" "h" "l" "m" "o" "q" 1; "d" "a" "i" "o" "r" "s" "u" 1; "e" "u" 2;
"a" "u" "x" 2; "b" "b" "o" "u" "v" 1; "c" "b" "h" "l" "m" "o" "q" 1; "d" "a" "i" "o" "r" "s" "u" 1; "e" "u" 2;
"a" "u" "x" 2; "b" "b" "o" "u" "v" 1; "c" "b" "h" "l" "m" "o" "q" 1; "d" "a" "i" "o" "r" "s" "u" 1; "e" "u" 2;
"a" "u" "x" 2; "b" "b" "o" "u" "v" 1; "c" "b" "h" "j" "l" "m" "o" "q" 1; "d" "a" "i" "o" "r" "s" "u" 1; "e" "u" 2;
"a" "u" "x" 2; "b" "b" "e" "l" "o" "u" "v" 1; "c" "b" "h" "j" "l" "m" "o" "q" 1; "d" "a" "i" "o" "r" "s" "u" 1; "e" "m" "u" 2;
