none
none
none
none
none
none
none
none
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1; "c" "z" 1;
"a" "c" 1; "c" "z" 1;
"a" "c" 1; "c" "z" 1;
"a" "c" 1; "c" "z" 1;
"a" "c" 1; "c" "z" 1;
"a" "c" 1; "c" "z" 1;
"a" "c" 1; "c" "z" 1; "e" "g" 1;
"a" "c" 1; "c" "z" 1; "e" "g" 1;
"a" "c" 1; "c" "z" 1; "e" "g" 1;
"a" "c" 1; "b" "y" 1; "c" "z" 1; "e" "g" 1;
"a" "c" 1; "b" "y" 1; "c" "z" 1; "e" "g" 1;
"a" "c" 1; "b" "y" 1; "c" "z" 1; "e" "g" 1;
"a" "c" 1; "b" "y" 1; "c" "z" 1; "e" "b" "g" 1;
"a" "c" 1; "b" "y" 1; "c" "z" 1; "e" "b" "g" 1;
"a" "c" 1; "b" "f" "y" 1; "c" "z" 1; "d" "i" 1; "e" "g" 2;
"a" "c" 2; "b" "f" "y" "z" 1; "c" "z" 1; "d" "i" 1; "e" "g" 2;
"a" "c" 2; "b" "f" "y" "z" 1; "c" "z" 1; "d" "i" 1; "e" "g" 2;
"a" "c" 2; "b" "f" "y" "z" 1; "c" "z" 1; "d" "i" 1; "e" "g" 2;
"a" "c" 2; "b" "f" "y" "z" 1; "c" "z" 1; "d" "i" 1; "e" "g" 2;
"a" "c" 2; "b" "f" "y" "z" 1; "c" "z" 1; "d" "i" 1; "e" "g" 2;
"a" "c" 2; "b" "f" "y" "z" 1; "c" "z" 1; "d" "i" 1; "e" "g" 2;
"a" "c" 2; "b" "f" "y" "z" 1; "c" "z" 1; "d" "i" 1; "e" "g" 2;
"a" "c" 2; "b" "f" "y" "z" 1; "c" "z" 1; "d" "i" 1; "e" "g" 2;
"a" "c" 2; "b" "f" "y" "z" 1; "c" "z" 1; "d" "i" 1; "e" "g" "z" 2;
