none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "h" 1;
"a" "p" 1; "b" "c" 1; "d" "h" 1;
"a" "p" 1; "b" "c" 1; "d" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 1; "d" "e" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 1; "d" "e" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 1; "d" "e" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 1; "d" "e" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 1; "d" "e" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 1; "d" "e" "f" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" "y" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" "y" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" "y" 1; "e" "w" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" "y" 1; "e" "w" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" "y" 1; "e" "w" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" "p" "y" 1; "e" "w" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" "p" "y" 1; "e" "w" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" "p" "y" 1; "e" "w" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" "p" "y" 1; "e" "w" 1;
"a" "p" 1; "b" "c" "u" "x" 1; "c" "w" 2; "d" "e" "f" "h" "p" "y" 1; "e" "w" 1;
"a" "p" 1; "b" "c" "u" "x" 1; "c" "w" 2; "d" "e" "f" "h" "p" "y" 1; "e" "w" 1;
"a" "p" 1; "b" "c" "u" "x" 1; "c" "w" 2; "d" "e" "f" "h" "p" "y" 1; "e" "w" 1;
"a" "p" 1; "b" "c" "u" "x" 1; "c" "w" 2; "d" "e" "f" "h" "p" "y" 1; "e" "w" 1;
"a" "h" "p" 1; "b" "c" "u" "x" 1; "c" "w" 2; "d" "e" "f" "h" "p" "y" 1; "e" "w" 1;
"a" "h" "p" 1; "b" "c" "u" "x" 1; "c" "w" 2; "d" "e" "f" "h" "p" "y" 1; "e" "w" 1;
"a" "h" 2; "b" "c" "u" "x" 1; "c" "w" 2; "d" "e" "f" "h" "p" "y" 1; "e" "w" 1;
"a" "h" 2; "b" "c" "u" "x" 1; "c" "w" 2; "d" "e" "f" "h" "p" "y" 1; "e" "w" 1;
"a" "h" 2; "b" "c" "u" "x" 1; "c" "w" 3; "d" "e" "f" "h" "p" "y" 1; "e" "k" "w" 1;
"a" "h" 2; "b" "c" "u" "x" 1; "c" "w" 3; "d" "e" "f" "h" "p" "y" 1; "e" "k" "w" 1;
"a" "h" 2; "b" "c" "u" "x" 1; "c" "w" 3; "d" "e" "f" "h" "p" "y" 1; "e" "k" "w" 1;
"a" "h" 2; "b" "x" 2; "c" "w" 3; "d" "e" "f" "h" "p" "y" 1; "e" "k" "w" 1;
"a" "h" 2; "b" "x" 2; "c" "w" 3; "d" "e" "f" "h" "p" "x" "y" 1; "e" "k" "w" 1;
"a" "h" 2; "b" "x" 2; "c" "w" 3; "d" "e" "f" "h" "p" "x" "y" 1; "e" "k" "w" 1;
"a" "h" 2; "b" "x" 2; "c" "w" 3; "d" "e" "f" "h" "p" "x" "y" 1; "e" "k" "w" 1;
"a" "h" 2; "b" "x" 2; "c" "w" 3; "d" "e" "f" "h" "p" "x" "y" 1; "e" "k" "w" 1;
"a" "h" 2; "b" "x" 2; "c" "w" 3; "d" "e" "f" "h" "p" "x" "y" 1; "e" "f" "k" "l" "w" 1;
"a" "h" 2; "b" "x" 2; "c" "w" 3; "d" "e" "f" "h" "p" "x" "y" 1; "e" "f" "k" "l" "s" "w" 1;
"a" "h" 2; "b" "x" 2; "c" "w" 3; "d" "e" "f" "h" "p" "x" "y" 1; "e" "f" "k" "l" "s" "w" 1;
"a" "h" 2; "b" "x" 2; "c" "w" 3; "d" "e" "f" "h" "p" "x" "y" 1; "e" "f" "k" "l" "s" "w" 1;
"a" "h" 2; "b" "x" 2; "c" "w" 3; "d" "e" "f" "h" "p" "x" "y" 1; "e" "f" "k" "l" "s" "w" 1;
"a" "h" 2; "b" "x" 2; "c" "w" 3; "d" "e" "f" "h" "p" "x" "y" 1; "e" "f" "k" "l" "s" "w" 1;
"a" "h" 2; "b" "x" 2; "c" "w" 3; "d" "e" "f" "h" "p" "x" "y" 1; "e" "f" "k" "l" "s" "w" 1;
"a" "h" 2; "b" "x" 2; "c" "w" 3; "d" "e" "f" "h" "p" "x" "y" 1; "e" "f" "k" "l" "s" "w" 1;
"a" "h" 2; "b" "x" 2; "c" "w" 3; "d" "e" "f" "h" "p" "w" "x" "y" 1; "e" "f" "k" "l" "s" "w" 1;
"a" "h" 3; "b" "x" 2; "c" "w" 3; "d" "e" "f" "h" "p" "w" "x" "y" 1; "e" "f" "k" "l" "s" "w" 1;
"a" "h" 3; "b" "x" 2; "c" "w" 3; "d" "e" "f" "h" "p" "w" "x" "y" 1; "e" "f" "k" "l" "s" "w" 1;
"a" "h" 4; "b" "x" 2; "c" "w" 3; "d" "e" "f" "h" "p" "w" "x" "y" 1; "e" "f" "k" "l" "s" "w" 1;
"a" "h" 4; "b" "x" 2; "c" "w" 3; "d" "e" "f" "h" "p" "w" "x" "y" 1; "e" "f" "k" "l" "s" "w" 1;
"a" "h" 4; "b" "c" "x" 2; "c" "w" 3; "d" "e" "f" "h" "p" "w" "x" "y" 1; "e" "f" "k" "l" "p" "s" "w" 1;
"a" "h" 4; "b" "c" "x" 2; "c" "w" 3; "d" "e" "f" "h" "p" "w" "x" "y" 1; "e" "f" "k" "l" "p" "s" "w" 1;
"a" "h" 4; "b" "c" "x" 2; "c" "w" 3; "d" "e" "f" "h" "p" "w" "x" "y" 1; "e" "f" "k" "l" "p" "s" "w" 1;
"a" "h" 4; "b" "c" "x" 2; "c" "w" 3; "d" "e" "f" "h" "p" "w" "x" "y" 1; "e" "f" "k" "l" "p" "s" "w" 1;
"a" "h" 4; "b" "c" "x" 2; "c" "w" 3; "d" "e" "f" "h" "p" "v" "w" "x" "y" 1; "e" "f" "k" "l" "p" "s" "w" 1;
"a" "h" 4; "b" "c" "x" 2; "c" "w" 3; "d" "e" "f" "h" "p" "v" "w" "x" "y" 1; "e" "f" "k" "l" "p" "s" "w" 1;
"a" "h" 4; "b" "c" "x" 2; "c" "w" 3; "d" "e" "f" "h" "p" "v" "w" "x" "y" 1; "e" "f" "k" "l" "p" "s" "w" 1;
"a" "h" 4; "b" "c" "x" 2; "c" "w" 3; "d" "e" "f" "h" "p" "v" "w" "x" "y" 1; "e" "f" "k" "l" "p" "s" "w" 1;
"a" "h" 4; "b" "c" "x" 2; "c" "w" 3; "d" "v" "w" "x" 2; "e" "f" "k" "l" "m" "p" "s" "w" 1;
"a" "h" 4; "b" "c" "d" "x" 2; "c" "w" 3; "d" "v" "w" "x" 2; "e" "f" "k" "l" "m" "p" "s" "w" 1;
"a" "h" 4; "b" "c" 3; "c" "w" 3; "d" "v" "w" "x" 2; "e" "f" "k" "l" "m" "p" "s" "w" 1;
"a" "h" 4; "b" "c" 3; "c" "w" 3; "d" "v" "w" "x" 2; "e" "f" "k" "l" "m" "p" "s" "w" 1;
"a" "h" 4; "b" "c" 3; "c" "w" 3; "d" "v" "w" "x" 2; "e" "f" "k" "l" "m" "p" "s" "w" 1;
"a" "h" 4; "b" "c" 3; "c" "w" 3; "d" "v" "w" "x" 2; "e" "f" "k" "l" "m" "p" "s" "w" 1;
"a" "h" 4; "b" "c" 3; "c" "w" 3; "d" "v" "w" "x" 2; "e" "f" "k" "l" "m" "p" "s" "w" 1;
"a" "h" 4; "b" "c" 3; "c" "w" 3; "d" "v" "w" "x" 2; "e" "f" "k" "l" "m" "p" "s" "w" 1;
"a" "h" 4; "b" "c" 3; "c" "w" 3; "d" "v" "w" "x" 2; "e" "f" "k" "l" "m" "p" "s" "w" 1;
"a" "h" 4; "b" "c" 3; "c" "w" 3; "d" "v" "w" "x" 2; "e" "f" "k" "l" "m" "p" "s" "w" 1;
"a" "h" 4; "b" "c" 3; "c" "w" 3; "d" "v" "w" "x" 2; "e" "f" "k" "l" "m" "p" "s" "w" 1;
"a" "h" 4; "b" "c" 3; "c" "w" 3; "d" "v" "w" "x" 2; "e" "f" "k" "l" "m" "p" "s" "w" 1;
"a" "h" 4; "b" "c" 3; "c" "w" 3; "d" "v" "w" "x" 2; "e" "f" "k" "l" "m" "p" "s" "w" 1;
"a" "h" 4; "b" "c" 3; "c" "w" 3; "d" "v" "w" "x" 2; "e" "f" "k" "l" "m" "p" "s" "w" 1;
"a" "h" 4; "b" "c" 3; "c" "w" 3; "d" "v" "w" "x" 2; "e" "f" "k" "l" "m" "p" "s" "w" 1;
"a" "h" 4; "b" "c" 3; "c" "w" 3; "d" "v" "w" "x" 2; "e" "f" "k" "l" "m" "p" "s" "w" "x" 1;
"a" "h" 4; "b" "c" 3; "c" "w" 3; "d" "v" "w" "x" 2; "e" "f" "k" "l" "m" "p" "s" "w" "x" 1;
"a" "h" 4; "b" "c" 3; "c" "w" 3; "d" "p" "v" "w" 2; "e" "f" "k" "l" "m" "p" "s" "w" "x" 1;
"a" "h" 4; "b" "c" 3; "c" "w" 3; "d" "p" "v" "w" 2; "e" "f" "k" "l" "m" "p" "s" "w" "x" 1;
"a" "h" 4; "b" "c" 3; "c" "w" 3; "d" "p" "v" "w" 2; "e" "f" "k" "l" "m" "p" "s" "w" "x" 1;
"a" "h" 4; "b" "c" 3; "c" "w" 3; "d" "p" "v" "w" 2; "e" "f" "k" "l" "m" "p" "s" "w" "x" 1;
"a" "h" 4; "b" "c" 3; "c" "w" 3; "d" "p" "v" "w" 2; "e" "f" "k" "l" "m" "p" "s" "w" "x" 1;
"a" "h" 4; "b" "c" 3; "c" "w" 3; "d" "p" "v" "w" 2; "e" "f" "k" "l" "m" "p" "s" "v" "w" "x" 1;
"a" "h" 4; "b" "c" 4; "c" "w" 3; "d" "p" "v" "w" 2; "e" "f" "k" "l" "m" "o" "p" "s" "v" "w" "x" 1;
"a" "h" 4; "b" "c" 4; "c" "w" 3; "d" "p" "v" "w" 2; "e" "f" "k" "l" "m" "o" "p" "s" "v" "w" "x" 1;
"a" "h" 4; "b" "c" 4; "c" "w" 3; "d" "p" "v" "w" 2; "e" "f" "k" "l" "m" "o" "p" "s" "v" "w" "x" 1;
"a" "h" 4; "b" "c" 4; "c" "w" 3; "d" "p" "v" "w" 2; "e" "f" "k" "l" "m" "o" "p" "s" "v" "w" "x" 1;
"a" "h" 4; "b" "c" 4; "c" "w" 3; "d" "p" "v" "w" 2; "e" "p" 2;
"a" "h" 4; "b" "c" 4; "c" "w" 3; "d" "p" "v" "w" 2; "e" "p" 2;
"a" "h" 4; "b" "c" 4; "c" "w" 3; "d" "p" "v" "w" 2; "e" "p" 2;
"a" "h" 4; "b" "c" 4; "c" "w" 3; "d" "p" "v" "w" 2; "e" "p" 2;
"a" "h" 4; "b" "c" 4; "c" "w" 3; "d" "p" "v" "w" 2; "e" "p" 2;
"a" "h" 4; "b" "c" 4; "c" "w" 3; "d" "p" "v" "w" 2; "e" "p" 2;
"a" "h" 4; "b" "c" 4; "c" "w" 3; "d" "p" "v" "w" 2; "e" "p" 2;
"a" "h" 4; "b" "c" 4; "c" "w" 3; "d" "p" "v" "w" 2; "e" "p" 2;
"a" "h" 4; "b" "c" 4; "c" "w" 3; "d" "f" "p" "v" "w" 2; "e" "p" 2;
"a" "h" 4; "b" "c" 4; "c" "w" 3; "d" "f" "p" "v" "w" 2; "e" "p" 2;
"a" "h" 4; "b" "c" 4; "c" "w" 4; "d" "f" "p" "v" "w" 2; "e" "p" 2;
"a" "h" 4; "b" "c" 4; "c" "w" 4; "d" "f" "p" "v" "w" 2; "e" "p" 2;
"a" "h" 4; "b" "c" 4; "c" "w" 4; "d" "f" "p" "v" "w" 2; "e" "p" 2;
"a" "h" 4; "b" "c" 4; "c" "w" 4; "d" "f" "p" "v" "w" "x" 2; "e" "p" 2;
"a" "h" 4; "b" "c" 4; "c" "w" 4; "d" "f" "p" "v" "w" "x" 2; "e" "p" 2;
