none
none
none
none
none
none
none
none
none
none
none
none
"b" "q" 1;
"a" "l" 1; "b" "q" 1;
"a" "l" 1; "b" "q" 1;
"a" "l" 1; "b" "q" 1; "c" "z" 1;
"a" "l" 1; "b" "q" 1; "c" "z" 1;
"a" "l" 1; "b" "q" 1; "c" "z" 1;
"a" "l" 1; "b" "q" 1; "c" "z" 1;
"a" "l" 1; "b" "q" 1; "c" "z" 1;
"a" "l" 1; "b" "q" 1; "c" "z" 1;
"a" "l" 1; "b" "q" 1; "c" "z" 1;
"a" "l" 1; "b" "p" "q" 1; "c" "e" "f" "z" 1;
"a" "l" 1; "b" "p" "q" 1; "c" "e" "f" "z" 1;
"a" "l" 1; "b" "p" "q" 1; "c" "e" "f" "z" 1;
"a" "l" 1; "b" "p" "q" 1; "c" "e" "f" "z" 1; "e" "k" 1;
"a" "l" 1; "b" "p" "q" 1; "c" "e" "f" "z" 1; "e" "k" 1;
"a" "l" 1; "b" "p" "q" 1; "c" "e" "f" "z" 1; "e" "k" 1;
"a" "l" 1; "b" "p" "q" 1; "c" "e" "f" "z" 1; "e" "k" 1;
"a" "l" 1; "b" "p" "q" 1; "c" "e" "f" "z" 1; "d" "k" 1; "e" "k" 1;
"a" "l" 1; "b" "p" "q" 1; "c" "e" "f" "z" 1; "d" "k" 1; "e" "k" 1;
"a" "l" 1; "b" "p" "q" 1; "c" "e" "f" "z" 1; "d" "k" 1; "e" "k" "q" 1;
"a" "l" 1; "b" "p" "q" 1; "c" "e" "f" "z" 1; "d" "k" 1; "e" "k" "q" 1;
"a" "l" 1; "b" "p" "q" 1; "c" "e" "f" "z" 1; "d" "k" 1; "e" "k" "q" 1;
"a" "l" "m" "r" 1; "b" "p" "q" 1; "c" "e" "f" "z" 1; "d" "k" "s" 1; "e" "k" "q" "u" 1;
"a" "l" "m" "r" 1; "b" "p" "q" 1; "c" "e" "f" "z" 1; "d" "k" "s" 1; "e" "k" "q" "s" "u" 1;
"a" "l" "m" "r" 1; "b" "p" "q" 1; "c" "e" "f" "z" 1; "d" "k" "s" 1; "e" "k" "q" "s" "u" 1;
"a" "l" "m" "r" 1; "b" "p" "q" "w" 1; "c" "e" "f" "z" 1; "d" "k" "s" 1; "e" "k" "q" "s" "u" 1;
"a" "l" "m" "r" 1; "b" "d" "m" "p" "q" "w" 1; "c" "e" "f" "z" 1; "d" "c" "k" "s" 1; "e" "k" "q" "s" "u" 1;
"a" "l" "m" "r" 1; "b" "d" "m" "p" "q" "w" 1; "c" "e" "f" "z" 1; "d" "c" "k" "s" 1; "e" "k" "q" "s" "u" 1;
"a" "g" "l" "m" "r" 1; "b" "d" "m" "p" "q" "w" 1; "c" "e" "f" "z" 1; "d" "c" "k" "s" 1; "e" "k" "q" "s" "u" 1;
"a" "g" "l" "m" "r" 1; "b" "d" "m" "p" "q" "w" 1; "c" "e" "f" "z" 1; "d" "c" "k" "s" 1; "e" "k" "q" "s" "u" 1;
"a" "d" "g" "l" "m" "r" 1; "b" "d" "m" "p" "q" "w" 1; "c" "e" "f" 1; "d" "c" "k" "s" "z" 1; "e" "k" "q" "s" "u" 1;
"a" "d" "g" "l" "m" "r" 1; "b" "d" "m" "p" "q" "w" 1; "c" "e" "f" 1; "d" "c" "k" "s" "z" 1; "e" "k" "q" "s" "u" 1;
"a" "d" "g" "l" "m" "r" 1; "b" "d" "m" "p" "q" "w" 1; "c" "e" "f" 1; "d" "c" "k" "s" "z" 1; "e" "k" "q" "s" "u" 1;
"a" "d" "g" "l" "m" "p" "r" 1; "b" "d" "f" "m" "p" "q" "w" 1; "c" "e" "f" 1; "d" "c" "k" "s" "z" 1; "e" "k" "q" "s" "u" 1;
"a" "d" "g" "l" "m" "p" "r" 1; "b" "d" "f" "m" "p" "q" "w" 1; "c" "e" "f" 1; "d" "c" "k" "s" "z" 1; "e" "k" "q" "s" "u" 1;
"a" "d" "g" "l" "m" "p" "r" 1; "b" "d" "f" "m" "p" "q" "w" 1; "c" "e" "f" 1; "d" "c" "k" "s" "z" 1; "e" "k" "q" "s" "u" 1;
"a" "c" "d" "g" "l" "m" "p" "r" 1; "b" "d" "f" "m" "p" "q" "w" 1; "c" "e" "f" 1; "d" "c" "k" "s" "z" 1; "e" "k" "q" "s" "u" 1;
"a" "c" "d" "g" "l" "m" "p" "r" 1; "b" "d" "f" "m" "p" "q" "w" 1; "c" "e" "f" 1; "d" "c" 2; "e" "k" "q" "s" "u" 1;
"a" "c" "d" "g" "l" "m" "p" "r" 1; "b" "d" "f" "m" "p" "q" "w" 1; "c" "e" "f" 1; "d" "c" 2; "e" "k" "q" "s" "u" 1;
"a" "c" "d" "e" "g" "l" "m" "p" "r" 1; "b" "d" "f" "m" "p" "q" "w" 1; "c" "e" "f" 1; "d" "c" 2; "e" "k" "q" "s" "u" 1;
"a" "c" "d" "e" "g" "l" "m" "p" "r" 1; "b" "d" "f" "m" "p" "q" "w" 1; "c" "e" "f" 1; "d" "c" 2; "e" "k" "q" "s" "u" 1;
"a" "c" "d" "e" "g" "l" "m" "p" "r" 1; "b" "d" "f" "m" "p" "q" "w" 1; "c" "e" "f" 1; "d" "c" 2; "e" "d" "k" "q" "r" "s" "u" 1;
"a" "c" "d" "e" "g" "i" "l" "m" "p" "r" 1; "b" "d" "f" "m" "p" "q" "w" 1; "c" "e" "f" 1; "d" "c" 2; "e" "d" "k" "q" "r" "s" "u" 1;
"a" "c" "d" "e" "g" "i" "l" "m" "p" "r" 1; "b" "d" "f" "m" "p" "q" "w" 1; "c" "e" "f" 1; "d" "c" 2; "e" "d" "k" "q" "r" "s" "u" 1;
"a" "c" "d" "e" "g" "i" "l" "m" "p" "r" 1; "b" "d" "f" "m" "p" "q" "w" 1; "c" "e" "f" 1; "d" "c" 2; "e" "d" "k" "q" "r" "s" "u" 1;
"a" "c" "d" "e" "g" "i" "l" "m" "p" "r" "x" 1; "b" "d" "f" "m" "p" "q" "w" 1; "c" "e" "f" 1; "d" "c" 2; "e" "d" "k" "n" "q" "r" "s" "u" "z" 1;
"a" "c" "d" "e" "g" "i" "l" "m" "p" "r" "x" 1; "b" "d" "f" "m" "p" "q" "w" 1; "c" "e" "f" 1; "d" "c" 2; "e" "d" "k" "n" "q" "r" "s" "u" "z" 1;
"a" "c" "d" "e" "g" "h" "i" "l" "m" "p" "r" "x" 1; "b" "q" 2; "c" "e" "f" 1; "d" "c" 2; "e" "d" "k" "n" "q" "r" "s" "u" "z" 1;
"a" "c" "d" "e" "g" "h" "i" "l" "m" "p" "r" "x" 1; "b" "q" 2; "c" "e" "f" 1; "d" "c" 2; "e" "d" "k" "n" "q" "r" "s" "u" "z" 1;
