none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "w" "x" 1; "d" "h" 1; "e" "v" 1;
"a" "w" "x" 1; "d" "g" "h" 1; "e" "v" 1;
"a" "w" "x" 1; "b" "i" 1; "d" "g" 2; "e" "v" 1;
"a" "w" "x" 1; "b" "i" 1; "d" "g" 2; "e" "v" 1;
"a" "w" "x" 1; "b" "i" 1; "d" "g" 2; "e" "v" 1;
"a" "v" "w" "x" 1; "b" "i" 1; "d" "g" 3; "e" "v" 1;
"a" "v" "w" "x" 1; "b" "h" "i" 1; "d" "g" 3; "e" "v" 1;
"a" "v" "w" "x" 1; "b" "h" "i" 1; "c" "a" "m" 1; "d" "g" 3; "e" "v" 1;
"a" "v" "w" "x" 1; "b" "h" "i" 1; "c" "a" "m" "r" 1; "d" "g" 3; "e" "v" 1;
"a" "v" "w" "x" 1; "b" "h" "i" 1; "c" "a" "m" "r" 1; "d" "g" 3; "e" "v" 1;
"a" "v" "w" "x" 1; "b" "i" 2; "c" "a" "m" "r" 1; "d" "g" 3; "e" "v" 1;
"a" "v" "w" "x" 1; "b" "i" 2; "c" "a" "m" "r" 1; "d" "g" 3; "e" "v" 1;
"a" "v" "w" "x" 1; "b" "i" 2; "c" "a" "m" "r" 1; "d" "g" 3; "e" "v" 1;
"a" "e" "v" "w" "x" 1; "b" "i" 2; "c" "a" "m" "r" 1; "d" "g" 3; "e" "v" 1;
"a" "e" "v" "w" "x" 1; "b" "i" "u" 2; "c" "a" "m" "r" 1; "d" "g" 3; "e" "v" 1;
"a" "e" "v" "w" "x" 1; "b" "i" "u" 2; "c" "a" "m" "r" 1; "d" "g" 3; "e" "v" 1;
"a" "e" "v" "w" "x" 1; "b" "i" "u" 2; "c" "a" "m" "r" 1; "d" "g" 3; "e" "v" 1;
"a" "e" "v" "w" "x" 1; "b" "i" "u" 2; "c" "a" "m" "r" 1; "d" "g" 3; "e" "v" 1;
"a" "e" "v" "w" "x" 1; "b" "i" "u" 2; "c" "a" "m" "r" 1; "d" "g" 3; "e" "v" 1;
"a" "e" "v" "w" "x" 1; "b" "i" "u" 2; "c" "a" "m" "r" 1; "d" "g" 3; "e" "v" 1;
"a" "e" "v" "w" "x" 1; "b" "i" "u" 2; "c" "a" "m" "r" 1; "d" "g" 3; "e" "v" 1;
"a" "e" "v" "w" "x" 1; "b" "i" "u" 2; "c" "a" "m" "r" 1; "d" "g" 3; "e" "v" 1;
"a" "e" "v" "w" "x" 1; "b" "i" "u" 2; "c" "a" "m" "r" 1; "d" "g" 3; "e" "v" 1;
"a" "e" "v" "w" "x" 1; "b" "i" "u" 2; "c" "a" "m" "r" 1; "d" "g" 3; "e" "v" 1;
"a" "e" "v" "w" "x" 1; "b" "i" "u" 2; "c" "a" "m" "r" 1; "d" "g" 3; "e" "v" 1;
"a" "e" "j" "v" "w" "x" 1; "b" "i" "u" 2; "c" "a" "m" "r" 1; "d" "g" 3; "e" "v" 1;
"a" "e" "j" "v" "w" "x" 1; "b" "i" "u" 2; "c" "a" "m" "r" 1; "d" "g" 3; "e" "v" 1;
"a" "e" "j" "v" "w" "x" 1; "b" "i" "u" 2; "c" "a" "m" "r" 1; "d" "g" 3; "e" "v" 1;
"a" "a" "e" "j" "v" "w" "x" 1; "b" "i" "u" 2; "c" "a" "m" "r" 1; "d" "g" 3; "e" "v" 1;
"a" "a" "e" "j" "v" "w" "x" 1; "b" "i" "u" 2; "c" "a" "m" "r" 1; "d" "g" 3; "e" "v" 1;
"a" "a" "e" "j" "v" "w" "x" 1; "b" "i" "u" 2; "c" "a" "m" "r" 1; "d" "g" 4; "e" "v" 1;
"a" "a" "e" "j" "v" "w" "x" 1; "b" "i" "u" 2; "c" "a" "m" "r" 1; "d" "g" 4; "e" "v" 1;
"a" "a" "e" "j" "v" "w" "x" 1; "b" "i" "u" 2; "c" "a" "m" "r" 1; "d" "g" 4; "e" "v" 1;
"a" "a" "e" "j" "m" "v" "w" "x" 1; "b" "i" 3; "c" "a" "m" "r" 1; "d" "g" 4; "e" "v" 1;
"a" "a" "e" "j" "m" "v" "w" "x" 1; "b" "i" 3; "c" "a" "m" "r" 1; "d" "g" 4; "e" "v" 1;
"a" "a" "e" "j" "m" "v" "w" "x" 1; "b" "i" 3; "c" "a" "m" "r" 1; "d" "g" 4; "e" "v" 1;
"a" "a" "e" "j" "m" "v" "w" "x" 1; "b" "i" 3; "c" "a" "m" "r" 1; "d" "g" 4; "e" "v" 1;
"a" "a" "e" "j" "m" "v" "w" "x" 1; "b" "i" 3; "c" "a" "m" "r" 1; "d" "g" 4; "e" "v" 1;
"a" "a" "e" "j" "m" "v" "w" "x" 1; "b" "i" 3; "c" "a" "m" "r" 1; "d" "g" 4; "e" "v" 1;
"a" "a" "e" "j" "m" "v" "w" "x" 1; "b" "i" 3; "c" "a" "m" "r" 1; "d" "g" 4; "e" "v" 1;
"a" "a" "e" "j" "m" "v" "w" "x" 1; "b" "i" "y" 3; "c" "a" "m" "r" 1; "d" "g" 4; "e" "v" 1;
