none
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "d" "g" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "g" "o" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "g" "o" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "g" "o" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "g" "o" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "g" "o" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "f" "g" "o" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "f" "g" "o" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "f" "g" "o" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "f" "g" "o" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "f" "g" "o" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "f" "g" "o" 1; "e" "q" "t" 1;
"a" "f" "i" 1; "d" "b" "f" "g" "o" 1; "e" "q" "t" 1;
"a" "f" "i" 1; "d" "b" "f" "g" "o" 1; "e" "q" "t" 1;
"a" "f" "i" 1; "d" "b" "f" "g" "o" 1; "e" "q" "t" 1;
"a" "f" "i" 1; "d" "b" 2; "e" "q" "t" 1;
"a" "f" "i" 1; "d" "b" 2; "e" "q" "t" 1;
"a" "f" "i" "w" 1; "d" "b" 2; "e" "q" "t" 1;
"a" "f" "i" "w" 1; "d" "b" 2; "e" "q" "t" 1;
"a" "f" "i" "w" 1; "d" "b" 2; "e" "q" "t" 1;
"a" "f" "i" "w" 1; "d" "b" 2; "e" "q" "t" "w" 1;
"a" "f" "i" "w" 1; "d" "b" 2; "e" "q" "t" "w" 1;
"a" "f" "i" "w" 1; "d" "b" 2; "e" "q" "t" "w" 1;
"a" "f" "i" "w" 1; "d" "b" 2; "e" "q" "t" "w" 1;
"a" "f" "i" "w" 1; "c" "h" 1; "d" "b" 2; "e" "q" "t" "w" 1;
"a" "f" "i" "r" "w" 1; "b" "f" 1; "c" "h" 1; "d" "b" 2; "e" "q" "s" "t" "w" 1;
"a" "f" "i" "r" "w" 1; "b" "f" 1; "c" "h" 1; "d" "b" 2; "e" "q" "s" "t" "w" 1;
"a" "f" "i" "r" "w" 1; "b" "f" 1; "c" "h" 1; "d" "b" 2; "e" "q" "s" "t" "w" 1;
"a" "f" "i" "r" "w" 1; "b" "f" 1; "c" "h" 1; "d" "b" 2; "e" "q" "s" "t" "w" 1;
"a" "f" "i" "r" "w" 1; "b" "f" 1; "c" "h" 1; "d" "b" 2; "e" "q" "s" "t" "w" 1;
"a" "f" "i" "r" "w" 1; "b" "f" "l" 1; "c" "h" 1; "d" "b" 2; "e" "q" "s" "t" "w" 1;
"a" "f" "i" "r" "w" 1; "b" "f" "l" 1; "c" "h" 1; "d" "b" 2; "e" "q" "s" "t" "w" 1;
"a" "f" "i" "r" "w" 1; "b" "f" "l" 1; "c" "h" 1; "d" "b" 2; "e" "q" "s" "t" "w" 1;
"a" "f" "i" "r" "w" 1; "b" "f" "l" 1; "c" "c" "h" "y" 1; "d" "b" 2; "e" "q" "s" "t" "w" 1;
"a" "f" "i" "r" "w" 1; "b" "f" "l" 1; "c" "c" "h" "y" 1; "d" "b" 2; "e" "q" "s" "t" "w" 1;
"a" "f" "i" "q" "r" "w" 1; "b" "f" "l" 1; "c" "c" "h" "y" 1; "d" "b" 2; "e" "q" "s" "t" "w" 1;
"a" "f" "i" "q" "r" "w" 1; "b" "f" "l" 1; "c" "c" "h" "y" 1; "d" "b" 2; "e" "q" "s" "t" "w" 1;
"a" "e" "f" "i" "q" "r" "w" 1; "b" "f" "l" 1; "c" "c" "h" "y" 1; "d" "b" 2; "e" "q" "s" "t" "w" 1;
"a" "e" "f" "i" "q" "r" "w" 1; "b" "f" "l" "q" 1; "c" "c" "h" "y" 1; "d" "b" 2; "e" "q" "s" "t" "w" 1;
"a" "e" "f" "i" "q" "r" "w" 1; "b" "f" "l" "q" 1; "c" "c" "h" "y" 1; "d" "b" 2; "e" "q" "s" "t" "w" 1;
"a" "e" "f" "i" "q" "r" "w" 1; "b" "f" "l" "q" 1; "c" "c" "h" "y" 1; "d" "b" 2; "e" "q" 2;
"a" "e" "f" "i" "q" "r" "w" 1; "b" "f" "l" "q" 1; "c" "c" "h" "y" 1; "d" "b" 2; "e" "q" 2;
"a" "e" "f" "i" "q" "r" "w" 1; "b" "c" "f" "l" "q" 1; "c" "c" "h" "y" 1; "d" "b" 2; "e" "q" 2;
"a" "c" "e" "f" "i" "q" "r" "w" 1; "b" "c" "f" "l" "q" 1; "c" "c" "h" "y" 1; "d" "b" "c" 2; "e" "q" 2;
"a" "c" "e" "f" "i" "q" "r" "w" 1; "b" "c" "f" "l" "q" 1; "c" "c" "h" "y" 1; "d" "b" "c" 2; "e" "q" 2;
"a" "c" "e" "f" "i" "q" "r" "t" "w" 1; "b" "c" "f" "l" "q" 1; "c" "y" 2; "d" "b" "c" 2; "e" "q" 2;
"a" "c" "e" "f" "i" "q" "r" "t" "w" 1; "b" "c" "f" "l" "q" 1; "c" "y" 2; "d" "b" "c" 2; "e" "q" 2;
"a" "c" "e" "f" "i" "q" "r" "t" "w" 1; "b" "c" "f" "l" "q" 1; "c" "y" 2; "d" "b" "c" 2; "e" "q" 2;
"a" "c" "e" "f" "i" "q" "r" "t" "w" 1; "b" "c" "f" "l" "q" 1; "c" "y" 2; "d" "b" "c" 2; "e" "q" 2;
"a" "c" "e" "f" "i" "q" "r" "t" "w" 1; "b" "c" "f" "l" "q" 1; "c" "y" 2; "d" "b" "c" 2; "e" "q" 2;
"a" "c" "e" "f" "i" "q" "r" "t" "w" 1; "b" "c" "f" "l" "q" 1; "c" "y" 2; "d" "b" "c" 2; "e" "q" 2;
"a" "c" "e" "f" "i" "q" "r" "t" "w" 1; "b" "c" "f" "l" "q" 1; "c" "y" 2; "d" "b" "c" 2; "e" "q" 2;
"a" "c" "e" "f" "i" "q" "r" "t" "w" 1; "b" "c" "f" "l" "q" 1; "c" "y" 2; "d" "b" "c" 2; "e" "q" 2;
"a" "s" 2; "b" "q" 2; "c" "y" 2; "d" "b" "c" 2; "e" "l" "q" 2;
"a" "s" 2; "b" "l" "q" 2; "c" "y" 2; "d" "b" "c" 2; "e" "l" "q" 2;
"a" "s" 2; "b" "l" "q" 2; "c" "y" 2; "d" "b" "c" 2; "e" "l" "q" 2;
"a" "s" 2; "b" "l" "q" 2; "c" "y" 2; "d" "b" "c" 2; "e" "l" "q" 2;
"a" "s" 2; "b" "l" "q" 2; "c" "y" 2; "d" "b" "c" 2; "e" "l" "q" 2;
"a" "s" 2; "b" "l" "q" 2; "c" "y" 2; "d" "b" "c" 2; "e" "l" "q" 2;
"a" "s" 2; "b" "l" "q" 2; "c" "y" 2; "d" "b" "c" 2; "e" "l" "q" 2;
"a" "s" 2; "b" "l" "q" 2; "c" "y" 2; "d" "b" "c" 2; "e" "l" "q" 2;
"a" "s" "w" 2; "b" "l" "q" 2; "c" "y" 2; "d" "b" "c" 2; "e" "l" "q" 2;
"a" "s" "w" 2; "b" "l" "q" 2; "c" "y" 2; "d" "b" "c" 2; "e" "l" "q" 2;
"a" "s" "w" 2; "b" "l" "q" 2; "c" "y" 2; "d" "b" "c" 2; "e" "l" "q" 2;
"a" "s" "w" 2; "b" "l" "q" 2; "c" "y" 2; "d" "b" "c" "h" 2; "e" "l" "q" 2;
"a" "s" "w" 2; "b" "l" "q" 2; "c" "y" 2; "d" "b" "c" "h" 2; "e" "l" "q" 2;
"a" "s" "w" 2; "b" "f" "l" "q" 2; "c" "y" 2; "d" "b" "c" "h" 2; "e" "l" "q" 2;
"a" "s" "w" 2; "b" "f" "l" "q" 2; "c" "y" 2; "d" "b" "c" "h" 2; "e" "l" "q" 2;
"a" "s" "w" 2; "b" "f" "l" "q" 2; "c" "y" 2; "d" "b" "c" "h" 2; "e" "l" "q" 2;
"a" "s" "w" 2; "b" "f" "l" "q" 2; "c" "y" 3; "d" "b" "c" "h" 2; "e" "l" "q" 2;
"a" "s" "w" 2; "b" "f" "l" "q" 2; "c" "y" 3; "d" "b" "c" "h" 2; "e" "l" "q" 2;
"a" "s" "w" 2; "b" "f" "l" "q" 2; "c" "y" 3; "d" "b" "c" "h" 2; "e" "l" "q" 2;
"a" "s" "w" 2; "b" "f" "l" "q" 2; "c" "y" 3; "d" "b" "c" "h" 2; "e" "l" "q" 2;
"a" "s" "w" 2; "b" "f" 3; "c" "y" 3; "d" "b" "c" "h" 2; "e" "l" "q" 2;
"a" "s" "w" 2; "b" "f" 3; "c" "y" 3; "d" "b" "c" "h" 2; "e" "l" "q" 2;
"a" "s" "u" "w" 2; "b" "f" 3; "c" "y" 3; "d" "b" "c" "h" "z" 2; "e" "q" 3;
"a" "s" "u" "w" 2; "b" "f" 3; "c" "y" 3; "d" "b" "c" "h" "z" 2; "e" "q" 3;
"a" "s" "u" "w" 2; "b" "f" 3; "c" "y" 3; "d" "b" "c" "h" "q" "r" "z" 2; "e" "q" 3;
"a" "s" "u" "w" 2; "b" "f" 3; "c" "y" 3; "d" "b" "c" "h" "q" "r" "z" 2; "e" "q" 3;
"a" "s" "u" "w" 2; "b" "f" 3; "c" "y" 3; "d" "b" "c" "h" "q" "r" "z" 2; "e" "q" 3;
"a" "s" "u" "w" 2; "b" "f" 3; "c" "y" 3; "d" "b" "c" "h" "q" "r" "z" 2; "e" "q" 3;
"a" "s" "u" "w" 2; "b" "f" 3; "c" "y" 3; "d" "b" "c" "h" "q" "r" "z" 2; "e" "q" 3;
"a" "s" "u" "w" 2; "b" "f" 3; "c" "y" 3; "d" "b" "c" "h" "q" "r" "z" 2; "e" "q" 3;
"a" "s" "u" "w" 2; "b" "f" 3; "c" "y" 3; "d" "b" "c" "h" "q" "r" "z" 2; "e" "q" 3;
"a" "s" "u" "w" 2; "b" "f" 3; "c" "y" 3; "d" "b" "c" "h" "q" "r" "z" 2; "e" "q" 3;
"a" "c" "s" "u" "w" 2; "b" "f" 3; "c" "y" 3; "d" "b" "c" "h" "q" "r" "z" 2; "e" "q" 3;
"a" "c" "s" "u" "w" 2; "b" "f" 3; "c" "y" 3; "d" "b" "c" "h" "q" "r" "z" 2; "e" "q" 3;
"a" "c" "s" "u" "w" 2; "b" "f" 3; "c" "y" 3; "d" "z" 3; "e" "q" 3;
"a" "c" "e" "s" "u" "w" 2; "b" "f" 3; "c" "y" 3; "d" "z" 3; "e" "q" 3;
"a" "c" "e" "s" "u" "w" 2; "b" "f" 3; "c" "y" 3; "d" "z" 3; "e" "q" 3;
"a" "c" "e" "s" "u" "w" 2; "b" "f" 3; "c" "y" 3; "d" "z" 3; "e" "q" 3;
"a" "c" "e" "s" "u" "w" 2; "b" "f" 3; "c" "y" 3; "d" "z" 3; "e" "q" 3;
