none
none
none
none
none
none
none
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"d" "s" 1; "e" "t" 1;
"d" "s" 1; "e" "t" 1;
"d" "s" 1; "e" "t" 1;
"d" "s" 1; "e" "t" 1;
"d" "s" 1; "e" "t" 1;
"d" "s" 1; "e" "t" "z" 1;
"b" "h" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "c" "t" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "c" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "c" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "c" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "c" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "c" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "c" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "c" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "c" "m" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "c" "m" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"a" "m" 1; "b" "h" 1; "c" "m" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"a" "m" 1; "b" "h" 1; "c" "m" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"a" "m" 1; "b" "h" 1; "c" "m" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"a" "m" 1; "b" "h" 1; "c" "m" "s" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"a" "m" 1; "b" "h" 1; "c" "m" "s" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"a" "m" 1; "b" "h" 1; "c" "m" "s" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"a" "m" 1; "b" "h" 1; "c" "m" "s" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"a" "m" 1; "b" "h" 1; "c" "m" "s" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"a" "m" 2; "b" "h" 1; "c" "m" "s" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"a" "m" 2; "b" "h" 1; "c" "m" "s" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"a" "m" 2; "b" "h" 1; "c" "m" "s" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"a" "m" 2; "b" "h" 1; "c" "j" "m" "s" "t" "u" 1; "d" "s" 1; "e" "w" "z" 2;
"a" "m" 2; "b" "h" 1; "c" "j" 2; "d" "s" "v" 1; "e" "w" "z" 2;
"a" "m" 2; "b" "h" 1; "c" "j" 2; "d" "s" "v" 1; "e" "w" "z" 2;
"a" "m" 2; "b" "h" 1; "c" "j" "m" 2; "d" "s" "v" 1; "e" "w" "z" 2;
"a" "m" 2; "b" "h" 1; "c" "j" "m" 2; "d" "s" 2; "e" "p" "t" "w" "z" 2;
"a" "m" 2; "b" "h" 1; "c" "j" "m" 2; "d" "s" 2; "e" "p" "t" "w" "z" 2;
"a" "m" 2; "b" "h" 1; "c" "j" "m" 2; "d" "s" 2; "e" "p" "t" "w" "z" 2;
"a" "m" 2; "b" "h" 1; "c" "j" "m" 2; "d" "s" 2; "e" "p" "t" "w" "z" 2;
"a" "m" 2; "b" "h" 1; "c" "j" "m" 2; "d" "s" 2; "e" "p" "t" "w" "z" 2;
