none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "a" 1;
"c" "a" 1;
"b" "r" 1; "c" "a" 1; "e" "m" 1;
"b" "r" 1; "c" "a" 1; "e" "m" 1;
"b" "r" 1; "c" "a" 1; "e" "m" 1;
"b" "r" 1; "c" "a" 1; "e" "m" 1;
"b" "r" 1; "c" "a" 1; "e" "m" 1;
"b" "r" 1; "c" "a" 1; "e" "m" 1;
"b" "b" "r" 1; "c" "a" 1; "e" "m" 1;
"b" "b" "r" 1; "c" "a" 1; "e" "h" "m" "q" 1;
"b" "b" "r" 1; "c" "a" 1; "d" "q" 1; "e" "h" "m" "q" 1;
"b" "b" "r" 1; "c" "a" 1; "d" "q" 1; "e" "h" "m" "q" 1;
"b" "b" "r" 1; "c" "a" 1; "d" "q" 1; "e" "h" "k" "m" "q" 1;
"b" "b" "r" 1; "c" "a" 1; "d" "q" 1; "e" "h" "k" "m" "q" 1;
"b" "b" "r" 1; "c" "a" 1; "d" "q" 1; "e" "h" "k" "m" "q" 1;
"b" "b" "r" 1; "c" "a" 1; "d" "q" 1; "e" "h" "k" "m" "q" 1;
"b" "b" "r" 1; "c" "a" 1; "d" "q" 1; "e" "h" "k" "m" "q" 1;
"b" "b" "r" 1; "c" "a" 1; "d" "q" 1; "e" "h" "k" "m" "q" 1;
"b" "b" "r" "z" 1; "c" "a" 1; "d" "q" 1; "e" "h" "k" "m" "q" 1;
"b" "b" "r" "z" 1; "c" "a" 1; "d" "q" 1; "e" "h" "k" "m" "q" 1;
"b" "b" "r" "z" 1; "c" "a" 1; "d" "q" 1; "e" "h" "k" "m" "q" 1;
"b" "b" "r" "z" 1; "c" "a" 1; "d" "q" 1; "e" "h" "k" "m" "q" 1;
"b" "b" "r" "z" 1; "c" "a" 1; "d" "n" "q" 1; "e" "h" "j" "k" "m" "q" 1;
"b" "b" "r" "z" 1; "c" "a" 1; "d" "n" "q" 1; "e" "h" "j" "k" "m" "q" 1;
"b" "b" "r" "z" 1; "c" "a" 1; "d" "n" "q" 1; "e" "h" "j" "k" "m" "q" 1;
"a" "i" 1; "b" "b" "q" "r" "z" 1; "c" "a" 1; "d" "n" "q" 1; "e" "h" "j" "k" "m" "q" 1;
"a" "i" 1; "b" "b" "q" "r" "z" 1; "c" "a" 1; "d" "n" "q" 1; "e" "h" "j" "k" "m" "q" 1;
"a" "i" 1; "b" "b" "q" "r" "y" "z" 1; "c" "a" 1; "d" "n" "q" 1; "e" "h" "j" "k" "m" "q" 1;
"a" "i" 1; "b" "b" "q" "r" "y" "z" 1; "c" "a" 1; "d" "n" "q" 1; "e" "h" "j" "k" "m" "q" 1;
"a" "i" 1; "b" "b" "q" "r" "y" "z" 1; "c" "a" 1; "d" "n" "q" 1; "e" "a" "h" "j" "k" "m" "q" "z" 1;
"a" "i" "z" 1; "b" "b" "q" "r" "y" "z" 1; "c" "a" "u" 1; "d" "n" "q" 1; "e" "a" "h" "j" "k" "m" "o" "q" "t" "z" 1;
"a" "i" "z" 1; "b" "b" "q" "r" "y" "z" 1; "c" "u" 2; "d" "n" "q" 1; "e" "a" "h" "j" "k" "m" "o" "q" "t" "z" 1;
"a" "z" 2; "b" "a" "b" "q" "r" "y" "z" 1; "c" "u" 2; "d" "n" "q" "t" 1; "e" "a" "f" "h" "j" "k" "m" "o" "q" "t" "z" 1;
"a" "z" 2; "b" "y" 2; "c" "u" 2; "d" "n" "q" "t" 1; "e" "a" "f" "h" "j" "k" "m" "o" "q" "t" "z" 1;
"a" "z" 2; "b" "y" 2; "c" "u" 2; "d" "q" 2; "e" "a" "f" "h" "j" "k" "m" "o" "q" "t" "z" 1;
"a" "z" 2; "b" "y" 2; "c" "u" 2; "d" "q" 2; "e" "a" "f" "h" "j" "k" "m" "o" "q" "t" "z" 1;
"a" "z" 2; "b" "y" 2; "c" "u" 2; "d" "q" 2; "e" "a" "f" "h" "j" "k" "m" "o" "q" "t" "z" 1;
"a" "z" 2; "b" "y" 2; "c" "u" 2; "d" "q" 2; "e" "a" "f" "h" "j" "k" "m" "o" "q" "t" "z" 1;
"a" "z" 2; "b" "y" 2; "c" "u" 2; "d" "q" 2; "e" "a" "f" "h" "j" "k" "m" "o" "q" "t" "z" 1;
