none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "d" "n" 1;
"c" "d" "n" 1;
"c" "d" "n" 1;
"c" "d" "n" 1;
"c" "d" "n" 1;
"b" "z" 1; "c" "d" "n" 1;
"b" "z" 1; "c" "d" "n" 1;
"b" "z" 1; "c" "d" "n" 1;
"b" "z" 1; "c" "d" "n" 1;
"b" "z" 1; "c" "c" "d" "n" 1;
"b" "z" 1; "c" "c" "d" "n" "s" 1; "e" "p" 1;
"a" "n" 1; "b" "z" 1; "c" "c" "d" "n" "s" 1; "e" "p" "s" 1;
"a" "n" 1; "b" "z" 1; "c" "c" "d" "n" "s" 1; "e" "i" "p" "s" 1;
"a" "n" 1; "b" "z" 1; "c" "c" "d" "n" "s" 1; "e" "i" "p" "s" 1;
"a" "n" 1; "b" "z" 1; "c" "c" "d" "n" "s" 1; "e" "i" "p" "s" 1;
"a" "n" 1; "b" "z" 1; "c" "c" "d" "n" "s" 1; "e" "i" "p" "s" 1;
"a" "n" 1; "b" "z" 1; "c" "c" "d" "n" "s" 1; "e" "i" "p" "s" "y" 1;
"a" "n" 1; "b" "z" 1; "c" "c" "d" "n" "s" 1; "d" "g" "l" 1; "e" "i" "p" "s" "y" 1;
"a" "n" 1; "b" "g" "z" 1; "c" "n" 2; "d" "g" "l" "x" 1; "e" "i" "p" "s" "y" 1;
"a" "n" "p" "t" 1; "b" "g" "h" "z" 1; "c" "n" 2; "d" "g" "j" "l" "v" "x" "z" 1; "e" "a" "i" "p" "s" "y" 1;
"a" "n" "p" "t" 1; "b" "g" "h" "z" 1; "c" "n" 2; "d" "g" "j" "l" "v" "x" "z" 1; "e" "a" "i" "p" "s" "y" 1;
"a" "n" "p" "t" 1; "b" "g" "h" "z" 1; "c" "n" 2; "d" "b" "g" "j" "l" "v" "x" "z" 1; "e" "a" "i" "p" "s" "y" 1;
"a" "g" "n" "p" "t" 1; "b" "g" "h" "z" 1; "c" "n" 2; "d" "b" "g" "j" "l" "v" "x" "z" 1; "e" "a" "i" "p" "s" "y" 1;
"a" "g" "n" "p" "t" 1; "b" "g" "h" "z" 1; "c" "n" 2; "d" "b" "g" "j" "l" "v" "x" "z" 1; "e" "a" "e" "i" "p" "s" "y" 1;
"a" "g" "n" "p" "t" 1; "b" "g" "h" "z" 1; "c" "n" 2; "d" "b" "g" "j" "l" "v" "x" "z" 1; "e" "a" "e" "i" "p" "s" "y" 1;
"a" "g" "n" "p" "t" 1; "b" "g" "h" "z" 1; "c" "n" 2; "d" "b" "g" "j" "l" "v" "x" "z" 1; "e" "a" "e" "i" "p" "s" "y" 1;
"a" "g" "n" "p" "t" 1; "b" "g" "h" "z" 1; "c" "n" 2; "d" "b" "g" "j" "l" "v" "x" "z" 1; "e" "a" "e" "i" "p" "s" "y" 1;
"a" "g" "n" "p" "t" 1; "b" "g" "h" "z" 1; "c" "n" 2; "d" "b" "g" "j" "l" "v" "x" "z" 1; "e" "a" "e" "i" "p" "s" "y" 1;
"a" "b" "g" "n" "p" "t" 1; "b" "g" "h" "z" 1; "c" "n" 2; "d" "b" "g" "j" "l" "v" "x" "z" 1; "e" "a" "e" "i" "p" "s" "y" 1;
"a" "b" "g" "n" "p" "t" 1; "b" "g" "h" "z" 1; "c" "n" 2; "d" "b" "g" "j" "l" "v" "x" "z" 1; "e" "a" "e" "i" "p" "s" "y" 1;
"a" "b" "g" "n" "p" "t" 1; "b" "g" "h" "z" 1; "c" "n" 2; "d" "b" "g" "j" "l" "v" "x" "z" 1; "e" "a" "e" "i" "p" "s" "y" 1;
"a" "b" "g" "n" "p" "t" 1; "b" "e" "g" "h" "z" 1; "c" "n" 2; "d" "j" 2; "e" "a" "e" "i" "p" "s" "y" 1;
"a" "b" "g" "h" "n" "p" "t" 1; "b" "a" "e" "g" "h" "z" 1; "c" "n" "s" 2; "d" "j" 2; "e" "s" 2;
"a" "b" "g" "h" "n" "p" "t" 1; "b" "a" "e" "g" "h" "z" 1; "c" "n" "s" 2; "d" "j" 2; "e" "s" 2;
"a" "b" "g" "h" "n" "p" "t" 1; "b" "a" "e" "g" "h" "z" 1; "c" "n" "s" 2; "d" "j" 2; "e" "s" 2;
"a" "b" "g" "h" "n" "p" "t" 1; "b" "a" "e" "g" "h" "z" 1; "c" "n" "s" 2; "d" "j" 2; "e" "s" 2;
"a" "b" "g" "h" "n" "p" "t" 1; "b" "a" "e" "g" "h" "z" 1; "c" "n" "s" 2; "d" "j" 2; "e" "s" 2;
"a" "p" 2; "b" "a" "e" "f" "g" "h" "x" "z" 1; "c" "f" "n" "s" 2; "d" "j" 2; "e" "s" 2;
"a" "p" 2; "b" "a" "e" "f" "g" "h" "x" "z" 1; "c" "f" "n" "s" 2; "d" "j" 2; "e" "s" 2;
"a" "p" 2; "b" "a" "e" "f" "g" "h" "x" "z" 1; "c" "f" "n" "s" 2; "d" "j" 2; "e" "s" 2;
"a" "p" 2; "b" "a" "e" "f" "g" "h" "x" "z" 1; "c" "f" "n" "s" 2; "d" "j" 2; "e" "s" 2;
"a" "p" 2; "b" "h" 2; "c" "f" "n" "s" 2; "d" "j" 2; "e" "s" 2;
"a" "p" 2; "b" "h" 2; "c" "f" "n" "s" 2; "d" "j" 2; "e" "s" 2;
