none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "i" 1;
"c" "i" 1;
"b" "x" 1; "c" "i" 1;
"b" "x" 1; "c" "i" 1; "d" "w" 1;
"b" "x" 1; "c" "i" 1; "d" "w" 1;
"b" "x" 1; "c" "i" 1; "d" "w" 1;
"b" "x" 1; "c" "i" 1; "d" "w" 1;
"b" "x" 1; "c" "i" 1; "d" "w" 1;
"b" "x" 1; "c" "i" "m" 1; "d" "h" "w" 1;
"b" "q" "x" 1; "c" "i" "m" 1; "d" "h" "i" "w" 1;
"b" "q" "x" 1; "c" "i" "m" 1; "d" "h" "i" "w" 1;
"b" "q" "x" 1; "c" "i" "m" 1; "d" "h" "i" "w" 1;
"b" "q" "x" 1; "c" "i" "m" 1; "d" "h" "i" "w" 1; "e" "i" 1;
"b" "q" "x" 1; "c" "i" "m" 1; "d" "h" "i" "w" 1; "e" "i" 1;
"b" "q" "x" 1; "c" "i" "m" 1; "d" "h" "i" "w" 1; "e" "i" 1;
"b" "q" "x" 1; "c" "i" "m" 1; "d" "h" "i" "w" 1; "e" "c" "i" "x" 1;
"b" "q" "x" 1; "c" "i" "m" 1; "d" "h" "i" "w" 1; "e" "c" "i" "x" 1;
"b" "q" "x" 1; "c" "i" "m" "y" 1; "d" "h" "i" "w" 1; "e" "m" 2;
"b" "q" "x" 1; "c" "i" "m" "y" 1; "d" "h" "i" "w" 1; "e" "m" "x" 2;
"b" "q" "x" 1; "c" "i" "m" "y" 1; "d" "h" "i" "w" 1; "e" "m" "x" 2;
"b" "q" "x" 1; "c" "h" "i" "m" "y" 1; "d" "h" "i" "w" 1; "e" "m" "x" 2;
"b" "g" "q" "x" 1; "c" "h" "i" "m" "y" 1; "d" "h" "i" "w" 1; "e" "m" "x" 2;
"b" "g" "q" "x" 1; "c" "h" "i" "m" "y" 1; "d" "h" "i" "w" 1; "e" "m" "x" 2;
"b" "g" "q" "x" 1; "c" "h" "i" "m" "y" 1; "d" "h" "i" "w" 1; "e" "m" "x" 2;
"b" "g" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "h" "i" "w" 1; "e" "m" "x" 2;
"b" "g" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "i" 2; "e" "m" "x" 2;
"a" "t" 1; "b" "g" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "i" 2; "e" "m" "x" 2;
"a" "t" 1; "b" "g" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "i" 2; "e" "m" "x" 2;
"a" "t" 1; "b" "g" "n" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "i" 2; "e" "m" "x" 2;
"a" "t" 1; "b" "g" "n" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "i" 2; "e" "m" "x" 2;
"a" "t" 1; "b" "g" "n" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "i" 2; "e" "m" "x" 2;
"a" "t" 1; "b" "g" "n" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "i" 2; "e" "m" "x" 2;
"a" "t" 1; "b" "g" "n" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "i" 2; "e" "m" "x" 2;
"a" "t" 1; "b" "g" "n" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "i" 2; "e" "m" "x" 2;
"a" "t" 1; "b" "g" "n" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "i" 2; "e" "m" "x" 2;
"a" "t" 1; "b" "g" "n" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "i" 2; "e" "m" "x" 2;
"a" "t" 1; "b" "a" "g" "h" "n" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "i" 2; "e" "m" "x" 2;
"a" "t" 1; "b" "a" "g" "h" "n" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "i" 2; "e" "m" "x" 2;
"a" "t" 1; "b" "a" "g" "h" "n" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "i" 2; "e" "m" "x" 2;
"a" "t" 1; "b" "a" "g" "h" "n" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "i" 2; "e" "m" "x" 2;
"a" "t" 1; "b" "a" "g" "h" "n" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "i" 2; "e" "m" "x" 2;
"a" "t" 1; "b" "a" "g" "h" "n" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "i" 2; "e" "m" "x" 2;
