none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "w" 1;
"b" "w" 1;
"b" "w" 1;
"b" "w" 1;
"b" "w" 1;
"b" "w" 1;
"b" "w" 1; "d" "i" 1;
"a" "y" 1; "b" "w" 1; "d" "i" 1; "e" "s" 1;
"a" "y" 1; "b" "w" 1; "d" "i" 1; "e" "s" 1;
"a" "y" 1; "b" "w" 1; "d" "i" 1; "e" "s" 1;
"a" "y" 1; "b" "w" 1; "d" "i" 1; "e" "s" 1;
"a" "q" "y" 1; "b" "w" 1; "d" "i" 1; "e" "s" 1;
"a" "q" "y" 1; "b" "f" "h" "w" 1; "c" "r" 1; "d" "i" 1; "e" "s" 1;
"a" "q" "y" 1; "b" "f" "h" "w" 1; "c" "r" 1; "d" "i" 1; "e" "s" 1;
"a" "q" "y" 1; "b" "f" "h" "w" 1; "c" "r" 1; "d" "i" 1; "e" "s" 1;
"a" "q" "y" 1; "b" "b" "f" "h" "w" 1; "c" "r" 1; "d" "i" 1; "e" "s" 1;
"a" "q" "y" 1; "b" "b" "f" "h" "w" 1; "c" "r" 1; "d" "i" "y" 1; "e" "s" 1;
"a" "q" "y" 1; "b" "b" "f" "h" "w" 1; "c" "r" 1; "d" "i" "j" "y" 1; "e" "s" 1;
"a" "q" "y" 1; "b" "b" "f" "h" "w" 1; "c" "o" "r" 1; "d" "j" 2; "e" "s" 1;
"a" "y" 2; "b" "b" "d" "f" "h" "m" "w" "y" 1; "c" "o" "r" 1; "d" "j" 2; "e" "s" 2;
"a" "y" 2; "b" "b" "d" "f" "h" "m" "w" "y" 1; "c" "o" "r" 1; "d" "j" 2; "e" "s" 2;
"a" "y" 2; "b" "b" "d" "f" "h" "m" "w" "y" 1; "c" "o" "r" 1; "d" "j" 2; "e" "s" 2;
"a" "y" 2; "b" "b" "d" "f" "h" "m" "w" "y" 1; "c" "d" "o" "r" 1; "d" "j" 2; "e" "s" 2;
"a" "y" 2; "b" "b" "d" "f" "h" "m" "w" "y" 1; "c" "d" "o" "r" 1; "d" "j" 2; "e" "s" 2;
"a" "y" 2; "b" "b" "d" "f" "h" "m" "w" "y" 1; "c" "d" "g" "o" "r" 1; "d" "b" "j" 2; "e" "s" 2;
"a" "y" 2; "b" "b" "d" "f" "h" "m" "w" "y" 1; "c" "d" "g" "o" "r" 1; "d" "b" "j" 2; "e" "s" 2;
"a" "y" 2; "b" "b" "d" "f" "h" "m" "w" "y" 1; "c" "d" "g" "o" "r" 1; "d" "b" "j" 2; "e" "s" 2;
"a" "y" 2; "b" "b" "d" "f" "h" "m" "w" "y" 1; "c" "d" "g" "o" "r" 1; "d" "b" "j" 2; "e" "s" 2;
"a" "y" 2; "b" "b" "d" "f" "h" "m" "w" "y" 1; "c" "d" "g" "o" "r" 1; "d" "b" "j" 2; "e" "s" 2;
"a" "y" 2; "b" "b" "d" "f" "h" "m" "w" "y" 1; "c" "d" "g" "o" "r" "x" 1; "d" "b" "j" 2; "e" "s" 2;
"a" "y" 2; "b" "b" "d" "f" "h" "m" "w" "y" 1; "c" "d" 2; "d" "b" "j" 2; "e" "s" 2;
"a" "y" 2; "b" "b" "d" "f" "h" "m" "w" "y" 1; "c" "d" 2; "d" "b" "j" 2; "e" "s" 2;
"a" "y" 2; "b" "b" "d" "f" "h" "m" "w" "y" 1; "c" "d" 2; "d" "b" "j" 2; "e" "s" 2;
"a" "y" 2; "b" "b" "d" "f" "h" "m" "w" "y" 1; "c" "d" 2; "d" "b" "j" 2; "e" "s" 2;
"a" "y" 2; "b" "b" "d" "f" "h" "m" "w" "y" 1; "c" "d" 2; "d" "b" "j" 2; "e" "s" 2;
"a" "y" 2; "b" "b" "d" "f" "h" "m" "w" "y" 1; "c" "d" 2; "d" "b" "j" 2; "e" "s" 2;
"a" "y" 2; "b" "b" "d" "f" "h" "m" "w" "y" 1; "c" "d" 2; "d" "b" "j" 2; "e" "s" 2;
"a" "y" 2; "b" "b" "d" "f" "h" "m" "w" "x" "y" 1; "c" "d" 2; "d" "b" "j" "v" 2; "e" "s" 2;
"a" "y" 2; "b" "b" "d" "f" "h" "m" "w" "x" "y" 1; "c" "d" 2; "d" "b" "j" "v" 2; "e" "s" 2;
"a" "y" 2; "b" "b" "d" "f" "h" "m" "w" "x" "y" 1; "c" "d" 2; "d" "b" "j" "v" 2; "e" "s" 2;
"a" "y" 2; "b" "b" "d" "f" "h" "m" "w" "x" "y" 1; "c" "d" 2; "d" "b" "j" "v" 2; "e" "s" 2;
"a" "y" 2; "b" "b" "d" "f" "h" "m" "w" "x" "y" 1; "c" "d" 2; "d" "b" "j" "v" 2; "e" "s" 2;
"a" "y" 2; "b" "b" "d" "f" "h" "m" "w" "x" "y" 1; "c" "d" 2; "d" "b" "j" "v" 2; "e" "s" 2;
"a" "y" 2; "b" "x" 2; "c" "d" 2; "d" "b" "j" "v" 2; "e" "s" 2;
"a" "y" 2; "b" "d" "x" 2; "c" "d" 2; "d" "j" 3; "e" "s" 2;
"a" "y" 2; "b" "d" "x" 2; "c" "d" 2; "d" "j" 3; "e" "s" 2;
"a" "y" 2; "b" "d" "x" 2; "c" "d" 2; "d" "j" 3; "e" "s" 2;
"a" "y" 2; "b" "d" "x" 2; "c" "d" 2; "d" "j" 3; "e" "s" 2;
"a" "y" 2; "b" "d" "x" 2; "c" "d" 2; "d" "j" 3; "e" "s" 2;
"a" "y" 2; "b" "d" "f" "x" 2; "c" "d" 2; "d" "j" 3; "e" "s" 2;
"a" "y" 2; "b" "d" "f" "x" 2; "c" "d" 2; "d" "j" 3; "e" "s" 2;
"a" "y" 2; "b" "d" "f" "x" 2; "c" "d" 2; "d" "j" 3; "e" "s" 2;
"a" "y" 2; "b" "d" "f" "x" 2; "c" "d" 2; "d" "j" 3; "e" "s" 2;
"a" "y" 2; "b" "d" "f" "x" 2; "c" "d" 2; "d" "j" 3; "e" "s" 3;
"a" "y" 2; "b" "d" "f" "x" 2; "c" "d" 2; "d" "j" 3; "e" "s" 3;
"a" "y" 2; "b" "d" "f" "x" 2; "c" "d" 2; "d" "j" 3; "e" "s" 3;
"a" "y" 2; "b" "d" "f" "x" 2; "c" "d" 2; "d" "j" 3; "e" "s" 3;
"a" "y" 2; "b" "d" "f" "x" 2; "c" "d" 2; "d" "j" 3; "e" "s" 3;
"a" "y" 2; "b" "d" "f" "x" 2; "c" "d" "e" 2; "d" "j" 3; "e" "s" 3;
"a" "y" 2; "b" "d" "f" "x" 2; "c" "d" "e" 2; "d" "j" 3; "e" "s" 3;
"a" "y" 2; "b" "d" "f" "x" 2; "c" "d" "e" 2; "d" "j" 3; "e" "s" 3;
"a" "y" 2; "b" "d" "f" "x" 2; "c" "d" "e" 2; "d" "j" 3; "e" "s" 3;
"a" "y" 2; "b" "d" "f" "x" 2; "c" "d" "e" 2; "d" "j" 3; "e" "s" 3;
"a" "y" 2; "b" "d" "f" "x" 2; "c" "d" "e" 2; "d" "j" 3; "e" "s" 3;
"a" "y" 2; "b" "d" "f" "x" 2; "c" "d" "e" 2; "d" "j" 3; "e" "s" 3;
"a" "y" 2; "b" "d" "f" "x" 2; "c" "d" "e" 2; "d" "j" 3; "e" "s" 3;
"a" "y" 2; "b" "d" "f" "x" 2; "c" "d" "e" 2; "d" "j" 3; "e" "s" 3;
"a" "y" 2; "b" "d" "f" "x" 2; "c" "d" "e" 2; "d" "j" 3; "e" "s" 3;
"a" "y" 2; "b" "d" "f" "x" 2; "c" "d" "e" 2; "d" "j" 3; "e" "s" 3;
"a" "y" 2; "b" "d" "f" "x" 2; "c" "d" "e" 2; "d" "j" 3; "e" "s" 3;
"a" "y" 2; "b" "d" "f" "x" 2; "c" "d" "e" 2; "d" "j" 3; "e" "s" 3;
"a" "y" 2; "b" "d" "f" "x" 2; "c" "d" "e" 2; "d" "j" 3; "e" "s" 3;
"a" "y" 2; "b" "d" "f" "x" 2; "c" "d" "e" 2; "d" "j" 3; "e" "s" 3;
"a" "y" 2; "b" "d" "f" "x" 2; "c" "d" "e" 2; "d" "j" 3; "e" "s" 3;
"a" "y" 2; "b" "d" "f" "x" 2; "c" "d" "e" 2; "d" "j" 3; "e" "s" 3;
"a" "y" 2; "b" "d" "f" "x" 2; "c" "d" "e" 2; "d" "j" 3; "e" "s" 3;
"a" "y" 2; "b" "d" "f" "x" 2; "c" "d" "e" 2; "d" "j" 3; "e" "s" 3;
"a" "g" "y" 2; "b" "d" "f" "x" 2; "c" "d" "e" 2; "d" "j" 3; "e" "s" 3;
"a" "g" "y" 2; "b" "d" "f" "x" 2; "c" "d" "e" 2; "d" "j" 3; "e" "s" 3;
"a" "g" "y" 2; "b" "d" "f" "x" 2; "c" "d" "e" 2; "d" "b" "j" 3; "e" "s" 3;
