none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "q" 1;
"a" "i" 1; "c" "q" 1;
"a" "i" 1; "c" "q" 1;
"a" "i" 1; "c" "q" 1;
"a" "i" "z" 1; "c" "q" 1;
"a" "i" "z" 1; "c" "q" 1;
"a" "i" "z" 1; "c" "q" 1;
"a" "i" "z" 1; "c" "q" 1;
"a" "i" "z" 1; "c" "q" 1;
"a" "i" "z" 1; "c" "q" 1; "d" "h" 1; "e" "r" 1;
"a" "i" "z" 1; "c" "q" 1; "d" "h" 1; "e" "r" 1;
"a" "i" "z" 1; "c" "q" 1; "d" "h" 1; "e" "r" 1;
"a" "i" "z" 1; "c" "c" "q" 1; "d" "h" 1; "e" "r" 1;
"a" "i" "z" 1; "c" "c" "q" 1; "d" "h" 1; "e" "r" 1;
"a" "i" "z" 1; "c" "c" "q" 1; "d" "h" 1; "e" "a" "r" 1;
"a" "i" "z" 1; "c" "c" "q" "w" 1; "d" "h" 1; "e" "a" "q" "r" 1;
"a" "i" "z" 1; "c" "c" "q" "w" 1; "d" "h" 1; "e" "a" "q" "r" 1;
"a" "i" "z" 1; "c" "c" "q" "w" 1; "d" "h" 1; "e" "a" "q" "r" 1;
"a" "i" "z" 1; "c" "c" "q" "w" 1; "d" "h" 1; "e" "a" "q" "r" 1;
"a" "i" "j" "z" 1; "c" "c" "q" "w" 1; "d" "h" 1; "e" "a" "q" "r" 1;
"a" "i" "j" "z" 1; "b" "p" 1; "c" "c" "q" "w" 1; "d" "h" 1; "e" "a" "q" "r" 1;
"a" "i" "j" "z" 1; "b" "p" 1; "c" "c" "q" "w" 1; "d" "h" 1; "e" "a" "q" "r" 1;
"a" "i" "j" "z" 1; "b" "p" 1; "c" "c" "p" "q" "w" 1; "d" "h" 1; "e" "a" "q" "r" 1;
"a" "i" "j" "z" 1; "b" "f" "p" "w" "z" 1; "c" "c" "p" "q" "w" 1; "d" "h" 1; "e" "a" "q" "r" 1;
"a" "i" "j" "z" 1; "b" "f" "p" "w" "z" 1; "c" "c" "p" "q" "w" 1; "d" "h" "s" 1; "e" "a" "q" "r" 1;
"a" "i" "j" "z" 1; "b" "f" "p" "w" "z" 1; "c" "c" "f" "p" "q" "w" 1; "d" "h" "s" 1; "e" "a" "q" "r" 1;
"a" "i" "j" "z" 1; "b" "f" "p" "w" "z" 1; "c" "c" "f" "p" "q" "w" 1; "d" "h" "s" 1; "e" "a" "q" "r" 1;
"a" "i" "j" "z" 1; "b" "f" "p" "w" "z" 1; "c" "c" "f" "p" "q" "w" 1; "d" "h" "s" 1; "e" "a" "p" "q" "r" 1;
"a" "i" "j" "z" 1; "b" "f" "p" "w" "z" 1; "c" "c" "f" "p" "q" "w" 1; "d" "h" "s" 1; "e" "a" "p" "q" "r" 1;
"a" "i" "j" "z" 1; "b" "f" "p" "w" "z" 1; "c" "c" "f" "p" "q" "w" 1; "d" "h" "s" 1; "e" "a" "p" "q" "r" 1;
"a" "i" "j" "k" "z" 1; "b" "f" "p" "w" "z" 1; "c" "c" "f" "m" "p" "q" "w" 1; "d" "h" "s" 1; "e" "a" "p" "q" "r" 1;
"a" "i" "j" "k" "z" 1; "b" "f" "p" "w" "x" "z" 1; "c" "c" "f" "m" "p" "q" "w" 1; "d" "h" "s" 1; "e" "a" "p" "q" "r" 1;
"a" "i" "j" "k" "z" 1; "b" "f" "p" "w" "x" "z" 1; "c" "c" "f" "m" "p" "q" "w" 1; "d" "s" 2; "e" "a" "p" "q" "r" 1;
"a" "i" "j" "k" "z" 1; "b" "f" "p" "w" "x" "z" 1; "c" "c" "f" "m" "p" "q" "w" 1; "d" "s" 2; "e" "a" "p" "q" "r" 1;
"a" "i" "j" "k" "z" 1; "b" "p" 2; "c" "c" "f" "m" "p" "q" "w" 1; "d" "s" 2; "e" "a" "p" "q" "r" 1;
"a" "i" "j" "k" "z" 1; "b" "p" 2; "c" "c" "f" "m" "p" "q" "w" 1; "d" "s" 2; "e" "a" "p" "q" "r" 1;
"a" "i" "j" "k" "z" 1; "b" "p" 2; "c" "c" "f" "m" "p" "q" "w" 1; "d" "s" 2; "e" "a" "p" "q" "r" 1;
"a" "i" "j" "k" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "a" "l" "p" "q" "r" "x" 1;
"a" "i" "j" "k" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "a" "l" "p" "q" "r" "x" 1;
"a" "i" "j" "k" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "a" "l" "p" "q" "r" "w" "x" 1;
"a" "i" "j" "k" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "a" "l" "p" "q" "r" "w" "x" 1;
"a" "i" "j" "k" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "a" "l" "p" "q" "r" "w" "x" 1;
"a" "i" "j" "k" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "a" "l" "p" "q" "r" "w" "x" 1;
"a" "i" "j" "k" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "a" "l" "p" "q" "r" "w" "x" "y" 1;
"a" "i" "j" "k" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "a" "l" "p" "q" "r" "w" "x" "y" 1;
"a" "i" "j" "k" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "a" "l" "p" "q" "r" "w" "x" "y" 1;
"a" "i" "j" "k" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "a" "l" "p" "q" "r" "w" "x" "y" 1;
"a" "i" "j" "k" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "a" "l" "p" "q" "r" "w" "x" "y" 1;
"a" "i" "j" "k" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "a" "l" "p" "q" "r" "w" "x" "y" 1;
"a" "i" "j" "k" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "a" "l" "p" "q" "r" "w" "x" "y" 1;
"a" "i" "j" "k" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "a" "l" "p" "q" "r" "w" "x" "y" 1;
"a" "i" "j" "k" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "a" "l" "p" "q" "r" "w" "x" "y" 1;
"a" "g" "i" "j" "k" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "a" "l" "p" "q" "r" "w" "x" "y" 1;
"a" "g" "i" "j" "k" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "a" "l" "p" "q" "r" "w" "x" "y" 1;
"a" "f" "g" "i" "j" "k" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "a" "l" "p" "q" "r" "w" "x" "y" 1;
"a" "f" "g" "i" "j" "k" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "a" "l" "p" "q" "r" "w" "x" "y" 1;
"a" "f" "g" "i" "j" "k" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "a" "l" "p" "q" "r" "w" "x" "y" 1;
"a" "a" "f" "g" "i" "j" "k" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "a" "l" "p" "q" "r" "w" "x" "y" 1;
"a" "a" "f" "g" "i" "j" "k" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "a" "l" "p" "q" "r" "w" "x" "y" 1;
"a" "a" "f" "g" "i" "j" "k" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "a" "l" "p" "q" "r" "w" "x" "y" 1;
"a" "a" "f" "g" "i" "j" "k" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "a" "l" "p" "q" "r" "w" "x" "y" 1;
"a" "a" "f" "g" "i" "j" "k" "m" "w" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "a" "l" "p" "q" "r" "w" "x" "y" 1;
"a" "a" "f" "g" "i" "j" "k" "m" "w" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "a" "l" "p" "q" "r" "w" "x" "y" 1;
"a" "a" "f" "g" "i" "j" "k" "m" "w" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "a" "l" "p" "q" "r" "w" "x" "y" 1;
"a" "a" "f" "g" "i" "j" "k" "m" "w" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "a" "l" "p" "q" "r" "u" "w" "x" "y" 1;
"a" "a" "f" "g" "i" "j" "k" "m" "w" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "a" "l" "p" "q" "r" "u" "w" "x" "y" 1;
"a" "a" "f" "g" "i" "j" "k" "m" "p" "w" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "w" 2;
"a" "a" "f" "g" "i" "j" "k" "m" "p" "w" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "w" 2;
"a" "a" "f" "g" "i" "j" "k" "m" "p" "w" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "w" 2;
"a" "a" "f" "g" "i" "j" "k" "m" "p" "w" "z" 1; "b" "p" 2; "c" "c" 2; "d" "r" "s" 2; "e" "w" 2;
"a" "a" "f" "g" "i" "j" "k" "m" "p" "w" "z" 1; "b" "p" 2; "c" "c" 2; "d" "g" "r" "s" 2; "e" "w" 2;
"a" "a" "f" "g" "i" "j" "k" "m" "p" "w" "z" 1; "b" "p" 2; "c" "c" 2; "d" "g" "r" "s" 2; "e" "w" 2;
"a" "a" "f" "g" "i" "j" "k" "m" "p" "w" "z" 1; "b" "p" 2; "c" "c" 2; "d" "g" "r" "s" 2; "e" "w" 2;
"a" "a" "f" "g" "i" "j" "k" "m" "p" "w" "z" 1; "b" "p" 2; "c" "c" 2; "d" "g" "r" "s" 2; "e" "w" 2;
"a" "a" "f" "g" "i" "j" "k" "m" "p" "w" "z" 1; "b" "p" 2; "c" "c" 2; "d" "g" "r" "s" 2; "e" "w" 2;
"a" "a" "f" "g" "i" "j" "k" "m" "p" "w" "z" 1; "b" "p" 2; "c" "c" 2; "d" "g" "r" "s" 2; "e" "l" "w" 2;
"a" "a" "f" "g" "i" "j" "k" "m" "p" "w" "z" 1; "b" "p" 2; "c" "c" 2; "d" "g" "r" "s" 2; "e" "l" "w" 2;
"a" "a" "f" "g" "i" "j" "k" "m" "p" "w" "z" 1; "b" "p" "x" 2; "c" "c" "w" 2; "d" "g" "r" "s" 2; "e" "l" "w" 2;
"a" "a" "f" "g" "i" "j" "k" "m" "p" "w" "z" 1; "b" "p" "x" 2; "c" "w" 3; "d" "g" "r" "s" 2; "e" "l" "w" 2;
"a" "a" "f" "g" "i" "j" "k" "m" "p" "w" "z" 1; "b" "p" "x" 2; "c" "w" 3; "d" "g" "r" "s" 2; "e" "l" "w" 2;
"a" "a" "f" "g" "i" "j" "k" "m" "p" "w" "z" 1; "b" "p" "x" 2; "c" "w" 3; "d" "g" "r" "s" 2; "e" "l" "w" 2;
"a" "a" "f" "g" "i" "j" "k" "m" "p" "w" "z" 1; "b" "p" "x" 2; "c" "w" 3; "d" "g" "r" "s" 2; "e" "l" "w" 2;
"a" "a" "f" "g" "i" "j" "k" "m" "p" "w" "z" 1; "b" "p" "u" "x" 2; "c" "w" 3; "d" "g" "r" "s" 2; "e" "l" "w" 2;
"a" "a" "f" "g" "i" "j" "k" "m" "p" "w" "z" 1; "b" "p" "u" "x" 2; "c" "w" 3; "d" "g" "r" "s" 2; "e" "l" "w" 2;
"a" "a" "f" "g" "i" "j" "k" "m" "p" "w" "z" 1; "b" "p" "u" "x" 2; "c" "w" 3; "d" "g" "r" "s" 2; "e" "l" "w" 2;
"a" "a" "f" "g" "i" "j" "k" "m" "p" "w" "z" 1; "b" "p" "u" "x" 2; "c" "w" 3; "d" "g" "r" "s" 2; "e" "l" "w" 2;
"a" "a" "f" "g" "i" "j" "k" "m" "p" "w" "z" 1; "b" "p" "u" "x" 2; "c" "w" 3; "d" "g" "r" "s" 2; "e" "l" "w" 2;
"a" "a" "f" "g" "i" "j" "k" "m" "p" "w" "z" 1; "b" "p" "u" "x" 2; "c" "w" 3; "d" "g" "r" "s" 2; "e" "l" "w" 2;
"a" "a" "f" "g" "i" "j" "k" "m" "p" "w" "z" 1; "b" "p" "u" "x" 2; "c" "w" 3; "d" "g" "r" "s" 2; "e" "l" "w" 2;
"a" "a" "f" "g" "i" "j" "k" "m" "p" "w" "z" 1; "b" "p" "u" "x" 2; "c" "w" 3; "d" "g" "r" "s" 2; "e" "l" 3;
