none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "b" 1;
"d" "b" 1;
"c" "g" 1; "d" "b" 1;
"c" "g" 1; "d" "b" 1;
"c" "g" 1; "d" "b" 1;
"c" "g" 1; "d" "b" 1;
"c" "g" 1; "d" "b" 1;
"a" "a" 1; "c" "g" 1; "d" "b" 1;
"a" "a" 1; "c" "g" 1; "d" "b" 1;
"a" "a" 1; "b" "b" 1; "c" "g" 1; "d" "b" "y" 1;
"a" "a" 1; "b" "b" 1; "c" "g" 1; "d" "b" "y" 1;
"a" "a" 1; "b" "b" 1; "c" "g" 1; "d" "b" "y" 1;
"a" "a" 1; "b" "b" 1; "c" "g" 1; "d" "b" "j" "y" 1;
"a" "a" "s" 1; "b" "b" 1; "c" "g" "l" 1; "d" "b" "j" "y" 1;
"a" "a" "s" 1; "b" "b" 1; "c" "g" "l" 1; "d" "b" "j" "y" 1; "e" "l" 1;
"a" "a" "s" 1; "b" "b" 1; "c" "g" "l" 1; "d" "b" "j" "y" 1; "e" "l" 1;
"a" "a" "s" 1; "b" "b" 1; "c" "g" "l" 1; "d" "b" "j" "y" 1; "e" "l" 1;
"a" "a" "s" 1; "b" "b" 1; "c" "g" "l" 1; "d" "b" "j" "y" 1; "e" "l" 1;
"a" "a" "s" 1; "b" "b" "p" 1; "c" "g" "l" 1; "d" "b" 2; "e" "l" 1;
"a" "a" "s" 1; "b" "b" "p" 1; "c" "g" "l" 1; "d" "b" 2; "e" "l" 1;
"a" "a" "s" 1; "b" "b" "p" 1; "c" "g" "l" 1; "d" "b" 2; "e" "l" 1;
"a" "a" "s" 1; "b" "b" "p" 1; "c" "g" "l" 1; "d" "b" 2; "e" "l" 1;
"a" "a" "s" 1; "b" "b" "p" 1; "c" "g" "l" 1; "d" "b" 2; "e" "l" 1;
"a" "a" "s" 1; "b" "b" "e" "p" 1; "c" "g" "l" 1; "d" "b" 2; "e" "l" 1;
"a" "a" "s" 1; "b" "b" "e" "p" 1; "c" "g" "l" 1; "d" "b" 2; "e" "l" 1;
"a" "a" "s" 1; "b" "b" "d" "e" "j" "p" "x" 1; "c" "g" "l" 1; "d" "b" 2; "e" "l" 1;
