none
none
none
none
none
none
none
none
none
none
none
none
"b" "v" 1;
"b" "v" 1;
"b" "v" 1;
"b" "v" 1;
"b" "n" "v" 1; "e" "o" 1;
"b" "n" "v" 1; "e" "o" 1;
"b" "n" "v" 1; "e" "o" 1;
"b" "n" "v" 1; "d" "c" "d" 1; "e" "o" 1;
"b" "n" "v" 1; "d" "c" "d" 1; "e" "o" 1;
"b" "n" "v" 1; "d" "c" "d" 1; "e" "o" 1;
"b" "n" "v" 1; "d" "c" "d" 1; "e" "o" 1;
"b" "n" "v" 1; "d" "c" "d" 1; "e" "o" 1;
"b" "n" "v" 1; "d" "c" "d" "w" 1; "e" "o" 1;
"b" "n" "v" 1; "d" "c" "d" "w" 1; "e" "o" 1;
"b" "n" "v" 1; "d" "c" "d" "w" 1; "e" "l" "o" 1;
"b" "e" "k" "n" "v" 1; "d" "a" "c" "d" "w" 1; "e" "l" "o" 1;
"b" "e" "k" "n" "v" 1; "d" "a" "c" "d" "w" 1; "e" "l" 2;
"a" "v" 1; "b" "e" "k" "n" "v" 1; "d" "a" "c" "d" "w" 1; "e" "l" 2;
"a" "v" 1; "b" "e" "k" "n" "v" 1; "d" "a" "c" "d" "w" 1; "e" "l" 2;
"a" "v" 1; "b" "e" "k" "n" "v" 1; "d" "a" "c" "d" "w" 1; "e" "l" 2;
"a" "v" 1; "b" "e" "k" "n" "v" 1; "d" "a" "c" "d" "w" 1; "e" "l" 2;
"a" "v" 1; "b" "e" "k" "n" "v" 1; "d" "a" "c" "d" "w" 1; "e" "l" 2;
"a" "e" "v" 1; "b" "e" "k" "n" "v" 1; "d" "a" "c" "d" "w" 1; "e" "l" 2;
"a" "e" "o" "v" 1; "b" "e" "k" "n" "v" "w" 1; "d" "a" "d" 2; "e" "l" 2;
"a" "e" "o" "v" 1; "b" "e" "k" "n" "v" "w" 1; "d" "a" "d" 2; "e" "l" 2;
"a" "e" "o" "v" 1; "b" "e" "k" "n" "v" "w" 1; "d" "a" "d" 2; "e" "l" 2;
"a" "e" "o" "v" 1; "b" "e" "k" "n" "v" "w" 1; "d" "a" "d" 2; "e" "l" 2;
"a" "a" "e" "o" "v" 1; "b" "e" "k" "n" "v" "w" 1; "d" "a" "d" "w" 2; "e" "l" 2;
"a" "a" "e" "k" "o" "v" 1; "b" "e" "k" "n" "v" "w" 1; "d" "a" "d" "w" 2; "e" "l" 2;
"a" "a" "e" "k" "o" "v" 1; "b" "e" "k" "n" "v" "w" 1; "d" "a" "d" "w" 2; "e" "l" 2;
"a" "a" "e" "k" "o" "v" 1; "b" "e" "k" "n" "p" "v" "w" 1; "d" "a" "d" "w" 2; "e" "l" 2;
"a" "a" "e" "k" "o" "v" 1; "b" "e" "k" "n" "p" "v" "w" 1; "d" "a" "d" "w" 2; "e" "l" 2;
"a" "a" "e" "k" "o" "v" 1; "b" "e" "i" "k" "n" "p" "v" "w" 1; "d" "a" "d" "w" 2; "e" "l" 2;
"a" "a" "e" "k" "o" "r" "v" 1; "b" "e" "i" "k" "n" "p" "v" "w" 1; "d" "a" "d" "w" 2; "e" "l" 2;
"a" "a" "e" "k" "o" "r" "v" 1; "b" "e" "i" "k" "n" "p" "v" "w" 1; "c" "y" 1; "d" "a" "d" "w" 2; "e" "l" 2;
"a" "a" "e" "k" "o" "r" "v" 1; "b" "e" "i" "k" "n" "p" "v" "w" 1; "c" "y" 1; "d" "a" "d" "w" 2; "e" "l" 2;
"a" "a" "e" "k" "o" "r" "v" 1; "b" "n" 2; "c" "g" "n" "y" 1; "d" "a" "d" "w" 2; "e" "l" "r" 2;
"a" "a" "e" "k" "o" "r" "v" 1; "b" "n" 2; "c" "g" "n" "y" 1; "d" "a" "d" "w" 2; "e" "l" "r" 2;
"a" "a" "e" "k" "o" "r" "v" 1; "b" "n" 2; "c" "g" "n" "y" 1; "d" "a" "d" "w" 2; "e" "l" "r" 2;
"a" "a" "e" "k" "o" "r" "v" 1; "b" "n" 2; "c" "g" "n" "y" 1; "d" "a" "d" "w" 2; "e" "l" "r" 2;
"a" "a" "e" "k" "o" "r" "v" 1; "b" "n" 2; "c" "g" "n" "y" 1; "d" "a" "d" "w" 2; "e" "l" "r" 2;
"a" "a" "e" "k" "o" "r" "v" 1; "b" "n" 2; "c" "g" "n" "p" "y" 1; "d" "a" "d" "w" 2; "e" "l" "r" 2;
"a" "a" "e" "k" "o" "r" "v" 1; "b" "n" 2; "c" "g" "n" "p" "y" 1; "d" "a" "d" "w" 2; "e" "l" "r" 2;
"a" "a" "e" "k" "o" "r" "v" 1; "b" "n" 2; "c" "g" "n" "p" "r" "y" 1; "d" "a" "d" "w" 2; "e" "l" "r" 2;
"a" "a" 2; "b" "n" 2; "c" "g" "n" "p" "r" "y" 1; "d" "a" "d" "w" 2; "e" "l" "r" 2;
"a" "a" 2; "b" "n" 2; "c" "g" "n" "p" "r" "y" 1; "d" "a" "d" "w" 2; "e" "l" "r" 2;
"a" "a" 2; "b" "n" 2; "c" "g" "n" "p" "r" "y" 1; "d" "a" "d" "w" 2; "e" "l" "r" 2;
"a" "a" 2; "b" "n" 2; "c" "g" "n" "p" "r" "y" 1; "d" "a" "d" "w" 2; "e" "l" "r" 2;
"a" "a" 2; "b" "n" 2; "c" "g" "n" "p" "r" "y" 1; "d" "a" "d" "w" 2; "e" "l" "r" 2;
"a" "a" 2; "b" "n" 2; "c" "g" "n" "p" "r" "y" 1; "d" "a" "d" "w" 2; "e" "l" "r" 2;
"a" "a" 2; "b" "n" 2; "c" "g" "n" "p" "r" "y" 1; "d" "a" "d" "w" 2; "e" "l" "r" 2;
"a" "a" 2; "b" "n" 2; "c" "g" "n" "p" "r" "y" 1; "d" "a" "d" "w" 2; "e" "l" "r" 2;
"a" "a" 2; "b" "n" 2; "c" "g" "n" "p" "r" "y" 1; "d" "a" "d" "w" 2; "e" "l" "r" 2;
"a" "a" 2; "b" "n" 2; "c" "g" "n" "p" "r" "y" 1; "d" "a" "d" "w" 2; "e" "l" "r" 2;
"a" "a" 2; "b" "n" 2; "c" "g" "n" "p" "r" "y" 1; "d" "a" "d" "w" 2; "e" "l" "r" 2;
"a" "a" 2; "b" "n" 2; "c" "g" "n" "p" "r" "y" 1; "d" "a" "d" "w" 2; "e" "l" "r" 2;
"a" "a" 2; "b" "n" 2; "c" "g" "n" "p" "q" "r" "y" 1; "d" "a" "d" "w" 2; "e" "l" "r" 2;
"a" "a" 2; "b" "n" 2; "c" "g" "n" "p" "q" "r" "y" 1; "d" "a" "d" "w" 2; "e" "l" "r" 2;
"a" "a" 2; "b" "n" 2; "c" "g" "n" "p" "q" "r" "y" 1; "d" "a" "d" "w" 2; "e" "l" "r" 2;
"a" "a" 2; "b" "n" 2; "c" "g" "h" "n" "p" "q" "r" "y" 1; "d" "a" "d" "w" 2; "e" "l" "r" 2;
"a" "a" 2; "b" "n" 2; "c" "g" "h" "n" "p" "q" "r" "y" 1; "d" "a" "d" "w" 2; "e" "l" "r" 2;
"a" "a" 2; "b" "n" 2; "c" "g" "h" "n" "p" "q" "r" "y" 1; "d" "a" "d" "l" "w" 2; "e" "l" "r" 2;
"a" "a" 2; "b" "n" 2; "c" "g" "h" "n" "p" "q" "r" "y" 1; "d" "a" "d" "l" "w" 2; "e" "l" "r" 2;
"a" "a" 2; "b" "n" 2; "c" "g" "h" "n" "p" "q" "r" "y" 1; "d" "a" "d" "l" "w" 2; "e" "l" "r" 2;
"a" "a" 2; "b" "n" 2; "c" "g" "h" "n" "p" "q" "r" "y" 1; "d" "a" "d" "l" "w" 2; "e" "l" "r" 2;
"a" "a" 2; "b" "n" 2; "c" "g" "h" "n" "p" "q" "r" "y" 1; "d" "a" "d" "l" "w" 2; "e" "l" "r" 2;
"a" "a" 2; "b" "n" 2; "c" "g" "h" "n" "p" "q" "r" "y" 1; "d" "a" "d" "l" "w" 2; "e" "l" "r" 2;
"a" "a" 2; "b" "n" 2; "c" "g" "h" "n" "p" "q" "r" "y" 1; "d" "a" "d" "l" "w" 2; "e" "l" "r" 2;
"a" "a" 2; "b" "n" 2; "c" "g" "h" "n" "p" "q" "r" "y" 1; "d" "a" "d" "l" "w" 2; "e" "l" "r" 2;
"a" "a" 2; "b" "n" 2; "c" "g" "h" "n" "p" "q" "r" "y" 1; "d" "a" "d" "l" "w" 2; "e" "l" "r" 2;
"a" "a" "g" 2; "b" "n" 2; "c" "g" "h" "n" "p" "q" "r" "y" 1; "d" "a" "d" "l" "w" 2; "e" "l" "r" 2;
"a" "a" "g" 2; "b" "n" 2; "c" "g" "h" "n" "p" "q" "r" "y" 1; "d" "a" "d" "l" "w" 2; "e" "l" "r" 2;
"a" "a" "g" 2; "b" "n" 2; "c" "g" "h" "n" "p" "q" "r" "y" 1; "d" "a" "d" "l" "w" 2; "e" "l" "r" 2;
"a" "a" "g" 2; "b" "n" 2; "c" "g" "h" "n" "p" "q" "r" "y" 1; "d" "a" "d" "l" "w" 2; "e" "j" "l" "r" 2;
"a" "a" "g" "k" 2; "b" "n" 2; "c" "h" "n" "p" "q" "r" "y" 1; "d" "a" "d" "l" "w" 2; "e" "j" "l" "r" 2;
"a" "a" "g" "k" 2; "b" "n" 2; "c" "h" "n" "p" "q" "r" "y" 1; "d" "a" "d" "l" "w" 2; "e" "j" "l" "r" 2;
"a" "a" "g" "k" 2; "b" "n" 2; "c" "h" "m" "n" "p" "q" "r" "y" 1; "d" "a" "d" "l" "w" 2; "e" "j" "l" "r" 2;
"a" "a" "g" "k" 2; "b" "n" 2; "c" "h" "m" "n" "p" "q" "r" "y" 1; "d" "a" "d" "l" "w" 2; "e" "j" "l" "r" 2;
"a" "a" "g" "k" 2; "b" "n" 2; "c" "h" "m" "n" "p" "q" "r" "y" 1; "d" "a" "d" "l" "w" 2; "e" "j" "l" "r" 2;
"a" "a" "g" "k" 2; "b" "n" 2; "c" "h" 2; "d" "a" "d" "l" "w" 2; "e" "j" "l" "r" 2;
"a" "a" "g" "k" 2; "b" "n" 2; "c" "h" "q" 2; "d" "a" "d" "l" "w" 2; "e" "j" "l" "r" 2;
"a" "a" "g" "k" 2; "b" "n" 2; "c" "h" "q" 2; "d" "a" "d" "l" "w" 2; "e" "j" "l" "r" 2;
"a" "a" "g" "k" 2; "b" "n" 2; "c" "h" "q" 2; "d" "a" "d" "l" "w" 2; "e" "j" "l" "o" "r" 2;
"a" "a" "g" "k" 2; "b" "n" 2; "c" "h" "q" 2; "d" "a" "d" "l" "w" 2; "e" "j" "l" "o" "r" 2;
"a" "a" "g" "k" 2; "b" "n" 2; "c" "h" "q" 2; "d" "a" "d" "l" "w" 2; "e" "j" "l" "o" "r" 2;
"a" "a" "g" "k" 2; "b" "n" 2; "c" "h" "q" 2; "d" "a" "d" "l" "w" 2; "e" "j" "l" "o" "r" 2;
"a" "a" "g" "k" 2; "b" "n" 2; "c" "h" "q" 2; "d" "a" "d" "l" "w" 2; "e" "j" "l" "o" "r" 2;
"a" "a" "g" "k" 2; "b" "n" 2; "c" "h" "q" 2; "d" "a" "d" "l" "w" 2; "e" "j" "l" "o" "r" 2;
"a" "a" "g" "k" 2; "b" "n" 2; "c" "h" "q" 2; "d" "a" "d" "l" "w" 2; "e" "j" "l" "o" "r" 2;
"a" "a" "g" "k" 2; "b" "n" 2; "c" "h" "q" 2; "d" "a" "d" "l" "w" 2; "e" "j" "l" "o" "r" 2;
"a" "a" "g" "k" 2; "b" "n" 2; "c" "h" "q" 2; "d" "a" "d" "l" "w" 2; "e" "j" "l" "o" "r" 2;
"a" "a" "g" "k" 2; "b" "n" 2; "c" "h" "q" 2; "d" "a" "d" "l" "w" 2; "e" "j" "l" "o" "r" 2;
"a" "a" "g" "k" 2; "b" "n" 2; "c" "h" "q" 2; "d" "a" "d" "l" "w" 2; "e" "j" "l" "o" "r" 2;
"a" "a" "g" "k" 2; "b" "n" 2; "c" "h" "q" 2; "d" "a" "d" "l" "w" 2; "e" "j" "l" "o" "r" 2;
"a" "a" "g" "k" 2; "b" "n" 2; "c" "h" "q" 2; "d" "a" "d" "l" "w" 2; "e" "j" "l" "o" "r" 2;
"a" "a" "g" "k" 2; "b" "n" 2; "c" "h" "q" "v" 2; "d" "a" "d" "l" "w" 2; "e" "j" "l" "o" "r" 2;
"a" "a" "g" "k" 2; "b" "n" 2; "c" "h" "q" "v" 2; "d" "a" "d" "l" "w" 2; "e" "j" "l" "o" "r" 2;
