none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "b" 1;
"a" "b" "i" 1;
"a" "b" "i" 1;
"a" "b" "i" 1;
"a" "b" "i" 1;
"a" "b" "i" 1;
"a" "b" "i" 1;
"a" "b" "i" 1;
"a" "b" "i" 1;
"a" "b" "i" 1;
"a" "b" "i" 1;
"a" "b" "i" 1;
"a" "b" "i" 1;
"a" "b" "i" 1; "d" "h" 1;
"a" "b" "i" 1; "b" "b" 1; "d" "h" 1;
"a" "b" "i" 1; "b" "b" 1; "d" "h" 1;
"a" "b" "i" 1; "b" "b" 1; "d" "h" 1;
"a" "b" "i" 1; "b" "b" 1; "d" "h" 1;
"a" "i" 2; "b" "b" "i" 1; "d" "h" "i" 1;
"a" "i" 2; "b" "b" "i" 1; "d" "h" "i" 1;
"a" "i" 2; "b" "b" "c" "i" 1; "d" "f" "h" "i" 1;
"a" "i" 2; "b" "b" "c" "i" 1; "d" "f" "h" "i" 1;
"a" "i" 2; "b" "b" "c" "i" 1; "d" "f" "h" "i" 1;
"a" "i" 2; "b" "b" "c" "i" 1; "d" "f" "h" "i" 1;
"a" "i" 2; "b" "b" "c" "i" 1; "d" "f" "h" "i" 1;
"a" "i" 2; "b" "b" "c" "i" 1; "d" "f" "h" "i" 1;
"a" "i" 2; "b" "b" "c" "i" 1; "d" "f" "h" "i" 1;
"a" "i" 2; "b" "b" "c" "i" 1; "d" "f" "h" "i" 1;
"a" "i" 2; "b" "b" "c" "i" 1; "d" "f" "h" "i" "p" 1;
"a" "i" 2; "b" "b" "c" "i" 1; "d" "a" "c" "f" "h" "i" "p" 1;
"a" "i" 2; "b" "b" "c" "i" 1; "d" "a" "c" "f" "h" "i" "p" 1;
"a" "i" 2; "b" "b" "c" "i" 1; "d" "a" "c" "f" "h" "i" "p" 1; "e" "i" 1;
"a" "i" 2; "b" "b" "c" "i" 1; "d" "a" "c" "f" "h" "i" "p" 1; "e" "i" 1;
"a" "i" 2; "b" "b" "c" "i" "p" 1; "d" "a" "c" "f" "h" "i" "p" 1; "e" "i" 1;
"a" "i" 2; "b" "b" "c" "i" "p" 1; "d" "a" "c" "f" "h" "i" "p" 1; "e" "i" 1;
"a" "i" 2; "b" "b" "c" "i" "p" 1; "d" "a" "c" "f" "h" "i" "p" 1; "e" "e" "i" 1;
"a" "i" 2; "b" "b" "c" "f" "i" "p" 1; "d" "a" "c" "f" "h" "i" "p" 1; "e" "e" "i" 1;
"a" "i" 2; "b" "b" "c" "f" "i" "p" 1; "d" "a" "c" "f" "h" "i" "p" 1; "e" "e" "i" 1;
"a" "i" 2; "b" "i" 2; "d" "p" 2; "e" "e" "i" "j" 1;
"a" "i" 2; "b" "i" 2; "c" "i" 1; "d" "p" 2; "e" "e" "i" "j" 1;
"a" "i" 2; "b" "i" 2; "c" "i" 1; "d" "p" 2; "e" "e" "i" "j" 1;
"a" "i" 2; "b" "i" 2; "c" "i" 1; "d" "p" 2; "e" "e" "i" "j" 1;
"a" "i" 2; "b" "i" "q" 2; "c" "i" 1; "d" "p" 2; "e" "e" "i" "j" 1;
"a" "i" 2; "b" "i" "q" 2; "c" "i" "u" 1; "d" "p" 2; "e" "e" "i" "j" 1;
"a" "i" 2; "b" "i" "q" 2; "c" "i" "u" 1; "d" "p" 2; "e" "e" "i" "j" 1;
"a" "i" 2; "b" "i" "q" 2; "c" "i" "q" "u" 1; "d" "p" 2; "e" "e" "i" "j" 1;
"a" "i" 2; "b" "i" "q" 2; "c" "i" "q" "u" 1; "d" "p" 2; "e" "e" "i" "j" 1;
"a" "i" 2; "b" "i" "q" 2; "c" "i" "q" "u" 1; "d" "p" 2; "e" "e" "i" "j" 1;
"a" "i" 2; "b" "i" "q" 2; "c" "i" "q" "u" 1; "d" "p" 2; "e" "e" "i" "j" 1;
"a" "i" 2; "b" "i" "q" 2; "c" "i" "q" "u" "z" 1; "d" "p" 2; "e" "e" "i" "j" 1;
"a" "i" 2; "b" "i" "q" 2; "c" "i" "q" "u" "z" 1; "d" "p" 2; "e" "e" "i" "j" 1;
"a" "i" 2; "b" "i" "q" 2; "c" "i" "q" "u" "z" 1; "d" "p" 2; "e" "e" "i" "j" "s" 1;
"a" "i" 2; "b" "i" "q" 2; "c" "i" "q" "u" "z" 1; "d" "p" 2; "e" "e" "i" "j" "s" 1;
"a" "i" 2; "b" "i" "q" 2; "c" "i" "q" "u" "z" 1; "d" "p" 2; "e" "e" "i" "j" "s" 1;
"a" "i" 2; "b" "i" "q" 2; "c" "i" "q" "u" "z" 1; "d" "p" 2; "e" "e" "i" "j" "s" 1;
"a" "i" 2; "b" "i" "q" 2; "c" "i" "q" "u" "z" 1; "d" "p" 2; "e" "e" "i" "j" "s" 1;
"a" "i" 2; "b" "i" "q" 2; "c" "i" "q" "u" "z" 1; "d" "p" 2; "e" "e" "i" "j" "s" 1;
"a" "i" 2; "b" "i" "q" 2; "c" "i" "q" "u" "z" 1; "d" "p" 2; "e" "e" "i" "j" "s" 1;
"a" "i" 2; "b" "i" "q" 2; "c" "i" "q" "u" "z" 1; "d" "p" 2; "e" "e" "i" "j" "s" 1;
"a" "i" 2; "b" "i" "q" 2; "c" "i" "q" "u" "z" 1; "d" "p" 2; "e" "e" "i" "j" "s" 1;
"a" "i" 2; "b" "i" "q" 2; "c" "i" "q" "u" "z" 1; "d" "p" 2; "e" "e" "i" "j" "s" 1;
"a" "i" 2; "b" "i" "q" 2; "c" "i" "q" "u" "z" 1; "d" "p" 2; "e" "e" "i" "j" "s" 1;
"a" "i" 2; "b" "i" "q" 2; "c" "i" "q" "u" "z" 1; "d" "p" 2; "e" "e" "i" "j" "s" 1;
"a" "i" 2; "b" "i" "q" 2; "c" "i" "q" "u" "z" 1; "d" "p" 2; "e" "e" "i" "j" "s" 1;
"a" "i" 2; "b" "i" "q" 2; "c" "i" "q" "u" "z" 1; "d" "p" 2; "e" "e" "i" "j" "s" 1;
"a" "i" "w" 2; "b" "i" "q" 2; "c" "i" "q" "u" "z" 1; "d" "p" 2; "e" "e" "i" "j" "s" 1;
"a" "i" "w" 2; "b" "i" "q" 2; "c" "i" "q" "t" "u" "z" 1; "d" "p" 2; "e" "c" "e" "i" "j" "s" 1;
"a" "i" "w" 2; "b" "i" "q" 2; "c" "i" "q" "t" "u" "z" 1; "d" "p" 2; "e" "c" "e" "i" "j" "s" 1;
"a" "i" "w" 2; "b" "i" "q" 2; "c" "i" "q" "t" "u" "z" 1; "d" "p" 2; "e" "c" "e" "i" "j" "s" 1;
"a" "i" "w" 2; "b" "i" "q" 2; "c" "i" "q" "t" "u" "z" 1; "d" "p" 2; "e" "c" "e" "i" "j" "s" "z" 1;
"a" "i" "w" 2; "b" "i" "q" 2; "c" "i" "q" "t" "u" "z" 1; "d" "p" 2; "e" "c" "e" "i" "j" "s" "z" 1;
"a" "i" "w" 2; "b" "i" "q" 2; "c" "i" "q" "t" "u" "z" 1; "d" "p" 2; "e" "c" "e" "i" "j" "s" "z" 1;
"a" "i" "w" 2; "b" "i" "q" 2; "c" "i" "q" "t" "u" "z" 1; "d" "p" 2; "e" "c" "e" "i" "j" "s" "z" 1;
"a" "i" "w" 2; "b" "i" "q" 2; "c" "u" 2; "d" "p" 2; "e" "c" "e" "i" "j" "s" "z" 1;
"a" "i" "w" 2; "b" "i" "q" 2; "c" "u" 2; "d" "h" "p" 2; "e" "c" "e" "i" "j" "s" "z" 1;
"a" "i" "w" 2; "b" "i" "q" 2; "c" "u" 2; "d" "h" "p" 2; "e" "c" "e" "i" "j" "s" "z" 1;
"a" "i" "w" 2; "b" "i" "q" 2; "c" "u" 2; "d" "h" "p" 2; "e" "c" "e" "i" "j" "s" "z" 1;
"a" "i" "w" 2; "b" "i" "q" 2; "c" "u" 2; "d" "h" "p" 2; "e" "c" "e" "i" "j" "s" "z" 1;
"a" "i" "w" 2; "b" "i" "q" 2; "c" "u" 2; "d" "h" "p" 2; "e" "c" "e" "i" "j" "s" "z" 1;
"a" "i" "w" 2; "b" "i" "q" 2; "c" "u" 2; "d" "h" "p" 2; "e" "c" "e" "i" "j" "s" "z" 1;
"a" "i" "w" 2; "b" "i" "q" 2; "c" "u" 2; "d" "h" "p" 2; "e" "c" "e" "i" "j" "s" "z" 1;
"a" "i" "w" 2; "b" "i" "j" "q" 2; "c" "u" 2; "d" "h" "p" 2; "e" "c" "e" "i" "j" "s" "z" 1;
"a" "i" "w" 2; "b" "i" "j" "q" 2; "c" "u" 2; "d" "h" "p" 2; "e" "c" "e" "i" "j" "s" "z" 1;
"a" "i" "w" 2; "b" "i" "j" "q" 2; "c" "u" 2; "d" "h" "p" 2; "e" "c" "e" "i" "j" "s" "z" 1;
"a" "i" "w" 2; "b" "i" "j" "q" 2; "c" "u" 2; "d" "h" "p" 2; "e" "c" "e" "i" "j" "s" "z" 1;
"a" "i" "w" 2; "b" "i" "j" "q" 2; "c" "u" 2; "d" "c" "h" "p" 2; "e" "s" 2;
"a" "i" "w" 2; "b" "i" "j" "q" 2; "c" "u" 2; "d" "c" "h" "p" 2; "e" "s" 2;
"a" "i" "w" 2; "b" "i" "j" "q" 2; "c" "u" 2; "d" "c" "h" "p" 2; "e" "s" 2;
"a" "i" "w" 2; "b" "i" "j" "q" 2; "c" "u" 2; "d" "c" "h" "p" 2; "e" "s" 2;
"a" "i" "w" 2; "b" "i" "j" "q" 2; "c" "u" 2; "d" "c" "h" "p" 2; "e" "s" 2;
"a" "i" "w" 2; "b" "i" "j" "q" 2; "c" "u" 2; "d" "c" "h" "p" 2; "e" "s" 2;
"a" "i" "w" 2; "b" "i" "j" "q" 2; "c" "u" 3; "d" "c" "h" "p" 2; "e" "s" 2;
"a" "i" "w" 2; "b" "i" "j" "q" 2; "c" "u" 3; "d" "c" "h" "p" 2; "e" "s" 2;
"a" "i" "w" 2; "b" "i" "j" "q" 2; "c" "u" 3; "d" "c" "h" "p" 2; "e" "s" 2;
"a" "i" "w" 2; "b" "i" "j" "q" 2; "c" "u" 3; "d" "c" "h" "p" 2; "e" "s" 2;
"a" "i" "w" 2; "b" "i" "j" "q" 2; "c" "u" 3; "d" "c" "h" "p" 2; "e" "s" 2;
"a" "i" "n" "w" 2; "b" "i" "j" "q" 2; "c" "u" 3; "d" "c" "h" "p" 2; "e" "s" 2;
"a" "i" "n" "w" 2; "b" "i" "j" "q" 2; "c" "u" 3; "d" "c" "h" "p" 2; "e" "s" 2;
"a" "i" "n" "w" 2; "b" "i" "j" "q" 2; "c" "u" 3; "d" "c" "h" "p" 2; "e" "s" 2;
"a" "i" "n" "w" 2; "b" "i" "j" "q" 2; "c" "u" 3; "d" "c" "h" "p" 2; "e" "s" 2;
"a" "i" "n" "w" 2; "b" "i" "j" "q" 2; "c" "u" 3; "d" "c" "h" "p" 2; "e" "s" 2;
"a" "i" "n" "w" 2; "b" "i" "j" "q" 2; "c" "u" 3; "d" "c" "h" "p" 2; "e" "s" 2;
"a" "i" "n" "w" 2; "b" "i" "j" "q" 2; "c" "u" 3; "d" "c" "h" "p" 2; "e" "s" 2;
"a" "i" "n" "w" 2; "b" "i" "j" "q" 2; "c" "u" 3; "d" "c" "h" "p" 2; "e" "s" 2;
"a" "i" "n" "w" 2; "b" "i" "j" "q" 2; "c" "u" 3; "d" "c" "h" "p" 2; "e" "s" 2;
"a" "i" "n" "w" 2; "b" "i" "j" "q" 2; "c" "u" 3; "d" "c" "h" "p" 2; "e" "s" 2;
"a" "i" "n" "w" 2; "b" "i" "j" "q" 2; "c" "u" 3; "d" "c" "h" "p" 2; "e" "s" 2;
"a" "i" "n" "w" 2; "b" "i" "j" "q" 2; "c" "u" 3; "d" "c" "h" "p" 2; "e" "s" 2;
"a" "i" "n" "w" 2; "b" "i" "j" "q" 2; "c" "u" 3; "d" "c" "h" "p" 2; "e" "s" 2;
"a" "i" "n" "w" 2; "b" "i" "j" "q" 2; "c" "u" 3; "d" "c" "h" "p" 2; "e" "s" 2;
"a" "i" "n" "w" 2; "b" "i" "j" "q" 2; "c" "u" 3; "d" "c" "h" "p" 2; "e" "s" 2;
"a" "i" "n" "w" 2; "b" "i" "j" "q" 2; "c" "u" 3; "d" "a" "c" "h" "o" "p" 2; "e" "p" "s" 2;
"a" "i" "n" "w" 2; "b" "i" "j" "q" 2; "c" "u" 3; "d" "a" "c" "h" "o" "p" 2; "e" "p" "s" 2;
"a" "i" "n" "w" 2; "b" "i" "j" "q" 2; "c" "u" 3; "d" "a" "c" "h" "o" "p" 2; "e" "p" "s" 2;
"a" "i" "n" "w" 2; "b" "i" "j" "q" 2; "c" "u" 3; "d" "a" "c" "h" "o" "p" 2; "e" "p" "s" 2;
"a" "i" "n" "w" 2; "b" "i" "j" "q" 2; "c" "u" 3; "d" "a" "c" "h" "o" "p" 2; "e" "p" "s" 2;
"a" "i" "n" "w" 2; "b" "i" "j" "q" 2; "c" "u" 3; "d" "o" 3; "e" "p" "s" 2;
"a" "i" "n" "w" 2; "b" "i" "j" "q" 2; "c" "u" 3; "d" "o" 3; "e" "p" "s" 2;
"a" "i" "n" "w" 2; "b" "i" "j" "q" 2; "c" "u" 3; "d" "o" 3; "e" "p" "s" 2;
"a" "i" "n" "w" 2; "b" "i" 3; "c" "u" 3; "d" "o" 3; "e" "p" "s" 2;
"a" "i" "n" "w" 2; "b" "i" 3; "c" "u" 3; "d" "o" 3; "e" "p" "s" 2;
"a" "i" "n" "w" 2; "b" "i" 3; "c" "u" 3; "d" "o" 3; "e" "p" "q" "s" 2;
"a" "i" "n" "t" "w" 2; "b" "i" 3; "c" "u" 3; "d" "o" "p" 3; "e" "p" "q" "s" 2;
"a" "i" "n" "t" "w" 2; "b" "i" 3; "c" "u" 3; "d" "o" "p" 3; "e" "p" "q" "s" 2;
"a" "i" "n" "t" "w" 2; "b" "i" 3; "c" "u" 3; "d" "o" "p" 3; "e" "p" "q" "s" 2;
"a" "i" "n" "t" "w" 2; "b" "i" 3; "c" "u" 3; "d" "o" "p" 3; "e" "p" "q" "s" 2;
"a" "i" "n" "t" "w" 2; "b" "i" 3; "c" "u" 3; "d" "o" "p" 3; "e" "p" "q" "s" 2;
"a" "i" "n" "t" "w" 2; "b" "i" 3; "c" "u" 4; "d" "o" "p" 3; "e" "p" "q" "s" 2;
"a" "i" "n" "t" "w" 2; "b" "i" 3; "c" "u" 4; "d" "o" "p" 3; "e" "p" "q" "s" 2;
"a" "i" "n" "t" "w" 2; "b" "i" 3; "c" "u" 4; "d" "o" "p" 3; "e" "p" "q" "s" 2;
"a" "i" "n" "t" "w" 2; "b" "i" 3; "c" "u" 4; "d" "o" "p" 3; "e" "p" "q" "s" 2;
"a" "i" "n" "t" "w" 2; "b" "i" 3; "c" "u" 4; "d" "o" "p" 3; "e" "e" "p" "q" "s" 2;
"a" "i" "n" "t" "w" 2; "b" "i" 3; "c" "u" 4; "d" "o" "p" 3; "e" "e" "p" "q" "s" 2;
"a" "i" "n" "t" "w" 2; "b" "i" 3; "c" "u" 4; "d" "o" "p" 3; "e" "e" "p" "q" "s" 2;
"a" "c" "i" "n" "t" "w" 2; "b" "i" 3; "c" "u" 4; "d" "o" "p" 3; "e" "e" "p" "q" "s" "x" 2;
"a" "c" "i" "n" "t" "w" 2; "b" "i" 3; "c" "u" 5; "d" "o" "p" 3; "e" "e" "p" "q" "s" "x" 2;
"a" "c" "i" "n" "t" "w" 2; "b" "i" 3; "c" "u" 5; "d" "o" "p" "w" 3; "e" "e" "p" "q" "s" "x" 2;
"a" "c" "i" "n" "t" "w" 2; "b" "i" 3; "c" "u" 5; "d" "o" "p" "w" 3; "e" "e" "p" "q" "s" "x" 2;
"a" "c" "i" "n" "t" "w" 2; "b" "i" 3; "c" "u" 5; "d" "o" "p" "w" 3; "e" "e" "p" "q" "s" "x" 2;
"a" "c" "g" "i" "n" "t" "w" 2; "b" "i" 3; "c" "u" 5; "d" "o" "p" "w" 3; "e" "e" "h" "i" "p" "q" "s" "x" 2;
"a" "c" "g" "i" "n" "t" "w" 2; "b" "i" 3; "c" "u" 5; "d" "o" "p" "w" 3; "e" "e" "h" "i" "p" "q" "s" "x" 2;
"a" "c" "g" "i" "n" "t" "w" 2; "b" "i" 3; "c" "u" 5; "d" "o" "p" "w" 3; "e" "e" "h" "i" "p" "q" "s" "x" 2;
