none
none
none
none
none
none
none
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"b" "n" 1; "c" "q" 1;
"b" "n" 1; "c" "q" 1; "d" "j" 1;
"b" "n" 1; "c" "q" 1; "d" "j" 1;
"a" "z" 1; "b" "n" 1; "c" "q" "z" 1; "d" "j" 1;
"a" "z" 1; "b" "n" 1; "c" "q" "z" 1; "d" "j" 1;
"a" "z" 1; "b" "n" 1; "c" "q" "z" 1; "d" "j" 1;
"a" "z" 1; "b" "n" 1; "c" "q" "z" 1; "d" "j" 1;
"a" "z" 1; "b" "n" 1; "c" "q" "z" 1; "d" "j" 1;
"a" "z" 1; "b" "n" 1; "c" "q" "z" 1; "d" "j" 1;
"a" "z" 1; "b" "n" 1; "c" "q" "z" 1; "d" "j" 1;
"a" "z" 1; "b" "n" 1; "c" "q" "z" 1; "d" "j" 1;
"a" "z" 1; "b" "n" 1; "c" "q" "z" 1; "d" "j" 1; "e" "t" 1;
"a" "z" 1; "b" "n" 1; "c" "q" "z" 1; "d" "j" 1; "e" "t" 1;
"a" "z" 1; "b" "n" 1; "c" "q" "z" 1; "d" "j" 1; "e" "t" 1;
"a" "o" "z" 1; "b" "n" 1; "c" "q" "z" 1; "d" "j" "r" "u" 1; "e" "t" 1;
"a" "o" "z" 1; "b" "n" 1; "c" "q" "z" 1; "d" "j" "r" "u" 1; "e" "t" 1;
"a" "o" "z" 1; "b" "n" 1; "c" "q" "z" 1; "d" "j" "r" "u" 1; "e" "t" 1;
"a" "o" "z" 1; "b" "n" 1; "c" "q" "z" 1; "d" "j" "r" "u" 1; "e" "t" "z" 1;
"a" "o" "z" 1; "b" "n" 1; "c" "q" 2; "d" "j" "r" "u" 1; "e" "t" "z" 1;
"a" "o" "z" 1; "b" "n" 1; "c" "q" 2; "d" "j" "r" "u" "z" 1; "e" "t" "y" "z" 1;
"a" "o" "z" 1; "b" "k" "n" 1; "c" "q" 2; "d" "j" "r" "u" "z" 1; "e" "t" "y" "z" 1;
